support,itemsets,place
0.2,City Canal,Waikiki
0.2,Canal Downtown,Waikiki
0.2,Canal Island,Waikiki
0.2,Canal Mile,Waikiki
0.2,Swamp Canal,Waikiki
0.2,Canoe Day,Waikiki
0.2,Lesson Canoe,Waikiki
0.2,Canoe Outrigger,Waikiki
0.2,Place Canoe,Waikiki
0.2,Ride Canoe,Waikiki
0.2,Sand Canoe,Waikiki
0.2,Canoe Strip,Waikiki
0.2,Surf Canoe,Waikiki
0.2,Thing Canoe,Waikiki
0.2,Edge Centre,Waikiki
0.2,Frenzy Centre,Waikiki
0.2,Centre Garden,Waikiki
0.2,Pedestrian Centre,Waikiki
0.2,Centre Refuge,Waikiki
0.2,Centre Spot,Waikiki
0.2,Walkway Centre,Waikiki
0.2,City Downtown,Waikiki
0.2,City Island,Waikiki
0.2,City Mile,Waikiki
0.2,Swamp City,Waikiki
0.2,Commercialism Day,Waikiki
0.2,Site Commercialism,Waikiki
0.2,Lesson Day,Waikiki
0.2,Outrigger Day,Waikiki
0.2,Place Day,Waikiki
0.2,Ride Day,Waikiki
0.2,Sand Day,Waikiki
0.2,Site Day,Waikiki
0.2,Strip Day,Waikiki
0.2,Surf Day,Waikiki
0.2,Thing Day,Waikiki
0.2,Island Downtown,Waikiki
0.2,Mile Downtown,Waikiki
0.2,Swamp Downtown,Waikiki
0.2,Frenzy Edge,Waikiki
0.2,Edge Garden,Waikiki
0.2,Edge Pedestrian,Waikiki
0.2,Edge Refuge,Waikiki
0.2,Edge Spot,Waikiki
0.2,Walkway Edge,Waikiki
0.2,Frenzy Garden,Waikiki
0.2,Frenzy Pedestrian,Waikiki
0.2,Frenzy Refuge,Waikiki
0.2,Frenzy Spot,Waikiki
0.2,Frenzy Walkway,Waikiki
0.2,Pedestrian Garden,Waikiki
0.2,Garden Refuge,Waikiki
0.2,Garden Spot,Waikiki
0.2,Walkway Garden,Waikiki
0.2,Island Mile,Waikiki
0.2,Swamp Island,Waikiki
0.2,Lesson Outrigger,Waikiki
0.2,Place Lesson,Waikiki
0.2,Ride Lesson,Waikiki
0.2,Lesson Sand,Waikiki
0.2,Lesson Strip,Waikiki
0.2,Surf Lesson,Waikiki
0.2,Thing Lesson,Waikiki
0.2,Swamp Mile,Waikiki
0.2,Money Point,Waikiki
0.2,Surf Money,Waikiki
0.2,Thing Money,Waikiki
0.2,Place Outrigger,Waikiki
0.2,Ride Outrigger,Waikiki
0.2,Sand Outrigger,Waikiki
0.2,Strip Outrigger,Waikiki
0.2,Surf Outrigger,Waikiki
0.2,Thing Outrigger,Waikiki
0.2,Pedestrian Refuge,Waikiki
0.2,Pedestrian Spot,Waikiki
0.2,Walkway Pedestrian,Waikiki
0.2,Ride Place,Waikiki
0.2,Place Sand,Waikiki
0.2,Place Strip,Waikiki
0.2,Surf Place,Waikiki
0.2,Thing Place,Waikiki
0.2,Surf Point,Waikiki
0.2,Thing Point,Waikiki
0.2,Refuge Spot,Waikiki
0.2,Walkway Refuge,Waikiki
0.2,Ride Sand,Waikiki
0.2,Ride Strip,Waikiki
0.2,Surf Ride,Waikiki
0.2,Thing Ride,Waikiki
0.2,Sand Strip,Waikiki
0.2,Surf Sand,Waikiki
0.2,Thing Sand,Waikiki
0.2,Walkway Spot,Waikiki
0.2,Surf Strip,Waikiki
0.2,Thing Strip,Waikiki
0.4,Surf Thing,Waikiki
0.07692307692307693,Band Area,The Florida Keys
0.07692307692307693,Area Coast,The Florida Keys
0.07692307692307693,Area Coral,The Florida Keys
0.07692307692307693,Area Mile,The Florida Keys
0.07692307692307693,Atmosphere Cuisine,The Florida Keys
0.07692307692307693,Atmosphere Food,The Florida Keys
0.07692307692307693,Atmosphere Part,The Florida Keys
0.07692307692307693,Atmosphere Shack,The Florida Keys
0.07692307692307693,Attitude Expanse,The Florida Keys
0.07692307692307693,Influx Attitude,The Florida Keys
0.07692307692307693,Island Attitude,The Florida Keys
0.07692307692307693,Attitude Islander,The Florida Keys
0.07692307692307693,Lifestyle Attitude,The Florida Keys
0.07692307692307693,Part Attitude,The Florida Keys
0.07692307692307693,Place Attitude,The Florida Keys
0.07692307692307693,Population Attitude,The Florida Keys
0.07692307692307693,Spirit Attitude,The Florida Keys
0.07692307692307693,Attitude Style,The Florida Keys
0.07692307692307693,Attitude Tourist,The Florida Keys
0.07692307692307693,Year Attitude,The Florida Keys
0.07692307692307693,Band Coast,The Florida Keys
0.07692307692307693,Band Coral,The Florida Keys
0.07692307692307693,Band Mile,The Florida Keys
0.07692307692307693,Bar Hour,The Florida Keys
0.07692307692307693,Plenty Bar,The Florida Keys
0.07692307692307693,Self Bar,The Florida Keys
0.07692307692307693,Street Bar,The Florida Keys
0.07692307692307693,Bar Style,The Florida Keys
0.07692307692307693,Sunset Bar,The Florida Keys
0.07692307692307693,Cocaine Chain,The Florida Keys
0.07692307692307693,Chain Cowboy,The Florida Keys
0.07692307692307693,Chain Day,The Florida Keys
0.07692307692307693,Film Chain,The Florida Keys
0.07692307692307693,Chain Hearsay,The Florida Keys
0.07692307692307693,Image Chain,The Florida Keys
0.07692307692307693,Intrigue Chain,The Florida Keys
0.07692307692307693,Chain Island,The Florida Keys
0.07692307692307693,Chain Mile,The Florida Keys
0.07692307692307693,Fritter Chowder,The Florida Keys
0.07692307692307693,Mollusc Chowder,The Florida Keys
0.07692307692307693,Speciality Chowder,The Florida Keys
0.07692307692307693,Cigar Church,The Florida Keys
0.07692307692307693,Church Corner,The Florida Keys
0.07692307692307693,Church Cottage,The Florida Keys
0.07692307692307693,Church Foliage,The Florida Keys
0.07692307692307693,Church Maker,The Florida Keys
0.07692307692307693,Church Patchwork,The Florida Keys
0.07692307692307693,Church Rest,The Florida Keys
0.07692307692307693,Church Shack,The Florida Keys
0.07692307692307693,Church Storey,The Florida Keys
0.07692307692307693,Church Tourist,The Florida Keys
0.07692307692307693,Church Town,The Florida Keys
0.07692307692307693,Cigar Corner,The Florida Keys
0.07692307692307693,Cigar Cottage,The Florida Keys
0.07692307692307693,Cigar Foliage,The Florida Keys
0.07692307692307693,Cigar Maker,The Florida Keys
0.07692307692307693,Cigar Patchwork,The Florida Keys
0.07692307692307693,Cigar Rest,The Florida Keys
0.07692307692307693,Cigar Shack,The Florida Keys
0.07692307692307693,Cigar Storey,The Florida Keys
0.07692307692307693,Cigar Tourist,The Florida Keys
0.07692307692307693,Cigar Town,The Florida Keys
0.07692307692307693,Coral Coast,The Florida Keys
0.07692307692307693,Mile Coast,The Florida Keys
0.07692307692307693,Cocaine Cowboy,The Florida Keys
0.07692307692307693,Cocaine Day,The Florida Keys
0.07692307692307693,Film Cocaine,The Florida Keys
0.07692307692307693,Cocaine Hearsay,The Florida Keys
0.07692307692307693,Cocaine Image,The Florida Keys
0.07692307692307693,Intrigue Cocaine,The Florida Keys
0.07692307692307693,Cocaine Island,The Florida Keys
0.07692307692307693,Cocaine Mile,The Florida Keys
0.07692307692307693,Imposter Concoction,The Florida Keys
0.07692307692307693,Key Concoction,The Florida Keys
0.07692307692307693,Lime Concoction,The Florida Keys
0.07692307692307693,Milk Concoction,The Florida Keys
0.07692307692307693,Resemblance Concoction,The Florida Keys
0.07692307692307693,Rest Concoction,The Florida Keys
0.07692307692307693,Mile Coral,The Florida Keys
0.07692307692307693,Cottage Corner,The Florida Keys
0.07692307692307693,Foliage Corner,The Florida Keys
0.07692307692307693,Corner Maker,The Florida Keys
0.07692307692307693,Corner Patchwork,The Florida Keys
0.07692307692307693,Rest Corner,The Florida Keys
0.07692307692307693,Corner Shack,The Florida Keys
0.07692307692307693,Corner Storey,The Florida Keys
0.07692307692307693,Corner Tourist,The Florida Keys
0.07692307692307693,Town Corner,The Florida Keys
0.07692307692307693,Foliage Cottage,The Florida Keys
0.07692307692307693,Cottage Maker,The Florida Keys
0.07692307692307693,Cottage Patchwork,The Florida Keys
0.07692307692307693,Cottage Rest,The Florida Keys
0.07692307692307693,Cottage Shack,The Florida Keys
0.07692307692307693,Cottage Storey,The Florida Keys
0.07692307692307693,Cottage Tourist,The Florida Keys
0.07692307692307693,Town Cottage,The Florida Keys
0.07692307692307693,Cowboy Day,The Florida Keys
0.07692307692307693,Film Cowboy,The Florida Keys
0.07692307692307693,Cowboy Hearsay,The Florida Keys
0.07692307692307693,Image Cowboy,The Florida Keys
0.07692307692307693,Intrigue Cowboy,The Florida Keys
0.07692307692307693,Island Cowboy,The Florida Keys
0.07692307692307693,Mile Cowboy,The Florida Keys
0.07692307692307693,Cuisine Food,The Florida Keys
0.07692307692307693,Part Cuisine,The Florida Keys
0.07692307692307693,Cuisine Shack,The Florida Keys
0.07692307692307693,Culture Mainland,The Florida Keys
0.07692307692307693,Rest Culture,The Florida Keys
0.07692307692307693,Film Day,The Florida Keys
0.07692307692307693,Hearsay Day,The Florida Keys
0.07692307692307693,Image Day,The Florida Keys
0.07692307692307693,Intrigue Day,The Florida Keys
0.07692307692307693,Island Day,The Florida Keys
0.07692307692307693,Mile Day,The Florida Keys
0.07692307692307693,Diving Fishing,The Florida Keys
0.07692307692307693,Diving Lover,The Florida Keys
0.07692307692307693,Diving Paradise,The Florida Keys
0.07692307692307693,Diving Snorkelling,The Florida Keys
0.07692307692307693,Diving Sunset,The Florida Keys
0.07692307692307693,Diving View,The Florida Keys
0.07692307692307693,Island Expanse,The Florida Keys
0.07692307692307693,Islander Expanse,The Florida Keys
