token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Capital,capital,"('capital', 'NN')",capit,capital,introduction,Capital,O,,
state,state,"('state', 'NN')",state,state,introduction,state,O,,
bears,bears,"('bears', 'VBZ')",bear,bear,introduction,bears,O,,
name,name,"('name', 'NN')",name,name,introduction,name,O,,
beautiful,beautiful,"('beautiful', 'JJ')",beauti,beautiful,introduction,beautiful,O,,
Campeche,campeche,"('campeche', 'NN')",campech,campeche,introduction,Campeche,O,,
one,one,"('one', 'CD')",one,one,introduction,one,B,CARDINAL,Numerals that do not fall under another type
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,introduction,Mexico,B,GPE,"Countries, cities, states"
finest,finest,"('finest', 'JJS')",finest,fine,introduction,finest,O,,
colonial,colonial,"('colonial', 'JJ')",coloni,colonial,introduction,colonial,O,,
cities,cities,"('cities', 'NNS')",citi,city,introduction,cities,O,,
draws,draws,"('draws', 'VBZ')",draw,draw,introduction,draws,O,,
relatively,relatively,"('relatively', 'RB')",rel,relatively,introduction,relatively,O,,
tourists,tourists,"('tourists', 'NNS')",tourist,tourist,introduction,tourists,O,,
heart,heart,"('heart', 'NN')",heart,heart,introduction,heart,O,,
relatively,relatively,"('relatively', 'RB')",rel,relatively,introduction,relatively,O,,
intact,intact,"('intact', 'JJ')",intact,intact,introduction,intact,O,,
lies,lies,"('lies', 'VBZ')",lie,lie,introduction,lies,O,,
historic,historic,"('historic', 'JJ')",histor,historic,introduction,historic,O,,
port,port,"('port', 'NN')",port,port,introduction,port,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
still,still,"('still', 'RB')",still,still,introduction,still,O,,
surrounded,surrounded,"('surrounded', 'VBN')",surround,surround,introduction,surrounded,O,,
hefty,hefty,"('hefty', 'JJ')",hefti,hefty,introduction,hefty,O,,
defensive,defensive,"('defensive', 'NN')",defens,defensive,introduction,defensive,O,,
walls,walls,"('walls', 'NNS')",wall,wall,introduction,walls,O,,
fortresses,fortresses,"('fortresses', 'NNS')",fortress,fortress,introduction,fortresses,O,,
within,within,"('within', 'IN')",within,within,introduction,within,O,,
interspersed,interspersed,"('interspersed', 'VBD')",interspers,intersperse,introduction,interspersed,O,,
occasional,occasional,"('occasional', 'JJ')",occasion,occasional,introduction,occasional,O,,
grand,grand,"('grand', 'JJ')",grand,grand,introduction,grand,O,,
Baroque,baroque,"('baroque', 'NN')",baroqu,baroque,introduction,Baroque,B,ORG,"Companies, agencies, institutions, etc."
church,church,"('church', 'NN')",church,church,introduction,church,O,,
elegant,elegant,"('elegant', 'JJ')",eleg,elegant,introduction,elegant,O,,
houses,houses,"('houses', 'NNS')",hous,house,introduction,houses,O,,
painted,painted,"('painted', 'VBN')",paint,paint,introduction,painted,O,,
pastel,pastel,"('pastel', 'NN')",pastel,pastel,introduction,pastel,O,,
shades,shades,"('shades', 'NNS')",shade,shade,introduction,shades,O,,
neatly,neatly,"('neatly', 'RB')",neatli,neatly,introduction,neatly,O,,
restored,restored,"('restored', 'VBN')",restor,restore,introduction,restored,O,,
Nonetheless,nonetheless,"('nonetheless', 'RB')",nonetheless,nonetheless,introduction,Nonetheless,O,,
place,place,"('place', 'NN')",place,place,introduction,place,O,,
UNESCO,unesco,"('unesco', 'JJ')",unesco,unesco,introduction,UNESCO,B,ORG,"Companies, agencies, institutions, etc."
World,world,"('world', 'NN')",world,world,introduction,World,I,ORG,"Companies, agencies, institutions, etc."
Heritage,heritage,"('heritage', 'NN')",heritag,heritage,introduction,Heritage,I,ORG,"Companies, agencies, institutions, etc."
Site,site,"('site', 'NN')",site,site,introduction,Site,I,ORG,"Companies, agencies, institutions, etc."
feel,feel,"('feel', 'NN')",feel,feel,introduction,feel,O,,
like,like,"('like', 'IN')",like,like,introduction,like,O,,
outdoor,outdoor,"('outdoor', 'JJ')",outdoor,outdoor,introduction,outdoor,O,,
museum,museum,"('museum', 'NN')",museum,museum,introduction,museum,O,,
appliance,appliance,"('appliance', 'NN')",applianc,appliance,introduction,appliance,O,,
stores,stores,"('stores', 'NNS')",store,store,introduction,stores,O,,
internet,internet,"('internet', 'NN')",internet,internet,introduction,internet,O,,
cafés,cafés,"('cafés', 'NN')",café,cafés,introduction,cafés,O,,
occupying,occupying,"('occupying', 'VBG')",occupi,occupy,introduction,occupying,O,,
many,many,"('many', 'JJ')",mani,many,introduction,many,O,,
shopfronts,shopfronts,"('shopfronts', 'NNS')",shopfront,shopfront,introduction,shopfronts,O,,
Around,around,"('around', 'IN')",around,around,introduction,Around,O,,
old,old,"('old', 'JJ')",old,old,introduction,old,O,,
centre,centre,"('centre', 'NN')",centr,centre,introduction,centre,O,,
trappings,trappings,"('trappings', 'NNS')",trap,trapping,introduction,trappings,O,,
modern,modern,"('modern', 'JJ')",modern,modern,introduction,modern,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
once,once,"('once', 'RB')",onc,once,introduction,once,O,,
becoming,becoming,"('becoming', 'VBG')",becom,become,introduction,becoming,O,,
wealthy,wealthy,"('wealthy', 'NN')",wealthi,wealthy,introduction,wealthy,O,,
seafront,seafront,"('seafront', 'NN')",seafront,seafront,introduction,seafront,O,,
built,built,"('built', 'VBN')",built,build,introduction,built,O,,
reclaimed,reclaimed,"('reclaimed', 'JJ')",reclaim,reclaimed,introduction,reclaimed,O,,
land,land,"('land', 'NN')",land,land,introduction,land,O,,
provides,provides,"('provides', 'VBZ')",provid,provide,introduction,provides,O,,
thoroughly,thoroughly,"('thoroughly', 'JJ')",thoroughli,thoroughly,introduction,thoroughly,O,,
modern,modern,"('modern', 'JJ')",modern,modern,introduction,modern,O,,
vista,vista,"('vista', 'NN')",vista,vista,introduction,vista,O,,
Though,though,"('though', 'IN')",though,though,introduction,Though,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
far,far,"('far', 'RB')",far,far,introduction,far,O,,
less,less,"('less', 'RBR')",less,less,introduction,less,O,,
lively,lively,"('lively', 'RB')",live,lively,introduction,lively,O,,
Mérida,mérida,"('mérida', 'VB')",mérida,mérida,introduction,Mérida,B,GPE,"Countries, cities, states"
immaculately,immaculately,"('immaculately', 'RB')",immacul,immaculately,introduction,immaculately,O,,
preserved,preserved,"('preserved', 'VBN')",preserv,preserve,introduction,preserved,O,,
tranquil,tranquil,"('tranquil', 'JJ')",tranquil,tranquil,introduction,tranquil,O,,
streets,streets,"('streets', 'NNS')",street,street,introduction,streets,O,,
compare,compare,"('compare', 'VBP')",compar,compare,introduction,compare,O,,
favourably,favourably,"('favourably', 'RB')",favour,favourably,introduction,favourably,O,,
campechanos,campechanos,"('campechanos', 'NNS')",campechano,campechanos,introduction,campechanos,O,,
live,live,"('live', 'VBP')",live,live,introduction,live,O,,
reputation,reputation,"('reputation', 'NN')",reput,reputation,introduction,reputation,O,,
gracious,gracious,"('gracious', 'JJ')",graciou,gracious,introduction,gracious,O,,
people,people,"('people', 'NNS')",peopl,people,introduction,people,O,,
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,introduction,Mexico,B,GPE,"Countries, cities, states"
Beyond,beyond,"('beyond', 'IN')",beyond,beyond,description,Beyond,O,,
archeological,archeological,"('archeological', 'JJ')",archeolog,archeological,description,archeological,O,,
museum,museum,"('museum', 'NN')",museum,museum,description,museum,O,,
Fuerte,fuerte,"('fuerte', 'NN')",fuert,fuerte,description,Fuerte,B,ORG,"Companies, agencies, institutions, etc."
de,de,"('de', 'IN')",de,de,description,de,I,ORG,"Companies, agencies, institutions, etc."
San,san,"('san', 'FW')",san,san,description,San,I,ORG,"Companies, agencies, institutions, etc."
Miguel,miguel,"('miguel', 'FW')",miguel,miguel,description,Miguel,I,ORG,"Companies, agencies, institutions, etc."
market,market,"('market', 'NN')",market,market,description,market,O,,
lies,lies,"('lies', 'VBZ')",lie,lie,description,lies,O,,
outside,outside,"('outside', 'IN')",outsid,outside,description,outside,O,,
wall,wall,"('wall', 'NN')",wall,wall,description,wall,O,,
Puerta,puerta,"('puerta', 'NN')",puerta,puerta,description,Puerta,B,PERSON,"People, including fictional"
de,de,"('de', 'IN')",de,de,description,de,I,PERSON,"People, including fictional"
Tierra,tierra,"('tierra', 'NN')",tierra,tierra,description,Tierra,I,PERSON,"People, including fictional"
really,really,"('really', 'RB')",realli,really,description,really,O,,
need,need,"('need', 'VBP')",need,need,description,need,O,,
venture,venture,"('venture', 'NN')",ventur,venture,description,venture,O,,
modern,modern,"('modern', 'JJ')",modern,modern,description,modern,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
Instead,instead,"('instead', 'RB')",instead,instead,description,Instead,O,,
one,one,"('one', 'CD')",one,one,description,one,B,CARDINAL,Numerals that do not fall under another type
greatest,greatest,"('greatest', 'JJS')",greatest,great,description,greatest,O,,
pleasures,pleasures,"('pleasures', 'NNS')",pleasur,pleasure,description,pleasures,O,,
Campeche,campeche,"('campeche', 'NN')",campech,campeche,description,Campeche,O,,
comes,comes,"('comes', 'VBZ')",come,come,description,comes,O,,
simply,simply,"('simply', 'RB')",simpli,simply,description,simply,O,,
wandering,wandering,"('wandering', 'VBG')",wander,wander,description,wandering,O,,
around,around,"('around', 'IN')",around,around,description,around,O,,
old,old,"('old', 'JJ')",old,old,description,old,O,,
town,town,"('town', 'NN')",town,town,description,town,O,,
early,early,"('early', 'JJ')",earli,early,description,early,B,TIME,Times smaller than a day
evening,evening,"('evening', 'NN')",even,evening,description,evening,I,TIME,Times smaller than a day
Sundays,sundays,"('sundays', 'NNS')",sunday,sunday,description,Sundays,B,DATE,Absolute or relative dates or periods
central,central,"('central', 'JJ')",central,central,description,central,B,FAC,"Buildings, airports, highways, bridges, etc."
Plaza,plaza,"('plaza', 'NN')",plaza,plaza,description,Plaza,I,FAC,"Buildings, airports, highways, bridges, etc."
