token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Graced,graced,"('graced', 'VBN')",grace,grace,introduction,Graced,O,,
tantalizing,tantalizing,"('tantalizing', 'VBG')",tantal,tantalize,introduction,tantalizing,O,,
desert,desert,"('desert', 'NN')",desert,desert,introduction,desert,O,,
landscapes,landscapes,"('landscapes', 'NNS')",landscap,landscape,introduction,landscapes,O,,
lush,lush,"('lush', 'JJ')",lush,lush,introduction,lush,O,,
oases,oases,"('oases', 'NNS')",oas,oasis,introduction,oases,O,,
rich,rich,"('rich', 'JJ')",rich,rich,introduction,rich,O,,
marine,marine,"('marine', 'NN')",marin,marine,introduction,marine,O,,
life,life,"('life', 'NN')",life,life,introduction,life,O,,
Baja,baja,"('baja', 'NN')",baja,baja,introduction,Baja,B,GPE,"Countries, cities, states"
California,california,"('california', 'NN')",california,california,introduction,California,B,GPE,"Countries, cities, states"
one,one,"('one', 'CD')",one,one,introduction,one,O,,
compelling,compelling,"('compelling', 'JJ')",compel,compelling,introduction,compelling,O,,
popular,popular,"('popular', 'JJ')",popular,popular,introduction,popular,O,,
destinations,destinations,"('destinations', 'NNS')",destin,destination,introduction,destinations,O,,
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,introduction,Mexico,B,GPE,"Countries, cities, states"
human,human,"('human', 'JJ')",human,human,introduction,human,O,,
history,history,"('history', 'NN')",histori,history,introduction,history,O,,
less,less,"('less', 'RBR')",less,less,introduction,less,O,,
enticing,enticing,"('enticing', 'VBG')",entic,entice,introduction,enticing,O,,
legacy,legacy,"('legacy', 'NN')",legaci,legacy,introduction,legacy,O,,
remote,remote,"('remote', 'JJ')",remot,remote,introduction,remote,O,,
cave,cave,"('cave', 'VBP')",cave,cave,introduction,cave,O,,
paintings,paintings,"('paintings', 'NNS')",paint,painting,introduction,paintings,O,,
crumbling,crumbling,"('crumbling', 'VBG')",crumbl,crumble,introduction,crumbling,O,,
Spanish,spanish,"('spanish', 'JJ')",spanish,spanish,introduction,Spanish,B,NORP,Nationalities or religious or political groups
missions,missions,"('missions', 'NNS')",mission,mission,introduction,missions,O,,
luxury,luxury,"('luxury', 'VBP')",luxuri,luxury,introduction,luxury,O,,
beach,beach,"('beach', 'NN')",beach,beach,introduction,beach,O,,
resorts,resorts,"('resorts', 'NNS')",resort,resort,introduction,resorts,O,,
fabulous,fabulous,"('fabulous', 'JJ')",fabul,fabulous,introduction,fabulous,O,,
seafood,seafood,"('seafood', 'NN')",seafood,seafood,introduction,seafood,O,,
Yet,yet,"('yet', 'RB')",yet,yet,introduction,Yet,O,,
even,even,"('even', 'RB')",even,even,introduction,even,O,,
today,today,"('today', 'NN')",today,today,introduction,today,B,DATE,Absolute or relative dates or periods
Baja,baja,"('baja', 'NN')",baja,baja,introduction,Baja,B,GPE,"Countries, cities, states"
maintains,maintains,"('maintains', 'VBZ')",maintain,maintain,introduction,maintains,O,,
palpable,palpable,"('palpable', 'JJ')",palpabl,palpable,introduction,palpable,O,,
air,air,"('air', 'NN')",air,air,introduction,air,O,,
isolation,isolation,"('isolation', 'NN')",isol,isolation,introduction,isolation,O,,
rest,rest,"('rest', 'NN')",rest,rest,introduction,rest,O,,
Mexico,mexico,"('mexico', 'FW')",mexico,mexico,introduction,Mexico,B,GPE,"Countries, cities, states"
peninsula,peninsula,"('peninsula', 'NN')",peninsula,peninsula,introduction,peninsula,O,,
lies,lies,"('lies', 'VBZ')",lie,lie,introduction,lies,O,,
west,west,"('west', 'NN')",west,west,introduction,west,O,,
Mexico,mexico,"('mexico', 'JJ')",mexico,mexico,introduction,Mexico,B,GPE,"Countries, cities, states"
City,city,"('city', 'NN')",citi,city,introduction,City,I,GPE,"Countries, cities, states"
sheer,sheer,"('sheer', 'NN')",sheer,sheer,introduction,sheer,O,,
distances,distances,"('distances', 'NNS')",distanc,distance,introduction,distances,O,,
involved,involved,"('involved', 'VBN')",involv,involve,introduction,involved,O,,
traversing,traversing,"('traversing', 'VBG')",travers,traverse,introduction,traversing,O,,
length,length,"('length', 'NN')",length,length,introduction,length,O,,
long,long,"('long', 'RB')",long,long,introduction,long,O,,
conducive,conducive,"('conducive', 'JJ')",conduc,conducive,introduction,conducive,O,,
quick,quick,"('quick', 'VB')",quick,quick,introduction,quick,O,,
