token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
state,state,"('state', 'NN')",state,state,introduction,state,O,,
Oaxaca,oaxaca,"('oaxaca', 'NN')",oaxaca,oaxaca,introduction,Oaxaca,O,,
one,one,"('one', 'CD')",one,one,introduction,one,O,,
enticing,enticing,"('enticing', 'JJ')",entic,enticing,introduction,enticing,O,,
destinations,destinations,"('destinations', 'NNS')",destin,destination,introduction,destinations,O,,
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,introduction,Mexico,B,GPE,"Countries, cities, states"
state,state,"('state', 'NN')",state,state,introduction,state,O,,
capital,capital,"('capital', 'NN')",capit,capital,introduction,capital,O,,
cosmopolitan,cosmopolitan,"('cosmopolitan', 'NN')",cosmopolitan,cosmopolitan,introduction,cosmopolitan,O,,
yet,yet,"('yet', 'RB')",yet,yet,introduction,yet,O,,
utterly,utterly,"('utterly', 'JJ')",utterli,utterly,introduction,utterly,O,,
Mexican,mexican,"('mexican', 'JJ')",mexican,mexican,introduction,Mexican,B,NORP,Nationalities or religious or political groups
encapsulates,encapsulates,"('encapsulates', 'NNS')",encapsul,encapsulates,introduction,encapsulates,O,,
much,much,"('much', 'RB')",much,much,introduction,much,O,,
region,region,"('region', 'NN')",region,region,introduction,region,O,,
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
offer,offer,"('offer', 'VB')",offer,offer,introduction,offer,O,,
surrounding,surrounding,"('surrounding', 'VBG')",surround,surround,introduction,surrounding,O,,
countryside,countryside,"('countryside', 'NN')",countrysid,countryside,introduction,countryside,O,,
indigenous,indigenous,"('indigenous', 'JJ')",indigen,indigenous,introduction,indigenous,O,,
traditions,traditions,"('traditions', 'NNS')",tradit,tradition,introduction,traditions,O,,
powerful,powerful,"('powerful', 'JJ')",power,powerful,introduction,powerful,O,,
nowhere,nowhere,"('nowhere', 'RB')",nowher,nowhere,introduction,nowhere,O,,
else,else,"('else', 'RB')",els,else,introduction,else,O,,
country,country,"('country', 'NN')",countri,country,introduction,country,O,,
markets,markets,"('markets', 'NNS')",market,market,introduction,markets,O,,
infused,infused,"('infused', 'JJ')",infus,infused,introduction,infused,O,,
colour,colour,"('colour', 'VBP')",colour,colour,introduction,colour,O,,
fiestas,fiestas,"('fiestas', 'NNS')",fiesta,fiesta,introduction,fiestas,O,,
exuberant,exuberant,"('exuberant', 'JJ')",exuber,exuberant,introduction,exuberant,O,,
old,old,"('old', 'JJ')",old,old,introduction,old,O,,
languages,languages,"('languages', 'NNS')",languag,language,introduction,languages,O,,
still,still,"('still', 'RB')",still,still,introduction,still,O,,
widely,widely,"('widely', 'RB')",wide,widely,introduction,widely,O,,
spoken,spoken,"('spoken', 'VBN')",spoken,speak,introduction,spoken,O,,
traditions,traditions,"('traditions', 'NNS')",tradit,tradition,introduction,traditions,O,,
villages,villages,"('villages', 'NNS')",villag,village,introduction,villages,O,,
long,long,"('long', 'RB')",long,long,introduction,long,O,,
predate,predate,"('predate', 'VBP')",predat,predate,introduction,predate,O,,
Spanish,spanish,"('spanish', 'JJ')",spanish,spanish,introduction,Spanish,B,NORP,Nationalities or religious or political groups
Conquest,conquest,"('conquest', 'NN')",conquest,conquest,introduction,Conquest,O,,
yet,yet,"('yet', 'RB')",yet,yet,introduction,yet,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
also,also,"('also', 'RB')",also,also,introduction,also,O,,
offer,offer,"('offer', 'VB')",offer,offer,introduction,offer,O,,
sophisticated,sophisticated,"('sophisticated', 'JJ')",sophist,sophisticated,introduction,sophisticated,O,,
modern,modern,"('modern', 'JJ')",modern,modern,introduction,modern,O,,
dining,dining,"('dining', 'VBG')",dine,din,introduction,dining,O,,
great,great,"('great', 'JJ')",great,great,introduction,great,O,,
places,places,"('places', 'NNS')",place,place,introduction,places,O,,
stay,stay,"('stay', 'VB')",stay,stay,introduction,stay,O,,
wild,wild,"('wild', 'VB')",wild,wild,introduction,wild,O,,
nightlife,nightlife,"('nightlife', 'IN')",nightlif,nightlife,introduction,nightlife,O,,
landscape,landscape,"('landscape', 'NN')",landscap,landscape,introduction,landscape,O,,
represents,represents,"('represents', 'VBZ')",repres,represent,introduction,represents,O,,
fundamental,fundamental,"('fundamental', 'JJ')",fundament,fundamental,introduction,fundamental,O,,
break,break,"('break', 'NN')",break,break,introduction,break,O,,
barren,barren,"('barren', 'NN')",barren,barren,introduction,barren,O,,
deserts,deserts,"('deserts', 'NNS')",desert,desert,introduction,deserts,O,,
north,north,"('north', 'NN')",north,north,introduction,north,O,,
replaced,replaced,"('replaced', 'VBN')",replac,replace,introduction,replaced,O,,
thickly,thickly,"('thickly', 'RB')",thickli,thickly,introduction,thickly,O,,
forested,forested,"('forested', 'VBN')",forest,forest,introduction,forested,O,,
hillsides,hillsides,"('hillsides', 'NNS')",hillsid,hillside,introduction,hillsides,O,,
areas,areas,"('areas', 'NNS')",area,area,introduction,areas,O,,
swamp,swamp,"('swamp', 'NN')",swamp,swamp,introduction,swamp,O,,
jungle,jungle,"('jungle', 'NN')",jungl,jungle,introduction,jungle,O,,
Pacific,pacific,"('pacific', 'NN')",pacif,pacific,introduction,Pacific,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
coast,coast,"('coast', 'NN')",coast,coast,introduction,coast,O,,
Puerto,puerto,"('puerto', 'NN')",puerto,puerto,introduction,Puerto,O,,
Escondido,escondido,"('escondido', 'VBP')",escondido,escondido,introduction,Escondido,O,,
Dropdown,dropdown,"('dropdown', 'VBN')",dropdown,dropdown,introduction,Dropdown,O,,
content,content,"('content', 'NN')",content,content,introduction,content,O,,
Huatulco,huatulco,"('huatulco', 'NN')",huatulco,huatulco,introduction,Huatulco,B,PERSON,"People, including fictional"
Dropdown,dropdown,"('dropdown', 'NN')",dropdown,dropdown,introduction,Dropdown,I,PERSON,"People, including fictional"
content,content,"('content', 'NN')",content,content,introduction,content,O,,
established,established,"('established', 'VBN')",establish,establish,introduction,established,O,,
resorts,resorts,"('resorts', 'NNS')",resort,resort,introduction,resorts,O,,
very,very,"('very', 'RB')",veri,very,introduction,very,O,,
different,different,"('different', 'JJ')",differ,different,introduction,different,O,,
characters,characters,"('characters', 'NNS')",charact,character,introduction,characters,O,,
Puerto,puerto,"('puerto', 'NN')",puerto,puerto,introduction,Puerto,B,PERSON,"People, including fictional"
Ángel,ángel,"('ángel', 'NNP')",ángel,ángel,introduction,Ángel,I,PERSON,"People, including fictional"
surrounds,surrounds,"('surrounds', 'NNS')",surround,surround,introduction,surrounds,O,,
offer,offer,"('offer', 'VBP')",offer,offer,introduction,offer,O,,
beach,beach,"('beach', 'NN')",beach,beach,introduction,beach,O,,
experience,experience,"('experience', 'NN')",experi,experience,introduction,experience,O,,
come,come,"('come', 'VBN')",come,come,description,come,O,,
Mexico,mexico,"('mexico', 'JJ')",mexico,mexico,description,Mexico,B,GPE,"Countries, cities, states"
City,city,"('city', 'NN')",citi,city,description,City,I,GPE,"Countries, cities, states"
north,north,"('north', 'JJ')",north,north,description,north,O,,
physical,physical,"('physical', 'JJ')",physic,physical,description,physical,O,,
differences,differences,"('differences', 'NNS')",differ,difference,description,differences,O,,
region,region,"('region', 'NN')",region,region,description,region,O,,
compounded,compounded,"('compounded', 'VBN')",compound,compound,description,compounded,O,,
relative,relative,"('relative', 'JJ')",rel,relative,description,relative,O,,
lack,lack,"('lack', 'NN')",lack,lack,description,lack,O,,
development,development,"('development', 'NN')",develop,development,description,development,O,,
Industry,industry,"('industry', 'NN')",industri,industry,description,Industry,O,,
virtually,virtually,"('virtually', 'RB')",virtual,virtually,description,virtually,O,,
nonexistent,nonexistent,"('nonexistent', 'JJ')",nonexist,nonexistent,description,nonexistent,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
Oaxaca,oaxaca,"('oaxaca', 'NN')",oaxaca,oaxaca,description,Oaxaca,B,PERSON,"People, including fictional"
coastal,coastal,"('coastal', 'JJ')",coastal,coastal,description,coastal,O,,
hot,hot,"('hot', 'JJ')",hot,hot,description,hot,O,,
spots,spots,"('spots', 'NNS')",spot,spot,description,spots,O,,
thrived,thrived,"('thrived', 'VBN')",thrive,thrive,description,thrived,O,,
tourism,tourism,"('tourism', 'NN')",tourism,tourism,description,tourism,O,,
rest,rest,"('rest', 'NN')",rest,rest,description,rest,O,,
state,state,"('state', 'NN')",state,state,description,state,O,,
woefully,woefully,"('woefully', 'RB')",woefulli,woefully,description,woefully,O,,
underdeveloped,underdeveloped,"('underdeveloped', 'JJ')",underdevelop,underdeveloped,description,underdeveloped,O,,
Mexican,mexican,"('mexican', 'JJ')",mexican,mexican,description,Mexican,B,NORP,Nationalities or religious or political groups
economic,economic,"('economic', 'JJ')",econom,economic,description,economic,O,,
miracle,miracle,"('miracle', 'NN')",miracl,miracle,description,miracle,O,,
has,has,"('has', 'VBZ')",ha,have,description,has,O,,
yet,yet,"('yet', 'RB')",yet,yet,description,yet,O,,
reach,reach,"('reach', 'VB')",reach,reach,description,reach,O,,
south,south,"('south', 'JJ')",south,south,description,south,O,,
Indeed,indeed,"('indeed', 'RB')",inde,indeed,description,Indeed,O,,
region,region,"('region', 'NN')",region,region,description,region,O,,
witnessed,witnessed,"('witnessed', 'VBD')",wit,witness,description,witnessed,O,,
considerable,considerable,"('considerable', 'JJ')",consider,considerable,description,considerable,O,,
political,political,"('political', 'JJ')",polit,political,description,political,O,,
disturbance,disturbance,"('disturbance', 'NN')",disturb,disturbance,description,disturbance,O,,
early,early,"('early', 'JJ')",earli,early,description,early,B,DATE,Absolute or relative dates or periods
years,years,"('years', 'NNS')",year,year,description,years,I,DATE,Absolute or relative dates or periods
century,century,"('century', 'NN')",centuri,century,description,century,I,DATE,Absolute or relative dates or periods
though,though,"('though', 'IN')",though,though,description,though,O,,
moment,moment,"('moment', 'NN')",moment,moment,description,moment,O,,
protests,protests,"('protests', 'NNS')",protest,protest,description,protests,O,,
seem,seem,"('seem', 'VBP')",seem,seem,description,seem,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
Oaxaca,oaxaca,"('oaxaca', 'NN')",oaxaca,oaxaca,description,Oaxaca,B,GPE,"Countries, cities, states"
region,region,"('region', 'NN')",region,region,description,region,O,,
prime,prime,"('prime', 'JJ')",prime,prime,description,prime,O,,
destination,destination,"('destination', 'NN')",destin,destination,description,destination,O,,
close,close,"('close', 'RB')",close,close,description,close,O,,
enough,enough,"('enough', 'RB')",enough,enough,description,enough,O,,
Mexico,mexico,"('mexico', 'VB')",mexico,mexico,description,Mexico,B,GPE,"Countries, cities, states"
City,city,"('city', 'NN')",citi,city,description,City,I,GPE,"Countries, cities, states"
attract,attract,"('attract', 'VB')",attract,attract,description,attract,O,,
large,large,"('large', 'JJ')",larg,large,description,large,O,,
numbers,numbers,"('numbers', 'NNS')",number,number,description,numbers,O,,
tourists,tourists,"('tourists', 'NNS')",tourist,tourist,description,tourists,O,,
fine,fine,"('fine', 'JJ')",fine,fine,description,fine,O,,
crafts,crafts,"('crafts', 'NN')",craft,craft,description,crafts,O,,
