token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Wholly,wholly,"('wholly', 'RB')",wholli,wholly,introduction,Wholly,O,,
BC,bc,"('bc', 'NN')",bc,bc,introduction,BC,O,,
western,western,"('western', 'JJ')",western,western,introduction,western,O,,
side,side,"('side', 'NN')",side,side,introduction,side,O,,
Continental,continental,"('continental', 'JJ')",continent,continental,introduction,Continental,B,ORG,"Companies, agencies, institutions, etc."
Divide,divide,"('divide', 'NN')",divid,divide,introduction,Divide,I,ORG,"Companies, agencies, institutions, etc."
Lake,lake,"('lake', 'JJ')",lake,lake,introduction,Lake,I,ORG,"Companies, agencies, institutions, etc."
Louise,louise,"('louise', 'NN')",louis,louise,introduction,Louise,I,ORG,"Companies, agencies, institutions, etc."
YOHO,yoho,"('yoho', 'NNP')",yoho,yoho,introduction,YOHO,O,,
NATIONAL,national,"('national', 'JJ')",nation,national,introduction,NATIONAL,O,,
PARK,park,"('park', 'NN')",park,park,introduction,PARK,O,,
name,name,"('name', 'NN')",name,name,introduction,name,O,,
derives,derives,"('derives', 'VBZ')",deriv,derive,introduction,derives,O,,
Cree,cree,"('cree', 'JJ')",cree,cree,introduction,Cree,O,,
word,word,"('word', 'NN')",word,word,introduction,word,O,,
meaning,meaning,"('meaning', 'NN')",mean,meaning,introduction,meaning,O,,
wonder,wonder,"('wonder', 'VB')",wonder,wonder,introduction,wonder,O,,
fitting,fitting,"('fitting', 'JJ')",fit,fitting,introduction,fitting,O,,
testament,testament,"('testament', 'NN')",testament,testament,introduction,testament,O,,
awesome,awesome,"('awesome', 'JJ')",awesom,awesome,introduction,awesome,O,,
grandeur,grandeur,"('grandeur', 'NN')",grandeur,grandeur,introduction,grandeur,O,,
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction,mountains,O,,
lakes,lakes,"('lakes', 'NNS')",lake,lake,introduction,lakes,O,,
waterfalls,waterfalls,"('waterfalls', 'NNS')",waterfal,waterfall,introduction,waterfalls,O,,
Yet,yet,"('yet', 'RB')",yet,yet,introduction,Yet,O,,
small,small,"('small', 'JJ')",small,small,introduction,small,O,,
park,park,"('park', 'NN')",park,park,introduction,park,O,,
whose,whose,"('whose', 'WP$')",whose,whose,introduction,whose,O,,
intimate,intimate,"('intimate', 'JJ')",intim,intimate,introduction,intimate,O,,
scale,scale,"('scale', 'NN')",scale,scale,introduction,scale,O,,
makes,makes,"('makes', 'VBZ')",make,make,introduction,makes,O,,
one,one,"('one', 'CD')",one,one,introduction,one,O,,
favoured,favoured,"('favoured', 'VBN')",favour,favour,introduction,favoured,O,,
Rockies,rockies,"('rockies', 'NNS')",rocki,rockies,introduction,Rockies,B,ORG,"Companies, agencies, institutions, etc."
connoisseurs,connoisseurs,"('connoisseurs', 'NNS')",connoisseur,connoisseur,introduction,connoisseurs,O,,
national,national,"('national', 'JJ')",nation,national,introduction,national,O,,
parks,parks,"('parks', 'NNS')",park,park,introduction,parks,O,,
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
railway,railway,"('railway', 'NN')",railway,railway,introduction,railway,O,,
spawned,spawned,"('spawned', 'VBD')",spawn,spawn,introduction,spawned,O,,
tourism,tourism,"('tourism', 'NN')",tourism,tourism,introduction,tourism,O,,
area,area,"('area', 'NN')",area,area,introduction,area,O,,
first,first,"('first', 'JJ')",first,first,introduction,first,B,ORDINAL,"""first"", ""second"", etc."
hotel,hotel,"('hotel', 'NN')",hotel,hotel,introduction,hotel,O,,
Field,field,"('field', 'NN')",field,field,introduction,Field,B,GPE,"Countries, cities, states"
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
built,built,"('built', 'VBN')",built,build,introduction,built,O,,
Canadian,canadian,"('canadian', 'JJ')",canadian,canadian,introduction,Canadian,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Pacific,pacific,"('pacific', 'NN')",pacif,pacific,introduction,Pacific,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Railway,railway,"('railway', 'NN')",railway,railway,introduction,Railway,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
within,within,"('within', 'IN')",within,within,introduction,within,O,,
months,months,"('months', 'NNS')",month,month,introduction,months,B,TIME,Times smaller than a day
sixteen,sixteen,"('sixteen', 'JJ')",sixteen,sixteen,introduction,sixteen,I,TIME,Times smaller than a day
square,square,"('square', 'JJ')",squar,square,introduction,square,I,TIME,Times smaller than a day
kilometres,kilometres,"('kilometres', 'NNS')",kilometr,kilometre,introduction,kilometres,I,TIME,Times smaller than a day
foot,foot,"('foot', 'NN')",foot,foot,introduction,foot,I,TIME,Times smaller than a day
Mount,mount,"('mount', 'NN')",mount,mount,introduction,Mount,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Stephen,stephen,"('stephen', 'VBP')",stephen,stephen,introduction,Stephen,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
peak,peak,"('peak', 'NN')",peak,peak,introduction,peak,O,,
Field,field,"('field', 'NN')",field,field,introduction,Field,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
east,east,"('east', 'NN')",east,east,introduction,east,O,,
set,set,"('set', 'VBN')",set,set,introduction,set,O,,
aside,aside,"('aside', 'RB')",asid,aside,introduction,aside,O,,
special,special,"('special', 'JJ')",special,special,introduction,special,O,,
reserve,reserve,"('reserve', 'NN')",reserv,reserve,introduction,reserve,O,,
Yoho,yoho,"('yoho', 'NN')",yoho,yoho,introduction,Yoho,B,PERSON,"People, including fictional"
become,become,"('become', 'VBN')",becom,become,introduction,become,O,,
Canada,canada,"('canada', 'JJ')",canada,canada,introduction,Canada,B,GPE,"Countries, cities, states"
second,second,"('second', 'JJ')",second,second,introduction,second,B,ORDINAL,"""first"", ""second"", etc."
national,national,"('national', 'JJ')",nation,national,introduction,national,O,,
park,park,"('park', 'NN')",park,park,introduction,park,O,,
Hwy,hwy,"('hwy', 'NN')",hwi,hwy,description,Hwy,O,,
divides,divides,"('divides', 'VBZ')",divid,divide,description,divides,O,,
Yoho,yoho,"('yoho', 'RB')",yoho,yoho,description,Yoho,O,,
neatly,neatly,"('neatly', 'RB')",neatli,neatly,description,neatly,O,,
half,half,"('half', 'JJ')",half,half,description,half,B,CARDINAL,Numerals that do not fall under another type
climbing,climbing,"('climbing', 'VBG')",climb,climb,description,climbing,O,,
Lake,lake,"('lake', 'JJ')",lake,lake,description,Lake,B,ORG,"Companies, agencies, institutions, etc."
Louise,louise,"('louise', 'NN')",louis,louise,description,Louise,I,ORG,"Companies, agencies, institutions, etc."
Kicking,kicking,"('kicking', 'JJ')",kick,kicking,description,Kicking,I,ORG,"Companies, agencies, institutions, etc."
Horse,horse,"('horse', 'NN')",hors,horse,description,Horse,I,ORG,"Companies, agencies, institutions, etc."
Pass,pass,"('pass', 'NN')",pass,pas,description,Pass,I,ORG,"Companies, agencies, institutions, etc."
share,share,"('share', 'NN')",share,share,description,share,O,,
broad,broad,"('broad', 'JJ')",broad,broad,description,broad,O,,
glaciated,glaciated,"('glaciated', 'JJ')",glaciat,glaciated,description,glaciated,O,,
valley,valley,"('valley', 'NN')",valley,valley,description,valley,O,,
bottom,bottom,"('bottom', 'NN')",bottom,bottom,description,bottom,O,,
Kicking,kicking,"('kicking', 'VBG')",kick,kick,description,Kicking,B,ORG,"Companies, agencies, institutions, etc."
Horse,horse,"('horse', 'NN')",hors,horse,description,Horse,I,ORG,"Companies, agencies, institutions, etc."
River,river,"('river', 'NN')",river,river,description,River,I,ORG,"Companies, agencies, institutions, etc."
old,old,"('old', 'JJ')",old,old,description,old,I,ORG,"Companies, agencies, institutions, etc."
Canadian,canadian,"('canadian', 'JJ')",canadian,canadian,description,Canadian,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Pacific,pacific,"('pacific', 'NN')",pacif,pacific,description,Pacific,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Railway,railway,"('railway', 'NN')",railway,railway,description,Railway,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
only,only,"('only', 'JJ')",onli,only,description,only,O,,
settlement,settlement,"('settlement', 'NN')",settlement,settlement,description,settlement,O,,
Field,field,"('field', 'NN')",field,field,description,Field,B,GPE,"Countries, cities, states"
has,has,"('has', 'VBZ')",ha,have,description,has,O,,
park,park,"('park', 'NN')",park,park,description,park,O,,
visitor,visitor,"('visitor', 'NN')",visitor,visitor,description,visitor,O,,
centre,centre,"('centre', 'VBP')",centr,centre,description,centre,O,,
services,services,"('services', 'NNS')",servic,service,description,services,O,,
limited,limited,"('limited', 'JJ')",limit,limited,description,limited,O,,
accommodation,accommodation,"('accommodation', 'NN')",accommod,accommodation,description,accommodation,O,,
nearest,nearest,"('nearest', 'JJS')",nearest,near,description,nearest,O,,
towns,towns,"('towns', 'NNS')",town,town,description,towns,O,,
Lake,lake,"('lake', 'JJ')",lake,lake,description,Lake,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Louise,louise,"('louise', 'NN')",louis,louise,description,Louise,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
east,east,"('east', 'NN')",east,east,description,east,O,,
Golden,golden,"('golden', 'JJ')",golden,golden,description,Golden,B,GPE,"Countries, cities, states"
west,west,"('west', 'NN')",west,west,description,west,O,,
accommodation,accommodation,"('accommodation', 'NN')",accommod,accommodation,description,accommodation,O,,
available,available,"('available', 'JJ')",avail,available,description,available,O,,
trail,trail,"('trail', 'NN')",trail,trail,description,trail,O,,
hubs,hubs,"('hubs', 'NNS')",hub,hub,description,hubs,O,,
Lake,lake,"('lake', 'VBP')",lake,lake,description,Lake,B,FAC,"Buildings, airports, highways, bridges, etc."
Hara,hara,"('hara', 'PDT')",hara,hara,description,Hara,I,FAC,"Buildings, airports, highways, bridges, etc."
Yoho,yoho,"('yoho', 'NN')",yoho,yoho,description,Yoho,I,FAC,"Buildings, airports, highways, bridges, etc."
Valley,valley,"('valley', 'NN')",valley,valley,description,Valley,I,FAC,"Buildings, airports, highways, bridges, etc."
Emerald,emerald,"('emerald', 'JJ')",emerald,emerald,description,Emerald,I,FAC,"Buildings, airports, highways, bridges, etc."
