token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Although,although,"('although', 'IN')",although,although,introduction,Although,O,,
traditionally,traditionally,"('traditionally', 'RB')",tradit,traditionally,introduction,traditionally,O,,
viewed,viewed,"('viewed', 'VBN')",view,view,introduction,viewed,O,,
big,big,"('big', 'JJ')",big,big,introduction,big,O,,
Rockies,rockies,"('rockies', 'NNS')",rocki,rockies,introduction,Rockies,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
park,park,"('park', 'VBP')",park,park,introduction,park,O,,
Banff,banff,"('banff', 'NN')",banff,banff,introduction,Banff,O,,
JASPER,jasper,"('jasper', 'JJ')",jasper,jasper,introduction,JASPER,O,,
NATIONAL,national,"('national', 'JJ')",nation,national,introduction,NATIONAL,O,,
PARK,park,"('park', 'NN')",park,park,introduction,PARK,O,,
covers,covers,"('covers', 'VBZ')",cover,cover,introduction,covers,O,,
area,area,"('area', 'NN')",area,area,introduction,area,O,,
greater,greater,"('greater', 'JJR')",greater,great,introduction,greater,O,,
Banff,banff,"('banff', 'NN')",banff,banff,introduction,Banff,B,ORG,"Companies, agencies, institutions, etc."
Yoho,yoho,"('yoho', 'NN')",yoho,yoho,introduction,Yoho,I,ORG,"Companies, agencies, institutions, etc."
Kootenay,kootenay,"('kootenay', 'NN')",kootenay,kootenay,introduction,Kootenay,I,ORG,"Companies, agencies, institutions, etc."
combined,combined,"('combined', 'VBN')",combin,combine,introduction,combined,O,,
looks,looks,"('looks', 'VBZ')",look,look,introduction,looks,O,,
feels,feels,"('feels', 'NNS')",feel,feel,introduction,feels,O,,
far,far,"('far', 'RB')",far,far,introduction,far,O,,
wilder,wilder,"('wilder', 'JJR')",wilder,wild,introduction,wilder,O,,
less,less,"('less', 'RBR')",less,less,introduction,less,O,,
commercialized,commercialized,"('commercialized', 'VBN')",commerci,commercialize,introduction,commercialized,O,,
rest,rest,"('rest', 'NN')",rest,rest,introduction,rest,O,,
backcountry,backcountry,"('backcountry', 'NN')",backcountri,backcountry,introduction,backcountry,O,,
extensive,extensive,"('extensive', 'JJ')",extens,extensive,introduction,extensive,O,,
less,less,"('less', 'RBR')",less,less,introduction,less,O,,
travelled,travelled,"('travelled', 'JJ')",travel,travelled,introduction,travelled,O,,
Jasper,jasper,"('jasper', 'VB')",jasper,jasper,introduction,Jasper,B,ORG,"Companies, agencies, institutions, etc."
only,only,"('only', 'JJ')",onli,only,introduction,only,O,,
settlement,settlement,"('settlement', 'NN')",settlement,settlement,introduction,settlement,O,,
relaxed,relaxed,"('relaxed', 'JJ')",relax,relaxed,introduction,relaxed,O,,
far,far,"('far', 'RB')",far,far,introduction,far,O,,
less,less,"('less', 'JJR')",less,less,introduction,less,O,,
resort,resort,"('resort', 'NN')",resort,resort,introduction,resort,O,,
Banff,banff,"('banff', 'NN')",banff,banff,introduction,Banff,O,,
half,half,"('half', 'PDT')",half,half,introduction,half,B,CARDINAL,Numerals that do not fall under another type
population,population,"('population', 'NN')",popul,population,introduction,population,O,,
pursuits,pursuits,"('pursuits', 'NNS')",pursuit,pursuit,introduction,pursuits,O,,
centre,centre,"('centre', 'VBP')",centr,centre,introduction,centre,O,,
Jasper,jasper,"('jasper', 'NN')",jasper,jasper,introduction,Jasper,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Maligne,maligne,"('maligne', 'NN')",malign,maligne,introduction,Maligne,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Lake,lake,"('lake', 'VB')",lake,lake,introduction,Lake,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
area,area,"('area', 'NN')",area,area,introduction,area,O,,
southeast,southeast,"('southeast', 'NN')",southeast,southeast,introduction,southeast,O,,
key,key,"('key', 'JJ')",key,key,introduction,key,O,,
zones,zones,"('zones', 'NNS')",zone,zone,introduction,zones,O,,
Maligne,maligne,"('maligne', 'JJ')",malign,maligne,introduction,Maligne,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Canyon,canyon,"('canyon', 'NN')",canyon,canyon,introduction,Canyon,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
way,way,"('way', 'NN')",way,way,introduction,way,O,,
lake,lake,"('lake', 'NN')",lake,lake,introduction,lake,O,,
Icefields,icefields,"('icefields', 'NNS')",icefield,icefields,introduction,Icefields,B,FAC,"Buildings, airports, highways, bridges, etc."
Parkway,parkway,"('parkway', 'RB')",parkway,parkway,introduction,Parkway,I,FAC,"Buildings, airports, highways, bridges, etc."
Miette,miette,"('miette', 'NN')",miett,miette,introduction,Miette,B,PERSON,"People, including fictional"
Hot,hot,"('hot', 'JJ')",hot,hot,introduction,Hot,I,PERSON,"People, including fictional"
Springs,springs,"('springs', 'NNS')",spring,spring,introduction,Springs,O,,
region,region,"('region', 'NN')",region,region,introduction,region,O,,
area,area,"('area', 'NN')",area,area,introduction,area,O,,
well,well,"('well', 'RB')",well,well,introduction,well,O,,
east,east,"('east', 'NN')",east,east,introduction,east,O,,
Jasper,jasper,"('jasper', 'NN')",jasper,jasper,introduction,Jasper,O,,
renowned,renowned,"('renowned', 'VBN')",renown,renowned,introduction,renowned,O,,
springs,springs,"('springs', 'NNS')",spring,spring,introduction,springs,O,,
trails,trails,"('trails', 'NNS')",trail,trail,introduction,trails,O,,
park,park,"('park', 'NN')",park,park,description,park,O,,
backcountry,backcountry,"('backcountry', 'NN')",backcountri,backcountry,description,backcountry,O,,
vast,vast,"('vast', 'JJ')",vast,vast,description,vast,O,,
hinterland,hinterland,"('hinterland', 'NN')",hinterland,hinterland,description,hinterland,O,,
scattered,scattered,"('scattered', 'VBN')",scatter,scatter,description,scattered,O,,
countless,countless,"('countless', 'JJ')",countless,countless,description,countless,O,,
rough,rough,"('rough', 'JJ')",rough,rough,description,rough,O,,
campgrounds,campgrounds,"('campgrounds', 'NNS')",campground,campground,description,campgrounds,O,,
trail,trail,"('trail', 'NN')",trail,trail,description,trail,O,,
system,system,"('system', 'NN')",system,system,description,system,O,,
considered,considered,"('considered', 'VBN')",consid,consider,description,considered,O,,
among,among,"('among', 'IN')",among,among,description,among,O,,
best,best,"('best', 'JJS')",best,best,description,best,O,,
world,world,"('world', 'NN')",world,world,description,world,O,,
Opportunities,opportunities,"('opportunities', 'VBZ')",opportun,opportunities,description,Opportunities,B,NORP,Nationalities or religious or political groups
hikes,hikes,"('hikes', 'NNS')",hike,hike,description,hikes,O,,
limited,limited,"('limited', 'JJ')",limit,limited,description,limited,O,,
scattered,scattered,"('scattered', 'VBD')",scatter,scatter,description,scattered,O,,
parks,parks,"('parks', 'NNS')",park,park,description,parks,O,,
shorter,shorter,"('shorter', 'NN')",shorter,shorter,description,shorter,O,,
strolls,strolls,"('strolls', 'NNS')",stroll,stroll,description,strolls,O,,
Jasper,jasper,"('jasper', 'NN')",jasper,jasper,description,Jasper,B,ORG,"Companies, agencies, institutions, etc."
walks,walks,"('walks', 'NNS')",walk,walk,description,walks,O,,
lakes,lakes,"('lakes', 'VB')",lake,lakes,description,lakes,O,,
best,best,"('best', 'JJS')",best,best,description,best,O,,
exciting,exciting,"('exciting', 'JJ')",excit,exciting,description,exciting,O,,
start,start,"('start', 'NN')",start,start,description,start,O,,
remote,remote,"('remote', 'JJ')",remot,remote,description,remote,O,,
points,points,"('points', 'NNS')",point,point,description,points,O,,
Maligne,maligne,"('maligne', 'NNS')",malign,maligne,description,Maligne,B,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
Lake,lake,"('lake', 'VBP')",lake,lake,description,Lake,I,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
road,road,"('road', 'NN')",road,road,description,road,O,,
Icefields,icefields,"('icefields', 'NNS')",icefield,icefields,description,Icefields,B,FAC,"Buildings, airports, highways, bridges, etc."
Parkway,parkway,"('parkway', 'RB')",parkway,parkway,description,Parkway,I,FAC,"Buildings, airports, highways, bridges, etc."
