token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Cradled,cradled,"('cradled', 'VBN')",cradl,cradle,introduction,Cradled,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
ocean,ocean,"('ocean', 'NN')",ocean,ocean,introduction,ocean,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction,mountains,O,,
VANCOUVER,vancouver,"('vancouver', 'WDT')",vancouv,vancouver,introduction,VANCOUVER,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
dazzling,dazzling,"('dazzling', 'VBG')",dazzl,dazzle,introduction,dazzling,O,,
Downtown,downtown,"('downtown', 'JJ')",downtown,downtown,introduction,Downtown,O,,
district,district,"('district', 'NN')",district,district,introduction,district,O,,
fills,fills,"('fills', 'VBZ')",fill,fill,introduction,fills,O,,
narrow,narrow,"('narrow', 'JJ')",narrow,narrow,introduction,narrow,O,,
peninsula,peninsula,"('peninsula', 'NN')",peninsula,peninsula,introduction,peninsula,O,,
bounded,bounded,"('bounded', 'VBN')",bound,bound,introduction,bounded,O,,
Burrard,burrard,"('burrard', 'JJ')",burrard,burrard,introduction,Burrard,B,ORG,"Companies, agencies, institutions, etc."
Inlet,inlet,"('inlet', 'NN')",inlet,inlet,introduction,Inlet,I,ORG,"Companies, agencies, institutions, etc."
north,north,"('north', 'JJ')",north,north,introduction,north,O,,
English,english,"('english', 'JJ')",english,english,introduction,English,B,FAC,"Buildings, airports, highways, bridges, etc."
Bay,bay,"('bay', 'NN')",bay,bay,introduction,Bay,I,FAC,"Buildings, airports, highways, bridges, etc."
west,west,"('west', 'NN')",west,west,introduction,west,I,FAC,"Buildings, airports, highways, bridges, etc."
False,false,"('false', 'JJ')",fals,false,introduction,False,O,,
Creek,creek,"('creek', 'NN')",creek,creek,introduction,Creek,O,,
south,south,"('south', 'JJ')",south,south,introduction,south,O,,
Greater,greater,"('greater', 'JJR')",greater,great,introduction,Greater,O,,
Vancouver,vancouver,"('vancouver', 'NN')",vancouv,vancouver,introduction,Vancouver,O,,
sprawls,sprawls,"('sprawls', 'VBZ')",sprawl,sprawl,introduction,sprawls,O,,
south,south,"('south', 'RB')",south,south,introduction,south,O,,
Fraser,fraser,"('fraser', 'NN')",fraser,fraser,introduction,Fraser,B,FAC,"Buildings, airports, highways, bridges, etc."
River,river,"('river', 'NN')",river,river,introduction,River,I,FAC,"Buildings, airports, highways, bridges, etc."
Edged,edged,"('edged', 'VBD')",edg,edge,introduction,Edged,I,FAC,"Buildings, airports, highways, bridges, etc."
around,around,"('around', 'IN')",around,around,introduction,around,O,,
idyllic,idyllic,"('idyllic', 'JJ')",idyl,idyllic,introduction,idyllic,O,,
