token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Forming,forming,"('forming', 'VBG')",form,form,introduction,Forming,O,,
greater,greater,"('greater', 'JJR')",greater,great,introduction,greater,O,,
part,part,"('part', 'NN')",part,part,introduction,part,O,,
Canada,canada,"('canada', 'NN')",canada,canada,introduction,Canada,B,GPE,"Countries, cities, states"
largest,largest,"('largest', 'JJS')",largest,large,introduction,largest,O,,
province,province,"('province', 'NN')",provinc,province,introduction,province,O,,
Northern,northern,"('northern', 'JJ')",northern,northern,introduction,Northern,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Québec,québec,"('québec', 'JJ')",québec,québec,introduction,Québec,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
stretches,stretches,"('stretches', 'NNS')",stretch,stretch,introduction,stretches,O,,
temperate,temperate,"('temperate', 'NN')",temper,temperate,introduction,temperate,O,,
farmland,farmland,"('farmland', 'NN')",farmland,farmland,introduction,farmland,O,,
south,south,"('south', 'NN')",south,south,introduction,south,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Arctic,arctic,"('arctic', 'JJ')",arctic,arctic,introduction,Arctic,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
tundra,tundra,"('tundra', 'NN')",tundra,tundra,introduction,tundra,O,,
north,north,"('north', 'JJ')",north,north,introduction,north,O,,
covering,covering,"('covering', 'NN')",cover,covering,introduction,covering,O,,
one,one,"('one', 'CD')",one,one,introduction,one,B,QUANTITY,"Measurements, as of weight or distance"
million,million,"('million', 'CD')",million,million,introduction,million,I,QUANTITY,"Measurements, as of weight or distance"
square,square,"('square', 'JJ')",squar,square,introduction,square,I,QUANTITY,"Measurements, as of weight or distance"
kilometres,kilometres,"('kilometres', 'NNS')",kilometr,kilometre,introduction,kilometres,I,QUANTITY,"Measurements, as of weight or distance"
Nature,nature,"('nature', 'VBP')",natur,nature,introduction,Nature,B,WORK_OF_ART,"Titles of books, songs, etc."
rules,rules,"('rules', 'NNS')",rule,rule,introduction,rules,O,,
supreme,supreme,"('supreme', 'VBP')",suprem,supreme,introduction,supreme,O,,
this,this,"('this', 'DT')",thi,this,introduction,this,O,,
area,area,"('area', 'NN')",area,area,introduction,area,O,,
influence,influence,"('influence', 'NN')",influenc,influence,introduction,influence,O,,
Arctic,arctic,"('arctic', 'NN')",arctic,arctic,introduction,Arctic,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
strong,strong,"('strong', 'JJ')",strong,strong,introduction,strong,O,,
winters,winters,"('winters', 'NNS')",winter,winter,introduction,winters,B,DATE,Absolute or relative dates or periods
long,long,"('long', 'JJ')",long,long,introduction,long,O,,
among,among,"('among', 'IN')",among,among,introduction,among,O,,
coldest,coldest,"('coldest', 'JJS')",coldest,cold,introduction,coldest,O,,
eastern,eastern,"('eastern', 'JJ')",eastern,eastern,introduction,eastern,O,,
