token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
According,according,"('according', 'VBG')",accord,accord,introduction,According,O,,
myth,myth,"('myth', 'VB')",myth,myth,introduction,myth,O,,
lagoon,lagoon,"('lagoon', 'NN')",lagoon,lagoon,introduction,lagoon,O,,
HUACACHINA,huacachina,"('huacachina', 'NN')",huacachina,huacachina,introduction,HUACACHINA,B,ORG,"Companies, agencies, institutions, etc."
southwest,southwest,"('southwest', 'NN')",southwest,southwest,introduction,southwest,O,,
Ica,ica,"('ica', 'NN')",ica,ica,introduction,Ica,B,PERSON,"People, including fictional"
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
created,created,"('created', 'VBN')",creat,create,introduction,created,O,,
princess,princess,"('princess', 'NN')",princess,princess,introduction,princess,O,,
stripped,stripped,"('stripped', 'VBD')",strip,strip,introduction,stripped,O,,
clothes,clothes,"('clothes', 'NNS')",cloth,clothes,introduction,clothes,O,,
bathe,bathe,"('bathe', 'VB')",bath,bathe,introduction,bathe,O,,
looked,looked,"('looked', 'VBD')",look,look,introduction,looked,O,,
mirror,mirror,"('mirror', 'NN')",mirror,mirror,introduction,mirror,O,,
saw,saw,"('saw', 'VBD')",saw,saw,introduction,saw,O,,
male,male,"('male', 'JJ')",male,male,introduction,male,O,,
hunter,hunter,"('hunter', 'NN')",hunter,hunter,introduction,hunter,O,,
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
watching,watching,"('watching', 'VBG')",watch,watch,introduction,watching,O,,
dropped,dropped,"('dropped', 'VBD')",drop,drop,introduction,dropped,O,,
mirror,mirror,"('mirror', 'NN')",mirror,mirror,introduction,mirror,O,,
became,became,"('became', 'VBD')",becam,become,introduction,became,O,,
lagoon,lagoon,"('lagoon', 'NN')",lagoon,lagoon,introduction,lagoon,O,,
prosaically,prosaically,"('prosaically', 'RB')",prosaic,prosaically,introduction,prosaically,O,,
during,during,"('during', 'IN')",dure,during,introduction,during,O,,
late,late,"('late', 'JJ')",late,late,introduction,late,O,,
lagoon,lagoon,"('lagoon', 'NN')",lagoon,lagoon,introduction,lagoon,O,,
became,became,"('became', 'VBD')",becam,become,introduction,became,O,,
one,one,"('one', 'CD')",one,one,introduction,one,B,CARDINAL,Numerals that do not fall under another type
Peru,peru,"('peru', 'NN')",peru,peru,introduction,Peru,B,GPE,"Countries, cities, states"
elegant,elegant,"('elegant', 'JJ')",eleg,elegant,introduction,elegant,O,,
exclusive,exclusive,"('exclusive', 'JJ')",exclus,exclusive,introduction,exclusive,O,,
resorts,resorts,"('resorts', 'NNS')",resort,resort,introduction,resorts,O,,
surrounded,surrounded,"('surrounded', 'VBN')",surround,surround,introduction,surrounded,O,,
palm,palm,"('palm', 'NN')",palm,palm,introduction,palm,O,,
trees,trees,"('trees', 'NNS')",tree,tree,introduction,trees,O,,
sand,sand,"('sand', 'VBP')",sand,sand,introduction,sand,O,,
dunes,dunes,"('dunes', 'NNS')",dune,dune,introduction,dunes,O,,
waters,waters,"('waters', 'NNS')",water,water,introduction,waters,O,,
famed,famed,"('famed', 'VBN')",fame,famed,introduction,famed,O,,
curative,curative,"('curative', 'JJ')",cur,curative,introduction,curative,O,,
powers,powers,"('powers', 'NNS')",power,power,introduction,powers,O,,
delightfully,delightfully,"('delightfully', 'RB')",delight,delightfully,introduction,delightfully,O,,
atmosphere,atmosphere,"('atmosphere', 'JJ')",atmospher,atmosphere,introduction,atmosphere,O,,
Since,since,"('since', 'IN')",sinc,since,introduction,Since,O,,
lagoon,lagoon,"('lagoon', 'NN')",lagoon,lagoon,introduction,lagoon,O,,
subterranean,subterranean,"('subterranean', 'JJ')",subterranean,subterranean,introduction,subterranean,O,,
source,source,"('source', 'NN')",sourc,source,introduction,source,O,,
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
grown,grown,"('grown', 'VBN')",grown,grow,introduction,grown,O,,
erratic,erratic,"('erratic', 'JJ')",errat,erratic,introduction,erratic,O,,
supplemented,supplemented,"('supplemented', 'VBN')",supplement,supplement,introduction,supplemented,O,,
water,water,"('water', 'NN')",water,water,introduction,water,O,,
pumped,pumped,"('pumped', 'VBD')",pump,pump,introduction,pumped,O,,
artesian,artesian,"('artesian', 'JJ')",artesian,artesian,introduction,artesian,O,,
wells,wells,"('wells', 'NNS')",well,well,introduction,wells,O,,
making,making,"('making', 'VBG')",make,make,introduction,making,O,,
less,less,"('less', 'JJR')",less,less,introduction,less,O,,
viscous,viscous,"('viscous', 'JJ')",viscou,viscous,introduction,viscous,O,,
syrup,syrup,"('syrup', 'NN')",syrup,syrup,introduction,syrup,O,,
like,like,"('like', 'IN')",like,like,introduction,like,O,,
green,green,"('green', 'JJ')",green,green,introduction,green,O,,
salty,salty,"('salty', 'NN')",salti,salty,introduction,salty,O,,
