token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
America,america,"('america', 'NN')",america,america,introduction,America,B,GPE,"Countries, cities, states"
oldest,oldest,"('oldest', 'JJS')",oldest,old,introduction,oldest,O,,
easily,easily,"('easily', 'RB')",easili,easily,introduction,easily,O,,
famous,famous,"('famous', 'JJ')",famou,famous,introduction,famous,O,,
national,national,"('national', 'JJ')",nation,national,introduction,national,O,,
park,park,"('park', 'NN')",park,park,introduction,park,O,,
YELLOWSTONE,yellowstone,"('yellowstone', 'CD')",yellowston,yellowstone,introduction,YELLOWSTONE,B,ORG,"Companies, agencies, institutions, etc."
NATIONAL,national,"('national', 'JJ')",nation,national,introduction,NATIONAL,I,ORG,"Companies, agencies, institutions, etc."
PARK,park,"('park', 'NN')",park,park,introduction,PARK,I,ORG,"Companies, agencies, institutions, etc."
attracts,attracts,"('attracts', 'VBZ')",attract,attract,introduction,attracts,O,,
three,three,"('three', 'CD')",three,three,introduction,three,B,CARDINAL,Numerals that do not fall under another type
million,million,"('million', 'CD')",million,million,introduction,million,I,CARDINAL,Numerals that do not fall under another type
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,introduction,visitors,O,,
every,every,"('every', 'DT')",everi,every,introduction,every,O,,
year,year,"('year', 'NN')",year,year,introduction,year,O,,
percent,percent,"('percent', 'NN')",percent,percent,introduction,percent,O,,
summer,summer,"('summer', 'NN')",summer,summer,introduction,summer,B,DATE,Absolute or relative dates or periods
good,good,"('good', 'JJ')",good,good,introduction,good,O,,
reason,reason,"('reason', 'NN')",reason,reason,introduction,reason,O,,
sheer,sheer,"('sheer', 'NN')",sheer,sheer,introduction,sheer,O,,
diversity,diversity,"('diversity', 'NN')",divers,diversity,introduction,diversity,O,,
offer,offer,"('offer', 'NN')",offer,offer,introduction,offer,O,,
only,only,"('only', 'RB')",onli,only,description,only,O,,
does,does,"('does', 'VBZ')",doe,do,description,does,O,,
Yellowstone,yellowstone,"('yellowstone', 'VB')",yellowston,yellowstone,description,Yellowstone,B,NORP,Nationalities or religious or political groups
deliver,deliver,"('deliver', 'VB')",deliv,deliver,description,deliver,O,,
mountain,mountain,"('mountain', 'NN')",mountain,mountain,description,mountain,O,,
scenery,scenery,"('scenery', 'NN')",sceneri,scenery,description,scenery,O,,
scintillating,scintillating,"('scintillating', 'VBG')",scintil,scintillate,description,scintillating,O,,
colours,colours,"('colours', 'NN')",colour,colour,description,colours,O,,
Grand,grand,"('grand', 'JJ')",grand,grand,description,Grand,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Canyon,canyon,"('canyon', 'NN')",canyon,canyon,description,Canyon,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Yellowstone,yellowstone,"('yellowstone', 'NN')",yellowston,yellowstone,description,Yellowstone,O,,
Yellowstone,yellowstone,"('yellowstone', 'NN')",yellowston,yellowstone,description,Yellowstone,O,,
Lake,lake,"('lake', 'NN')",lake,lake,description,Lake,O,,
meadows,meadows,"('meadows', 'NNS')",meadow,meadow,description,meadows,O,,
much,much,"('much', 'JJ')",much,much,description,much,O,,
wildlife,wildlife,"('wildlife', 'NN')",wildlif,wildlife,description,wildlife,O,,
might,might,"('might', 'MD')",might,might,description,might,O,,
think,think,"('think', 'VB')",think,think,description,think,O,,
arrived,arrived,"('arrived', 'VBN')",arriv,arrive,description,arrived,O,,
safari,safari,"('safari', 'NN')",safari,safari,description,safari,O,,
park,park,"('park', 'NN')",park,park,description,park,O,,
Shambling,shambling,"('shambling', 'VBG')",shambl,shamble,description,Shambling,O,,
grizzly,grizzly,"('grizzly', 'JJ')",grizzli,grizzly,description,grizzly,O,,
bears,bears,"('bears', 'NNS')",bear,bear,description,bears,O,,
vast,vast,"('vast', 'JJ')",vast,vast,description,vast,O,,
herds,herds,"('herds', 'NNS')",herd,herd,description,herds,O,,
bison,bison,"('bison', 'NN')",bison,bison,description,bison,B,PERSON,"People, including fictional"
buffalo,buffalo,"('buffalo', 'NN')",buffalo,buffalo,description,buffalo,I,PERSON,"People, including fictional"
horned,horned,"('horned', 'VBD')",horn,horn,description,horned,O,,
elk,elk,"('elk', 'NNS')",elk,elk,description,elk,O,,
mingle,mingle,"('mingle', 'NN')",mingl,mingle,description,mingle,O,,
marmots,marmots,"('marmots', 'NNS')",marmot,marmot,description,marmots,O,,
prairie,prairie,"('prairie', 'VBP')",prairi,prairie,description,prairie,O,,
dogs,dogs,"('dogs', 'NNS')",dog,dog,description,dogs,O,,
eagles,eagles,"('eagles', 'NNS')",eagl,eagle,description,eagles,O,,
coyotes,coyotes,"('coyotes', 'NNS')",coyot,coyote,description,coyotes,B,CARDINAL,Numerals that do not fall under another type
dozen,dozen,"('dozen', 'NN')",dozen,dozen,description,dozen,I,CARDINAL,Numerals that do not fall under another type
elusive,elusive,"('elusive', 'JJ')",elus,elusive,description,elusive,O,,
wolf,wolf,"('wolf', 'NN')",wolf,wolf,description,wolf,O,,
packs,packs,"('packs', 'NNS')",pack,pack,description,packs,O,,
prowl,prowl,"('prowl', 'NN')",prowl,prowl,description,prowl,O,,
really,really,"('really', 'RB')",realli,really,description,really,O,,
sets,sets,"('sets', 'VBZ')",set,set,description,sets,O,,
Yellowstone,yellowstone,"('yellowstone', 'CD')",yellowston,yellowstone,description,Yellowstone,B,NORP,Nationalities or religious or political groups
