token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Amazon,amazon,"('amazon', 'NN')",amazon,amazon,introduction,Amazon,B,ORG,"Companies, agencies, institutions, etc."
vast,vast,"('vast', 'JJ')",vast,vast,introduction,vast,O,,
forest,forest,"('forest', 'NN')",forest,forest,introduction,forest,O,,
largest,largest,"('largest', 'JJS')",largest,large,introduction,largest,O,,
planet,planet,"('planet', 'NN')",planet,planet,introduction,planet,O,,
giant,giant,"('giant', 'JJ')",giant,giant,introduction,giant,O,,
river,river,"('river', 'NN')",river,river,introduction,river,O,,
system,system,"('system', 'NN')",system,system,introduction,system,O,,
covers,covers,"('covers', 'VBZ')",cover,cover,introduction,covers,O,,
half,half,"('half', 'NN')",half,half,introduction,half,B,CARDINAL,Numerals that do not fall under another type
Brazil,brazil,"('brazil', 'NN')",brazil,brazil,introduction,Brazil,B,GPE,"Countries, cities, states"
large,large,"('large', 'JJ')",larg,large,introduction,large,O,,
portion,portion,"('portion', 'NN')",portion,portion,introduction,portion,O,,
South,south,"('south', 'NN')",south,south,introduction,South,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
America,america,"('america', 'IN')",america,america,introduction,America,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
forest,forest,"('forest', 'JJS')",forest,forest,introduction,forest,O,,
extends,extends,"('extends', 'VBZ')",extend,extend,introduction,extends,O,,
Brazil,brazil,"('brazil', 'JJ')",brazil,brazil,introduction,Brazil,B,GPE,"Countries, cities, states"
neighbouring,neighbouring,"('neighbouring', 'VBG')",neighbour,neighbour,introduction,neighbouring,O,,
countries,countries,"('countries', 'NNS')",countri,country,introduction,countries,O,,
Venezuela,venezuela,"('venezuela', 'VBP')",venezuela,venezuela,introduction,Venezuela,B,GPE,"Countries, cities, states"
Colombia,colombia,"('colombia', 'JJ')",colombia,colombia,introduction,Colombia,B,GPE,"Countries, cities, states"
Peru,peru,"('peru', 'NN')",peru,peru,introduction,Peru,B,GPE,"Countries, cities, states"
Bolivia,bolivia,"('bolivia', 'NN')",bolivia,bolivia,introduction,Bolivia,B,GPE,"Countries, cities, states"
river,river,"('river', 'NN')",river,river,introduction,river,O,,
begins,begins,"('begins', 'VBZ')",begin,begin,introduction,begins,O,,
life,life,"('life', 'NN')",life,life,introduction,life,O,,
among,among,"('among', 'IN')",among,among,introduction,among,O,,
thousands,thousands,"('thousands', 'NNS')",thousand,thousand,introduction,thousands,B,CARDINAL,Numerals that do not fall under another type
different,different,"('different', 'JJ')",differ,different,introduction,different,O,,
headwaters,headwaters,"('headwaters', 'NNS')",headwat,headwater,introduction,headwaters,O,,
Brazil,brazil,"('brazil', 'NN')",brazil,brazil,introduction,Brazil,B,GPE,"Countries, cities, states"
only,only,"('only', 'RB')",onli,only,introduction,only,O,,
stretch,stretch,"('stretch', 'NN')",stretch,stretch,introduction,stretch,O,,
Manaus,manaus,"('manaus', 'NN')",manau,manaus,introduction,Manaus,B,ORG,"Companies, agencies, institutions, etc."
Belém,belém,"('belém', 'NN')",belém,belém,introduction,Belém,I,ORG,"Companies, agencies, institutions, etc."
actually,actually,"('actually', 'RB')",actual,actually,introduction,actually,O,,
known,known,"('known', 'VBN')",known,know,introduction,known,O,,
Rio,rio,"('rio', 'NN')",rio,rio,introduction,Rio,B,PERSON,"People, including fictional"
Amazonas,amazonas,"('amazonas', 'NNS')",amazona,amazona,introduction,Amazonas,I,PERSON,"People, including fictional"
above,above,"('above', 'IN')",abov,above,introduction,above,O,,
Manaus,manaus,"('manaus', 'PDT')",manau,manaus,introduction,Manaus,B,FAC,"Buildings, airports, highways, bridges, etc."
river,river,"('river', 'NN')",river,river,introduction,river,O,,
called,called,"('called', 'VBN')",call,call,introduction,called,O,,
Rio,rio,"('rio', 'NN')",rio,rio,introduction,Rio,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Solimões,solimões,"('solimões', 'VBZ')",solimõ,solimões,introduction,Solimões,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
border,border,"('border', 'NN')",border,border,introduction,border,O,,
Peru,peru,"('peru', 'NN')",peru,peru,introduction,Peru,B,GPE,"Countries, cities, states"
once,once,"('once', 'RB')",onc,once,introduction,once,O,,
becomes,becomes,"('becomes', 'VBZ')",becom,become,introduction,becomes,O,,
Amazonas,amazonas,"('amazonas', 'NN')",amazona,amazona,introduction,Amazonas,B,ORG,"Companies, agencies, institutions, etc."
far,far,"('far', 'RB')",far,far,introduction,far,O,,
biggest,biggest,"('biggest', 'JJS')",biggest,big,introduction,biggest,O,,
river,river,"('river', 'NN')",river,river,introduction,river,O,,
system,system,"('system', 'NN')",system,system,introduction,system,O,,
world,world,"('world', 'NN')",world,world,introduction,world,O,,
eight,eight,"('eight', 'CD')",eight,eight,introduction,eight,O,,
world,world,"('world', 'NN')",world,world,introduction,world,O,,
twenty,twenty,"('twenty', 'NN')",twenti,twenty,introduction,twenty,O,,
longest,longest,"('longest', 'JJS')",longest,long,introduction,longest,O,,
rivers,rivers,"('rivers', 'NNS')",river,river,introduction,rivers,O,,
Amazon,amazon,"('amazon', 'NN')",amazon,amazon,introduction,Amazon,B,ORG,"Companies, agencies, institutions, etc."
basin,basin,"('basin', 'NN')",basin,basin,introduction,basin,O,,
along,along,"('along', 'IN')",along,along,introduction,along,O,,
fifth,fifth,"('fifth', 'NN')",fifth,fifth,introduction,fifth,B,ORDINAL,"""first"", ""second"", etc."
planet,planet,"('planet', 'NN')",planet,planet,introduction,planet,O,,
fresh,fresh,"('fresh', 'JJ')",fresh,fresh,introduction,fresh,O,,
water,water,"('water', 'NN')",water,water,introduction,water,O,,
upper,upper,"('upper', 'JJ')",upper,upper,description,upper,O,,
reaches,reaches,"('reaches', 'VBZ')",reach,reach,description,reaches,O,,
Rio,rio,"('rio', 'NN')",rio,rio,description,Rio,O,,
Solimões,solimões,"('solimões', 'NN')",solimõ,solimões,description,Solimões,O,,
Peru,peru,"('peru', 'NN')",peru,peru,description,Peru,O,,
Manaus,manaus,"('manaus', 'VB')",manau,manaus,description,Manaus,O,,
muddy,muddy,"('muddy', 'JJ')",muddi,muddy,description,muddy,O,,
light,light,"('light', 'JJ')",light,light,description,light,O,,
brown,brown,"('brown', 'NN')",brown,brown,description,brown,O,,
