token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction,beaches,O,,
agreeable,agreeable,"('agreeable', 'JJ')",agreeabl,agreeable,introduction,agreeable,O,,
climate,climate,"('climate', 'NN')",climat,climate,introduction,climate,O,,
region,region,"('region', 'NN')",region,region,introduction,region,O,,
hot,hot,"('hot', 'JJ')",hot,hot,introduction,hot,O,,
sunny,sunny,"('sunny', 'JJ')",sunni,sunny,introduction,sunny,O,,
blistering,blistering,"('blistering', 'VBG')",blister,blister,introduction,blistering,O,,
elsewhere,elsewhere,"('elsewhere', 'RB')",elsewher,elsewhere,introduction,elsewhere,O,,
Bahia,bahia,"('bahia', 'NN')",bahia,bahia,introduction,Bahia,B,PERSON,"People, including fictional"
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
long,long,"('long', 'RB')",long,long,introduction,long,O,,
one,one,"('one', 'CD')",one,one,introduction,one,B,CARDINAL,Numerals that do not fall under another type
country,country,"('country', 'NN')",countri,country,introduction,country,O,,
popular,popular,"('popular', 'JJ')",popular,popular,introduction,popular,O,,
destinations,destinations,"('destinations', 'NNS')",destin,destination,introduction,destinations,O,,
foreign,foreign,"('foreign', 'JJ')",foreign,foreign,introduction,foreign,O,,
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,introduction,visitors,O,,
Constituting,constituting,"('constituting', 'VBG')",constitut,constitute,introduction,Constituting,O,,
third,third,"('third', 'JJ')",third,third,introduction,third,O,,
Northeast,northeast,"('northeast', 'NN')",northeast,northeast,introduction,Northeast,O,,
Brazil,brazil,"('brazil', 'NN')",brazil,brazil,introduction,Brazil,B,GPE,"Countries, cities, states"
sits,sits,"('sits', 'VBZ')",sit,sit,introduction,sits,O,,
south,south,"('south', 'NN')",south,south,introduction,south,B,GPE,"Countries, cities, states"
area,area,"('area', 'NN')",area,area,introduction,area,I,GPE,"Countries, cities, states"
states,states,"('states', 'NNS')",state,state,introduction,states,O,,
heart,heart,"('heart', 'NN')",heart,heart,introduction,heart,O,,
Chapada,chapada,"('chapada', 'JJ')",chapada,chapada,introduction,Chapada,B,GPE,"Countries, cities, states"
Diamantina,diamantina,"('diamantina', 'NN')",diamantina,diamantina,introduction,Diamantina,O,,
Mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction,Mountains,O,,
offering,offering,"('offering', 'VBG')",offer,offer,introduction,offering,O,,
breathtaking,breathtaking,"('breathtaking', 'VBG')",breathtak,breathtaking,introduction,breathtaking,O,,
trekking,trekking,"('trekking', 'NN')",trek,trekking,introduction,trekking,O,,
climbing,climbing,"('climbing', 'VBG')",climb,climb,introduction,climbing,O,,
opportunities,opportunities,"('opportunities', 'NNS')",opportun,opportunity,introduction,opportunities,O,,
north,north,"('north', 'NN')",north,north,introduction,north,O,,
massive,massive,"('massive', 'JJ')",massiv,massive,introduction,massive,O,,
São,são,"('são', 'NN')",são,são,introduction,São,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Francisco,francisco,"('francisco', 'NN')",francisco,francisco,introduction,Francisco,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Lakes,lakes,"('lakes', 'NNS')",lake,lake,introduction,Lakes,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
popular,popular,"('popular', 'JJ')",popular,popular,introduction,popular,O,,
canoeing,canoeing,"('canoeing', 'VBG')",cano,canoe,introduction,canoeing,O,,
watersports,watersports,"('watersports', 'VBZ')",watersport,watersports,introduction,watersports,O,,
countryside,countryside,"('countryside', 'NN')",countrysid,countryside,introduction,countryside,O,,
changes,changes,"('changes', 'NNS')",chang,change,introduction,changes,O,,
south,south,"('south', 'NN')",south,south,introduction,south,O,,
state,state,"('state', 'NN')",state,state,introduction,state,O,,
capital,capital,"('capital', 'NN')",capit,capital,introduction,capital,O,,
Salvador,salvador,"('salvador', 'NN')",salvador,salvador,introduction,Salvador,B,GPE,"Countries, cities, states"
site,site,"('site', 'NN')",site,site,introduction,site,O,,
first,first,"('first', 'JJ')",first,first,introduction,first,B,ORDINAL,"""first"", ""second"", etc."
Portuguese,portuguese,"('portuguese', 'JJ')",portugues,portuguese,introduction,Portuguese,B,NORP,Nationalities or religious or political groups
