token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Espírito,espírito,"('espírito', 'NN')",espírito,espírito,introduction,Espírito,B,PERSON,"People, including fictional"
Santo,santo,"('santo', 'VBZ')",santo,santo,introduction,Santo,I,PERSON,"People, including fictional"
compact,compact,"('compact', 'JJ')",compact,compact,introduction,compact,O,,
combination,combination,"('combination', 'NN')",combin,combination,introduction,combination,O,,
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction,mountains,O,,
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction,beaches,O,,
one,one,"('one', 'CD')",one,one,introduction,one,B,CARDINAL,Numerals that do not fall under another type
smallest,smallest,"('smallest', 'JJS')",smallest,small,introduction,smallest,O,,
states,states,"('states', 'NNS')",state,state,introduction,states,O,,
Brazil,brazil,"('brazil', 'NN')",brazil,brazil,introduction,Brazil,B,GPE,"Countries, cities, states"
population,population,"('population', 'NN')",popul,population,introduction,population,O,,
only,only,"('only', 'JJ')",onli,only,introduction,only,B,CARDINAL,Numerals that do not fall under another type
million,million,"('million', 'CD')",million,million,introduction,million,I,CARDINAL,Numerals that do not fall under another type
Minas,minas,"('minas', 'JJ')",mina,minas,introduction,Minas,O,,
Gerais,gerais,"('gerais', 'NN')",gerai,gerais,introduction,Gerais,O,,
main,main,"('main', 'JJ')",main,main,introduction,main,O,,
outlet,outlet,"('outlet', 'NN')",outlet,outlet,introduction,outlet,O,,
sea,sea,"('sea', 'NN')",sea,sea,introduction,sea,O,,
strategically,strategically,"('strategically', 'RB')",strateg,strategically,introduction,strategically,O,,
very,very,"('very', 'RB')",veri,very,introduction,very,O,,
important,important,"('important', 'JJ')",import,important,introduction,important,O,,
iron,iron,"('iron', 'NN')",iron,iron,introduction,iron,O,,
ore,ore,"('ore', 'NN')",ore,ore,introduction,ore,O,,
exported,exported,"('exported', 'VBN')",export,export,introduction,exported,O,,
capital,capital,"('capital', 'NN')",capit,capital,introduction,capital,O,,
Vitória,vitória,"('vitória', 'NN')",vitória,vitória,introduction,Vitória,B,GPE,"Countries, cities, states"
any,any,"('any', 'DT')",ani,any,introduction,any,O,,
port,port,"('port', 'NN')",port,port,introduction,port,O,,
world,world,"('world', 'NN')",world,world,introduction,world,O,,
surprisingly,surprisingly,"('surprisingly', 'RB')",surprisingli,surprisingly,introduction,surprisingly,O,,
preponderance,preponderance,"('preponderance', 'NN')",preponder,preponderance,introduction,preponderance,O,,
docks,docks,"('docks', 'NNS')",dock,dock,introduction,docks,O,,
rail,rail,"('rail', 'VBP')",rail,rail,introduction,rail,O,,
yards,yards,"('yards', 'NNS')",yard,yard,introduction,yards,O,,
smelters,smelters,"('smelters', 'NNS')",smelter,smelter,introduction,smelters,O,,
limits,limits,"('limits', 'VBZ')",limit,limit,introduction,limits,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
tourist,tourist,"('tourist', 'VBP')",tourist,tourist,introduction,tourist,O,,
potential,potential,"('potential', 'JJ')",potenti,potential,introduction,potential,O,,
despite,despite,"('despite', 'IN')",despit,despite,introduction,despite,O,,
fine,fine,"('fine', 'JJ')",fine,fine,introduction,fine,O,,
natural,natural,"('natural', 'JJ')",natur,natural,introduction,natural,O,,
location,location,"('location', 'NN')",locat,location,introduction,location,O,,
mineiro,mineiro,"('mineiro', 'NN')",mineiro,mineiro,introduction,mineiro,O,,
Espírito,espírito,"('espírito', 'NN')",espírito,espírito,introduction,Espírito,O,,
Santo,santo,"('santo', 'NN')",santo,santo,introduction,Santo,O,,
means,means,"('means', 'VBZ')",mean,mean,introduction,means,O,,
only,only,"('only', 'RB')",onli,only,introduction,only,B,CARDINAL,Numerals that do not fall under another type
one,one,"('one', 'CD')",one,one,introduction,one,I,CARDINAL,Numerals that do not fall under another type
thing,thing,"('thing', 'NN')",thing,thing,introduction,thing,O,,
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction,beaches,O,,
During,during,"('during', 'IN')",dure,during,introduction,During,O,,
weekends,weekends,"('weekends', 'NNS')",weekend,weekend,introduction,weekends,O,,
holiday,holiday,"('holiday', 'JJ')",holiday,holiday,introduction,holiday,O,,
seasons,seasons,"('seasons', 'NNS')",season,season,introduction,seasons,O,,
people,people,"('people', 'NNS')",peopl,people,introduction,people,O,,
flock,flock,"('flock', 'VBP')",flock,flock,introduction,flock,O,,
take,take,"('take', 'VB')",take,take,introduction,take,O,,
waters,waters,"('waters', 'NNS')",water,water,introduction,waters,O,,
tending,tending,"('tending', 'VBG')",tend,tend,introduction,tending,O,,
concentrate,concentrate,"('concentrate', 'VB')",concentr,concentrate,introduction,concentrate,O,,
stretch,stretch,"('stretch', 'NN')",stretch,stretch,introduction,stretch,O,,
immediately,immediately,"('immediately', 'RB')",immedi,immediately,introduction,immediately,O,,
south,south,"('south', 'JJ')",south,south,introduction,south,O,,
Vitória,vitória,"('vitória', 'NNS')",vitória,vitória,introduction,Vitória,B,GPE,"Countries, cities, states"
especially,especially,"('especially', 'RB')",especi,especially,introduction,especially,O,,
large,large,"('large', 'JJ')",larg,large,introduction,large,O,,
resort,resort,"('resort', 'NN')",resort,resort,introduction,resort,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
Guarapari,guarapari,"('guarapari', 'NN')",guarapari,guarapari,introduction,Guarapari,B,ORG,"Companies, agencies, institutions, etc."
best,best,"('best', 'JJS')",best,best,introduction,best,O,,
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction,beaches,O,,
however,however,"('however', 'RB')",howev,however,introduction,however,O,,
lie,lie,"('lie', 'VBP')",lie,lie,introduction,lie,O,,
strip,strip,"('strip', 'NN')",strip,strip,introduction,strip,O,,
coastline,coastline,"('coastline', 'JJ')",coastlin,coastline,introduction,coastline,O,,
south,south,"('south', 'NN')",south,south,introduction,south,O,,
Guarapari,guarapari,"('guarapari', 'NN')",guarapari,guarapari,introduction,Guarapari,B,ORG,"Companies, agencies, institutions, etc."
north,north,"('north', 'NN')",north,north,introduction,north,O,,
state,state,"('state', 'NN')",state,state,introduction,state,O,,
heading,heading,"('heading', 'NN')",head,heading,introduction,heading,O,,
towards,towards,"('towards', 'NNS')",toward,towards,introduction,towards,O,,
Bahia,bahia,"('bahia', 'NN')",bahia,bahia,introduction,Bahia,B,PERSON,"People, including fictional"
Espírito,espírito,"('espírito', 'NN')",espírito,espírito,description,Espírito,I,PERSON,"People, including fictional"
Santo,santo,"('santo', 'NN')",santo,santo,description,Santo,O,,
coastline,coastline,"('coastline', 'NN')",coastlin,coastline,description,coastline,O,,
basically,basically,"('basically', 'RB')",basic,basically,description,basically,O,,
one,one,"('one', 'CD')",one,one,description,one,B,CARDINAL,Numerals that do not fall under another type
long,long,"('long', 'JJ')",long,long,description,long,O,,
beach,beach,"('beach', 'NN')",beach,beach,description,beach,O,,
length,length,"('length', 'NN')",length,length,description,length,O,,
state,state,"('state', 'NN')",state,state,description,state,O,,
sandwiched,sandwiched,"('sandwiched', 'VBD')",sandwich,sandwich,description,sandwiched,O,,
Rio,rio,"('rio', 'NN')",rio,rio,description,Rio,B,PERSON,"People, including fictional"
Bahia,bahia,"('bahia', 'NN')",bahia,bahia,description,Bahia,I,PERSON,"People, including fictional"
rights,rights,"('rights', 'NNS')",right,right,description,rights,O,,
beaches,beaches,"('beaches', 'NNS')",beach,beach,description,beaches,O,,
stunning,stunning,"('stunning', 'VBG')",stun,stun,description,stunning,O,,
reality,reality,"('reality', 'NN')",realiti,reality,description,reality,O,,
rather,rather,"('rather', 'RB')",rather,rather,description,rather,O,,
different,different,"('different', 'JJ')",differ,different,description,different,O,,
wide,wide,"('wide', 'JJ')",wide,wide,description,wide,O,,
coastal,coastal,"('coastal', 'NN')",coastal,coastal,description,coastal,O,,
plain,plain,"('plain', 'NN')",plain,plain,description,plain,O,,
along,along,"('along', 'IN')",along,along,description,along,O,,
state,state,"('state', 'NN')",state,state,description,state,O,,
exceptions,exceptions,"('exceptions', 'NNS')",except,exception,description,exceptions,O,,
beaches,beaches,"('beaches', 'NNS')",beach,beach,description,beaches,O,,
backdrops,backdrops,"('backdrops', 'NNS')",backdrop,backdrop,description,backdrops,O,,
hardly,hardly,"('hardly', 'RB')",hardli,hardly,description,hardly,O,,
dramatic,dramatic,"('dramatic', 'JJ')",dramat,dramatic,description,dramatic,O,,
Even,even,"('even', 'RB')",even,even,description,Even,O,,
travelling,travelling,"('travelling', 'VBG')",travel,travel,description,travelling,O,,
Rio,rio,"('rio', 'NN')",rio,rio,description,Rio,B,PERSON,"People, including fictional"
Bahia,bahia,"('bahia', 'NN')",bahia,bahia,description,Bahia,I,PERSON,"People, including fictional"
places,places,"('places', 'NNS')",place,place,description,places,O,,
could,could,"('could', 'MD')",could,could,description,could,O,,
easily,easily,"('easily', 'RB')",easili,easily,description,easily,O,,
spend,spend,"('spend', 'VB')",spend,spend,description,spend,O,,
days,days,"('days', 'NNS')",day,day,description,days,O,,
enjoying,enjoying,"('enjoying', 'VBG')",enjoy,enjoy,description,enjoying,O,,
stretches,stretches,"('stretches', 'NNS')",stretch,stretch,description,stretches,O,,
sand,sand,"('sand', 'NN')",sand,sand,description,sand,O,,
including,including,"('including', 'VBG')",includ,include,description,including,O,,
Anchieta,anchieta,"('anchieta', 'NN')",anchieta,anchieta,description,Anchieta,B,ORG,"Companies, agencies, institutions, etc."
south,south,"('south', 'NN')",south,south,description,south,O,,
Vitória,vitória,"('vitória', 'NNS')",vitória,vitória,description,Vitória,B,PERSON,"People, including fictional"
Itaúnas,itaúnas,"('itaúnas', 'NNS')",itaúna,itaúnas,description,Itaúnas,I,PERSON,"People, including fictional"
beautiful,beautiful,"('beautiful', 'JJ')",beauti,beautiful,description,beautiful,O,,
beaches,beaches,"('beaches', 'NNS')",beach,beach,description,beaches,O,,
near,near,"('near', 'IN')",near,near,description,near,O,,
Vitória,vitória,"('vitória', 'NNS')",vitória,vitória,description,Vitória,B,GPE,"Countries, cities, states"
around,around,"('around', 'IN')",around,around,description,around,O,,
town,town,"('town', 'NN')",town,town,description,town,O,,
GUARAPARI,guarapari,"('guarapari', 'NN')",guarapari,guarapari,description,GUARAPARI,B,ORG,"Companies, agencies, institutions, etc."
south,south,"('south', 'NN')",south,south,description,south,I,ORG,"Companies, agencies, institutions, etc."
state,state,"('state', 'NN')",state,state,description,state,I,ORG,"Companies, agencies, institutions, etc."
capital,capital,"('capital', 'NN')",capit,capital,description,capital,O,,
linked,linked,"('linked', 'VBN')",link,link,description,linked,O,,
buses,buses,"('buses', 'NNS')",buse,bus,description,buses,O,,
running,running,"('running', 'VBG')",run,run,description,running,O,,
every,every,"('every', 'DT')",everi,every,description,every,O,,
dozens,dozens,"('dozens', 'NNS')",dozen,dozen,description,dozens,B,CARDINAL,Numerals that do not fall under another type
hotels,hotels,"('hotels', 'NNS')",hotel,hotel,description,hotels,O,,
mostly,mostly,"('mostly', 'RB')",mostli,mostly,description,mostly,O,,
white,white,"('white', 'JJ')",white,white,description,white,O,,
skyscrapers,skyscrapers,"('skyscrapers', 'NNS')",skyscrap,skyscraper,description,skyscrapers,O,,
catering,catering,"('catering', 'VBG')",cater,cater,description,catering,O,,
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,description,visitors,O,,
Minas,minas,"('minas', 'JJ')",mina,minas,description,Minas,B,PERSON,"People, including fictional"
Gerais,gerais,"('gerais', 'NN')",gerai,gerais,description,Gerais,I,PERSON,"People, including fictional"
prices,prices,"('prices', 'NNS')",price,price,description,prices,O,,
generally,generally,"('generally', 'RB')",gener,generally,description,generally,O,,
R,r,"('r', 'NN')",r,r,description,R,O,,
bracket,bracket,"('bracket', 'NN')",bracket,bracket,description,bracket,O,,
fancy,fancy,"('fancy', 'VBP')",fanci,fancy,description,fancy,O,,
raucous,raucous,"('raucous', 'JJ')",raucou,raucous,description,raucous,O,,
nightlife,nightlife,"('nightlife', 'NN')",nightlif,nightlife,description,nightlife,O,,
Guarapari,guarapari,"('guarapari', 'NN')",guarapari,guarapari,description,Guarapari,B,PERSON,"People, including fictional"
place,place,"('place', 'NN')",place,place,description,place,O,,
hand,hand,"('hand', 'NN')",hand,hand,description,hand,O,,
need,need,"('need', 'VBP')",need,need,description,need,O,,
escape,escape,"('escape', 'VB')",escap,escape,description,escape,O,,
somewhere,somewhere,"('somewhere', 'VB')",somewher,somewhere,description,somewhere,O,,
tranquil,tranquil,"('tranquil', 'VB')",tranquil,tranquil,description,tranquil,O,,
mere,mere,"('mere', 'JJ')",mere,mere,description,mere,O,,
south,south,"('south', 'NN')",south,south,description,south,O,,
Guarapari,guarapari,"('guarapari', 'NN')",guarapari,guarapari,description,Guarapari,B,PERSON,"People, including fictional"
along,along,"('along', 'IN')",along,along,description,along,O,,
Praia,praia,"('praia', 'JJ')",praia,praia,description,Praia,B,ORG,"Companies, agencies, institutions, etc."
Padres,padres,"('padres', 'VBZ')",padr,padres,description,Padres,I,ORG,"Companies, agencies, institutions, etc."
protected,protected,"('protected', 'JJ')",protect,protected,description,protected,O,,
area,area,"('area', 'NN')",area,area,description,area,O,,
lapped,lapped,"('lapped', 'VBN')",lap,lap,description,lapped,O,,
wonderfully,wonderfully,"('wonderfully', 'RB')",wonder,wonderfully,description,wonderfully,O,,
green,green,"('green', 'JJ')",green,green,description,green,O,,
sea,sea,"('sea', 'NN')",sea,sea,description,sea,O,,
south,south,"('south', 'RB')",south,south,description,south,O,,
fishing,fishing,"('fishing', 'NN')",fish,fishing,description,fishing,O,,
village,village,"('village', 'NN')",villag,village,description,village,O,,
Meaípe,meaípe,"('meaípe', 'NN')",meaíp,meaípe,description,Meaípe,B,GPE,"Countries, cities, states"
has,has,"('has', 'VBZ')",ha,have,description,has,O,,
excellent,excellent,"('excellent', 'JJ')",excel,excellent,description,excellent,O,,
restaurants,restaurants,"('restaurants', 'NNS')",restaur,restaurant,description,restaurants,O,,
