token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
southern,southern,"('southern', 'JJ')",southern,southern,introduction,southern,O,,
gateway,gateway,"('gateway', 'NN')",gateway,gateway,introduction,gateway,O,,
Amazon,amazon,"('amazon', 'NN')",amazon,amazon,introduction,Amazon,B,FAC,"Buildings, airports, highways, bridges, etc."
Cuiabá,cuiabá,"('cuiabá', 'NN')",cuiabá,cuiabá,introduction,Cuiabá,I,FAC,"Buildings, airports, highways, bridges, etc."
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
always,always,"('always', 'RB')",alway,always,introduction,always,O,,
firmly,firmly,"('firmly', 'RB')",firmli,firmly,introduction,firmly,O,,
edge,edge,"('edge', 'NN')",edg,edge,introduction,edge,O,,
Brazil,brazil,"('brazil', 'NN')",brazil,brazil,introduction,Brazil,B,GPE,"Countries, cities, states"
wilderness,wilderness,"('wilderness', 'NN')",wilder,wilderness,introduction,wilderness,O,,
Following,following,"('following', 'VBG')",follow,follow,introduction,Following,O,,
discovery,discovery,"('discovery', 'NN')",discoveri,discovery,introduction,discovery,O,,
gold,gold,"('gold', 'JJ')",gold,gold,introduction,gold,O,,
field,field,"('field', 'NN')",field,field,introduction,field,O,,
one,one,"('one', 'CD')",one,one,introduction,one,B,CARDINAL,Numerals that do not fall under another type
version,version,"('version', 'NN')",version,version,introduction,version,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
name,name,"('name', 'NN')",name,name,introduction,name,O,,
means,means,"('means', 'VBZ')",mean,mean,introduction,means,O,,
river,river,"('river', 'NN')",river,river,introduction,river,O,,
stars,stars,"('stars', 'NNS')",star,star,introduction,stars,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
mushroomed,mushroomed,"('mushroomed', 'VBD')",mushroom,mushroom,introduction,mushroomed,O,,
administrative,administrative,"('administrative', 'JJ')",administr,administrative,introduction,administrative,O,,
service,service,"('service', 'NN')",servic,service,introduction,service,O,,
centre,centre,"('centre', 'NN')",centr,centre,introduction,centre,O,,
middle,middle,"('middle', 'NN')",middl,middle,introduction,middle,O,,
Indian,indian,"('indian', 'JJ')",indian,indian,introduction,Indian,B,NORP,Nationalities or religious or political groups
territory,territory,"('territory', 'NN')",territori,territory,introduction,territory,O,,
thousands,thousands,"('thousands', 'NNS')",thousand,thousand,introduction,thousands,B,CARDINAL,Numerals that do not fall under another type
very,very,"('very', 'RB')",veri,very,introduction,very,O,,
slow,slow,"('slow', 'JJ')",slow,slow,introduction,slow,O,,
