token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
hour,hour,"('hour', 'NN')",hour,hour,introduction,hour,O,,
half,half,"('half', 'NN')",half,half,introduction,half,O,,
Inlandsbanan,inlandsbanan,"('inlandsbanan', 'NN')",inlandsbanan,inlandsbanan,introduction,Inlandsbanan,B,PERSON,"People, including fictional"
north,north,"('north', 'NN')",north,north,introduction,north,O,,
Sorsele,sorsele,"('sorsele', 'JJ')",sorsel,sorsele,introduction,Sorsele,O,,
ARVIDSJAUR,arvidsjaur,"('arvidsjaur', 'NN')",arvidsjaur,arvidsjaur,introduction,ARVIDSJAUR,O,,
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
centuries,centuries,"('centuries', 'NNS')",centuri,century,introduction,centuries,B,DATE,Absolute or relative dates or periods
region,region,"('region', 'NN')",region,region,introduction,region,O,,
Sámi,sámi,"('sámi', 'NN')",sámi,sámi,introduction,Sámi,O,,
gathered,gathered,"('gathered', 'VBD')",gather,gather,introduction,gathered,O,,
trade,trade,"('trade', 'VB')",trade,trade,introduction,trade,O,,
debate,debate,"('debate', 'VB')",debat,debate,introduction,debate,O,,
presence,presence,"('presence', 'NN')",presenc,presence,introduction,presence,O,,
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
interest,interest,"('interest', 'NN')",interest,interest,introduction,interest,O,,
Protestant,protestant,"('protestant', 'VB')",protest,protestant,introduction,Protestant,B,NORP,Nationalities or religious or political groups
missionaries,missionaries,"('missionaries', 'NNS')",missionari,missionary,introduction,missionaries,O,,
established,established,"('established', 'VBD')",establish,establish,introduction,established,O,,
first,first,"('first', 'JJ')",first,first,introduction,first,B,ORDINAL,"""first"", ""second"", etc."
church,church,"('church', 'NN')",church,church,introduction,church,O,,
success,success,"('success', 'NN')",success,success,introduction,success,O,,
this,this,"('this', 'DT')",thi,this,introduction,this,O,,
Swedish,swedish,"('swedish', 'JJ')",swedish,swedish,introduction,Swedish,B,NORP,Nationalities or religious or political groups
settlement,settlement,"('settlement', 'NN')",settlement,settlement,introduction,settlement,O,,
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
secured,secured,"('secured', 'VBN')",secur,secure,introduction,secured,O,,
silver,silver,"('silver', 'NN')",silver,silver,introduction,silver,O,,
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
discovered,discovered,"('discovered', 'VBN')",discov,discover,introduction,discovered,O,,
nearby,nearby,"('nearby', 'JJ')",nearbi,nearby,introduction,nearby,O,,
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction,mountains,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
flourished,flourished,"('flourished', 'VBD')",flourish,flourish,introduction,flourished,O,,
staging,staging,"('staging', 'NN')",stage,staging,introduction,staging,O,,
point,point,"('point', 'NN')",point,point,introduction,point,O,,
supply,supply,"('supply', 'NN')",suppli,supply,introduction,supply,O,,
depot,depot,"('depot', 'NN')",depot,depot,introduction,depot,O,,
developments,developments,"('developments', 'NNS')",develop,development,introduction,developments,O,,
unfolded,unfolded,"('unfolded', 'VBD')",unfold,unfold,introduction,unfolded,O,,
Sámi,sámi,"('sámi', 'NN')",sámi,sámi,introduction,Sámi,O,,
continued,continued,"('continued', 'VBD')",continu,continue,introduction,continued,O,,
assemble,assemble,"('assemble', 'VB')",assembl,assemble,introduction,assemble,O,,
market,market,"('market', 'NN')",market,market,introduction,market,O,,
days,days,"('days', 'NNS')",day,day,introduction,days,O,,
during,during,"('during', 'IN')",dure,during,introduction,during,O,,
religious,religious,"('religious', 'JJ')",religi,religious,introduction,religious,B,DATE,Absolute or relative dates or periods
festivals,festivals,"('festivals', 'NNS')",festiv,festival,introduction,festivals,I,DATE,Absolute or relative dates or periods
end,end,"('end', 'NN')",end,end,introduction,end,I,DATE,Absolute or relative dates or periods
eighteenth,eighteenth,"('eighteenth', 'JJ')",eighteenth,eighteenth,introduction,eighteenth,I,DATE,Absolute or relative dates or periods
century,century,"('century', 'NN')",centuri,century,introduction,century,I,DATE,Absolute or relative dates or periods
built,built,"('built', 'VBP')",built,build,introduction,built,O,,
church,church,"('church', 'NN')",church,church,introduction,church,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
simple,simple,"('simple', 'JJ')",simpl,simple,introduction,simple,O,,
wooden,wooden,"('wooden', 'NN')",wooden,wooden,introduction,wooden,O,,
huts,huts,"('huts', 'NNS')",hut,hut,introduction,huts,O,,
Today,today,"('today', 'NN')",today,today,introduction,Today,B,DATE,Absolute or relative dates or periods
total,total,"('total', 'JJ')",total,total,introduction,total,O,,
population,population,"('population', 'NN')",popul,population,introduction,population,O,,
five,five,"('five', 'CD')",five,five,introduction,five,B,CARDINAL,Numerals that do not fall under another type
thousand,thousand,"('thousand', 'NNS')",thousand,thousand,introduction,thousand,I,CARDINAL,Numerals that do not fall under another type
still,still,"('still', 'RB')",still,still,introduction,still,O,,
twenty,twenty,"('twenty', 'JJ')",twenti,twenty,introduction,twenty,O,,
Sámi,sámi,"('sámi', 'JJ')",sámi,sámi,introduction,Sámi,O,,
families,families,"('families', 'NNS')",famili,family,introduction,families,O,,
Arvisdjaur,arvisdjaur,"('arvisdjaur', 'NN')",arvisdjaur,arvisdjaur,introduction,Arvisdjaur,O,,
make,make,"('make', 'VBP')",make,make,introduction,make,O,,
living,living,"('living', 'NN')",live,living,introduction,living,O,,
reindeer,reindeer,"('reindeer', 'NN')",reindeer,reindeer,introduction,reindeer,O,,
husbandry,husbandry,"('husbandry', 'NN')",husbandri,husbandry,introduction,husbandry,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
good,good,"('good', 'JJ')",good,good,introduction,good,O,,
place,place,"('place', 'NN')",place,place,introduction,place,O,,
get,get,"('get', 'VB')",get,get,introduction,get,O,,
real,real,"('real', 'JJ')",real,real,introduction,real,O,,
experience,experience,"('experience', 'NN')",experi,experience,introduction,experience,O,,
Sámi,sámi,"('sámi', 'JJ')",sámi,sámi,introduction,Sámi,O,,
life,life,"('life', 'NN')",life,life,introduction,life,O,,
Arvidsjaur,arvidsjaur,"('arvidsjaur', 'NN')",arvidsjaur,arvidsjaur,description,Arvidsjaur,B,WORK_OF_ART,"Titles of books, songs, etc."
one,one,"('one', 'CD')",one,one,description,one,B,CARDINAL,Numerals that do not fall under another type
Sweden,sweden,"('sweden', 'JJ')",sweden,sweden,description,Sweden,B,GPE,"Countries, cities, states"
attractive,attractive,"('attractive', 'JJ')",attract,attractive,description,attractive,O,,
towns,towns,"('towns', 'NNS')",town,town,description,towns,O,,
streets,streets,"('streets', 'NNS')",street,street,description,streets,O,,
drab,drab,"('drab', 'NN')",drab,drab,description,drab,O,,
houses,houses,"('houses', 'NNS')",hous,house,description,houses,O,,
strung,strung,"('strung', 'VBP')",strung,string,description,strung,O,,
either,either,"('either', 'DT')",either,either,description,either,O,,
side,side,"('side', 'NN')",side,side,description,side,O,,
main,main,"('main', 'JJ')",main,main,description,main,O,,
drag,drag,"('drag', 'NN')",drag,drag,description,drag,O,,
lined,lined,"('lined', 'VBN')",line,line,description,lined,O,,
dozen,dozen,"('dozen', 'NN')",dozen,dozen,description,dozen,B,CARDINAL,Numerals that do not fall under another type
shops,shops,"('shops', 'JJ')",shop,shops,description,shops,O,,
make,make,"('make', 'VBP')",make,make,description,make,O,,
pretty,pretty,"('pretty', 'NN')",pretti,pretty,description,pretty,O,,
depressing,depressing,"('depressing', 'VBG')",depress,depress,description,depressing,O,,
impression,impression,"('impression', 'NN')",impress,impression,description,impression,O,,
any,any,"('any', 'DT')",ani,any,description,any,O,,
