token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Stretching,stretching,"('stretching', 'VBG')",stretch,stretch,introduction,Stretching,B,GPE,"Countries, cities, states"
north,north,"('north', 'NN')",north,north,introduction,north,O,,
Sveg,sveg,"('sveg', 'NN')",sveg,sveg,introduction,Sveg,B,GPE,"Countries, cities, states"
border,border,"('border', 'NN')",border,border,introduction,border,O,,
Lapland,lapland,"('lapland', 'NN')",lapland,lapland,introduction,Lapland,B,GPE,"Countries, cities, states"
distance,distance,"('distance', 'NN')",distanc,distance,introduction,distance,O,,
around,around,"('around', 'IN')",around,around,introduction,around,O,,
province,province,"('province', 'NN')",provinc,province,introduction,province,O,,
JÄMTLAND,jämtland,"('jämtland', 'NN')",jämtland,jämtland,introduction,JÄMTLAND,O,,
centred,centred,"('centred', 'VBN')",centr,centre,introduction,centred,O,,
around,around,"('around', 'IN')",around,around,introduction,around,O,,
one,one,"('one', 'CD')",one,one,introduction,one,O,,
Sweden,sweden,"('sweden', 'JJ')",sweden,sweden,introduction,Sweden,B,GPE,"Countries, cities, states"
greatest,greatest,"('greatest', 'JJS')",greatest,great,introduction,greatest,O,,
lakes,lakes,"('lakes', 'NNS')",lake,lake,introduction,lakes,O,,
Storsjön,storsjön,"('storsjön', 'NN')",storsjön,storsjön,introduction,Storsjön,B,ORG,"Companies, agencies, institutions, etc."
associated,associated,"('associated', 'JJ')",associ,associated,introduction,associated,O,,
watercourses,watercourses,"('watercourses', 'NNS')",watercours,watercourse,introduction,watercourses,O,,
altogether,altogether,"('altogether', 'RB')",altogeth,altogether,introduction,altogether,O,,
pastoral,pastoral,"('pastoral', 'JJ')",pastor,pastoral,introduction,pastoral,O,,
wilder,wilder,"('wilder', 'NN')",wilder,wilder,introduction,wilder,O,,
mountainous,mountainous,"('mountainous', 'JJ')",mountain,mountainous,introduction,mountainous,O,,
neighbour,neighbour,"('neighbour', 'NN')",neighbour,neighbour,introduction,neighbour,O,,
south,south,"('south', 'JJ')",south,south,introduction,south,O,,
Härjedalen,härjedalen,"('härjedalen', 'NN')",härjedalen,härjedalen,introduction,Härjedalen,B,PERSON,"People, including fictional"
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
plentiful,plentiful,"('plentiful', 'JJ')",plenti,plentiful,introduction,plentiful,O,,
supply,supply,"('supply', 'NN')",suppli,supply,introduction,supply,O,,
fish,fish,"('fish', 'NN')",fish,fish,introduction,fish,O,,
lake,lake,"('lake', 'NN')",lake,lake,introduction,lake,O,,
coupled,coupled,"('coupled', 'VBN')",coupl,couple,introduction,coupled,O,,
successful,successful,"('successful', 'JJ')",success,successful,introduction,successful,O,,
cultivation,cultivation,"('cultivation', 'NN')",cultiv,cultivation,introduction,cultivation,O,,
rich,rich,"('rich', 'JJ')",rich,rich,introduction,rich,O,,
lands,lands,"('lands', 'VBZ')",land,land,introduction,lands,O,,
