token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Founded,founded,"('founded', 'VBN')",found,found,introduction,Founded,O,,
late,late,"('late', 'JJ')",late,late,introduction,late,B,DATE,Absolute or relative dates or periods
thirteenth,thirteenth,"('thirteenth', 'JJ')",thirteenth,thirteenth,introduction,thirteenth,I,DATE,Absolute or relative dates or periods
century,century,"('century', 'NN')",centuri,century,introduction,century,I,DATE,Absolute or relative dates or periods
MALMÖ,malmö,"('malmö', 'NN')",malmö,malmö,introduction,MALMÖ,B,ORG,"Companies, agencies, institutions, etc."
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
once,once,"('once', 'RB')",onc,once,introduction,once,O,,
Denmark,denmark,"('denmark', 'JJ')",denmark,denmark,introduction,Denmark,B,GPE,"Countries, cities, states"
second,second,"('second', 'NN')",second,second,introduction,second,B,ORDINAL,"""first"", ""second"", etc."
important,important,"('important', 'JJ')",import,important,introduction,important,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
Copenhagen,copenhagen,"('copenhagen', 'NN')",copenhagen,copenhagen,introduction,Copenhagen,B,ORG,"Companies, agencies, institutions, etc."
high,high,"('high', 'JJ')",high,high,introduction,high,O,,
density,density,"('density', 'NN')",densiti,density,introduction,density,O,,
sea,sea,"('sea', 'NN')",sea,sea,introduction,sea,O,,
Malmö,malmö,"('malmö', 'NN')",malmö,malmö,introduction,Malmö,B,PERSON,"People, including fictional"
coast,coast,"('coast', 'NN')",coast,coast,introduction,coast,I,PERSON,"People, including fictional"
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
said,said,"('said', 'VBD')",said,say,introduction,said,O,,
fish,fish,"('fish', 'NN')",fish,fish,introduction,fish,O,,
could,could,"('could', 'MD')",could,could,introduction,could,O,,
scooped,scooped,"('scooped', 'VBN')",scoop,scoop,introduction,scooped,O,,
straight,straight,"('straight', 'RB')",straight,straight,introduction,straight,O,,
trowel,trowel,"('trowel', 'NN')",trowel,trowel,introduction,trowel,O,,
brought,brought,"('brought', 'VBD')",brought,bring,introduction,brought,O,,
ambitious,ambitious,"('ambitious', 'JJ')",ambiti,ambitious,introduction,ambitious,O,,
German,german,"('german', 'JJ')",german,german,introduction,German,B,NORP,Nationalities or religious or political groups
merchants,merchants,"('merchants', 'NNS')",merchant,merchant,introduction,merchants,O,,
flocking,flocking,"('flocking', 'VBG')",flock,flock,introduction,flocking,O,,
influence,influence,"('influence', 'NN')",influenc,influence,introduction,influence,O,,
seen,seen,"('seen', 'VBN')",seen,see,introduction,seen,O,,
striking,striking,"('striking', 'JJ')",strike,striking,introduction,striking,O,,
St,st,"('st', 'NN')",st,st,introduction,St,B,PERSON,"People, including fictional"
Petri,petri,"('petri', 'NN')",petri,petri,introduction,Petri,I,PERSON,"People, including fictional"
kyrka,kyrka,"('kyrka', 'NN')",kyrka,kyrka,introduction,kyrka,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
centre,centre,"('centre', 'NN')",centr,centre,introduction,centre,O,,
Eric,eric,"('eric', 'NN')",eric,eric,description,Eric,B,PERSON,"People, including fictional"
Pomerania,pomerania,"('pomerania', 'NN')",pomerania,pomerania,description,Pomerania,I,PERSON,"People, including fictional"
gave,gave,"('gave', 'VBD')",gave,give,description,gave,O,,
Malmö,malmö,"('malmö', 'VBN')",malmö,malmö,description,Malmö,B,ORG,"Companies, agencies, institutions, etc."
significant,significant,"('significant', 'JJ')",signific,significant,description,significant,O,,
medieval,medieval,"('medieval', 'NN')",mediev,medieval,description,medieval,O,,
boost,boost,"('boost', 'NN')",boost,boost,description,boost,O,,
fifteenth,fifteenth,"('fifteenth', 'JJ')",fifteenth,fifteenth,description,fifteenth,B,DATE,Absolute or relative dates or periods
century,century,"('century', 'NN')",centuri,century,description,century,I,DATE,Absolute or relative dates or periods
built,built,"('built', 'VBD')",built,build,description,built,O,,
castle,castle,"('castle', 'NN')",castl,castle,description,castle,O,,
endowed,endowed,"('endowed', 'VBD')",endow,endow,description,endowed,O,,
mint,mint,"('mint', 'NN')",mint,mint,description,mint,O,,
gave,gave,"('gave', 'VBD')",gave,give,description,gave,O,,
Malmö,malmö,"('malmö', 'VBN')",malmö,malmö,description,Malmö,B,ORG,"Companies, agencies, institutions, etc."
flag,flag,"('flag', 'NN')",flag,flag,description,flag,O,,
griffin,griffin,"('griffin', 'NN')",griffin,griffin,description,griffin,O,,
his,his,"('his', 'PRP$')",hi,his,description,his,O,,
family,family,"('family', 'NN')",famili,family,description,family,O,,
crest,crest,"('crest', 'VBP')",crest,crest,description,crest,O,,
Swedish,swedish,"('swedish', 'JJ')",swedish,swedish,description,Swedish,B,NORP,Nationalities or religious or political groups
king,king,"('king', 'NN')",king,king,description,king,O,,
Karl,karl,"('karl', 'NN')",karl,karl,description,Karl,B,PERSON,"People, including fictional"
X,x,"('x', 'NNP')",x,x,description,X,I,PERSON,"People, including fictional"
marched,marched,"('marched', 'VBD')",march,march,description,marched,O,,
his,his,"('his', 'PRP$')",hi,his,description,his,O,,
armies,armies,"('armies', 'NNS')",armi,army,description,armies,O,,
across,across,"('across', 'IN')",across,across,description,across,O,,
frozen,frozen,"('frozen', 'JJ')",frozen,frozen,description,frozen,O,,
Öresund,öresund,"('öresund', 'NN')",öresund,öresund,description,Öresund,B,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
within,within,"('within', 'IN')",within,within,description,within,O,,
striking,striking,"('striking', 'VBG')",strike,strike,description,striking,O,,
distance,distance,"('distance', 'NN')",distanc,distance,description,distance,O,,
Copenhagen,copenhagen,"('copenhagen', 'NN')",copenhagen,copenhagen,description,Copenhagen,B,ORG,"Companies, agencies, institutions, etc."
Danes,danes,"('danes', 'NNS')",dane,dane,description,Danes,O,,
forced,forced,"('forced', 'VBN')",forc,force,description,forced,O,,
handing,handing,"('handing', 'VBG')",hand,hand,description,handing,O,,
back,back,"('back', 'RP')",back,back,description,back,O,,
counties,counties,"('counties', 'NNS')",counti,county,description,counties,O,,
Skåne,skåne,"('skåne', 'JJ')",skåne,skåne,description,Skåne,B,PERSON,"People, including fictional"
Blekinge,blekinge,"('blekinge', 'NN')",bleking,blekinge,description,Blekinge,I,PERSON,"People, including fictional"
Bohuslän,bohuslän,"('bohuslän', 'NN')",bohuslän,bohuslän,description,Bohuslän,O,,
Swedes,swedes,"('swedes', 'NNS')",swede,swede,description,Swedes,O,,
Malmö,malmö,"('malmö', 'NN')",malmö,malmö,description,Malmö,O,,
far,far,"('far', 'RB')",far,far,description,far,O,,
uninterested,uninterested,"('uninterested', 'JJ')",uninterest,uninterested,description,uninterested,O,,
capital,capital,"('capital', 'NN')",capit,capital,description,capital,O,,
this,this,"('this', 'DT')",thi,this,description,this,O,,
meant,meant,"('meant', 'VBD')",meant,mean,description,meant,O,,
period,period,"('period', 'NN')",period,period,description,period,O,,
stagnation,stagnation,"('stagnation', 'NN')",stagnat,stagnation,description,stagnation,O,,
cut,cut,"('cut', 'VBN')",cut,cut,description,cut,O,,
nearby,nearby,"('nearby', 'JJ')",nearbi,nearby,description,nearby,O,,
Copenhagen,copenhagen,"('copenhagen', 'NN')",copenhagen,copenhagen,description,Copenhagen,B,ORG,"Companies, agencies, institutions, etc."
full,full,"('full', 'JJ')",full,full,description,full,O,,
thrust,thrust,"('thrust', 'NN')",thrust,thrust,description,thrust,O,,
industrialization,industrialization,"('industrialization', 'NN')",industri,industrialization,description,industrialization,O,,
triggered,triggered,"('triggered', 'VBN')",trigger,trigger,description,triggered,O,,
tobacco,tobacco,"('tobacco', 'NN')",tobacco,tobacco,description,tobacco,O,,
merchant,merchant,"('merchant', 'NN')",merchant,merchant,description,merchant,O,,
Frans,frans,"('frans', 'NNS')",fran,frans,description,Frans,B,NORP,Nationalities or religious or political groups
