token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
very,very,"('very', 'RB')",veri,very,introduction,very,O,,
tangible,tangible,"('tangible', 'JJ')",tangibl,tangible,introduction,tangible,O,,
Lund,lund,"('lund', 'NN')",lund,lund,introduction,Lund,O,,
spirit,spirit,"('spirit', 'VBD')",spirit,spirit,introduction,spirit,O,,
ironic,ironic,"('ironic', 'JJ')",iron,ironic,introduction,ironic,O,,
distance,distance,"('distance', 'NN')",distanc,distance,introduction,distance,O,,
everything,everything,"('everything', 'NN')",everyth,everything,introduction,everything,O,,
including,including,"('including', 'VBG')",includ,include,introduction,including,O,,
themselves,themselves,"('themselves', 'PRP')",themselv,themselves,introduction,themselves,O,,
Lund,lund,"('lund', 'VB')",lund,lund,introduction,Lund,O,,
barb,barb,"('barb', 'NN')",barb,barb,introduction,barb,O,,
deflate,deflate,"('deflate', 'VB')",deflat,deflate,introduction,deflate,O,,
pompous,pompous,"('pompous', 'JJ')",pompou,pompous,introduction,pompous,O,,
wrote,wrote,"('wrote', 'VBD')",wrote,write,introduction,wrote,O,,
Swedish,swedish,"('swedish', 'JJ')",swedish,swedish,introduction,Swedish,B,NORP,Nationalities or religious or political groups
essayist,essayist,"('essayist', 'NN')",essayist,essayist,introduction,essayist,O,,
Jan,jan,"('jan', 'NN')",jan,jan,introduction,Jan,B,PERSON,"People, including fictional"
Mårtensson,mårtensson,"('mårtensson', 'VBD')",mårtensson,mårtensson,introduction,Mårtensson,I,PERSON,"People, including fictional"
His,his,"('his', 'PRP$')",hi,his,introduction,His,O,,
compatriot,compatriot,"('compatriot', 'NN')",compatriot,compatriot,introduction,compatriot,O,,
poet,poet,"('poet', 'NN')",poet,poet,introduction,poet,O,,
Peter,peter,"('peter', 'NN')",peter,peter,introduction,Peter,B,PERSON,"People, including fictional"
Ortman,ortman,"('ortman', 'NN')",ortman,ortman,introduction,Ortman,I,PERSON,"People, including fictional"
his,his,"('his', 'PRP$')",hi,his,introduction,his,O,,
part,part,"('part', 'NN')",part,part,introduction,part,O,,
once,once,"('once', 'RB')",onc,once,introduction,once,O,,
described,described,"('described', 'VBD')",describ,describe,introduction,described,O,,
termed,termed,"('termed', 'VBD')",term,term,introduction,termed,O,,
Lund,lund,"('lund', 'JJ')",lund,lund,introduction,Lund,O,,
syndrome,syndrome,"('syndrome', 'VB')",syndrom,syndrome,introduction,syndrome,O,,
mix,mix,"('mix', 'NN')",mix,mix,introduction,mix,O,,
paranoia,paranoia,"('paranoia', 'NN')",paranoia,paranoia,introduction,paranoia,O,,
exhibitionism,exhibitionism,"('exhibitionism', 'NN')",exhibition,exhibitionism,introduction,exhibitionism,O,,
megalomania,megalomania,"('megalomania', 'NN')",megalomania,megalomania,introduction,megalomania,O,,
Whatever,whatever,"('whatever', 'NN')",whatev,whatever,introduction,Whatever,O,,
place,place,"('place', 'NN')",place,place,introduction,place,O,,
indeed,indeed,"('indeed', 'RB')",inde,indeed,introduction,indeed,O,,
special,special,"('special', 'JJ')",special,special,introduction,special,O,,
spirit,spirit,"('spirit', 'NN')",spirit,spirit,introduction,spirit,O,,
LUND,lund,"('lund', 'VB')",lund,lund,introduction,LUND,O,,
sense,sense,"('sense', 'NN')",sens,sense,introduction,sense,O,,
tolerance,tolerance,"('tolerance', 'NN')",toler,tolerance,introduction,tolerance,O,,
relaxed,relaxed,"('relaxed', 'JJ')",relax,relaxed,introduction,relaxed,O,,
Swedish,swedish,"('swedish', 'JJ')",swedish,swedish,introduction,Swedish,B,NORP,Nationalities or religious or political groups
cities,cities,"('cities', 'NNS')",citi,city,introduction,cities,O,,
belief,belief,"('belief', 'NN')",belief,belief,introduction,belief,O,,
people,people,"('people', 'NNS')",peopl,people,introduction,people,O,,
judged,judged,"('judged', 'VBN')",judg,judge,introduction,judged,O,,
kilometres,kilometres,"('kilometres', 'NNS')",kilometr,kilometre,description,kilometres,O,,
inland,inland,"('inland', 'VBP')",inland,inland,description,inland,O,,
south,south,"('south', 'NN')",south,south,description,south,O,,
Helsingborg,helsingborg,"('helsingborg', 'NN')",helsingborg,helsingborg,description,Helsingborg,B,PERSON,"People, including fictional"
