token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Synonymous,synonymous,"('synonymous', 'JJ')",synonym,synonymous,introduction,Synonymous,O,,
Parisian,parisian,"('parisian', 'JJ')",parisian,parisian,introduction,Parisian,B,NORP,Nationalities or religious or political groups
glamour,glamour,"('glamour', 'VBP')",glamour,glamour,introduction,glamour,O,,
cuts,cuts,"('cuts', 'NNS')",cut,cut,introduction,cuts,O,,
one,one,"('one', 'CD')",one,one,introduction,one,B,CARDINAL,Numerals that do not fall under another type
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
exclusive,exclusive,"('exclusive', 'JJ')",exclus,exclusive,introduction,exclusive,O,,
districts,districts,"('districts', 'NNS')",district,district,introduction,districts,O,,
studded,studded,"('studded', 'VBN')",stud,stud,introduction,studded,O,,
luxury,luxury,"('luxury', 'NN')",luxuri,luxury,introduction,luxury,O,,
hotels,hotels,"('hotels', 'NNS')",hotel,hotel,introduction,hotels,O,,
fashion,fashion,"('fashion', 'NN')",fashion,fashion,introduction,fashion,O,,
boutiques,boutiques,"('boutiques', 'NNS')",boutiqu,boutique,introduction,boutiques,O,,
avenue,avenue,"('avenue', 'NN')",avenu,avenue,introduction,avenue,O,,
forms,forms,"('forms', 'NNS')",form,form,introduction,forms,O,,
part,part,"('part', 'NN')",part,part,introduction,part,O,,
grand,grand,"('grand', 'JJ')",grand,grand,introduction,grand,O,,
axis,axis,"('axis', 'NN')",axi,axis,introduction,axis,O,,
extends,extends,"('extends', 'VBZ')",extend,extend,introduction,extends,O,,
Louvre,louvre,"('louvre', 'NN')",louvr,louvre,introduction,Louvre,O,,
heart,heart,"('heart', 'NN')",heart,heart,introduction,heart,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
Grande,grande,"('grande', 'NN')",grand,grande,introduction,Grande,B,ORG,"Companies, agencies, institutions, etc."
Arche,arche,"('arche', 'NN')",arch,arche,introduction,Arche,I,ORG,"Companies, agencies, institutions, etc."
de,de,"('de', 'IN')",de,de,introduction,de,I,ORG,"Companies, agencies, institutions, etc."
la,la,"('la', 'FW')",la,la,introduction,la,I,ORG,"Companies, agencies, institutions, etc."
Défense,défense,"('défense', 'NN')",défens,défense,introduction,Défense,I,ORG,"Companies, agencies, institutions, etc."
west,west,"('west', 'NN')",west,west,introduction,west,O,,
Referred,referred,"('referred', 'VBD')",refer,refer,introduction,Referred,B,ORG,"Companies, agencies, institutions, etc."
Voie,voie,"('voie', 'JJ')",voie,voie,introduction,Voie,I,ORG,"Companies, agencies, institutions, etc."
Triomphale,triomphale,"('triomphale', 'NN')",triomphal,triomphale,introduction,Triomphale,I,ORG,"Companies, agencies, institutions, etc."
Triumphal,triumphal,"('triumphal', 'JJ')",triumphal,triumphal,introduction,Triumphal,I,ORG,"Companies, agencies, institutions, etc."
Way,way,"('way', 'NN')",way,way,introduction,Way,O,,
offers,offers,"('offers', 'VBZ')",offer,offer,introduction,offers,O,,
impressive,impressive,"('impressive', 'JJ')",impress,impressive,introduction,impressive,O,,
vistas,vistas,"('vistas', 'NNS')",vista,vista,introduction,vistas,O,,
along,along,"('along', 'IN')",along,along,introduction,along,O,,
length,length,"('length', 'NN')",length,length,introduction,length,O,,
incorporates,incorporates,"('incorporates', 'VBZ')",incorpor,incorporate,introduction,incorporates,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
famous,famous,"('famous', 'JJ')",famou,famous,introduction,famous,O,,
landmarks,landmarks,"('landmarks', 'NNS')",landmark,landmark,introduction,landmarks,O,,
only,only,"('only', 'RB')",onli,only,introduction,only,O,,
also,also,"('also', 'RB')",also,also,introduction,also,O,,
Tuileries,tuileries,"('tuileries', 'NNS')",tuileri,tuileries,introduction,Tuileries,B,ORG,"Companies, agencies, institutions, etc."
