token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Long,long,"('long', 'RB')",long,long,introduction,Long,O,,
considered,considered,"('considered', 'VBN')",consid,consider,introduction,considered,O,,
paragon,paragon,"('paragon', 'NN')",paragon,paragon,introduction,paragon,O,,
style,style,"('style', 'NN')",style,style,introduction,style,O,,
Paris,paris,"('paris', 'NN')",pari,paris,introduction,Paris,B,GPE,"Countries, cities, states"
perhaps,perhaps,"('perhaps', 'RB')",perhap,perhaps,introduction,perhaps,O,,
glamorous,glamorous,"('glamorous', 'JJ')",glamor,glamorous,introduction,glamorous,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
Europe,europe,"('europe', 'NN')",europ,europe,introduction,Europe,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
once,once,"('once', 'RB')",onc,once,introduction,once,O,,
deeply,deeply,"('deeply', 'JJ')",deepli,deeply,introduction,deeply,O,,
traditional,traditional,"('traditional', 'JJ')",tradit,traditional,introduction,traditional,O,,
metropolis,metropolis,"('metropolis', 'NN')",metropoli,metropolis,introduction,metropolis,O,,
whose,whose,"('whose', 'WP$')",whose,whose,introduction,whose,O,,
inhabitants,inhabitants,"('inhabitants', 'NNS')",inhabit,inhabitant,introduction,inhabitants,O,,
continue,continue,"('continue', 'VBP')",continu,continue,introduction,continue,O,,
notorious,notorious,"('notorious', 'JJ')",notori,notorious,introduction,notorious,O,,
hauteur,hauteur,"('hauteur', 'NN')",hauteur,hauteur,introduction,hauteur,O,,
famously,famously,"('famously', 'RB')",famous,famously,introduction,famously,O,,
cosmopolitan,cosmopolitan,"('cosmopolitan', 'NNS')",cosmopolitan,cosmopolitan,introduction,cosmopolitan,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
reputation,reputation,"('reputation', 'NN')",reput,reputation,description,reputation,O,,
magnet,magnet,"('magnet', 'NN')",magnet,magnet,description,magnet,O,,
writers,writers,"('writers', 'NNS')",writer,writer,description,writers,O,,
artists,artists,"('artists', 'NNS')",artist,artist,description,artists,O,,
dissidents,dissidents,"('dissidents', 'NNS')",dissid,dissident,description,dissidents,O,,
lives,lives,"('lives', 'VBZ')",live,live,description,lives,O,,
