token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Côte,côte,"('côte', 'NN')",côte,côte,introduction,Côte,B,ORG,"Companies, agencies, institutions, etc."
Azur,azur,"('azur', 'NN')",azur,azur,introduction,Azur,I,ORG,"Companies, agencies, institutions, etc."
polarizes,polarizes,"('polarizes', 'VBZ')",polar,polarize,introduction,polarizes,O,,
opinion,opinion,"('opinion', 'NN')",opinion,opinion,introduction,opinion,O,,
like,like,"('like', 'IN')",like,like,introduction,like,O,,
places,places,"('places', 'NNS')",place,place,introduction,places,O,,
France,france,"('france', 'NN')",franc,france,introduction,France,B,GPE,"Countries, cities, states"
remains,remains,"('remains', 'VBZ')",remain,remain,introduction,remains,O,,
glamorous,glamorous,"('glamorous', 'JJ')",glamor,glamorous,introduction,glamorous,O,,
Mediterranean,mediterranean,"('mediterranean', 'JJ')",mediterranean,mediterranean,introduction,Mediterranean,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
playgrounds,playgrounds,"('playgrounds', 'NNS')",playground,playground,introduction,playgrounds,O,,
overdeveloped,overdeveloped,"('overdeveloped', 'JJ')",overdevelop,overdeveloped,introduction,overdeveloped,O,,
victim,victim,"('victim', 'NN')",victim,victim,introduction,victim,O,,
hype,hype,"('hype', 'NN')",hype,hype,introduction,hype,O,,
Yet,yet,"('yet', 'RB')",yet,yet,introduction,Yet,O,,
best,best,"('best', 'JJS')",best,best,introduction,best,O,,
gaps,gaps,"('gaps', 'NNS')",gap,gap,introduction,gaps,O,,
urban,urban,"('urban', 'JJ')",urban,urban,introduction,urban,O,,
sprawl,sprawl,"('sprawl', 'NN')",sprawl,sprawl,introduction,sprawl,O,,
islands,islands,"('islands', 'NNS')",island,island,introduction,islands,O,,
remarkable,remarkable,"('remarkable', 'JJ')",remark,remarkable,introduction,remarkable,O,,
beauty,beauty,"('beauty', 'NN')",beauti,beauty,introduction,beauty,O,,
hills,hills,"('hills', 'NNS')",hill,hill,introduction,hills,O,,
impossibly,impossibly,"('impossibly', 'RB')",imposs,impossibly,introduction,impossibly,O,,
blue,blue,"('blue', 'JJ')",blue,blue,introduction,blue,O,,
water,water,"('water', 'NN')",water,water,introduction,water,O,,
coast,coast,"('coast', 'NN')",coast,coast,introduction,coast,O,,
named,named,"('named', 'VBN')",name,name,introduction,named,O,,
special,special,"('special', 'JJ')",special,special,introduction,special,O,,
light,light,"('light', 'NN')",light,light,introduction,light,O,,
drew,drew,"('drew', 'VBD')",drew,draw,introduction,drew,O,,
many,many,"('many', 'JJ')",mani,many,introduction,many,O,,
artists,artists,"('artists', 'NNS')",artist,artist,introduction,artists,O,,
paint,paint,"('paint', 'VB')",paint,paint,introduction,paint,O,,
captivates,captivates,"('captivates', 'VBZ')",captiv,captivate,introduction,captivates,O,,
still,still,"('still', 'RB')",still,still,introduction,still,O,,
months,months,"('months', 'NNS')",month,month,description,months,B,DATE,Absolute or relative dates or periods
avoid,avoid,"('avoid', 'VB')",avoid,avoid,description,avoid,O,,
July,july,"('july', 'JJ')",juli,july,description,July,B,DATE,Absolute or relative dates or periods
August,august,"('august', 'JJ')",august,august,description,August,I,DATE,Absolute or relative dates or periods
room,room,"('room', 'NN')",room,room,description,room,O,,
prices,prices,"('prices', 'NNS')",price,price,description,prices,O,,
soar,soar,"('soar', 'VB')",soar,soar,description,soar,O,,
overflowing,overflowing,"('overflowing', 'VBG')",overflow,overflow,description,overflowing,O,,
campsites,campsites,"('campsites', 'NNS')",campsit,campsite,description,campsites,O,,
become,become,"('become', 'VBP')",becom,become,description,become,O,,
health,health,"('health', 'NN')",health,health,description,health,O,,
hazards,hazards,"('hazards', 'NNS')",hazard,hazard,description,hazards,O,,
locals,locals,"('locals', 'NNS')",local,local,description,locals,O,,
get,get,"('get', 'VBP')",get,get,description,get,O,,
November,november,"('november', 'VBP')",novemb,november,description,November,B,DATE,Absolute or relative dates or periods
many,many,"('many', 'JJ')",mani,many,description,many,O,,
museums,museums,"('museums', 'NNS')",museum,museum,description,museums,O,,
hotels,hotels,"('hotels', 'NNS')",hotel,hotel,description,hotels,O,,
restaurants,restaurants,"('restaurants', 'NNS')",restaur,restaurant,description,restaurants,O,,
block,block,"('block', 'NN')",block,block,description,block,O,,
sea,sea,"('sea', 'NN')",sea,sea,description,sea,O,,
morning,morning,"('morning', 'NN')",morn,morning,description,morning,O,,
covered,covered,"('covered', 'VBD')",cover,cover,description,covered,O,,
market,market,"('market', 'NN')",market,market,description,market,O,,
overflows,overflows,"('overflows', 'NNS')",overflow,overflow,description,overflows,O,,
Provençal,provençal,"('provençal', 'JJ')",provenç,provençal,description,Provençal,B,ORG,"Companies, agencies, institutions, etc."
goodies,goodies,"('goodies', 'NNS')",goodi,goody,description,goodies,O,,
cut,cut,"('cut', 'NN')",cut,cut,description,cut,O,,
flowers,flowers,"('flowers', 'NNS')",flower,flower,description,flowers,O,,
traditional,traditional,"('traditional', 'JJ')",tradit,traditional,description,traditional,O,,
Antibes,antibes,"('antibes', 'JJ')",antib,antibes,description,Antibes,B,GPE,"Countries, cities, states"
business,business,"('business', 'NN')",busi,business,description,business,O,,
afternoons,afternoons,"('afternoons', 'NNS')",afternoon,afternoon,description,afternoons,B,CARDINAL,Numerals that do not fall under another type
craft,craft,"('craft', 'NN')",craft,craft,description,craft,O,,
market,market,"('market', 'NN')",market,market,description,market,O,,
takes,takes,"('takes', 'VBZ')",take,take,description,takes,O,,
stalls,stalls,"('stalls', 'NNS')",stall,stall,description,stalls,O,,
pack,pack,"('pack', 'VBP')",pack,pack,description,pack,O,,
café,café,"('café', 'JJ')",café,café,description,café,O,,
tables,tables,"('tables', 'NNS')",tabl,table,description,tables,O,,
take,take,"('take', 'VBP')",take,take,description,take,O,,
less,less,"('less', 'JJR')",less,less,description,less,O,,
centre,centre,"('centre', 'NN')",centr,centre,description,centre,O,,
Antibes,antibes,"('antibes', 'NNS')",antib,antibes,description,Antibes,B,GPE,"Countries, cities, states"
heyday,heyday,"('heyday', 'NN')",heyday,heyday,description,heyday,O,,
interwar,interwar,"('interwar', 'JJ')",interwar,interwar,description,interwar,O,,
years,years,"('years', 'NNS')",year,year,description,years,B,DATE,Absolute or relative dates or periods
summer,summer,"('summer', 'NN')",summer,summer,description,summer,I,DATE,Absolute or relative dates or periods
season,season,"('season', 'NN')",season,season,description,season,O,,
Riviera,riviera,"('riviera', 'NN')",riviera,riviera,description,Riviera,B,ORG,"Companies, agencies, institutions, etc."
first,first,"('first', 'RB')",first,first,description,first,B,ORDINAL,"""first"", ""second"", etc."
took,took,"('took', 'VBD')",took,take,description,took,O,,
resort,resort,"('resort', 'NN')",resort,resort,description,resort,O,,
was,was,"('was', 'VBD')",wa,be,description,was,O,,
haunt,haunt,"('haunt', 'NN')",haunt,haunt,description,haunt,O,,
film,film,"('film', 'NN')",film,film,description,film,O,,
stars,stars,"('stars', 'NNS')",star,star,description,stars,O,,
like,like,"('like', 'IN')",like,like,description,like,O,,
Charlie,charlie,"('charlie', 'NN')",charli,charlie,description,Charlie,B,PERSON,"People, including fictional"
Chaplin,chaplin,"('chaplin', 'NN')",chaplin,chaplin,description,Chaplin,I,PERSON,"People, including fictional"
Maurice,maurice,"('maurice', 'NN')",mauric,maurice,description,Maurice,I,PERSON,"People, including fictional"
Chevalier,chevalier,"('chevalier', 'NN')",chevali,chevalier,description,Chevalier,I,PERSON,"People, including fictional"
Lilian,lilian,"('lilian', 'JJ')",lilian,lilian,description,Lilian,O,,
Harvey,harvey,"('harvey', 'NN')",harvey,harvey,description,Harvey,O,,
polyglot,polyglot,"('polyglot', 'NN')",polyglot,polyglot,description,polyglot,O,,
musical,musical,"('musical', 'JJ')",music,musical,description,musical,O,,
star,star,"('star', 'NN')",star,star,description,star,O,,
lingered,lingered,"('lingered', 'VBD')",linger,linger,description,lingered,O,,
long,long,"('long', 'RB')",long,long,description,long,O,,
fame,fame,"('fame', 'NN')",fame,fame,description,fame,O,,
faded,faded,"('faded', 'VBN')",fade,fade,description,faded,O,,
glamorous,glamorous,"('glamorous', 'JJ')",glamor,glamorous,description,glamorous,O,,
once,once,"('once', 'RB')",onc,once,description,once,O,,
was,was,"('was', 'VBD')",wa,be,description,was,O,,
either,either,"('either', 'CC')",either,either,description,either,O,,
though,though,"('though', 'IN')",though,though,description,though,O,,
still,still,"('still', 'RB')",still,still,description,still,O,,
has,has,"('has', 'VBZ')",ha,have,description,has,O,,
casino,casino,"('casino', 'NN')",casino,casino,description,casino,O,,
certain,certain,"('certain', 'JJ')",certain,certain,description,certain,O,,
cachet,cachet,"('cachet', 'NN')",cachet,cachet,description,cachet,O,,
beaches,beaches,"('beaches', 'NNS')",beach,beach,description,beaches,O,,
Antibes,antibes,"('antibes', 'JJ')",antib,antibes,description,Antibes,B,GPE,"Countries, cities, states"
ramparts,ramparts,"('ramparts', 'NNS')",rampart,rampart,description,ramparts,O,,
sea,sea,"('sea', 'NN')",sea,sea,description,sea,O,,
Château,château,"('château', 'NN')",château,château,description,Château,B,ORG,"Companies, agencies, institutions, etc."
Grimaldi,grimaldi,"('grimaldi', 'NN')",grimaldi,grimaldi,description,Grimaldi,I,ORG,"Companies, agencies, institutions, etc."
beautifully,beautifully,"('beautifully', 'RB')",beauti,beautifully,description,beautifully,O,,
cool,cool,"('cool', 'JJ')",cool,cool,description,cool,O,,
light,light,"('light', 'JJ')",light,light,description,light,O,,
space,space,"('space', 'NN')",space,space,description,space,O,,
terrace,terrace,"('terrace', 'NN')",terrac,terrace,description,terrace,O,,
garden,garden,"('garden', 'NN')",garden,garden,description,garden,O,,
filled,filled,"('filled', 'VBN')",fill,fill,description,filled,O,,
sculptures,sculptures,"('sculptures', 'NNS')",sculptur,sculpture,description,sculptures,O,,
Germaine,germaine,"('germaine', 'NN')",germain,germaine,description,Germaine,B,ORG,"Companies, agencies, institutions, etc."
Richier,richier,"('richier', 'NN')",richier,richier,description,Richier,I,ORG,"Companies, agencies, institutions, etc."
Miró,miró,"('miró', 'NN')",miró,miró,description,Miró,I,ORG,"Companies, agencies, institutions, etc."
loan,loan,"('loan', 'NN')",loan,loan,description,loan,I,ORG,"Companies, agencies, institutions, etc."
Picasso,picasso,"('picasso', 'NN')",picasso,picasso,description,Picasso,B,PERSON,"People, including fictional"
was,was,"('was', 'VBD')",wa,be,description,was,O,,
offered,offered,"('offered', 'VBN')",offer,offer,description,offered,O,,
dusty,dusty,"('dusty', 'JJ')",dusti,dusty,description,dusty,O,,
building,building,"('building', 'NN')",build,building,description,building,O,,
studio,studio,"('studio', 'NN')",studio,studio,description,studio,O,,
Several,several,"('several', 'JJ')",sever,several,description,Several,B,DATE,Absolute or relative dates or periods
prolific,prolific,"('prolific', 'JJ')",prolif,prolific,description,prolific,I,DATE,Absolute or relative dates or periods
months,months,"('months', 'NNS')",month,month,description,months,I,DATE,Absolute or relative dates or periods
followed,followed,"('followed', 'VBD')",follow,follow,description,followed,O,,
before,before,"('before', 'IN')",befor,before,description,before,O,,
moved,moved,"('moved', 'VBD')",move,move,description,moved,O,,
Vallauris,vallauris,"('vallauris', 'VB')",vallauri,vallauris,description,Vallauris,B,PERSON,"People, including fictional"
leaving,leaving,"('leaving', 'VBG')",leav,leave,description,leaving,O,,
his,his,"('his', 'PRP$')",hi,his,description,his,O,,
Antibes,antibes,"('antibes', 'NN')",antib,antibes,description,Antibes,O,,
output,output,"('output', 'NN')",output,output,description,output,O,,
Musée,musée,"('musée', 'NN')",musé,musée,description,Musée,B,PERSON,"People, including fictional"
Picasso,picasso,"('picasso', 'NN')",picasso,picasso,description,Picasso,I,PERSON,"People, including fictional"
Although,although,"('although', 'IN')",although,although,description,Although,O,,
donated,donated,"('donated', 'VBD')",donat,donate,description,donated,O,,
works,works,"('works', 'NNS')",work,work,description,works,O,,
later,later,"('later', 'RBR')",later,later,description,later,O,,
bulk,bulk,"('bulk', 'NN')",bulk,bulk,description,bulk,O,,
collection,collection,"('collection', 'NN')",collect,collection,description,collection,O,,
belongs,belongs,"('belongs', 'VBZ')",belong,belong,description,belongs,O,,
this,this,"('this', 'DT')",thi,this,description,this,O,,
one,one,"('one', 'CD')",one,one,description,one,B,CARDINAL,Numerals that do not fall under another type
period,period,"('period', 'NN')",period,period,description,period,O,,
nudes,nudes,"('nudes', 'NNS')",nude,nude,description,nudes,O,,
fauns,fauns,"('fauns', 'NNS')",faun,faun,description,fauns,O,,
still,still,"('still', 'RB')",still,still,description,still,O,,
lifes,lifes,"('lifes', 'JJ')",life,lifes,description,lifes,O,,
plus,plus,"('plus', 'CC')",plu,plus,description,plus,O,,
sculpture,sculpture,"('sculpture', 'NN')",sculptur,sculpture,description,sculpture,O,,
ceramics,ceramics,"('ceramics', 'NNS')",ceram,ceramic,description,ceramics,O,,
made,made,"('made', 'VBN')",made,make,description,made,O,,
Madoura,madoura,"('madoura', 'NN')",madoura,madoura,description,Madoura,B,PERSON,"People, including fictional"
workshop,workshop,"('workshop', 'NN')",workshop,workshop,description,workshop,O,,
Vallauris,vallauris,"('vallauris', 'JJ')",vallauri,vallauris,description,Vallauris,O,,
Temporary,temporary,"('temporary', 'JJ')",temporari,temporary,description,Temporary,O,,
exhibitions,exhibitions,"('exhibitions', 'NNS')",exhibit,exhibition,description,exhibitions,O,,
focus,focus,"('focus', 'VBP')",focu,focus,description,focus,O,,
particular,particular,"('particular', 'JJ')",particular,particular,description,particular,O,,
aspects,aspects,"('aspects', 'NNS')",aspect,aspect,description,aspects,O,,
collection,collection,"('collection', 'NN')",collect,collection,description,collection,O,,
also,also,"('also', 'RB')",also,also,description,also,O,,
includes,includes,"('includes', 'VBZ')",includ,include,description,includes,O,,
anguished,anguished,"('anguished', 'JJ')",anguish,anguished,description,anguished,O,,
canvases,canvases,"('canvases', 'NNS')",canvas,canvas,description,canvases,O,,
Nicolas,nicolas,"('nicolas', 'NNS')",nicola,nicolas,description,Nicolas,B,PERSON,"People, including fictional"
de,de,"('de', 'IN')",de,de,description,de,I,PERSON,"People, including fictional"
Staël,staël,"('staël', 'NN')",staël,staël,description,Staël,I,PERSON,"People, including fictional"
stayed,stayed,"('stayed', 'VBD')",stay,stay,description,stayed,O,,
Antibes,antibes,"('antibes', 'NNS')",antib,antibes,description,Antibes,O,,
months,months,"('months', 'NNS')",month,month,description,months,O,,
Antibes,antibes,"('antibes', 'NNS')",antib,antibes,description,Antibes,B,PERSON,"People, including fictional"
Nice,nice,"('nice', 'JJ')",nice,nice,description,Nice,I,PERSON,"People, including fictional"
Baie,baie,"('baie', 'NN')",baie,baie,description,Baie,I,PERSON,"People, including fictional"
des,des,"('des', 'VBZ')",de,des,description,des,I,PERSON,"People, including fictional"
Anges,anges,"('anges', 'NNS')",ang,anges,description,Anges,I,PERSON,"People, including fictional"
laps,laps,"('laps', 'NNS')",lap,lap,description,laps,O,,
long,long,"('long', 'JJ')",long,long,description,long,O,,
stretch,stretch,"('stretch', 'NN')",stretch,stretch,description,stretch,O,,
undistinguished,undistinguished,"('undistinguished', 'JJ')",undistinguish,undistinguished,description,undistinguished,O,,
resorts,resorts,"('resorts', 'NNS')",resort,resort,description,resorts,O,,
old,old,"('old', 'JJ')",old,old,description,old,O,,
towns,towns,"('towns', 'NNS')",town,town,description,towns,O,,
Cagnes,cagnes,"('cagnes', 'NNS')",cagn,cagnes,description,Cagnes,B,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
lie,lie,"('lie', 'IN')",lie,lie,description,lie,O,,
inland,inland,"('inland', 'NN')",inland,inland,description,inland,O,,
Cagnes,cagnes,"('cagnes', 'NNS')",cagn,cagnes,description,Cagnes,B,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
associated,associated,"('associated', 'VBN')",associ,associate,description,associated,O,,
Renoir,renoir,"('renoir', 'NN')",renoir,renoir,description,Renoir,B,ORG,"Companies, agencies, institutions, etc."
houses,houses,"('houses', 'NNS')",hous,house,description,houses,O,,
wonderful,wonderful,"('wonderful', 'JJ')",wonder,wonderful,description,wonderful,O,,
modern,modern,"('modern', 'JJ')",modern,modern,description,modern,O,,
art,art,"('art', 'NN')",art,art,description,art,O,,
collection,collection,"('collection', 'NN')",collect,collection,description,collection,O,,
Fondation,fondation,"('fondation', 'NN')",fondat,fondation,description,Fondation,O,,
Maeght,maeght,"('maeght', 'NN')",maeght,maeght,description,Maeght,B,PERSON,"People, including fictional"
Vence,vence,"('vence', 'NN')",venc,vence,description,Vence,I,PERSON,"People, including fictional"
has,has,"('has', 'VBZ')",ha,have,description,has,O,,
small,small,"('small', 'JJ')",small,small,description,small,O,,
chapel,chapel,"('chapel', 'NN')",chapel,chapel,description,chapel,O,,
decorated,decorated,"('decorated', 'VBN')",decor,decorate,description,decorated,O,,
Matisse,matisse,"('matisse', 'NN')",matiss,matisse,description,Matisse,B,ORG,"Companies, agencies, institutions, etc."
relaxing,relaxing,"('relaxing', 'JJ')",relax,relaxing,description,relaxing,O,,
place,place,"('place', 'NN')",place,place,description,place,O,,
best,best,"('best', 'VB')",best,best,description,best,O,,
places,places,"('places', 'NNS')",place,place,description,places,O,,
eat,eat,"('eat', 'VB')",eat,eat,description,eat,O,,
early,early,"('early', 'JJ')",earli,early,description,early,O,,
July,july,"('july', 'NN')",juli,july,description,July,O,,
Cagnes,cagnes,"('cagnes', 'NNS')",cagn,cagnes,description,Cagnes,O,,
celebrates,celebrates,"('celebrates', 'VBZ')",celebr,celebrate,description,celebrates,O,,
