token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
palace,palace,"('palace', 'NN')",palac,palace,introduction,palace,O,,
Louvre,louvre,"('louvre', 'NN')",louvr,louvre,introduction,Louvre,B,PERSON,"People, including fictional"
cuts,cuts,"('cuts', 'VBZ')",cut,cut,introduction,cuts,O,,
magnificent,magnificent,"('magnificent', 'JJ')",magnific,magnificent,introduction,magnificent,O,,
classical,classical,"('classical', 'JJ')",classic,classical,introduction,classical,O,,
swathe,swathe,"('swathe', 'NN')",swath,swathe,introduction,swathe,O,,
right,right,"('right', 'RB')",right,right,introduction,right,O,,
centre,centre,"('centre', 'NN')",centr,centre,introduction,centre,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
fitting,fitting,"('fitting', 'JJ')",fit,fitting,introduction,fitting,O,,
setting,setting,"('setting', 'NN')",set,setting,introduction,setting,O,,
one,one,"('one', 'CD')",one,one,introduction,one,B,CARDINAL,Numerals that do not fall under another type
world,world,"('world', 'NN')",world,world,introduction,world,O,,
grandest,grandest,"('grandest', 'JJS')",grandest,grand,introduction,grandest,O,,
art,art,"('art', 'NN')",art,art,introduction,art,O,,
galleries,galleries,"('galleries', 'NNS')",galleri,gallery,introduction,galleries,O,,
Originally,originally,"('originally', 'RB')",origin,originally,introduction,Originally,B,ORG,"Companies, agencies, institutions, etc."
little,little,"('little', 'RB')",littl,little,introduction,little,O,,
feudal,feudal,"('feudal', 'JJ')",feudal,feudal,introduction,feudal,O,,
fortress,fortress,"('fortress', 'NN')",fortress,fortress,introduction,fortress,O,,
castle,castle,"('castle', 'NN')",castl,castle,introduction,castle,O,,
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
rebuilt,rebuilt,"('rebuilt', 'VBN')",rebuilt,rebuild,introduction,rebuilt,O,,
new,new,"('new', 'JJ')",new,new,introduction,new,O,,
Renaissance,renaissance,"('renaissance', 'NN')",renaiss,renaissance,introduction,Renaissance,B,ORG,"Companies, agencies, institutions, etc."
style,style,"('style', 'NN')",style,style,introduction,style,O,,
François,françois,"('françois', 'NN')",françoi,françois,introduction,François,B,PERSON,"People, including fictional"
