token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
three,three,"('three', 'CD')",three,three,introduction,three,B,CARDINAL,Numerals that do not fall under another type
million,million,"('million', 'CD')",million,million,introduction,million,I,CARDINAL,Numerals that do not fall under another type
people,people,"('people', 'NNS')",peopl,people,introduction,people,O,,
visit,visit,"('visit', 'VBP')",visit,visit,introduction,visit,O,,
Corsica,corsica,"('corsica', 'NNS')",corsica,corsica,introduction,Corsica,B,LAW,Named documents made into laws.
year,year,"('year', 'NN')",year,year,introduction,year,I,LAW,Named documents made into laws.
drawn,drawn,"('drawn', 'VBN')",drawn,draw,introduction,drawn,O,,
mild,mild,"('mild', 'JJ')",mild,mild,introduction,mild,O,,
climate,climate,"('climate', 'NN')",climat,climate,introduction,climate,O,,
diverse,diverse,"('diverse', 'JJ')",divers,diverse,introduction,diverse,O,,
landscapes,landscapes,"('landscapes', 'NNS')",landscap,landscape,introduction,landscapes,O,,
Europe,europe,"('europe', 'NN')",europ,europe,introduction,Europe,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Nowhere,nowhere,"('nowhere', 'RB')",nowher,nowhere,introduction,Nowhere,O,,
Mediterranean,mediterranean,"('mediterranean', 'NN')",mediterranean,mediterranean,introduction,Mediterranean,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction,beaches,O,,
finer,finer,"('finer', 'RB')",finer,finer,introduction,finer,O,,
island,island,"('island', 'NN')",island,island,introduction,island,O,,
perfect,perfect,"('perfect', 'JJ')",perfect,perfect,introduction,perfect,O,,
bays,bays,"('bays', 'NNS')",bay,bay,introduction,bays,O,,
white,white,"('white', 'JJ')",white,white,introduction,white,O,,
sand,sand,"('sand', 'NN')",sand,sand,introduction,sand,O,,
transparent,transparent,"('transparent', 'JJ')",transpar,transparent,introduction,transparent,O,,
