token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Only,only,"('only', 'RB')",onli,only,introduction,Only,O,,
traverse,traverse,"('traverse', 'VBP')",travers,traverse,introduction,traverse,O,,
Rocky,rocky,"('rocky', 'JJ')",rocki,rocky,introduction,Rocky,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Mountain,mountain,"('mountain', 'NN')",mountain,mountain,introduction,Mountain,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
states,states,"('states', 'NNS')",state,state,introduction,states,O,,
Colorado,colorado,"('colorado', 'NN')",colorado,colorado,introduction,Colorado,B,GPE,"Countries, cities, states"
Wyoming,wyoming,"('wyoming', 'VBG')",wyom,wyoming,introduction,Wyoming,B,GPE,"Countries, cities, states"
Montana,montana,"('montana', 'NNS')",montana,montana,introduction,Montana,B,GPE,"Countries, cities, states"
Idaho,idaho,"('idaho', 'NN')",idaho,idaho,introduction,Idaho,B,GPE,"Countries, cities, states"
does,does,"('does', 'VBZ')",doe,do,introduction,does,O,,
immense,immense,"('immense', 'JJ')",immens,immense,introduction,immense,O,,
size,size,"('size', 'NN')",size,size,introduction,size,O,,
American,american,"('american', 'JJ')",american,american,introduction,American,B,NORP,Nationalities or religious or political groups
West,west,"('west', 'NN')",west,west,introduction,West,O,,
really,really,"('really', 'RB')",realli,really,introduction,really,O,,
hit,hit,"('hit', 'VBD')",hit,hit,introduction,hit,O,,
home,home,"('home', 'NN')",home,home,introduction,home,O,,
Stretching,stretching,"('stretching', 'NN')",stretch,stretching,introduction,Stretching,B,NORP,Nationalities or religious or political groups
one,one,"('one', 'CD')",one,one,introduction,one,B,QUANTITY,"Measurements, as of weight or distance"
thousand,thousand,"('thousand', 'NN')",thousand,thousand,introduction,thousand,I,QUANTITY,"Measurements, as of weight or distance"
miles,miles,"('miles', 'NNS')",mile,mile,introduction,miles,I,QUANTITY,"Measurements, as of weight or distance"
virgin,virgin,"('virgin', 'NN')",virgin,virgin,introduction,virgin,O,,
forests,forests,"('forests', 'NNS')",forest,forest,introduction,forests,O,,
Canadian,canadian,"('canadian', 'JJ')",canadian,canadian,introduction,Canadian,B,NORP,Nationalities or religious or political groups
border,border,"('border', 'NN')",border,border,introduction,border,O,,
deserts,deserts,"('deserts', 'NNS')",desert,desert,introduction,deserts,O,,
New,new,"('new', 'JJ')",new,new,introduction,New,B,GPE,"Countries, cities, states"
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,introduction,Mexico,I,GPE,"Countries, cities, states"
America,america,"('america', 'NN')",america,america,introduction,America,I,GPE,"Countries, cities, states"
rugged,rugged,"('rugged', 'VBN')",rug,rugged,introduction,rugged,O,,
spine,spine,"('spine', 'NN')",spine,spine,introduction,spine,O,,
encompasses,encompasses,"('encompasses', 'VBZ')",encompass,encompass,introduction,encompasses,O,,
astonishing,astonishing,"('astonishing', 'JJ')",astonish,astonishing,introduction,astonishing,O,,
array,array,"('array', 'NN')",array,array,introduction,array,B,PERSON,"People, including fictional"
landscapes,landscapes,"('landscapes', 'NNS')",landscap,landscape,introduction,landscapes,I,PERSON,"People, including fictional"
geyser,geyser,"('geyser', 'VBP')",geyser,geyser,introduction,geyser,O,,
basins,basins,"('basins', 'NNS')",basin,basin,introduction,basins,O,,
lava,lava,"('lava', 'JJ')",lava,lava,introduction,lava,O,,
flows,flows,"('flows', 'NNS')",flow,flow,introduction,flows,O,,
arid,arid,"('arid', 'VBP')",arid,arid,introduction,arid,O,,
valleys,valleys,"('valleys', 'NNS')",valley,valley,introduction,valleys,O,,
huge,huge,"('huge', 'JJ')",huge,huge,introduction,huge,O,,
sand,sand,"('sand', 'NN')",sand,sand,introduction,sand,O,,
dunes,dunes,"('dunes', 'NNS')",dune,dune,introduction,dunes,O,,
