token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Poor,poor,"('poor', 'JJ')",poor,poor,introduction,Poor,O,,
sexy,sexy,"('sexy', 'JJ')",sexi,sexy,introduction,sexy,O,,
hipster,hipster,"('hipster', 'JJ')",hipster,hipster,introduction,hipster,O,,
Berlin,berlin,"('berlin', 'NN')",berlin,berlin,introduction,Berlin,B,GPE,"Countries, cities, states"
mayor,mayor,"('mayor', 'NN')",mayor,mayor,introduction,mayor,O,,
Klaus,klaus,"('klaus', 'VBD')",klau,klaus,introduction,Klaus,B,PERSON,"People, including fictional"
Wowereit,wowereit,"('wowereit', 'WP')",wowereit,wowereit,introduction,Wowereit,I,PERSON,"People, including fictional"
proudly,proudly,"('proudly', 'RB')",proudli,proudly,introduction,proudly,O,,
describes,describes,"('describes', 'VBZ')",describ,describe,introduction,describes,O,,
his,his,"('his', 'PRP$')",hi,his,introduction,his,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
poverty,poverty,"('poverty', 'NN')",poverti,poverty,introduction,poverty,O,,
stems,stems,"('stems', 'VBZ')",stem,stem,introduction,stems,O,,
back,back,"('back', 'RB')",back,back,introduction,back,O,,
World,world,"('world', 'NN')",world,world,introduction,World,B,EVENT,"Named hurricanes, battles, wars, sports events, etc."
War,war,"('war', 'NN')",war,war,introduction,War,I,EVENT,"Named hurricanes, battles, wars, sports events, etc."
II,ii,"('ii', 'NN')",ii,ii,introduction,II,I,EVENT,"Named hurricanes, battles, wars, sports events, etc."
devastation,devastation,"('devastation', 'NN')",devast,devastation,introduction,devastation,O,,
bombs,bombs,"('bombs', 'NN')",bomb,bomb,introduction,bombs,O,,
razed,razed,"('razed', 'VBD')",raze,raze,introduction,razed,O,,
percent,percent,"('percent', 'NN')",percent,percent,introduction,percent,O,,
buildings,buildings,"('buildings', 'NNS')",build,building,introduction,buildings,O,,
provoked,provoked,"('provoked', 'VBD')",provok,provoke,introduction,provoked,O,,
serious,serious,"('serious', 'JJ')",seriou,serious,introduction,serious,O,,
debate,debate,"('debate', 'NN')",debat,debate,introduction,debate,O,,
leaving,leaving,"('leaving', 'VBG')",leav,leave,introduction,leaving,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
ruins,ruins,"('ruins', 'NNS')",ruin,ruin,introduction,ruins,O,,
starting,starting,"('starting', 'VBG')",start,start,introduction,starting,O,,
afresh,afresh,"('afresh', 'JJ')",afresh,afresh,introduction,afresh,O,,
nearby,nearby,"('nearby', 'JJ')",nearbi,nearby,introduction,nearby,O,,
Decades,decades,"('decades', 'NNS')",decad,decade,introduction,Decades,B,DATE,Absolute or relative dates or periods
rebuilding,rebuilding,"('rebuilding', 'VBG')",rebuild,rebuild,introduction,rebuilding,O,,
since,since,"('since', 'IN')",sinc,since,introduction,since,O,,
almost,almost,"('almost', 'RB')",almost,almost,introduction,almost,O,,
totally,totally,"('totally', 'RB')",total,totally,introduction,totally,O,,
rejuvenated,rejuvenated,"('rejuvenated', 'JJ')",rejuven,rejuvenated,introduction,rejuvenated,O,,
Berlin,berlin,"('berlin', 'NN')",berlin,berlin,introduction,Berlin,B,GPE,"Countries, cities, states"
also,also,"('also', 'RB')",also,also,introduction,also,O,,
left,left,"('left', 'VBN')",left,leave,introduction,left,O,,
broke,broke,"('broke', 'VBD')",broke,break,introduction,broke,O,,
sexiness,sexiness,"('sexiness', 'NN')",sexi,sexiness,description,sexiness,O,,
dates,dates,"('dates', 'NNS')",date,date,description,dates,O,,
back,back,"('back', 'RB')",back,back,description,back,O,,
even,even,"('even', 'RB')",even,even,description,even,O,,
debauched,debauched,"('debauched', 'VBN')",debauch,debauch,description,debauched,O,,
began,began,"('began', 'VBD')",began,begin,description,began,O,,
take,take,"('take', 'VB')",take,take,description,take,O,,
form,form,"('form', 'NN')",form,form,description,form,O,,
during,during,"('during', 'IN')",dure,during,description,during,O,,
Cold,cold,"('cold', 'JJ')",cold,cold,description,Cold,B,EVENT,"Named hurricanes, battles, wars, sports events, etc."
War,war,"('war', 'NN')",war,war,description,War,I,EVENT,"Named hurricanes, battles, wars, sports events, etc."
military,military,"('military', 'JJ')",militari,military,description,military,O,,
service,service,"('service', 'NN')",servic,service,description,service,O,,
loophole,loophole,"('loophole', 'NN')",loophol,loophole,description,loophole,O,,
huge,huge,"('huge', 'JJ')",huge,huge,description,huge,O,,
West,west,"('west', 'JJ')",west,west,description,West,B,NORP,Nationalities or religious or political groups
German,german,"('german', 'JJ')",german,german,description,German,I,NORP,Nationalities or religious or political groups
arts,arts,"('arts', 'NNS')",art,art,description,arts,O,,
scene,scene,"('scene', 'NN')",scene,scene,description,scene,O,,
subsidies,subsidies,"('subsidies', 'NNS')",subsidi,subsidy,description,subsidies,O,,
attracted,attracted,"('attracted', 'VBD')",attract,attract,description,attracted,O,,
hippies,hippies,"('hippies', 'NNS')",hippi,hippy,description,hippies,O,,
punks,punks,"('punks', 'NNS')",punk,punk,description,punks,O,,
gays,gays,"('gays', 'NNS')",gay,gay,description,gays,O,,
lesbians,lesbians,"('lesbians', 'NNS')",lesbian,lesbian,description,lesbians,O,,
artists,artists,"('artists', 'NNS')",artist,artist,description,artists,O,,
musicians,musicians,"('musicians', 'NNS')",musician,musician,description,musicians,O,,
Subsequent,subsequent,"('subsequent', 'JJ')",subsequ,subsequent,description,Subsequent,O,,
waves,waves,"('waves', 'NNS')",wave,wave,description,waves,O,,
economic,economic,"('economic', 'JJ')",econom,economic,description,economic,O,,
immigrants,immigrants,"('immigrants', 'NNS')",immigr,immigrant,description,immigrants,O,,
Greece,greece,"('greece', 'NN')",greec,greece,description,Greece,B,GPE,"Countries, cities, states"
Italy,italy,"('italy', 'NN')",itali,italy,description,Italy,O,,
Turkey,turkey,"('turkey', 'NN')",turkey,turkey,description,Turkey,B,GPE,"Countries, cities, states"
linked,linked,"('linked', 'VBN')",link,link,description,linked,O,,
occupying,occupying,"('occupying', 'VBG')",occupi,occupy,description,occupying,O,,
American,american,"('american', 'JJ')",american,american,description,American,B,NORP,Nationalities or religious or political groups
British,british,"('british', 'JJ')",british,british,description,British,B,NORP,Nationalities or religious or political groups
French,french,"('french', 'JJ')",french,french,description,French,B,NORP,Nationalities or religious or political groups
forces,forces,"('forces', 'NNS')",forc,force,description,forces,O,,
current,current,"('current', 'JJ')",current,current,description,current,O,,
crop,crop,"('crop', 'NN')",crop,crop,description,crop,O,,
adventurous,adventurous,"('adventurous', 'JJ')",adventur,adventurous,description,adventurous,O,,
urbanites,urbanites,"('urbanites', 'NNS')",urbanit,urbanites,description,urbanites,O,,
developed,developed,"('developed', 'JJ')",develop,developed,description,developed,O,,
world,world,"('world', 'NN')",world,world,description,world,O,,
made,made,"('made', 'VBN')",made,make,description,made,O,,
