token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Nestled,nestled,"('nestled', 'VBN')",nestl,nestle,introduction,Nestled,O,,
wooded,wooded,"('wooded', 'JJ')",wood,wooded,introduction,wooded,O,,
gorge,gorge,"('gorge', 'NN')",gorg,gorge,introduction,gorge,O,,
River,river,"('river', 'NN')",river,river,introduction,River,O,,
Neckar,neckar,"('neckar', 'IN')",neckar,neckar,introduction,Neckar,O,,
university,university,"('university', 'NN')",univers,university,introduction,university,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
Heidelberg,heidelberg,"('heidelberg', 'NN')",heidelberg,heidelberg,introduction,Heidelberg,B,ORG,"Companies, agencies, institutions, etc."
boasts,boasts,"('boasts', 'VBZ')",boast,boast,introduction,boasts,O,,
roster,roster,"('roster', 'NN')",roster,roster,introduction,roster,O,,
sights,sights,"('sights', 'NNS')",sight,sight,introduction,sights,O,,
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
inspired,inspired,"('inspired', 'VBN')",inspir,inspire,introduction,inspired,O,,
many,many,"('many', 'JJ')",mani,many,introduction,many,O,,
great,great,"('great', 'JJ')",great,great,introduction,great,O,,
men,men,"('men', 'NNS')",men,men,introduction,men,O,,
Goethe,goethe,"('goethe', 'VBP')",goeth,goethe,introduction,Goethe,O,,
waxed,waxed,"('waxed', 'JJ')",wax,waxed,introduction,waxed,O,,
lyrical,lyrical,"('lyrical', 'JJ')",lyric,lyrical,introduction,lyrical,O,,
beauty,beauty,"('beauty', 'NN')",beauti,beauty,introduction,beauty,O,,
Turner,turner,"('turner', 'NN')",turner,turner,introduction,Turner,B,ORG,"Companies, agencies, institutions, etc."
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
bewitched,bewitched,"('bewitched', 'VBN')",bewitch,bewitch,introduction,bewitched,O,,
captured,captured,"('captured', 'VBD')",captur,capture,introduction,captured,O,,
posterity,posterity,"('posterity', 'NN')",poster,posterity,introduction,posterity,O,,
Benjamin,benjamin,"('benjamin', 'NN')",benjamin,benjamin,introduction,Benjamin,B,PERSON,"People, including fictional"
Disraeli,disraeli,"('disraeli', 'NN')",disra,disraeli,introduction,Disraeli,I,PERSON,"People, including fictional"
fell,fell,"('fell', 'VBD')",fell,fell,introduction,fell,O,,
exceeding,exceeding,"('exceeding', 'VBG')",exceed,exceed,introduction,exceeding,O,,
loveliness,loveliness,"('loveliness', 'NN')",loveli,loveliness,introduction,loveliness,O,,
romantic,romantic,"('romantic', 'JJ')",romant,romantic,introduction,romantic,O,,
ruggedness,ruggedness,"('ruggedness', 'NN')",rugged,ruggedness,introduction,ruggedness,O,,
German,german,"('german', 'JJ')",german,german,introduction,German,B,NORP,Nationalities or religious or political groups
landscape,landscape,"('landscape', 'NN')",landscap,landscape,introduction,landscape,O,,
unites,unites,"('unites', 'NNS')",unit,unites,introduction,unites,O,,
perfect,perfect,"('perfect', 'JJ')",perfect,perfect,introduction,perfect,O,,
harmony,harmony,"('harmony', 'NN')",harmoni,harmony,introduction,harmony,O,,
delicate,delicate,"('delicate', 'JJ')",delic,delicate,introduction,delicate,O,,
beauty,beauty,"('beauty', 'NN')",beauti,beauty,introduction,beauty,O,,
