token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
HAMBURG,hamburg,"('hamburg', 'NN')",hamburg,hamburg,introduction,HAMBURG,B,ORG,"Companies, agencies, institutions, etc."
suffers,suffers,"('suffers', 'NNS')",suffer,suffers,introduction,suffers,O,,
image,image,"('image', 'NN')",imag,image,introduction,image,O,,
schizophrenia,schizophrenia,"('schizophrenia', 'NN')",schizophrenia,schizophrenia,introduction,schizophrenia,O,,
many,many,"('many', 'JJ')",mani,many,introduction,many,O,,
tourists,tourists,"('tourists', 'NNS')",tourist,tourist,introduction,tourists,O,,
Germany,germany,"('germany', 'VBP')",germani,germany,introduction,Germany,B,GPE,"Countries, cities, states"
second,second,"('second', 'JJ')",second,second,introduction,second,B,ORDINAL,"""first"", ""second"", etc."
metropolis,metropolis,"('metropolis', 'NN')",metropoli,metropolis,introduction,metropolis,O,,
simply,simply,"('simply', 'RB')",simpli,simply,introduction,simply,O,,
sin,sin,"('sin', 'JJ')",sin,sin,introduction,sin,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
place,place,"('place', 'NN')",place,place,introduction,place,O,,
prostitutes,prostitutes,"('prostitutes', 'NNS')",prostitut,prostitute,introduction,prostitutes,O,,
strip,strip,"('strip', 'NN')",strip,strip,introduction,strip,O,,
shows,shows,"('shows', 'NNS')",show,show,introduction,shows,O,,
Reeperbahn,reeperbahn,"('reeperbahn', 'NN')",reeperbahn,reeperbahn,introduction,Reeperbahn,B,ORG,"Companies, agencies, institutions, etc."
district,district,"('district', 'NN')",district,district,introduction,district,O,,
homeland,homeland,"('homeland', 'NN')",homeland,homeland,introduction,homeland,O,,
revered,revered,"('revered', 'VBN')",rever,revere,introduction,revered,O,,
cosmopolitan,cosmopolitan,"('cosmopolitan', 'JJ')",cosmopolitan,cosmopolitan,introduction,cosmopolitan,O,,
stylish,stylish,"('stylish', 'NN')",stylish,stylish,introduction,stylish,O,,
rapaciously,rapaciously,"('rapaciously', 'RB')",rapaci,rapaciously,introduction,rapaciously,O,,
commercial,commercial,"('commercial', 'JJ')",commerci,commercial,introduction,commercial,O,,
home,home,"('home', 'NN')",home,home,introduction,home,O,,
highest,highest,"('highest', 'JJS')",highest,high,introduction,highest,O,,
millionaires,millionaires,"('millionaires', 'NNS')",millionair,millionaire,introduction,millionaires,O,,
country,country,"('country', 'NN')",countri,country,introduction,country,O,,
Either,either,"('either', 'DT')",either,either,introduction,Either,O,,
way,way,"('way', 'NN')",way,way,introduction,way,O,,
cause,cause,"('cause', 'NN')",caus,cause,introduction,cause,O,,
