token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
images,images,"('images', 'NNS')",imag,image,introduction,images,O,,
foreigners,foreigners,"('foreigners', 'NNS')",foreign,foreigner,introduction,foreigners,O,,
think,think,"('think', 'VBP')",think,think,introduction,think,O,,
typically,typically,"('typically', 'RB')",typic,typically,introduction,typically,O,,
Bavarian,bavarian,"('bavarian', 'JJ')",bavarian,bavarian,introduction,Bavarian,B,NORP,Nationalities or religious or political groups
accumulate,accumulate,"('accumulate', 'NN')",accumul,accumulate,introduction,accumulate,O,,
profusion,profusion,"('profusion', 'NN')",profus,profusion,introduction,profusion,O,,
region,region,"('region', 'NN')",region,region,introduction,region,O,,
south,south,"('south', 'NN')",south,south,introduction,south,O,,
Munich,munich,"('munich', 'NN')",munich,munich,introduction,Munich,B,PERSON,"People, including fictional"
Mad,mad,"('mad', 'NN')",mad,mad,introduction,Mad,I,PERSON,"People, including fictional"
King,king,"('king', 'VBG')",king,king,introduction,King,I,PERSON,"People, including fictional"
Ludwig,ludwig,"('ludwig', 'JJ')",ludwig,ludwig,introduction,Ludwig,I,PERSON,"People, including fictional"
palaces,palaces,"('palaces', 'NNS')",palac,palace,introduction,palaces,O,,
preside,preside,"('preside', 'RB')",presid,preside,introduction,preside,O,,
dramatically,dramatically,"('dramatically', 'RB')",dramat,dramatically,introduction,dramatically,O,,
scenic,scenic,"('scenic', 'JJ')",scenic,scenic,introduction,scenic,O,,
alpine,alpine,"('alpine', 'NN')",alpin,alpine,introduction,alpine,O,,
settings,settings,"('settings', 'NNS')",set,setting,introduction,settings,O,,
church,church,"('church', 'VBP')",church,church,introduction,church,O,,
towers,towers,"('towers', 'NNS')",tower,tower,introduction,towers,O,,
rise,rise,"('rise', 'VBP')",rise,rise,introduction,rise,O,,
above,above,"('above', 'IN')",abov,above,introduction,above,O,,
brilliant,brilliant,"('brilliant', 'NN')",brilliant,brilliant,introduction,brilliant,O,,
green,green,"('green', 'JJ')",green,green,introduction,green,O,,
meadows,meadows,"('meadows', 'VBZ')",meadow,meadows,introduction,meadows,O,,
impossibly,impossibly,"('impossibly', 'RB')",imposs,impossibly,introduction,impossibly,O,,
blue,blue,"('blue', 'JJ')",blue,blue,introduction,blue,O,,
lakes,lakes,"('lakes', 'NNS')",lake,lake,introduction,lakes,O,,
fringe,fringe,"('fringe', 'VBP')",fring,fringe,introduction,fringe,O,,
dark,dark,"('dark', 'JJ')",dark,dark,introduction,dark,O,,
forests,forests,"('forests', 'NNS')",forest,forest,introduction,forests,O,,
sparkling,sparkling,"('sparkling', 'JJ')",sparkl,sparkling,introduction,sparkling,O,,
peaks,peaks,"('peaks', 'NNS')",peak,peak,introduction,peaks,O,,
Bavarian,bavarian,"('bavarian', 'JJ')",bavarian,bavarian,introduction,Bavarian,B,NORP,Nationalities or religious or political groups
Alps,alps,"('alps', 'NN')",alp,alp,introduction,Alps,B,PERSON,"People, including fictional"
define,define,"('define', 'VB')",defin,define,introduction,define,O,,
southern,southern,"('southern', 'JJ')",southern,southern,introduction,southern,O,,
horizon,horizon,"('horizon', 'NN')",horizon,horizon,introduction,horizon,O,,
Getting,getting,"('getting', 'VBG')",get,get,description,Getting,O,,
around,around,"('around', 'IN')",around,around,description,around,O,,
region,region,"('region', 'NN')",region,region,description,region,O,,
remarkably,remarkably,"('remarkably', 'RB')",remark,remarkably,description,remarkably,O,,
easy,easy,"('easy', 'JJ')",easi,easy,description,easy,O,,
Regensburg,regensburg,"('regensburg', 'NN')",regensburg,regensburg,description,Regensburg,B,GPE,"Countries, cities, states"
Passau,passau,"('passau', 'NN')",passau,passau,description,Passau,O,,
Berchtesgadener,berchtesgadener,"('berchtesgadener', 'NN')",berchtesgaden,berchtesgadener,description,Berchtesgadener,O,,
Land,land,"('land', 'NN')",land,land,description,Land,O,,
linked,linked,"('linked', 'VBN')",link,link,description,linked,O,,
Autobahn,autobahn,"('autobahn', 'NN')",autobahn,autobahn,description,Autobahn,B,ORG,"Companies, agencies, institutions, etc."
network,network,"('network', 'NN')",network,network,description,network,O,,
train,train,"('train', 'NN')",train,train,description,train,O,,
services,services,"('services', 'NNS')",servic,service,description,services,O,,
connect,connect,"('connect', 'VBP')",connect,connect,description,connect,O,,
Munich,munich,"('munich', 'JJ')",munich,munich,description,Munich,B,GPE,"Countries, cities, states"
major,major,"('major', 'JJ')",major,major,description,major,O,,
towns,towns,"('towns', 'NNS')",town,town,description,towns,O,,
reach,reach,"('reach', 'VB')",reach,reach,description,reach,O,,
Alps,alps,"('alps', 'NN')",alp,alp,description,Alps,B,WORK_OF_ART,"Titles of books, songs, etc."
far,far,"('far', 'RB')",far,far,description,far,I,WORK_OF_ART,"Titles of books, songs, etc."
Füssen,füssen,"('füssen', 'NNS')",füssen,füssen,description,Füssen,B,PERSON,"People, including fictional"
Berchtesgaden,berchtesgaden,"('berchtesgaden', 'NN')",berchtesgaden,berchtesgaden,description,Berchtesgaden,I,PERSON,"People, including fictional"
train,train,"('train', 'NN')",train,train,description,train,O,,
services,services,"('services', 'NNS')",servic,service,description,services,O,,
end,end,"('end', 'VBP')",end,end,description,end,O,,
buses,buses,"('buses', 'NNS')",buse,bus,description,buses,O,,
take,take,"('take', 'VBP')",take,take,description,take,O,,
services,services,"('services', 'NNS')",servic,service,description,services,O,,
linking,linking,"('linking', 'VBG')",link,link,description,linking,O,,
least,least,"('least', 'JJS')",least,least,description,least,O,,
important,important,"('important', 'JJ')",import,important,description,important,O,,
tourist,tourist,"('tourist', 'NN')",tourist,tourist,description,tourist,O,,
sites,sites,"('sites', 'NNS')",site,site,description,sites,O,,
