token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Cologne,cologne,"('cologne', 'NN')",cologn,cologne,introduction,Cologne,B,GPE,"Countries, cities, states"
greatest,greatest,"('greatest', 'JJS')",greatest,great,introduction,greatest,O,,
western,western,"('western', 'JJ')",western,western,introduction,western,O,,
Germany,germany,"('germany', 'NN')",germani,germany,introduction,Germany,B,GPE,"Countries, cities, states"
cities,cities,"('cities', 'NNS')",citi,city,introduction,cities,O,,
though,though,"('though', 'IN')",though,though,introduction,though,O,,
given,given,"('given', 'VBN')",given,give,introduction,given,O,,
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
visited,visited,"('visited', 'VBN')",visit,visit,introduction,visited,O,,
early,early,"('early', 'JJ')",earli,early,introduction,early,O,,
often,often,"('often', 'RB')",often,often,introduction,often,O,,
RAF,raf,"('raf', 'NN')",raf,raf,introduction,RAF,B,ORG,"Companies, agencies, institutions, etc."
during,during,"('during', 'IN')",dure,during,introduction,during,O,,
World,world,"('world', 'NN')",world,world,introduction,World,B,EVENT,"Named hurricanes, battles, wars, sports events, etc."
War,war,"('war', 'NN')",war,war,introduction,War,I,EVENT,"Named hurricanes, battles, wars, sports events, etc."
II,ii,"('ii', 'NN')",ii,ii,introduction,II,I,EVENT,"Named hurricanes, battles, wars, sports events, etc."
perhaps,perhaps,"('perhaps', 'RB')",perhap,perhaps,introduction,perhaps,O,,
beautiful,beautiful,"('beautiful', 'JJ')",beauti,beautiful,introduction,beautiful,O,,
Nevertheless,nevertheless,"('nevertheless', 'NN')",nevertheless,nevertheless,introduction,Nevertheless,B,ORG,"Companies, agencies, institutions, etc."
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
unique,unique,"('unique', 'JJ')",uniqu,unique,introduction,unique,O,,
architectural,architectural,"('architectural', 'JJ')",architectur,architectural,introduction,architectural,O,,
inheritance,inheritance,"('inheritance', 'NN')",inherit,inheritance,introduction,inheritance,O,,
long,long,"('long', 'JJ')",long,long,introduction,long,O,,
history,history,"('history', 'NN')",histori,history,introduction,history,O,,
creates,creates,"('creates', 'VBZ')",creat,create,introduction,creates,O,,
powerful,powerful,"('powerful', 'JJ')",power,powerful,introduction,powerful,O,,
sense,sense,"('sense', 'NN')",sens,sense,introduction,sense,O,,
continuity,continuity,"('continuity', 'NN')",continu,continuity,introduction,continuity,O,,
above,above,"('above', 'IN')",abov,above,introduction,above,O,,
instantly,instantly,"('instantly', 'RB')",instantli,instantly,introduction,instantly,O,,
recognizable,recognizable,"('recognizable', 'JJ')",recogniz,recognizable,introduction,recognizable,O,,
shape,shape,"('shape', 'NN')",shape,shape,introduction,shape,O,,
cathedral,cathedral,"('cathedral', 'JJ')",cathedr,cathedral,introduction,cathedral,O,,
one,one,"('one', 'CD')",one,one,introduction,one,O,,
famous,famous,"('famous', 'JJ')",famou,famous,introduction,famous,O,,
religious,religious,"('religious', 'JJ')",religi,religious,introduction,religious,O,,
buildings,buildings,"('buildings', 'NNS')",build,building,introduction,buildings,O,,
planet,planet,"('planet', 'NN')",planet,planet,introduction,planet,O,,
seat,seat,"('seat', 'NN')",seat,seat,introduction,seat,O,,
Germany,germany,"('germany', 'JJ')",germani,germany,introduction,Germany,B,GPE,"Countries, cities, states"
Catholic,catholic,"('catholic', 'JJ')",cathol,catholic,introduction,Catholic,B,NORP,Nationalities or religious or political groups
primate,primate,"('primate', 'NN')",primat,primate,introduction,primate,O,,
Cologne,cologne,"('cologne', 'NN')",cologn,cologne,introduction,Cologne,B,GPE,"Countries, cities, states"
also,also,"('also', 'RB')",also,also,introduction,also,O,,
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
highly,highly,"('highly', 'RB')",highli,highly,introduction,highly,O,,
developed,developed,"('developed', 'JJ')",develop,developed,introduction,developed,O,,
sense,sense,"('sense', 'NN')",sens,sense,introduction,sense,O,,
distinctiveness,distinctiveness,"('distinctiveness', 'NN')",distinct,distinctiveness,introduction,distinctiveness,O,,
expressed,expressed,"('expressed', 'VBN')",express,express,introduction,expressed,O,,
strong,strong,"('strong', 'JJ')",strong,strong,introduction,strong,O,,
Kölsch,kölsch,"('kölsch', 'NN')",kölsch,kölsch,introduction,Kölsch,B,ORG,"Companies, agencies, institutions, etc."
dialect,dialect,"('dialect', 'VBP')",dialect,dialect,introduction,dialect,O,,
beer,beer,"('beer', 'NN')",beer,beer,introduction,beer,O,,
name,name,"('name', 'NN')",name,name,introduction,name,O,,
hedonistic,hedonistic,"('hedonistic', 'JJ')",hedonist,hedonistic,introduction,hedonistic,O,,
approach,approach,"('approach', 'NN')",approach,approach,introduction,approach,O,,
life,life,"('life', 'NN')",life,life,introduction,life,O,,
apparent,apparent,"('apparent', 'JJ')",appar,apparent,introduction,apparent,O,,
during,during,"('during', 'IN')",dure,during,introduction,during,O,,
Karneval,karneval,"('karneval', 'JJ')",karnev,karneval,introduction,Karneval,B,ORG,"Companies, agencies, institutions, etc."
Though,though,"('though', 'IN')",though,though,introduction,Though,O,,
museums,museums,"('museums', 'NNS')",museum,museum,introduction,museums,O,,
galleries,galleries,"('galleries', 'NNS')",galleri,gallery,introduction,galleries,O,,
nothing,nothing,"('nothing', 'NN')",noth,nothing,introduction,nothing,O,,
Germany,germany,"('germany', 'NN')",germani,germany,introduction,Germany,B,GPE,"Countries, cities, states"
fourth,fourth,"('fourth', 'JJ')",fourth,fourth,introduction,fourth,B,ORDINAL,"""first"", ""second"", etc."
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
nation,nation,"('nation', 'NN')",nation,nation,introduction,nation,O,,
television,television,"('television', 'NN')",televis,television,introduction,television,O,,
centre,centre,"('centre', 'NN')",centr,centre,introduction,centre,O,,
home,home,"('home', 'NN')",home,home,introduction,home,O,,
major,major,"('major', 'JJ')",major,major,introduction,major,O,,
