token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
One,one,"('one', 'CD')",one,one,introduction,One,B,CARDINAL,Numerals that do not fall under another type
America,america,"('america', 'NN')",america,america,introduction,America,B,GPE,"Countries, cities, states"
oldest,oldest,"('oldest', 'JJS')",oldest,old,introduction,oldest,O,,
beautiful,beautiful,"('beautiful', 'JJ')",beauti,beautiful,introduction,beautiful,O,,
cities,cities,"('cities', 'NNS')",citi,city,introduction,cities,O,,
SANTA,santa,"('santa', 'VBP')",santa,santa,introduction,SANTA,B,ORG,"Companies, agencies, institutions, etc."
FE,fe,"('fe', 'NN')",fe,fe,introduction,FE,I,ORG,"Companies, agencies, institutions, etc."
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
founded,founded,"('founded', 'VBN')",found,found,introduction,founded,O,,
Spanish,spanish,"('spanish', 'JJ')",spanish,spanish,introduction,Spanish,B,NORP,Nationalities or religious or political groups
adventurers,adventurers,"('adventurers', 'NNS')",adventur,adventurer,introduction,adventurers,O,,
missionaries,missionaries,"('missionaries', 'NNS')",missionari,missionary,introduction,missionaries,O,,
decade,decade,"('decade', 'NN')",decad,decade,introduction,decade,B,DATE,Absolute or relative dates or periods
before,before,"('before', 'IN')",befor,before,introduction,before,O,,
Pilgrims,pilgrims,"('pilgrims', 'NNS')",pilgrim,pilgrim,introduction,Pilgrims,B,ORG,"Companies, agencies, institutions, etc."
reached,reached,"('reached', 'VBD')",reach,reach,introduction,reached,O,,
Plymouth,plymouth,"('plymouth', 'NN')",plymouth,plymouth,introduction,Plymouth,B,ORG,"Companies, agencies, institutions, etc."
Rock,rock,"('rock', 'NN')",rock,rock,introduction,Rock,I,ORG,"Companies, agencies, institutions, etc."
Spread,spread,"('spread', 'NN')",spread,spread,introduction,Spread,I,ORG,"Companies, agencies, institutions, etc."
across,across,"('across', 'IN')",across,across,introduction,across,O,,
high,high,"('high', 'JJ')",high,high,introduction,high,O,,
plateau,plateau,"('plateau', 'NN')",plateau,plateau,introduction,plateau,O,,
foot,foot,"('foot', 'NN')",foot,foot,introduction,foot,O,,
stunning,stunning,"('stunning', 'JJ')",stun,stunning,introduction,stunning,O,,
Sangre,sangre,"('sangre', 'NN')",sangr,sangre,introduction,Sangre,B,ORG,"Companies, agencies, institutions, etc."
de,de,"('de', 'IN')",de,de,introduction,de,I,ORG,"Companies, agencies, institutions, etc."
Cristo,cristo,"('cristo', 'NN')",cristo,cristo,introduction,Cristo,I,ORG,"Companies, agencies, institutions, etc."
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction,mountains,O,,
New,new,"('new', 'JJ')",new,new,introduction,New,B,GPE,"Countries, cities, states"
Mexico,mexico,"('mexico', 'JJ')",mexico,mexico,introduction,Mexico,I,GPE,"Countries, cities, states"
capital,capital,"('capital', 'NN')",capit,capital,introduction,capital,O,,
still,still,"('still', 'RB')",still,still,introduction,still,O,,
glories,glories,"('glories', 'VBZ')",glori,glory,introduction,glories,O,,
adobe,adobe,"('adobe', 'NN')",adob,adobe,introduction,adobe,O,,
houses,houses,"('houses', 'NNS')",hous,house,introduction,houses,O,,
baroque,baroque,"('baroque', 'JJ')",baroqu,baroque,introduction,baroque,O,,
churches,churches,"('churches', 'NNS')",church,church,introduction,churches,O,,
original,original,"('original', 'JJ')",origin,original,introduction,original,O,,
architects,architects,"('architects', 'NNS')",architect,architect,introduction,architects,O,,
newer,newer,"('newer', 'JJR')",newer,new,introduction,newer,O,,
museums,museums,"('museums', 'NNS')",museum,museum,introduction,museums,O,,
galleries,galleries,"('galleries', 'NNS')",galleri,gallery,introduction,galleries,O,,
attract,attract,"('attract', 'VBP')",attract,attract,introduction,attract,O,,
world,world,"('world', 'NN')",world,world,introduction,world,O,,
busiest,busiest,"('busiest', 'JJS')",busiest,busy,introduction,busiest,O,,
season,season,"('season', 'NN')",season,season,introduction,season,B,DATE,Absolute or relative dates or periods
