token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
giant,giant,"('giant', 'JJ')",giant,giant,introduction,giant,O,,
body,body,"('body', 'NN')",bodi,body,introduction,body,O,,
water,water,"('water', 'NN')",water,water,introduction,water,O,,
balmy,balmy,"('balmy', 'NN')",balmi,balmy,introduction,balmy,O,,
dry,dry,"('dry', 'JJ')",dri,dry,introduction,dry,O,,
climate,climate,"('climate', 'NN')",climat,climate,introduction,climate,O,,
Bodensee,bodensee,"('bodensee', 'NN')",bodense,bodensee,introduction,Bodensee,B,ORG,"Companies, agencies, institutions, etc."
Lake,lake,"('lake', 'NN')",lake,lake,introduction,Lake,I,ORG,"Companies, agencies, institutions, etc."
Constance,constance,"('constance', 'NN')",constanc,constance,introduction,Constance,I,ORG,"Companies, agencies, institutions, etc."
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
long,long,"('long', 'RB')",long,long,introduction,long,O,,
Germany,germany,"('germany', 'JJ')",germani,germany,introduction,Germany,B,GPE,"Countries, cities, states"
Riviera,riviera,"('riviera', 'NN')",riviera,riviera,introduction,Riviera,O,,
hugs,hugs,"('hugs', 'VBZ')",hug,hug,introduction,hugs,O,,
country,country,"('country', 'NN')",countri,country,introduction,country,O,,
southwest,southwest,"('southwest', 'JJS')",southwest,southwest,introduction,southwest,O,,
border,border,"('border', 'NN')",border,border,introduction,border,O,,
Austria,austria,"('austria', 'NNS')",austria,austria,introduction,Austria,B,GPE,"Countries, cities, states"
Switzerland,switzerland,"('switzerland', 'NN')",switzerland,switzerland,introduction,Switzerland,B,GPE,"Countries, cities, states"
Alps,alps,"('alps', 'NN')",alp,alp,introduction,Alps,O,,
rear,rear,"('rear', 'VB')",rear,rear,introduction,rear,O,,
creating,creating,"('creating', 'VBG')",creat,create,introduction,creating,O,,
fine,fine,"('fine', 'JJ')",fine,fine,introduction,fine,O,,
backdrop,backdrop,"('backdrop', 'NN')",backdrop,backdrop,introduction,backdrop,O,,
German,german,"('german', 'JJ')",german,german,introduction,German,B,NORP,Nationalities or religious or political groups
towns,towns,"('towns', 'NNS')",town,town,introduction,towns,O,,
along,along,"('along', 'IN')",along,along,introduction,along,O,,
lake,lake,"('lake', 'NN')",lake,lake,introduction,lake,O,,
dot,dot,"('dot', 'VBP')",dot,dot,introduction,dot,O,,
north,north,"('north', 'JJ')",north,north,introduction,north,O,,
shore,shore,"('shore', 'NN')",shore,shore,introduction,shore,O,,
