token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
visitor,visitor,"('visitor', 'NN')",visitor,visitor,introduction,visitor,O,,
Venice,venice,"('venice', 'VB')",venic,venice,introduction,Venice,B,GPE,"Countries, cities, states"
arrives,arrives,"('arrives', 'NNS')",arriv,arrives,introduction,arrives,O,,
full,full,"('full', 'JJ')",full,full,introduction,full,O,,
expectations,expectations,"('expectations', 'NNS')",expect,expectation,introduction,expectations,O,,
turn,turn,"('turn', 'VBP')",turn,turn,introduction,turn,O,,
well,well,"('well', 'RB')",well,well,introduction,well,O,,
founded,founded,"('founded', 'VBN')",found,found,introduction,founded,O,,
photographs,photographs,"('photographs', 'NN')",photograph,photograph,introduction,photographs,O,,
seen,seen,"('seen', 'VBN')",seen,see,introduction,seen,O,,
Palazzo,palazzo,"('palazzo', 'JJ')",palazzo,palazzo,introduction,Palazzo,B,ORG,"Companies, agencies, institutions, etc."
Ducale,ducale,"('ducale', 'NN')",ducal,ducale,introduction,Ducale,I,ORG,"Companies, agencies, institutions, etc."
Basilica,basilica,"('basilica', 'NN')",basilica,basilica,introduction,Basilica,I,ORG,"Companies, agencies, institutions, etc."
di,di,"('di', 'VBZ')",di,di,introduction,di,O,,
San,san,"('san', 'JJ')",san,san,introduction,San,B,GPE,"Countries, cities, states"
Marco,marco,"('marco', 'NN')",marco,marco,introduction,Marco,I,GPE,"Countries, cities, states"
palaces,palaces,"('palaces', 'NNS')",palac,palace,introduction,palaces,O,,
along,along,"('along', 'IN')",along,along,introduction,along,O,,
Canal,canal,"('canal', 'JJ')",canal,canal,introduction,Canal,B,ORG,"Companies, agencies, institutions, etc."
Grande,grande,"('grande', 'NN')",grand,grande,introduction,Grande,I,ORG,"Companies, agencies, institutions, etc."
simply,simply,"('simply', 'RB')",simpli,simply,introduction,simply,O,,
recording,recording,"('recording', 'VBG')",record,record,introduction,recording,O,,
extraordinary,extraordinary,"('extraordinary', 'JJ')",extraordinari,extraordinary,introduction,extraordinary,O,,
truth,truth,"('truth', 'NN')",truth,truth,introduction,truth,O,,
bad,bad,"('bad', 'JJ')",bad,bad,introduction,bad,O,,
things,things,"('things', 'NNS')",thing,thing,introduction,things,O,,
heard,heard,"('heard', 'VBN')",heard,hear,introduction,heard,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
turn,turn,"('turn', 'VBP')",turn,turn,introduction,turn,O,,
right,right,"('right', 'JJ')",right,right,introduction,right,O,,
well,well,"('well', 'RB')",well,well,introduction,well,O,,
Economically,economically,"('economically', 'RB')",econom,economically,introduction,Economically,O,,
socially,socially,"('socially', 'RB')",social,socially,introduction,socially,O,,
ossified,ossified,"('ossified', 'VBD')",ossifi,ossify,introduction,ossified,O,,
losing,losing,"('losing', 'VBG')",lose,lose,introduction,losing,O,,
hundreds,hundreds,"('hundreds', 'NNS')",hundr,hundred,introduction,hundreds,B,CARDINAL,Numerals that do not fall under another type
residents,residents,"('residents', 'NNS')",resid,resident,introduction,residents,O,,
year,year,"('year', 'NN')",year,year,introduction,year,O,,
plays,plays,"('plays', 'VBZ')",play,play,introduction,plays,O,,
virtually,virtually,"('virtually', 'RB')",virtual,virtually,introduction,virtually,O,,
part,part,"('part', 'NN')",part,part,introduction,part,O,,
life,life,"('life', 'NN')",life,life,introduction,life,O,,
modern,modern,"('modern', 'JJ')",modern,modern,introduction,modern,O,,
Italy,italy,"('italy', 'NN')",itali,italy,introduction,Italy,B,GPE,"Countries, cities, states"
deluged,deluged,"('deluged', 'VBN')",delug,deluge,introduction,deluged,O,,
tourists,tourists,"('tourists', 'NNS')",tourist,tourist,introduction,tourists,O,,
occasionally,occasionally,"('occasionally', 'RB')",occasion,occasionally,introduction,occasionally,O,,
things,things,"('things', 'NNS')",thing,thing,introduction,things,O,,
get,get,"('get', 'VBP')",get,get,introduction,get,O,,
bad,bad,"('bad', 'JJ')",bad,bad,introduction,bad,O,,
entry,entry,"('entry', 'NN')",entri,entry,introduction,entry,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
barred,barred,"('barred', 'VBN')",bar,bar,introduction,barred,O,,
already,already,"('already', 'RB')",alreadi,already,introduction,already,O,,
booked,booked,"('booked', 'VBD')",book,book,introduction,booked,O,,
room,room,"('room', 'NN')",room,room,introduction,room,O,,
expensive,expensive,"('expensive', 'VBP')",expens,expensive,introduction,expensive,O,,
price,price,"('price', 'NN')",price,price,introduction,price,O,,
good,good,"('good', 'JJ')",good,good,introduction,good,O,,
meal,meal,"('meal', 'NN')",meal,meal,introduction,meal,O,,
almost,almost,"('almost', 'RB')",almost,almost,introduction,almost,O,,
anywhere,anywhere,"('anywhere', 'RB')",anywher,anywhere,introduction,anywhere,O,,
else,else,"('else', 'RB')",els,else,introduction,else,O,,
Italy,italy,"('italy', 'NN')",itali,italy,introduction,Italy,B,GPE,"Countries, cities, states"
get,get,"('get', 'VB')",get,get,introduction,get,O,,
lousy,lousy,"('lousy', 'JJ')",lousi,lousy,introduction,lousy,O,,
one,one,"('one', 'CD')",one,one,introduction,one,O,,
Venice,venice,"('venice', 'NN')",venic,venice,introduction,Venice,B,GPE,"Countries, cities, states"
hoteliers,hoteliers,"('hoteliers', 'NNS')",hoteli,hotelier,introduction,hoteliers,O,,
make,make,"('make', 'VBP')",make,make,introduction,make,O,,
situation,situation,"('situation', 'NN')",situat,situation,introduction,situation,O,,
demand,demand,"('demand', 'NN')",demand,demand,introduction,demand,O,,
always,always,"('always', 'RB')",alway,always,introduction,always,O,,
far,far,"('far', 'RB')",far,far,introduction,far,O,,
outstrip,outstrip,"('outstrip', 'JJ')",outstrip,outstrip,introduction,outstrip,O,,
supply,supply,"('supply', 'NN')",suppli,supply,introduction,supply,O,,
soon,soon,"('soon', 'RB')",soon,soon,description,soon,O,,
begin,begin,"('begin', 'VBP')",begin,begin,description,begin,O,,
explore,explore,"('explore', 'VB')",explor,explore,description,explore,O,,
Venice,venice,"('venice', 'NN')",venic,venice,description,Venice,B,GPE,"Countries, cities, states"
though,though,"('though', 'IN')",though,though,description,though,O,,
every,every,"('every', 'DT')",everi,every,description,every,B,DATE,Absolute or relative dates or periods
day,day,"('day', 'NN')",day,day,description,day,I,DATE,Absolute or relative dates or periods
bring,bring,"('bring', 'VB')",bring,bring,description,bring,O,,
surprises,surprises,"('surprises', 'NNS')",surpris,surprise,description,surprises,O,,
this,this,"('this', 'DT')",thi,this,description,this,O,,
urban,urban,"('urban', 'JJ')",urban,urban,description,urban,O,,
landscape,landscape,"('landscape', 'NN')",landscap,landscape,description,landscape,O,,
full,full,"('full', 'JJ')",full,full,description,full,O,,
things,things,"('things', 'NNS')",thing,thing,description,things,O,,
walk,walk,"('walk', 'NN')",walk,walk,description,walk,O,,
minute,minute,"('minute', 'NN')",minut,minute,description,minute,O,,
without,without,"('without', 'IN')",without,without,description,without,O,,
coming,coming,"('coming', 'VBG')",come,come,description,coming,O,,
across,across,"('across', 'IN')",across,across,description,across,O,,
something,something,"('something', 'NN')",someth,something,description,something,O,,
worth,worth,"('worth', 'IN')",worth,worth,description,worth,O,,
stop,stop,"('stop', 'NN')",stop,stop,description,stop,O,,
although,although,"('although', 'IN')",although,although,description,although,O,,
true,true,"('true', 'JJ')",true,true,description,true,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
unbearably,unbearably,"('unbearably', 'RB')",unbear,unbearably,description,unbearably,O,,
crowded,crowded,"('crowded', 'VBN')",crowd,crowd,description,crowded,O,,
things,things,"('things', 'NNS')",thing,thing,description,things,O,,
bad,bad,"('bad', 'JJ')",bad,bad,description,bad,O,,
beyond,beyond,"('beyond', 'IN')",beyond,beyond,description,beyond,O,,
magnetic,magnetic,"('magnetic', 'JJ')",magnet,magnetic,description,magnetic,O,,
field,field,"('field', 'NN')",field,field,description,field,O,,
San,san,"('san', 'JJ')",san,san,description,San,B,ORG,"Companies, agencies, institutions, etc."
Marco,marco,"('marco', 'NN')",marco,marco,description,Marco,I,ORG,"Companies, agencies, institutions, etc."
possible,possible,"('possible', 'JJ')",possibl,possible,description,possible,O,,
parts,parts,"('parts', 'NNS')",part,part,description,parts,O,,
centre,centre,"('centre', 'NN')",centr,centre,description,centre,O,,
virtually,virtually,"('virtually', 'RB')",virtual,virtually,description,virtually,O,,
keeping,keeping,"('keeping', 'VBG')",keep,keep,description,keeping,O,,
costs,costs,"('costs', 'NNS')",cost,cost,description,costs,O,,
Venice,venice,"('venice', 'NN')",venic,venice,description,Venice,B,GPE,"Countries, cities, states"
does,does,"('does', 'VBZ')",doe,do,description,does,O,,
eating,eating,"('eating', 'JJ')",eat,eating,description,eating,O,,
places,places,"('places', 'NNS')",place,place,description,places,O,,
planning,planning,"('planning', 'NN')",plan,planning,description,planning,O,,
find,find,"('find', 'VBP')",find,find,description,find,O,,
bed,bed,"('bed', 'NN')",bed,bed,description,bed,O,,
without,without,"('without', 'IN')",without,without,description,without,O,,
spending,spending,"('spending', 'VBG')",spend,spend,description,spending,O,,
control,control,"('control', 'NN')",control,control,description,control,O,,
Byzantium,byzantium,"('byzantium', 'NN')",byzantium,byzantium,description,Byzantium,B,PERSON,"People, including fictional"
soon,soon,"('soon', 'RB')",soon,soon,description,soon,O,,
became,became,"('became', 'VBD')",becam,become,description,became,O,,
nominal,nominal,"('nominal', 'JJ')",nomin,nominal,description,nominal,O,,
inhabitants,inhabitants,"('inhabitants', 'NNS')",inhabit,inhabitant,description,inhabitants,O,,
lagoon,lagoon,"('lagoon', 'NN')",lagoon,lagoon,description,lagoon,O,,
