token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Thanks,thanks,"('thanks', 'NNS')",thank,thanks,introduction,Thanks,O,,
Leaning,leaning,"('leaning', 'VBG')",lean,lean,introduction,Leaning,O,,
Tower,tower,"('tower', 'NN')",tower,tower,introduction,Tower,O,,
Pisa,pisa,"('pisa', 'NN')",pisa,pisa,introduction,Pisa,O,,
known,known,"('known', 'VBN')",known,know,introduction,known,O,,
name,name,"('name', 'NN')",name,name,introduction,name,O,,
every,every,"('every', 'DT')",everi,every,introduction,every,O,,
visitor,visitor,"('visitor', 'NN')",visitor,visitor,introduction,visitor,O,,
Italy,italy,"('italy', 'VB')",itali,italy,introduction,Italy,B,GPE,"Countries, cities, states"
though,though,"('though', 'IN')",though,though,introduction,though,O,,
remains,remains,"('remains', 'VBZ')",remain,remain,introduction,remains,O,,
underrated,underrated,"('underrated', 'JJ')",underr,underrated,introduction,underrated,O,,
place,place,"('place', 'NN')",place,place,introduction,place,O,,
seen,seen,"('seen', 'VBN')",seen,see,introduction,seen,O,,
people,people,"('people', 'NNS')",peopl,people,introduction,people,O,,
takes,takes,"('takes', 'VBZ')",take,take,introduction,takes,O,,
nothing,nothing,"('nothing', 'NN')",noth,nothing,introduction,nothing,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
except,except,"('except', 'IN')",except,except,introduction,except,O,,
tower,tower,"('tower', 'NN')",tower,tower,introduction,tower,O,,
immediate,immediate,"('immediate', 'JJ')",immedi,immediate,introduction,immediate,O,,
environs,environs,"('environs', 'NNS')",environ,environs,introduction,environs,O,,
amazing,amazing,"('amazing', 'JJ')",amaz,amazing,description,amazing,O,,
buildings,buildings,"('buildings', 'NNS')",build,building,description,buildings,O,,
belong,belong,"('belong', 'VBP')",belong,belong,description,belong,O,,
Pisa,pisa,"('pisa', 'VB')",pisa,pisa,description,Pisa,B,ORG,"Companies, agencies, institutions, etc."
Golden,golden,"('golden', 'JJ')",golden,golden,description,Golden,I,ORG,"Companies, agencies, institutions, etc."
Age,age,"('age', 'NN')",age,age,description,Age,I,ORG,"Companies, agencies, institutions, etc."
eleventh,eleventh,"('eleventh', 'NN')",eleventh,eleventh,description,eleventh,I,ORG,"Companies, agencies, institutions, etc."
thirteenth,thirteenth,"('thirteenth', 'JJ')",thirteenth,thirteenth,description,thirteenth,I,ORG,"Companies, agencies, institutions, etc."
centuries,centuries,"('centuries', 'NNS')",centuri,century,description,centuries,I,ORG,"Companies, agencies, institutions, etc."
city,city,"('city', 'NN')",citi,city,description,city,I,ORG,"Companies, agencies, institutions, etc."
was,was,"('was', 'VBD')",wa,be,description,was,O,,
one,one,"('one', 'CD')",one,one,description,one,O,,
maritime,maritime,"('maritime', 'JJ')",maritim,maritime,description,maritime,O,,
powers,powers,"('powers', 'NNS')",power,power,description,powers,O,,
Mediterranean,mediterranean,"('mediterranean', 'JJ')",mediterranean,mediterranean,description,Mediterranean,O,,
Decline,decline,"('decline', 'NN')",declin,decline,description,Decline,O,,
set,set,"('set', 'VBN')",set,set,description,set,O,,
defeat,defeat,"('defeat', 'NN')",defeat,defeat,description,defeat,O,,
Genoese,genoese,"('genoese', 'NN')",genoes,genoese,description,Genoese,B,PERSON,"People, including fictional"
followed,followed,"('followed', 'VBN')",follow,follow,description,followed,O,,
Pisa,pisa,"('pisa', 'NN')",pisa,pisa,description,Pisa,B,PERSON,"People, including fictional"
harbour,harbour,"('harbour', 'NN')",harbour,harbour,description,harbour,I,PERSON,"People, including fictional"
city,city,"('city', 'NN')",citi,city,description,city,I,PERSON,"People, including fictional"
was,was,"('was', 'VBD')",wa,be,description,was,O,,
governed,governed,"('governed', 'VBN')",govern,govern,description,governed,O,,
Florence,florence,"('florence', 'NN')",florenc,florence,description,Florence,B,ORG,"Companies, agencies, institutions, etc."
whose,whose,"('whose', 'WP$')",whose,whose,description,whose,O,,
rulers,rulers,"('rulers', 'NNS')",ruler,ruler,description,rulers,O,,
University,university,"('university', 'NN')",univers,university,description,University,B,ORG,"Companies, agencies, institutions, etc."
Pisa,pisa,"('pisa', 'JJ')",pisa,pisa,description,Pisa,I,ORG,"Companies, agencies, institutions, etc."
one,one,"('one', 'CD')",one,one,description,one,O,,
great,great,"('great', 'JJ')",great,great,description,great,O,,
intellectual,intellectual,"('intellectual', 'JJ')",intellectu,intellectual,description,intellectual,O,,
establishments,establishments,"('establishments', 'NNS')",establish,establishment,description,establishments,O,,
Renaissance,renaissance,"('renaissance', 'NN')",renaiss,renaissance,description,Renaissance,B,ORG,"Companies, agencies, institutions, etc."
Galileo,galileo,"('galileo', 'NN')",galileo,galileo,description,Galileo,I,ORG,"Companies, agencies, institutions, etc."
was,was,"('was', 'VBD')",wa,be,description,was,O,,
teacher,teacher,"('teacher', 'NN')",teacher,teacher,description,teacher,O,,
Subsequent,subsequent,"('subsequent', 'JJ')",subsequ,subsequent,description,Subsequent,O,,
centuries,centuries,"('centuries', 'NNS')",centuri,century,description,centuries,O,,
saw,saw,"('saw', 'VBD')",saw,saw,description,saw,O,,
Pisa,pisa,"('pisa', 'JJ')",pisa,pisa,description,Pisa,B,ORG,"Companies, agencies, institutions, etc."
fade,fade,"('fade', 'NN')",fade,fade,description,fade,O,,
provinciality,provinciality,"('provinciality', 'NN')",provinci,provinciality,description,provinciality,O,,
though,though,"('though', 'IN')",though,though,description,though,O,,
landmarks,landmarks,"('landmarks', 'NNS')",landmark,landmark,description,landmarks,O,,
glory,glory,"('glory', 'NN')",glori,glory,description,glory,O,,
days,days,"('days', 'NNS')",day,day,description,days,O,,
