token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
graceful,graceful,"('graceful', 'JJ')",grace,graceful,introduction,graceful,O,,
Tuscany,tuscany,"('tuscany', 'JJ')",tuscani,tuscany,introduction,Tuscany,B,ORG,"Companies, agencies, institutions, etc."
provincial,provincial,"('provincial', 'JJ')",provinci,provincial,introduction,provincial,O,,
capitals,capitals,"('capitals', 'NNS')",capit,capital,introduction,capitals,O,,
encircled,encircled,"('encircled', 'VBN')",encircl,encircle,introduction,encircled,O,,
imposing,imposing,"('imposing', 'VBG')",impos,impose,introduction,imposing,O,,
ring,ring,"('ring', 'NN')",ring,ring,introduction,ring,O,,
Renaissance,renaissance,"('renaissance', 'NN')",renaiss,renaissance,introduction,Renaissance,B,ORG,"Companies, agencies, institutions, etc."
walls,walls,"('walls', 'NNS')",wall,wall,introduction,walls,O,,
fronted,fronted,"('fronted', 'VBN')",front,front,introduction,fronted,O,,
gardens,gardens,"('gardens', 'NNS')",garden,garden,introduction,gardens,O,,
huge,huge,"('huge', 'JJ')",huge,huge,introduction,huge,O,,
bastions,bastions,"('bastions', 'NNS')",bastion,bastion,introduction,bastions,O,,
Lucca,lucca,"('lucca', 'VBP')",lucca,lucca,introduction,Lucca,B,GPE,"Countries, cities, states"
stands,stands,"('stands', 'VBZ')",stand,stand,introduction,stands,O,,
km,km,"('km', 'JJ')",km,km,introduction,km,O,,
northeast,northeast,"('northeast', 'NN')",northeast,northeast,introduction,northeast,O,,
Pisa,pisa,"('pisa', 'NN')",pisa,pisa,introduction,Pisa,B,ORG,"Companies, agencies, institutions, etc."
Charming,charming,"('charming', 'NN')",charm,charming,introduction,Charming,I,ORG,"Companies, agencies, institutions, etc."
quiet,quiet,"('quiet', 'JJ')",quiet,quiet,introduction,quiet,O,,
season,season,"('season', 'NN')",season,season,introduction,season,O,,
Lucca,lucca,"('lucca', 'NN')",lucca,lucca,introduction,Lucca,B,GPE,"Countries, cities, states"
narrow,narrow,"('narrow', 'JJ')",narrow,narrow,introduction,narrow,O,,
streets,streets,"('streets', 'VBZ')",street,streets,introduction,streets,O,,
become,become,"('become', 'VBN')",becom,become,introduction,become,O,,
busier,busier,"('busier', 'NN')",busier,busier,introduction,busier,O,,
summer,summer,"('summer', 'NN')",summer,summer,introduction,summer,B,DATE,Absolute or relative dates or periods
without,without,"('without', 'IN')",without,without,introduction,without,O,,
ever,ever,"('ever', 'RB')",ever,ever,introduction,ever,O,,
thronged,thronged,"('thronged', 'VBN')",throng,throng,introduction,thronged,O,,
Florence,florence,"('florence', 'NN')",florenc,florence,introduction,Florence,B,PERSON,"People, including fictional"
Dropdown,dropdown,"('dropdown', 'JJ')",dropdown,dropdown,introduction,Dropdown,I,PERSON,"People, including fictional"
content,content,"('content', 'NN')",content,content,introduction,content,O,,
Siena,siena,"('siena', 'VB')",siena,siena,introduction,Siena,B,ORG,"Companies, agencies, institutions, etc."
Dropdown,dropdown,"('dropdown', 'JJ')",dropdown,dropdown,introduction,Dropdown,I,ORG,"Companies, agencies, institutions, etc."
content,content,"('content', 'NN')",content,content,introduction,content,O,,
Set,set,"('set', 'VBN')",set,set,description,Set,O,,
heart,heart,"('heart', 'NN')",heart,heart,description,heart,O,,
one,one,"('one', 'CD')",one,one,description,one,O,,
Italy,italy,"('italy', 'NN')",itali,italy,description,Italy,B,GPE,"Countries, cities, states"
richest,richest,"('richest', 'JJS')",richest,rich,description,richest,O,,
agricultural,agricultural,"('agricultural', 'JJ')",agricultur,agricultural,description,agricultural,O,,
regions,regions,"('regions', 'NNS')",region,region,description,regions,O,,
Lucca,lucca,"('lucca', 'NN')",lucca,lucca,description,Lucca,B,GPE,"Countries, cities, states"
has,has,"('has', 'VBZ')",ha,have,description,has,O,,
prospered,prospered,"('prospered', 'VBN')",prosper,prosper,description,prospered,O,,
since,since,"('since', 'IN')",sinc,since,description,since,O,,
Roman,roman,"('roman', 'NN')",roman,roman,description,Roman,B,PERSON,"People, including fictional"
times,times,"('times', 'VBZ')",time,time,description,times,O,,
heyday,heyday,"('heyday', 'NN')",heyday,heyday,description,heyday,O,,
was,was,"('was', 'VBD')",wa,be,description,was,O,,
eleventh,eleventh,"('eleventh', 'NN')",eleventh,eleventh,description,eleventh,O,,
fourteenth,fourteenth,"('fourteenth', 'VB')",fourteenth,fourteenth,description,fourteenth,O,,
centuries,centuries,"('centuries', 'NNS')",centuri,century,description,centuries,O,,
silk,silk,"('silk', 'NN')",silk,silk,description,silk,O,,
trade,trade,"('trade', 'NN')",trade,trade,description,trade,O,,
brought,brought,"('brought', 'VBD')",brought,bring,description,brought,O,,
wealth,wealth,"('wealth', 'NN')",wealth,wealth,description,wealth,O,,
political,political,"('political', 'JJ')",polit,political,description,political,O,,
power,power,"('power', 'NN')",power,power,description,power,O,,
Lucca,lucca,"('lucca', 'NN')",lucca,lucca,description,Lucca,B,PERSON,"People, including fictional"
first,first,"('first', 'RB')",first,first,description,first,O,,
lost,lost,"('lost', 'VBD')",lost,lose,description,lost,O,,
independence,independence,"('independence', 'NN')",independ,independence,description,independence,O,,
