token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Long,long,"('long', 'RB')",long,long,introduction,Long,O,,
magnet,magnet,"('magnet', 'NN')",magnet,magnet,introduction,magnet,O,,
Italy,italy,"('italy', 'JJ')",itali,italy,introduction,Italy,B,GPE,"Countries, cities, states"
glitziest,glitziest,"('glitziest', 'NN')",glitziest,glitziest,introduction,glitziest,O,,
celebrities,celebrities,"('celebrities', 'VBZ')",celebr,celebrities,introduction,celebrities,O,,
development,development,"('development', 'NN')",develop,development,introduction,development,O,,
Costa,costa,"('costa', 'NN')",costa,costa,introduction,Costa,B,GPE,"Countries, cities, states"
Smeralda,smeralda,"('smeralda', 'NN')",smeralda,smeralda,introduction,Smeralda,I,GPE,"Countries, cities, states"
helped,helped,"('helped', 'NN')",help,helped,introduction,helped,O,,
transform,transform,"('transform', 'VB')",transform,transform,introduction,transform,O,,
economy,economy,"('economy', 'NN')",economi,economy,introduction,economy,O,,
entire,entire,"('entire', 'JJ')",entir,entire,introduction,entire,O,,
island,island,"('island', 'NN')",island,island,introduction,island,O,,
coastline,coastline,"('coastline', 'NN')",coastlin,coastline,introduction,coastline,O,,
this,this,"('this', 'DT')",thi,this,introduction,this,O,,
beautiful,beautiful,"('beautiful', 'NN')",beauti,beautiful,introduction,beautiful,O,,
inevitably,inevitably,"('inevitably', 'RB')",inevit,inevitably,introduction,inevitably,O,,
comes,comes,"('comes', 'VBZ')",come,come,introduction,comes,O,,
price,price,"('price', 'NN')",price,price,introduction,price,O,,
however,however,"('however', 'RB')",howev,however,introduction,however,O,,
budget,budget,"('budget', 'NN')",budget,budget,introduction,budget,O,,
accommodation,accommodation,"('accommodation', 'NN')",accommod,accommodation,introduction,accommodation,O,,
virtually,virtually,"('virtually', 'RB')",virtual,virtually,introduction,virtually,O,,
nonexistent,nonexistent,"('nonexistent', 'JJ')",nonexist,nonexistent,introduction,nonexistent,O,,
hotels,hotels,"('hotels', 'NNS')",hotel,hotel,introduction,hotels,O,,
mostly,mostly,"('mostly', 'RB')",mostli,mostly,introduction,mostly,O,,
devoid,devoid,"('devoid', 'JJ')",devoid,devoid,introduction,devoid,O,,
much,much,"('much', 'JJ')",much,much,introduction,much,O,,
character,character,"('character', 'NN')",charact,character,introduction,character,O,,
Arzachena,arzachena,"('arzachena', 'NN')",arzachena,arzachena,introduction,Arzachena,B,ORG,"Companies, agencies, institutions, etc."
Cannigione,cannigione,"('cannigione', 'NN')",cannigion,cannigione,introduction,Cannigione,I,ORG,"Companies, agencies, institutions, etc."
cheaper,cheaper,"('cheaper', 'JJR')",cheaper,cheap,introduction,cheaper,O,,
bases,bases,"('bases', 'NNS')",base,base,introduction,bases,O,,
explore,explore,"('explore', 'VB')",explor,explore,introduction,explore,O,,
area,area,"('area', 'NN')",area,area,introduction,area,O,,
Costa,costa,"('costa', 'NN')",costa,costa,description,Costa,B,GPE,"Countries, cities, states"
Smeralda,smeralda,"('smeralda', 'NN')",smeralda,smeralda,description,Smeralda,I,GPE,"Countries, cities, states"
begins,begins,"('begins', 'VBZ')",begin,begin,description,begins,O,,
north,north,"('north', 'NN')",north,north,description,north,O,,
Olbia,olbia,"('olbia', 'NN')",olbia,olbia,description,Olbia,B,GPE,"Countries, cities, states"
defined,defined,"('defined', 'VBN')",defin,define,description,defined,O,,
strip,strip,"('strip', 'NN')",strip,strip,description,strip,O,,
gulfs,gulfs,"('gulfs', 'NN')",gulf,gulf,description,gulfs,O,,
Cugnana,cugnana,"('cugnana', 'NN')",cugnana,cugnana,description,Cugnana,B,ORG,"Companies, agencies, institutions, etc."
Arzachena,arzachena,"('arzachena', 'VB')",arzachena,arzachena,description,Arzachena,I,ORG,"Companies, agencies, institutions, etc."
Although,although,"('although', 'IN')",although,although,description,Although,O,,
strict,strict,"('strict', 'JJ')",strict,strict,description,strict,O,,
rules,rules,"('rules', 'NNS')",rule,rule,description,rules,O,,
imposed,imposed,"('imposed', 'VBN')",impos,impose,description,imposed,O,,
prevent,prevent,"('prevent', 'VB')",prevent,prevent,description,prevent,O,,
overzealous,overzealous,"('overzealous', 'JJ')",overzeal,overzealous,description,overzealous,O,,
development,development,"('development', 'NN')",develop,development,description,development,O,,
see,see,"('see', 'VBP')",see,see,description,see,O,,
any,any,"('any', 'DT')",ani,any,description,any,O,,
multistorey,multistorey,"('multistorey', 'JJ')",multistorey,multistorey,description,multistorey,O,,
hotels,hotels,"('hotels', 'NNS')",hotel,hotel,description,hotels,O,,
advertising,advertising,"('advertising', 'VBG')",advertis,advertise,description,advertising,O,,
hoardings,hoardings,"('hoardings', 'NNS')",hoard,hoarding,description,hoardings,O,,
restaurants,restaurants,"('restaurants', 'NNS')",restaur,restaurant,description,restaurants,O,,
area,area,"('area', 'NN')",area,area,description,area,O,,
has,has,"('has', 'VBZ')",ha,have,description,has,O,,
little,little,"('little', 'RB')",littl,little,description,little,O,,
common,common,"('common', 'JJ')",common,common,description,common,O,,
rest,rest,"('rest', 'NN')",rest,rest,description,rest,O,,
Sardinia,sardinia,"('sardinia', 'NN')",sardinia,sardinia,description,Sardinia,B,GPE,"Countries, cities, states"
luxurious,luxurious,"('luxurious', 'JJ')",luxuri,luxurious,description,luxurious,O,,
