token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
Washington,washington,"('washington', 'NN')",washington,washington,introduction,Washington,B,GPE,"Countries, cities, states"
District,district,"('district', 'NN')",district,district,introduction,District,B,GPE,"Countries, cities, states"
Columbia,columbia,"('columbia', 'NN')",columbia,columbia,introduction,Columbia,I,GPE,"Countries, cities, states"
four,four,"('four', 'CD')",four,four,introduction,four,B,CARDINAL,Numerals that do not fall under another type
surrounding,surrounding,"('surrounding', 'VBG')",surround,surround,introduction,surrounding,O,,
states,states,"('states', 'NNS')",state,state,introduction,states,O,,
Virginia,virginia,"('virginia', 'NN')",virginia,virginia,introduction,Virginia,B,GPE,"Countries, cities, states"
West,west,"('west', 'JJS')",west,west,introduction,West,O,,
Virginia,virginia,"('virginia', 'NN')",virginia,virginia,introduction,Virginia,B,GPE,"Countries, cities, states"
Maryland,maryland,"('maryland', 'NN')",maryland,maryland,introduction,Maryland,B,GPE,"Countries, cities, states"
Delaware,delaware,"('delaware', 'NN')",delawar,delaware,introduction,Delaware,B,GPE,"Countries, cities, states"
collectively,collectively,"('collectively', 'RB')",collect,collectively,introduction,collectively,O,,
known,known,"('known', 'VBN')",known,know,introduction,known,O,,
Capital,capital,"('capital', 'NN')",capit,capital,introduction,Capital,O,,
Region,region,"('region', 'NN')",region,region,introduction,Region,O,,
Since,since,"('since', 'IN')",sinc,since,introduction,Since,O,,
days,days,"('days', 'NNS')",day,day,introduction,days,O,,
first,first,"('first', 'JJ')",first,first,introduction,first,B,ORDINAL,"""first"", ""second"", etc."
American,american,"('american', 'JJ')",american,american,introduction,American,B,NORP,Nationalities or religious or political groups
colonies,colonies,"('colonies', 'NNS')",coloni,colony,introduction,colonies,O,,
US,us,"('us', 'PRP')",us,u,introduction,US,B,GPE,"Countries, cities, states"
history,history,"('history', 'NN')",histori,history,introduction,history,O,,
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
shaped,shaped,"('shaped', 'VBN')",shape,shape,introduction,shaped,O,,
Jamestown,jamestown,"('jamestown', 'JJ')",jamestown,jamestown,introduction,Jamestown,B,PERSON,"People, including fictional"
landings,landings,"('landings', 'NNS')",land,landing,introduction,landings,O,,
agitation,agitation,"('agitation', 'NN')",agit,agitation,introduction,agitation,O,,
Independence,independence,"('independence', 'NN')",independ,independence,introduction,Independence,B,GPE,"Countries, cities, states"
battles,battles,"('battles', 'NNS')",battl,battle,introduction,battles,O,,
Revolutionary,revolutionary,"('revolutionary', 'JJ')",revolutionari,revolutionary,introduction,Revolutionary,O,,
Civil,civil,"('civil', 'JJ')",civil,civil,introduction,Civil,O,,
wars,wars,"('wars', 'NNS')",war,war,introduction,wars,O,,
Civil,civil,"('civil', 'JJ')",civil,civil,introduction,Civil,O,,
Rights,rights,"('rights', 'NNS')",right,right,introduction,Rights,O,,
milestones,milestones,"('milestones', 'NNS')",mileston,milestone,introduction,milestones,O,,
protest,protest,"('protest', 'JJS')",protest,protest,introduction,protest,O,,
movements,movements,"('movements', 'NNS')",movement,movement,introduction,movements,O,,
issues,issues,"('issues', 'NNS')",issu,issue,introduction,issues,O,,
including,including,"('including', 'VBG')",includ,include,introduction,including,O,,
war,war,"('war', 'NN')",war,war,introduction,war,O,,
abortion,abortion,"('abortion', 'NN')",abort,abortion,introduction,abortion,O,,
gay,gay,"('gay', 'NN')",gay,gay,introduction,gay,O,,
rights,rights,"('rights', 'NNS')",right,right,introduction,rights,O,,
Early,early,"('early', 'RB')",earli,early,description,Early,B,DATE,Absolute or relative dates or periods
seventeenth,seventeenth,"('seventeenth', 'JJ')",seventeenth,seventeenth,description,seventeenth,I,DATE,Absolute or relative dates or periods
century,century,"('century', 'NN')",centuri,century,description,century,I,DATE,Absolute or relative dates or periods
first,first,"('first', 'JJ')",first,first,description,first,B,ORDINAL,"""first"", ""second"", etc."
British,british,"('british', 'JJ')",british,british,description,British,B,NORP,Nationalities or religious or political groups
settlements,settlements,"('settlements', 'NNS')",settlement,settlement,description,settlements,O,,
began,began,"('began', 'VBD')",began,begin,description,began,O,,
take,take,"('take', 'VB')",take,take,description,take,O,,
root,root,"('root', 'NN')",root,root,description,root,O,,
along,along,"('along', 'IN')",along,along,description,along,O,,
rich,rich,"('rich', 'JJ')",rich,rich,description,rich,O,,
estuary,estuary,"('estuary', 'NN')",estuari,estuary,description,estuary,O,,
Chesapeake,chesapeake,"('chesapeake', 'NN')",chesapeak,chesapeake,description,Chesapeake,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Bay,bay,"('bay', 'VBD')",bay,bay,description,Bay,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
colonists,colonists,"('colonists', 'NNS')",colonist,colonist,description,colonists,O,,
hoped,hoped,"('hoped', 'VBD')",hope,hop,description,hoped,O,,
gold,gold,"('gold', 'NN')",gold,gold,description,gold,O,,
found,found,"('found', 'VBD')",found,find,description,found,O,,
fortunes,fortunes,"('fortunes', 'NNS')",fortun,fortune,description,fortunes,O,,
instead,instead,"('instead', 'RB')",instead,instead,description,instead,O,,
tobacco,tobacco,"('tobacco', 'NN')",tobacco,tobacco,description,tobacco,O,,
Virginia,virginia,"('virginia', 'IN')",virginia,virginia,description,Virginia,B,GPE,"Countries, cities, states"
first,first,"('first', 'JJ')",first,first,description,first,B,ORDINAL,"""first"", ""second"", etc."
settlement,settlement,"('settlement', 'NN')",settlement,settlement,description,settlement,O,,
was,was,"('was', 'VBD')",wa,be,description,was,O,,
largest,largest,"('largest', 'JJS')",largest,large,description,largest,O,,
populous,populous,"('populous', 'JJ')",popul,populous,description,populous,O,,
Half,half,"('half', 'NN')",half,half,description,Half,B,CARDINAL,Numerals that do not fall under another type
people,people,"('people', 'NNS')",peopl,people,description,people,O,,
slaves,slaves,"('slaves', 'NNS')",slave,slave,description,slaves,O,,
brought,brought,"('brought', 'VBN')",brought,bring,description,brought,O,,
Africa,africa,"('africa', 'NN')",africa,africa,description,Africa,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
backbreaking,backbreaking,"('backbreaking', 'NN')",backbreak,backbreaking,description,backbreaking,O,,
work,work,"('work', 'NN')",work,work,description,work,O,,
harvesting,harvesting,"('harvesting', 'VBG')",harvest,harvest,description,harvesting,O,,
noxious,noxious,"('noxious', 'JJ')",noxiou,noxious,description,noxious,O,,
weed,weed,"('weed', 'NN')",weed,weed,description,weed,O,,
tobacco,tobacco,"('tobacco', 'NN')",tobacco,tobacco,description,tobacco,O,,
Despite,despite,"('despite', 'IN')",despit,despite,description,Despite,O,,
central,central,"('central', 'JJ')",central,central,description,central,O,,
position,position,"('position', 'NN')",posit,position,description,position,O,,
East,east,"('east', 'NN')",east,east,description,East,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Coast,coast,"('coast', 'NN')",coast,coast,description,Coast,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
almost,almost,"('almost', 'RB')",almost,almost,description,almost,O,,
region,region,"('region', 'NN')",region,region,description,region,O,,
lies,lies,"('lies', 'VBZ')",lie,lie,description,lies,O,,
Line,line,"('line', 'NN')",line,line,description,Line,B,GPE,"Countries, cities, states"
imaginary,imaginary,"('imaginary', 'JJ')",imaginari,imaginary,description,imaginary,O,,
line,line,"('line', 'NN')",line,line,description,line,O,,
North,north,"('north', 'JJ')",north,north,description,North,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
South,south,"('south', 'JJ')",south,south,description,South,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
drawn,drawn,"('drawn', 'NN')",drawn,drawn,description,drawn,O,,
resolve,resolve,"('resolve', 'VB')",resolv,resolve,description,resolve,O,,
border,border,"('border', 'NN')",border,border,description,border,O,,
dispute,dispute,"('dispute', 'NN')",disput,dispute,description,dispute,O,,
became,became,"('became', 'VBD')",becam,become,description,became,O,,
symbolic,symbolic,"('symbolic', 'JJ')",symbol,symbolic,description,symbolic,O,,
boundary,boundary,"('boundary', 'NN')",boundari,boundary,description,boundary,O,,
free,free,"('free', 'JJ')",free,free,description,free,O,,
unfree,unfree,"('unfree', 'JJ')",unfre,unfree,description,unfree,O,,
states,states,"('states', 'NNS')",state,state,description,states,O,,
Slaves,slaves,"('slaves', 'NNS')",slave,slave,description,Slaves,O,,
helped,helped,"('helped', 'VBD')",help,help,description,helped,O,,
build,build,"('build', 'VB')",build,build,description,build,O,,
Capitol,capitol,"('capitol', 'NN')",capitol,capitol,description,Capitol,B,EVENT,"Named hurricanes, battles, wars, sports events, etc."
Civil,civil,"('civil', 'JJ')",civil,civil,description,Civil,I,EVENT,"Named hurricanes, battles, wars, sports events, etc."
War,war,"('war', 'NN')",war,war,description,War,I,EVENT,"Named hurricanes, battles, wars, sports events, etc."
one,one,"('one', 'CD')",one,one,description,one,B,CARDINAL,Numerals that do not fall under another type
country,country,"('country', 'NN')",countri,country,description,country,O,,
busiest,busiest,"('busiest', 'JJS')",busiest,busy,description,busiest,O,,
slave,slave,"('slave', 'NN')",slave,slave,description,slave,O,,
markets,markets,"('markets', 'NNS')",market,market,description,markets,O,,
was,was,"('was', 'VBD')",wa,be,description,was,O,,
two,two,"('two', 'CD')",two,two,description,two,B,CARDINAL,Numerals that do not fall under another type
blocks,blocks,"('blocks', 'NNS')",block,block,description,blocks,O,,
White,white,"('white', 'JJ')",white,white,description,White,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
North,north,"('north', 'JJ')",north,north,description,North,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
South,south,"('south', 'JJ')",south,south,description,South,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
finally,finally,"('finally', 'RB')",final,finally,description,finally,O,,
erupted,erupted,"('erupted', 'VBN')",erupt,erupt,description,erupted,O,,
Civil,civil,"('civil', 'JJ')",civil,civil,description,Civil,B,EVENT,"Named hurricanes, battles, wars, sports events, etc."
War,war,"('war', 'NN')",war,war,description,War,I,EVENT,"Named hurricanes, battles, wars, sports events, etc."
traces,traces,"('traces', 'NNS')",trace,trace,description,traces,O,,
still,still,"('still', 'RB')",still,still,description,still,O,,
visible,visible,"('visible', 'JJ')",visibl,visible,description,visible,O,,
everywhere,everywhere,"('everywhere', 'RB')",everywher,everywhere,description,everywhere,O,,
hundred,hundred,"('hundred', 'JJ')",hundr,hundred,description,hundred,B,QUANTITY,"Measurements, as of weight or distance"
miles,miles,"('miles', 'NNS')",mile,mile,description,miles,I,QUANTITY,"Measurements, as of weight or distance"
capital,capital,"('capital', 'NN')",capit,capital,description,capital,O,,
Union,union,"('union', 'NN')",union,union,description,Union,B,ORG,"Companies, agencies, institutions, etc."
