token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Mediterranean,mediterranean,"('mediterranean', 'JJ')",mediterranean,mediterranean,introduction,Mediterranean,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
holiday,holiday,"('holiday', 'NN')",holiday,holiday,introduction,holiday,O,,
spots,spots,"('spots', 'NNS')",spot,spot,introduction,spots,O,,
often,often,"('often', 'RB')",often,often,introduction,often,O,,
unfairly,unfairly,"('unfairly', 'RB')",unfairli,unfairly,introduction,unfairly,O,,
maligned,maligned,"('maligned', 'VBN')",malign,malign,introduction,maligned,O,,
MALLORCA,mallorca,"('mallorca', 'NN')",mallorca,mallorca,introduction,MALLORCA,O,,
island,island,"('island', 'NN')",island,island,introduction,island,O,,
commonly,commonly,"('commonly', 'RB')",commonli,commonly,introduction,commonly,O,,
perceived,perceived,"('perceived', 'VBN')",perceiv,perceive,introduction,perceived,O,,
little,little,"('little', 'RB')",littl,little,introduction,little,O,,
sun,sun,"('sun', 'NN')",sun,sun,introduction,sun,O,,
sex,sex,"('sex', 'NN')",sex,sex,introduction,sex,O,,
booze,booze,"('booze', 'NN')",booz,booze,introduction,booze,O,,
image,image,"('image', 'NN')",imag,image,introduction,image,O,,
spawned,spawned,"('spawned', 'VBN')",spawn,spawn,introduction,spawned,O,,
development,development,"('development', 'NN')",develop,development,introduction,development,O,,
yet,yet,"('yet', 'NN')",yet,yet,introduction,yet,O,,
takes,takes,"('takes', 'VBZ')",take,take,introduction,takes,O,,
account,account,"('account', 'NN')",account,account,introduction,account,O,,
Mallorca,mallorca,"('mallorca', 'NN')",mallorca,mallorca,introduction,Mallorca,B,ORG,"Companies, agencies, institutions, etc."
beguiling,beguiling,"('beguiling', 'VBG')",beguil,beguile,introduction,beguiling,O,,
diversity,diversity,"('diversity', 'NN')",divers,diversity,introduction,diversity,O,,
fact,fact,"('fact', 'NN')",fact,fact,introduction,fact,O,,
spread,spread,"('spread', 'NN')",spread,spread,introduction,spread,O,,
development,development,"('development', 'NN')",develop,development,introduction,development,O,,
even,even,"('even', 'RB')",even,even,introduction,even,O,,
fifty,fifty,"('fifty', 'JJ')",fifti,fifty,introduction,fifty,B,DATE,Absolute or relative dates or periods
years,years,"('years', 'NNS')",year,year,introduction,years,I,DATE,Absolute or relative dates or periods
essentially,essentially,"('essentially', 'RB')",essenti,essentially,introduction,essentially,O,,
confined,confined,"('confined', 'VBN')",confin,confine,introduction,confined,O,,
Badia,badia,"('badia', 'NN')",badia,badia,introduction,Badia,B,ORG,"Companies, agencies, institutions, etc."
de,de,"('de', 'IN')",de,de,introduction,de,I,ORG,"Companies, agencies, institutions, etc."
Palma,palma,"('palma', 'FW')",palma,palma,introduction,Palma,I,ORG,"Companies, agencies, institutions, etc."
Bay,bay,"('bay', 'NN')",bay,bay,introduction,Bay,I,ORG,"Companies, agencies, institutions, etc."
Palma,palma,"('palma', 'NN')",palma,palma,introduction,Palma,I,ORG,"Companies, agencies, institutions, etc."
strip,strip,"('strip', 'NN')",strip,strip,introduction,strip,O,,
flanking,flanking,"('flanking', 'VBG')",flank,flank,introduction,flanking,O,,
island,island,"('island', 'NN')",island,island,introduction,island,O,,
capital,capital,"('capital', 'NN')",capit,capital,introduction,capital,O,,
handful,handful,"('handful', 'NN')",hand,handful,introduction,handful,O,,
notching,notching,"('notching', 'VBG')",notch,notch,introduction,notching,O,,
east,east,"('east', 'NN')",east,east,introduction,east,O,,
coast,coast,"('coast', 'NN')",coast,coast,introduction,coast,O,,
Elsewhere,elsewhere,"('elsewhere', 'RB')",elsewher,elsewhere,description,Elsewhere,O,,
things,things,"('things', 'NNS')",thing,thing,description,things,O,,
very,very,"('very', 'RB')",veri,very,description,very,O,,
different,different,"('different', 'JJ')",differ,different,description,different,O,,
Palma,palma,"('palma', 'NN')",palma,palma,description,Palma,O,,
Balearics,balearics,"('balearics', 'NNS')",balear,balearics,description,Balearics,O,,
one,one,"('one', 'CD')",one,one,description,one,O,,
real,real,"('real', 'JJ')",real,real,description,real,O,,
