token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Madrid,madrid,"('madrid', 'JJ')",madrid,madrid,introduction,Madrid,B,GPE,"Countries, cities, states"
became,became,"('became', 'VBD')",becam,become,introduction,became,O,,
Spain,spain,"('spain', 'JJ')",spain,spain,introduction,Spain,B,GPE,"Countries, cities, states"
capital,capital,"('capital', 'NN')",capit,capital,introduction,capital,O,,
simply,simply,"('simply', 'RB')",simpli,simply,introduction,simply,O,,
virtue,virtue,"('virtue', 'NN')",virtu,virtue,introduction,virtue,O,,
geographical,geographical,"('geographical', 'JJ')",geograph,geographical,introduction,geographical,O,,
position,position,"('position', 'NN')",posit,position,introduction,position,O,,
heart,heart,"('heart', 'NN')",heart,heart,introduction,heart,O,,
Iberia,iberia,"('iberia', 'NN')",iberia,iberia,introduction,Iberia,B,ORG,"Companies, agencies, institutions, etc."
Felipe,felipe,"('felipe', 'NN')",felip,felipe,introduction,Felipe,I,ORG,"Companies, agencies, institutions, etc."
II,ii,"('ii', 'RB')",ii,ii,introduction,II,I,ORG,"Companies, agencies, institutions, etc."
moved,moved,"('moved', 'VBD')",move,move,introduction,moved,O,,
seat,seat,"('seat', 'NN')",seat,seat,introduction,seat,O,,
government,government,"('government', 'NN')",govern,government,introduction,government,O,,
his,his,"('his', 'PRP$')",hi,his,introduction,his,O,,
aim,aim,"('aim', 'NN')",aim,aim,introduction,aim,O,,
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
create,create,"('create', 'VB')",creat,create,introduction,create,O,,
symbol,symbol,"('symbol', 'NN')",symbol,symbol,introduction,symbol,O,,
unification,unification,"('unification', 'NN')",unif,unification,introduction,unification,O,,
centralization,centralization,"('centralization', 'NN')",central,centralization,introduction,centralization,O,,
country,country,"('country', 'NN')",countri,country,introduction,country,O,,
capital,capital,"('capital', 'NN')",capit,capital,introduction,capital,O,,
could,could,"('could', 'MD')",could,could,introduction,could,O,,
receive,receive,"('receive', 'VB')",receiv,receive,introduction,receive,O,,
fastest,fastest,"('fastest', 'JJS')",fastest,fast,introduction,fastest,O,,
post,post,"('post', 'NN')",post,post,introduction,post,O,,
communication,communication,"('communication', 'NN')",commun,communication,introduction,communication,O,,
every,every,"('every', 'DT')",everi,every,introduction,every,O,,
corner,corner,"('corner', 'NN')",corner,corner,introduction,corner,O,,
nation,nation,"('nation', 'NN')",nation,nation,introduction,nation,O,,
site,site,"('site', 'NN')",site,site,introduction,site,O,,
natural,natural,"('natural', 'JJ')",natur,natural,introduction,natural,O,,
advantages,advantages,"('advantages', 'NNS')",advantag,advantage,introduction,advantages,O,,
sea,sea,"('sea', 'NN')",sea,sea,introduction,sea,O,,
plateau,plateau,"('plateau', 'NN')",plateau,plateau,introduction,plateau,O,,
freezing,freezing,"('freezing', 'NN')",freez,freezing,introduction,freezing,O,,
winter,winter,"('winter', 'NN')",winter,winter,introduction,winter,O,,
boiling,boiling,"('boiling', 'NN')",boil,boiling,introduction,boiling,O,,
summer,summer,"('summer', 'NN')",summer,summer,introduction,summer,B,DATE,Absolute or relative dates or periods
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
only,only,"('only', 'RB')",onli,only,introduction,only,O,,
determination,determination,"('determination', 'NN')",determin,determination,introduction,determination,O,,
successive,successive,"('successive', 'JJ')",success,successive,introduction,successive,O,,
rulers,rulers,"('rulers', 'NNS')",ruler,ruler,introduction,rulers,O,,
promote,promote,"('promote', 'VB')",promot,promote,introduction,promote,O,,
strong,strong,"('strong', 'JJ')",strong,strong,introduction,strong,O,,
central,central,"('central', 'JJ')",central,central,introduction,central,O,,
capital,capital,"('capital', 'NN')",capit,capital,introduction,capital,O,,
ensured,ensured,"('ensured', 'VBD')",ensur,ensure,introduction,ensured,O,,
Madrid,madrid,"('madrid', 'JJ')",madrid,madrid,introduction,Madrid,B,GPE,"Countries, cities, states"
survival,survival,"('survival', 'NN')",surviv,survival,introduction,survival,O,,
development,development,"('development', 'NN')",develop,development,introduction,development,O,,
Today,today,"('today', 'NN')",today,today,description,Today,B,ORG,"Companies, agencies, institutions, etc."
Madrid,madrid,"('madrid', 'NN')",madrid,madrid,description,Madrid,I,ORG,"Companies, agencies, institutions, etc."
vast,vast,"('vast', 'JJ')",vast,vast,description,vast,O,,
predominantly,predominantly,"('predominantly', 'RB')",predominantli,predominantly,description,predominantly,O,,
modern,modern,"('modern', 'JJ')",modern,modern,description,modern,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
