token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Picos,picos,"('picos', 'NN')",pico,picos,introduction,Picos,B,PERSON,"People, including fictional"
de,de,"('de', 'IN')",de,de,introduction,de,I,PERSON,"People, including fictional"
Europa,europa,"('europa', 'FW')",europa,europa,introduction,Europa,I,PERSON,"People, including fictional"
may,may,"('may', 'MD')",may,may,introduction,may,O,,
highest,highest,"('highest', 'JJS')",highest,high,introduction,highest,O,,
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction,mountains,O,,
Spain,spain,"('spain', 'NN')",spain,spain,introduction,Spain,B,GPE,"Countries, cities, states"
favourite,favourite,"('favourite', 'NN')",favourit,favourite,introduction,favourite,O,,
many,many,"('many', 'JJ')",mani,many,introduction,many,O,,
walkers,walkers,"('walkers', 'NNS')",walker,walker,introduction,walkers,O,,
trekkers,trekkers,"('trekkers', 'NNS')",trekker,trekker,introduction,trekkers,O,,
climbers,climbers,"('climbers', 'NNS')",climber,climber,introduction,climbers,O,,
Declared,declared,"('declared', 'VBD')",declar,declare,introduction,Declared,O,,
national,national,"('national', 'JJ')",nation,national,introduction,national,O,,
park,park,"('park', 'NN')",park,park,introduction,park,O,,
entirety,entirety,"('entirety', 'NN')",entireti,entirety,introduction,entirety,O,,
range,range,"('range', 'NN')",rang,range,introduction,range,O,,
miniature,miniature,"('miniature', 'NN')",miniatur,miniature,introduction,miniature,O,,
masterpiece,masterpiece,"('masterpiece', 'VBZ')",masterpiec,masterpiece,introduction,masterpiece,O,,
mere,mere,"('mere', 'JJ')",mere,mere,introduction,mere,O,,
km,km,"('km', 'NN')",km,km,introduction,km,O,,
across,across,"('across', 'IN')",across,across,introduction,across,O,,
either,either,"('either', 'DT')",either,either,introduction,either,O,,
direction,direction,"('direction', 'NN')",direct,direction,introduction,direction,O,,
shoehorned,shoehorned,"('shoehorned', 'VBD')",shoehorn,shoehorn,introduction,shoehorned,O,,
three,three,"('three', 'CD')",three,three,introduction,three,B,CARDINAL,Numerals that do not fall under another type
great,great,"('great', 'JJ')",great,great,introduction,great,O,,
river,river,"('river', 'NN')",river,river,introduction,river,O,,
gorges,gorges,"('gorges', 'NNS')",gorg,gorge,introduction,gorges,O,,
straddling,straddling,"('straddling', 'VBG')",straddl,straddle,introduction,straddling,O,,
provinces,provinces,"('provinces', 'NNS')",provinc,province,introduction,provinces,O,,
Asturias,asturias,"('asturias', 'JJ')",asturia,asturias,introduction,Asturias,B,ORG,"Companies, agencies, institutions, etc."
León,león,"('león', 'NN')",león,león,introduction,León,I,ORG,"Companies, agencies, institutions, etc."
Cantabria,cantabria,"('cantabria', 'NN')",cantabria,cantabria,introduction,Cantabria,I,ORG,"Companies, agencies, institutions, etc."
Asturians,asturians,"('asturians', 'NNS')",asturian,asturians,introduction,Asturians,I,ORG,"Companies, agencies, institutions, etc."
see,see,"('see', 'VBP')",see,see,introduction,see,O,,
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction,mountains,O,,
symbol,symbol,"('symbol', 'NN')",symbol,symbol,introduction,symbol,O,,
national,national,"('national', 'JJ')",nation,national,introduction,national,O,,
identity,identity,"('identity', 'NN')",ident,identity,introduction,identity,O,,
celebrate,celebrate,"('celebrate', 'VB')",celebr,celebrate,introduction,celebrate,O,,
Covadonga,covadonga,"('covadonga', 'NN')",covadonga,covadonga,introduction,Covadonga,B,GPE,"Countries, cities, states"
west,west,"('west', 'NN')",west,west,introduction,west,O,,
birthplace,birthplace,"('birthplace', 'NN')",birthplac,birthplace,introduction,birthplace,O,,
Christian,christian,"('christian', 'JJ')",christian,christian,introduction,Christian,B,ORG,"Companies, agencies, institutions, etc."
Spain,spain,"('spain', 'NN')",spain,spain,introduction,Spain,I,ORG,"Companies, agencies, institutions, etc."
