token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
classic,classic,"('classic', 'JJ')",classic,classic,introduction,classic,O,,
southwestern,southwestern,"('southwestern', 'JJ')",southwestern,southwestern,introduction,southwestern,O,,
landscape,landscape,"('landscape', 'NN')",landscap,landscape,introduction,landscape,O,,
stark,stark,"('stark', 'JJ')",stark,stark,introduction,stark,O,,
sandstone,sandstone,"('sandstone', 'NN')",sandston,sandstone,introduction,sandstone,O,,
buttes,buttes,"('buttes', 'NNS')",butt,butte,introduction,buttes,O,,
forbidding,forbidding,"('forbidding', 'VBG')",forbid,forbid,introduction,forbidding,O,,
pinnacles,pinnacles,"('pinnacles', 'NNS')",pinnacl,pinnacle,introduction,pinnacles,O,,
rock,rock,"('rock', 'NN')",rock,rock,introduction,rock,O,,
poking,poking,"('poking', 'VBG')",poke,poke,introduction,poking,O,,
endless,endless,"('endless', 'JJ')",endless,endless,introduction,endless,O,,
expanse,expanse,"('expanse', 'NN')",expans,expanse,introduction,expanse,O,,
drifting,drifting,"('drifting', 'VBG')",drift,drift,introduction,drifting,O,,
red,red,"('red', 'JJ')",red,red,introduction,red,O,,
sands,sands,"('sands', 'NNS')",sand,sand,introduction,sands,O,,
archetypal,archetypal,"('archetypal', 'JJ')",archetyp,archetypal,introduction,archetypal,O,,
Wild,wild,"('wild', 'JJ')",wild,wild,introduction,Wild,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
West,west,"('west', 'JJS')",west,west,introduction,West,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
image,image,"('image', 'NN')",imag,image,introduction,image,O,,
Only,only,"('only', 'RB')",onli,only,introduction,Only,O,,
arrive,arrive,"('arrive', 'VBP')",arriv,arrive,introduction,arrive,O,,
MONUMENT,monument,"('monument', 'NN')",monument,monument,introduction,MONUMENT,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
VALLEY,valley,"('valley', 'NN')",valley,valley,introduction,VALLEY,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
straddles,straddles,"('straddles', 'VBZ')",straddl,straddle,introduction,straddles,O,,
state,state,"('state', 'NN')",state,state,introduction,state,O,,
line,line,"('line', 'NN')",line,line,introduction,line,O,,
miles,miles,"('miles', 'NNS')",mile,mile,introduction,miles,O,,
north,north,"('north', 'RB')",north,north,introduction,north,O,,
Kayenta,kayenta,"('kayenta', 'NNS')",kayenta,kayenta,introduction,Kayenta,B,GPE,"Countries, cities, states"
realize,realize,"('realize', 'VB')",realiz,realize,introduction,realize,O,,
much,much,"('much', 'JJ')",much,much,introduction,much,O,,
perception,perception,"('perception', 'NN')",percept,perception,introduction,perception,O,,
West,west,"('west', 'NN')",west,west,introduction,West,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
shaped,shaped,"('shaped', 'VBN')",shape,shape,introduction,shaped,O,,
this,this,"('this', 'DT')",thi,this,introduction,this,O,,
one,one,"('one', 'CD')",one,one,introduction,one,O,,
spot,spot,"('spot', 'NN')",spot,spot,introduction,spot,O,,
scenery,scenery,"('scenery', 'NN')",sceneri,scenery,introduction,scenery,O,,
does,does,"('does', 'VBZ')",doe,do,introduction,does,O,,
exist,exist,"('exist', 'VB')",exist,exist,introduction,exist,O,,
elsewhere,elsewhere,"('elsewhere', 'RB')",elsewher,elsewhere,introduction,elsewhere,O,,
course,course,"('course', 'NN')",cours,course,introduction,course,O,,
nowhere,nowhere,"('nowhere', 'RB')",nowher,nowhere,introduction,nowhere,O,,
perfectly,perfectly,"('perfectly', 'RB')",perfectli,perfectly,introduction,perfectly,O,,
distilled,distilled,"('distilled', 'VBN')",distil,distil,introduction,distilled,O,,
moviemakers,moviemakers,"('moviemakers', 'NNS')",moviemak,moviemakers,introduction,moviemakers,O,,
