token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
One,one,"('one', 'CD')",one,one,introduction,One,B,CARDINAL,Numerals that do not fall under another type
world,world,"('world', 'NN')",world,world,introduction,world,I,CARDINAL,Numerals that do not fall under another type
million,million,"('million', 'CD')",million,million,introduction,million,I,CARDINAL,Numerals that do not fall under another type
people,people,"('people', 'NNS')",peopl,people,introduction,people,O,,
occupying,occupying,"('occupying', 'VBG')",occupi,occupy,introduction,occupying,O,,
shallow,shallow,"('shallow', 'JJ')",shallow,shallow,introduction,shallow,O,,
mountain,mountain,"('mountain', 'NN')",mountain,mountain,introduction,mountain,O,,
bowl,bowl,"('bowl', 'NN')",bowl,bowl,introduction,bowl,O,,
above,above,"('above', 'IN')",abov,above,introduction,above,O,,
sea,sea,"('sea', 'NN')",sea,sea,introduction,sea,O,,
level,level,"('level', 'NN')",level,level,introduction,level,O,,
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,introduction,Mexico,B,GPE,"Countries, cities, states"
City,city,"('city', 'NN')",citi,city,introduction,City,I,GPE,"Countries, cities, states"
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
seen,seen,"('seen', 'VBN')",seen,see,introduction,seen,O,,
believed,believed,"('believed', 'VBN')",believ,believe,introduction,believed,O,,
Bursting,bursting,"('bursting', 'VBG')",burst,burst,introduction,Bursting,O,,
beyond,beyond,"('beyond', 'IN')",beyond,beyond,introduction,beyond,O,,
official,official,"('official', 'JJ')",offici,official,introduction,official,O,,
federal,federal,"('federal', 'JJ')",feder,federal,introduction,federal,O,,
district,district,"('district', 'NN')",district,district,introduction,district,O,,
sprawling,sprawling,"('sprawling', 'JJ')",sprawl,sprawling,introduction,sprawling,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
edgy,edgy,"('edgy', 'JJ')",edgi,edgy,introduction,edgy,O,,
yet,yet,"('yet', 'RB')",yet,yet,introduction,yet,O,,
cosmopolitan,cosmopolitan,"('cosmopolitan', 'VB')",cosmopolitan,cosmopolitan,introduction,cosmopolitan,O,,
Around,around,"('around', 'IN')",around,around,introduction,Around,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
lie,lie,"('lie', 'VBZ')",lie,lie,introduction,lie,O,,
chief,chief,"('chief', 'JJ')",chief,chief,introduction,chief,O,,
relics,relics,"('relics', 'NNS')",relic,relic,introduction,relics,O,,
cultures,cultures,"('cultures', 'NNS')",cultur,culture,introduction,cultures,O,,
central,central,"('central', 'JJ')",central,central,introduction,central,O,,
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,introduction,Mexico,O,,
find,find,"('find', 'VBP')",find,find,introduction,find,O,,
massive,massive,"('massive', 'JJ')",massiv,massive,introduction,massive,O,,
pyramids,pyramids,"('pyramids', 'NNS')",pyramid,pyramid,introduction,pyramids,O,,
Teotihuacán,teotihuacán,"('teotihuacán', 'JJ')",teotihuacán,teotihuacán,introduction,Teotihuacán,O,,
Dropdown,dropdown,"('dropdown', 'JJ')",dropdown,dropdown,introduction,Dropdown,O,,
content,content,"('content', 'NN')",content,content,introduction,content,O,,
main,main,"('main', 'JJ')",main,main,introduction,main,O,,
Toltec,toltec,"('toltec', 'JJ')",toltec,toltec,introduction,Toltec,B,NORP,Nationalities or religious or political groups
site,site,"('site', 'NN')",site,site,introduction,site,O,,
Tula,tula,"('tula', 'JJ')",tula,tula,introduction,Tula,O,,
Dropdown,dropdown,"('dropdown', 'JJ')",dropdown,dropdown,introduction,Dropdown,O,,
content,content,"('content', 'NN')",content,content,introduction,content,O,,
Read,read,"('read', 'VB')",read,read,introduction,Read,O,,
Mexico,mexico,"('mexico', 'JJ')",mexico,mexico,introduction,Mexico,O,,
City,city,"('city', 'NN')",citi,city,introduction,City,O,,
travel,travel,"('travel', 'NN')",travel,travel,introduction,travel,O,,
guide,guide,"('guide', 'NN')",guid,guide,introduction,guide,O,,
everything,everything,"('everything', 'NN')",everyth,everything,introduction,everything,O,,
need,need,"('need', 'VBP')",need,need,introduction,need,O,,
know,know,"('know', 'VB')",know,know,introduction,know,O,,
before,before,"('before', 'IN')",befor,before,introduction,before,O,,
go,go,"('go', 'VBP')",go,go,introduction,go,O,,
Spanish,spanish,"('spanish', 'JJ')",spanish,spanish,description,Spanish,B,NORP,Nationalities or religious or political groups
systematically,systematically,"('systematically', 'RB')",systemat,systematically,description,systematically,O,,
destroyed,destroyed,"('destroyed', 'VBN')",destroy,destroy,description,destroyed,O,,
Aztec,aztec,"('aztec', 'JJ')",aztec,aztec,description,Aztec,B,NORP,Nationalities or religious or political groups
culture,culture,"('culture', 'NN')",cultur,culture,description,culture,O,,
created,created,"('created', 'VBD')",creat,create,description,created,O,,
new,new,"('new', 'JJ')",new,new,description,new,O,,
bigger,bigger,"('bigger', 'JJR')",bigger,big,description,bigger,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
turbulent,turbulent,"('turbulent', 'JJ')",turbul,turbulent,description,turbulent,O,,
period,period,"('period', 'NN')",period,period,description,period,O,,
disease,disease,"('disease', 'NN')",diseas,disease,description,disease,O,,
sinking,sinking,"('sinking', 'NN')",sink,sinking,description,sinking,O,,
buildings,buildings,"('buildings', 'NNS')",build,building,description,buildings,O,,
followed,followed,"('followed', 'VBD')",follow,follow,description,followed,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
comprised,comprised,"('comprised', 'VBD')",compris,comprise,description,comprised,O,,
little,little,"('little', 'RB')",littl,little,description,little,O,,
area,area,"('area', 'NN')",area,area,description,area,O,,
around,around,"('around', 'IN')",around,around,description,around,O,,
Zócalo,zócalo,"('zócalo', 'NN')",zócalo,zócalo,description,Zócalo,O,,
late,late,"('late', 'JJ')",late,late,description,late,O,,
however,however,"('however', 'RB')",howev,however,description,however,O,,
dictator,dictator,"('dictator', 'NN')",dictat,dictator,description,dictator,O,,
Porfirio,porfirio,"('porfirio', 'NN')",porfirio,porfirio,description,Porfirio,B,PERSON,"People, including fictional"
Díaz,díaz,"('díaz', 'NN')",díaz,díaz,description,Díaz,I,PERSON,"People, including fictional"
presided,presided,"('presided', 'VBD')",presid,preside,description,presided,O,,
aggressive,aggressive,"('aggressive', 'JJ')",aggress,aggressive,description,aggressive,O,,
building,building,"('building', 'NN')",build,building,description,building,O,,
programme,programme,"('programme', 'NN')",programm,programme,description,programme,O,,
fuelled,fuelled,"('fuelled', 'VBD')",fuell,fuel,description,fuelled,O,,
growth,growth,"('growth', 'NN')",growth,growth,description,growth,O,,
Revolution,revolution,"('revolution', 'NN')",revolut,revolution,description,Revolution,O,,
Mexico,mexico,"('mexico', 'FW')",mexico,mexico,description,Mexico,B,GPE,"Countries, cities, states"
City,city,"('city', 'NN')",citi,city,description,City,I,GPE,"Countries, cities, states"
residents,residents,"('residents', 'NNS')",resid,resident,description,residents,O,,
numbered,numbered,"('numbered', 'VBD')",number,number,description,numbered,O,,
regaining,regaining,"('regaining', 'VBG')",regain,regain,description,regaining,O,,
first,first,"('first', 'JJ')",first,first,description,first,B,ORDINAL,"""first"", ""second"", etc."
time,time,"('time', 'NN')",time,time,description,time,O,,
four,four,"('four', 'CD')",four,four,description,four,O,,
centuries,centuries,"('centuries', 'NNS')",centuri,century,description,centuries,O,,
Revolution,revolution,"('revolution', 'NN')",revolut,revolution,description,Revolution,O,,
thousands,thousands,"('thousands', 'NNS')",thousand,thousand,description,thousands,O,,
fled,fled,"('fled', 'VBD')",fled,flee,description,fled,O,,
rapidly,rapidly,"('rapidly', 'RB')",rapidli,rapidly,description,rapidly,O,,
industrializing,industrializing,"('industrializing', 'VBG')",industri,industrialize,description,industrializing,O,,
Mexico,mexico,"('mexico', 'NNS')",mexico,mexico,description,Mexico,B,GPE,"Countries, cities, states"
City,city,"('city', 'NN')",citi,city,description,City,I,GPE,"Countries, cities, states"
work,work,"('work', 'NN')",work,work,description,work,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
population,population,"('population', 'NN')",popul,population,description,population,O,,
quadrupled,quadrupled,"('quadrupled', 'VBD')",quadrupl,quadruple,description,quadrupled,O,,
shantytowns,shantytowns,"('shantytowns', 'NNS')",shantytown,shantytown,description,shantytowns,O,,
began,began,"('began', 'VBD')",began,begin,description,began,O,,
springing,springing,"('springing', 'VBG')",spring,spring,description,springing,O,,
mushrooming,mushrooming,"('mushrooming', 'VBG')",mushroom,mushroom,description,mushrooming,O,,
This,this,"('this', 'DT')",thi,this,description,This,O,,
expansion,expansion,"('expansion', 'NN')",expans,expansion,description,expansion,O,,
strained,strained,"('strained', 'VBD')",strain,strain,description,strained,O,,
