token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,introduction,visitors,O,,
TULUM,tulum,"('tulum', 'NNS')",tulum,tulum,introduction,TULUM,O,,
mean,mean,"('mean', 'VB')",mean,mean,introduction,mean,O,,
several,several,"('several', 'JJ')",sever,several,introduction,several,O,,
things,things,"('things', 'NNS')",thing,thing,introduction,things,O,,
First,first,"('first', 'JJ')",first,first,introduction,First,B,ORDINAL,"""first"", ""second"", etc."
one,one,"('one', 'CD')",one,one,introduction,one,B,CARDINAL,Numerals that do not fall under another type
picturesque,picturesque,"('picturesque', 'NN')",picturesqu,picturesque,introduction,picturesque,O,,
ancient,ancient,"('ancient', 'JJ')",ancient,ancient,introduction,ancient,O,,
Maya,maya,"('maya', 'NN')",maya,maya,introduction,Maya,B,NORP,Nationalities or religious or political groups
sites,sites,"('sites', 'NNS')",site,site,introduction,sites,O,,
poised,poised,"('poised', 'VBD')",pois,poise,introduction,poised,O,,
cliffs,cliffs,"('cliffs', 'NNS')",cliff,cliff,introduction,cliffs,O,,
above,above,"('above', 'IN')",abov,above,introduction,above,O,,
impossibly,impossibly,"('impossibly', 'RB')",imposs,impossibly,introduction,impossibly,O,,
turquoise,turquoise,"('turquoise', 'JJ')",turquois,turquoise,introduction,turquoise,O,,
Caribbean,caribbean,"('caribbean', 'NN')",caribbean,caribbean,introduction,Caribbean,O,,
Tulum,tulum,"('tulum', 'NN')",tulum,tulum,introduction,Tulum,B,GPE,"Countries, cities, states"
also,also,"('also', 'RB')",also,also,introduction,also,O,,
refers,refers,"('refers', 'VBZ')",refer,refer,introduction,refers,O,,
stretch,stretch,"('stretch', 'NN')",stretch,stretch,introduction,stretch,O,,
broad,broad,"('broad', 'JJ')",broad,broad,introduction,broad,O,,
white,white,"('white', 'JJ')",white,white,introduction,white,O,,
beach,beach,"('beach', 'NN')",beach,beach,introduction,beach,O,,
dotted,dotted,"('dotted', 'VBN')",dot,dot,introduction,dotted,O,,
lodging,lodging,"('lodging', 'NN')",lodg,lodging,introduction,lodging,O,,
options,options,"('options', 'NNS')",option,option,introduction,options,O,,
