token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Although,although,"('although', 'IN')",although,although,introduction,Although,O,,
very,very,"('very', 'RB')",veri,very,introduction,very,O,,
different,different,"('different', 'JJ')",differ,different,introduction,different,O,,
states,states,"('states', 'NNS')",state,state,introduction,states,O,,
Chiapas,chiapas,"('chiapas', 'VBP')",chiapa,chiapas,introduction,Chiapas,B,GPE,"Countries, cities, states"
mountainous,mountainous,"('mountainous', 'JJ')",mountain,mountainous,introduction,mountainous,O,,
Tabasco,tabasco,"('tabasco', 'JJ')",tabasco,tabasco,introduction,Tabasco,B,GPE,"Countries, cities, states"
Dropdown,dropdown,"('dropdown', 'NN')",dropdown,dropdown,introduction,Dropdown,O,,
content,content,"('content', 'NN')",content,content,introduction,content,O,,
steamy,steamy,"('steamy', 'JJ')",steami,steamy,introduction,steamy,O,,
lowlands,lowlands,"('lowlands', 'IN')",lowland,lowland,introduction,lowlands,O,,
group,group,"('group', 'NN')",group,group,introduction,group,O,,
together,together,"('together', 'RB')",togeth,together,introduction,together,O,,
because,because,"('because', 'IN')",becaus,because,introduction,because,O,,
travellers,travellers,"('travellers', 'NNS')",travel,traveller,introduction,travellers,O,,
usually,usually,"('usually', 'RB')",usual,usually,introduction,usually,O,,
pass,pass,"('pass', 'VB')",pass,pass,introduction,pass,O,,
one,one,"('one', 'CD')",one,one,introduction,one,O,,
en,en,"('en', 'FW')",en,en,introduction,en,O,,
route,route,"('route', 'NN')",rout,route,introduction,route,O,,
Yucatán,yucatán,"('yucatán', 'NN')",yucatán,yucatán,introduction,Yucatán,B,GPE,"Countries, cities, states"
Endowed,endowed,"('endowed', 'VBD')",endow,endow,introduction,Endowed,O,,
stunning,stunning,"('stunning', 'JJ')",stun,stunning,introduction,stunning,O,,
variety,variety,"('variety', 'NN')",varieti,variety,introduction,variety,O,,
cultures,cultures,"('cultures', 'NNS')",cultur,culture,introduction,cultures,O,,
landscapes,landscapes,"('landscapes', 'NNS')",landscap,landscape,introduction,landscapes,O,,
wildlife,wildlife,"('wildlife', 'NN')",wildlif,wildlife,introduction,wildlife,O,,
Chiapas,chiapas,"('chiapas', 'NN')",chiapa,chiapas,introduction,Chiapas,B,GPE,"Countries, cities, states"
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
much,much,"('much', 'RB')",much,much,introduction,much,O,,
tempt,tempt,"('tempt', 'VB')",tempt,tempt,introduction,tempt,O,,
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,introduction,visitors,O,,
biggest,biggest,"('biggest', 'JJS')",biggest,big,introduction,biggest,O,,
draw,draw,"('draw', 'NN')",draw,draw,introduction,draw,O,,
many,many,"('many', 'JJ')",mani,many,introduction,many,O,,
indigenous,indigenous,"('indigenous', 'JJ')",indigen,indigenous,introduction,indigenous,O,,
traditions,traditions,"('traditions', 'NNS')",tradit,tradition,introduction,traditions,O,,
survive,survive,"('survive', 'VBP')",surviv,survive,introduction,survive,O,,
intact,intact,"('intact', 'JJ')",intact,intact,introduction,intact,O,,
well,well,"('well', 'RB')",well,well,introduction,well,O,,
much,much,"('much', 'JJ')",much,much,introduction,much,O,,
pristine,pristine,"('pristine', 'NN')",pristin,pristine,introduction,pristine,O,,
wilderness,wilderness,"('wilderness', 'NN')",wilder,wilderness,introduction,wilderness,O,,
exists,exists,"('exists', 'VBZ')",exist,exist,introduction,exists,O,,
state,state,"('state', 'NN')",state,state,introduction,state,O,,
Tabasco,tabasco,"('tabasco', 'NN')",tabasco,tabasco,introduction,Tabasco,O,,
Dropdown,dropdown,"('dropdown', 'VBN')",dropdown,dropdown,introduction,Dropdown,O,,
content,content,"('content', 'NN')",content,content,introduction,content,O,,
contrast,contrast,"('contrast', 'NN')",contrast,contrast,introduction,contrast,O,,
less,less,"('less', 'RBR')",less,less,introduction,less,O,,
aesthetically,aesthetically,"('aesthetically', 'RB')",aesthet,aesthetically,introduction,aesthetically,O,,
attractive,attractive,"('attractive', 'JJ')",attract,attractive,introduction,attractive,O,,
neighbour,neighbour,"('neighbour', 'JJ')",neighbour,neighbour,introduction,neighbour,O,,
rural,rural,"('rural', 'JJ')",rural,rural,introduction,rural,O,,
areas,areas,"('areas', 'NNS')",area,area,introduction,areas,O,,
see,see,"('see', 'VBP')",see,see,introduction,see,O,,
almost,almost,"('almost', 'RB')",almost,almost,introduction,almost,O,,
tourists,tourists,"('tourists', 'NNS')",tourist,tourist,introduction,tourists,O,,
capital,capital,"('capital', 'NN')",capit,capital,introduction,capital,O,,
Villahermosa,villahermosa,"('villahermosa', 'NN')",villahermosa,villahermosa,introduction,Villahermosa,B,GPE,"Countries, cities, states"
transit,transit,"('transit', 'NN')",transit,transit,introduction,transit,O,,
hub,hub,"('hub', 'NN')",hub,hub,introduction,hub,O,,
archeology,archeology,"('archeology', 'NN')",archeolog,archeology,introduction,archeology,O,,
buffs,buffs,"('buffs', 'NNS')",buff,buff,introduction,buffs,O,,
know,know,"('know', 'VBP')",know,know,introduction,know,O,,
region,region,"('region', 'NN')",region,region,introduction,region,O,,
heartland,heartland,"('heartland', 'NN')",heartland,heartland,introduction,heartland,O,,
Olmecs,olmecs,"('olmecs', 'JJ')",olmec,olmecs,introduction,Olmecs,B,GPE,"Countries, cities, states"
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,introduction,Mexico,B,GPE,"Countries, cities, states"
earliest,earliest,"('earliest', 'JJS')",earliest,early,introduction,earliest,O,,
developed,developed,"('developed', 'VBN')",develop,develop,introduction,developed,O,,
civilization,civilization,"('civilization', 'NN')",civil,civilization,introduction,civilization,O,,
Chiapas,chiapas,"('chiapas', 'NN')",chiapa,chiapas,description,Chiapas,B,GPE,"Countries, cities, states"
was,was,"('was', 'VBD')",wa,be,description,was,O,,
administered,administered,"('administered', 'VBN')",administ,administer,description,administered,O,,
Spanish,spanish,"('spanish', 'JJ')",spanish,spanish,description,Spanish,B,NORP,Nationalities or religious or political groups
part,part,"('part', 'NN')",part,part,description,part,O,,
Guatemala,guatemala,"('guatemala', 'NN')",guatemala,guatemala,description,Guatemala,B,GPE,"Countries, cities, states"
seceded,seceded,"('seceded', 'VBD')",seced,secede,description,seceded,O,,
join,join,"('join', 'VB')",join,join,description,join,O,,
newly,newly,"('newly', 'RB')",newli,newly,description,newly,O,,
independent,independent,"('independent', 'JJ')",independ,independent,description,independent,O,,
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,description,Mexico,B,GPE,"Countries, cities, states"
state,state,"('state', 'NN')",state,state,description,state,O,,
second,second,"('second', 'JJ')",second,second,description,second,B,ORDINAL,"""first"", ""second"", etc."
only,only,"('only', 'RB')",onli,only,description,only,O,,
Oaxaca,oaxaca,"('oaxaca', 'VB')",oaxaca,oaxaca,description,Oaxaca,O,,
Indian,indian,"('indian', 'JJ')",indian,indian,description,Indian,B,NORP,Nationalities or religious or political groups
population,population,"('population', 'NN')",popul,population,description,population,O,,
percent,percent,"('percent', 'NN')",percent,percent,description,percent,O,,
four,four,"('four', 'CD')",four,four,description,four,B,CARDINAL,Numerals that do not fall under another type
inhabitants,inhabitants,"('inhabitants', 'NNS')",inhabit,inhabitant,description,inhabitants,O,,
thought,thought,"('thought', 'VBN')",thought,think,description,thought,O,,
indígenas,indígenas,"('indígenas', 'NNS')",indígena,indígenas,description,indígenas,O,,
fourteen,fourteen,"('fourteen', 'JJ')",fourteen,fourteen,description,fourteen,O,,
ethnic,ethnic,"('ethnic', 'JJ')",ethnic,ethnic,description,ethnic,O,,
groups,groups,"('groups', 'NNS')",group,group,description,groups,O,,
Maya,maya,"('maya', 'NN')",maya,maya,description,Maya,B,NORP,Nationalities or religious or political groups
origin,origin,"('origin', 'NN')",origin,origin,description,origin,O,,
Tuxtla,tuxtla,"('tuxtla', 'NN')",tuxtla,tuxtla,description,Tuxtla,B,PERSON,"People, including fictional"
Gutiérrez,gutiérrez,"('gutiérrez', 'NN')",gutiérrez,gutiérrez,description,Gutiérrez,I,PERSON,"People, including fictional"
capital,capital,"('capital', 'NN')",capit,capital,description,capital,O,,
travellers,travellers,"('travellers', 'NNS')",travel,traveller,description,travellers,O,,
usually,usually,"('usually', 'RB')",usual,usually,description,usually,O,,
head,head,"('head', 'VBP')",head,head,description,head,O,,
