token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
REAL,real,"('real', 'JJ')",real,real,introduction,REAL,O,,
DE,de,"('de', 'FW')",de,de,introduction,DE,O,,
CATORCE,catorce,"('catorce', 'NN')",catorc,catorce,introduction,CATORCE,O,,
extraordinary,extraordinary,"('extraordinary', 'JJ')",extraordinari,extraordinary,introduction,extraordinary,O,,
place,place,"('place', 'NN')",place,place,introduction,place,O,,
Silver,silver,"('silver', 'NN')",silver,silver,introduction,Silver,O,,
mines,mines,"('mines', 'NNS')",mine,mine,introduction,mines,O,,
founded,founded,"('founded', 'VBN')",found,found,introduction,founded,O,,
surrounding,surrounding,"('surrounding', 'VBG')",surround,surround,introduction,surrounding,O,,
hills,hills,"('hills', 'NNS')",hill,hill,introduction,hills,O,,
height,height,"('height', 'NN')",height,height,introduction,height,O,,
production,production,"('production', 'NN')",product,production,introduction,production,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
forty,forty,"('forty', 'VBN')",forti,forty,introduction,forty,B,CARDINAL,Numerals that do not fall under another type
thousand,thousand,"('thousand', 'JJ')",thousand,thousand,introduction,thousand,I,CARDINAL,Numerals that do not fall under another type
inhabitants,inhabitants,"('inhabitants', 'NNS')",inhabit,inhabitant,introduction,inhabitants,O,,
turn,turn,"('turn', 'NN')",turn,turn,introduction,turn,O,,
twentieth,twentieth,"('twentieth', 'JJ')",twentieth,twentieth,introduction,twentieth,O,,
century,century,"('century', 'NN')",centuri,century,introduction,century,O,,
mining,mining,"('mining', 'NN')",mine,mining,introduction,mining,O,,
operations,operations,"('operations', 'NNS')",oper,operation,introduction,operations,O,,
slowed,slowed,"('slowed', 'VBN')",slow,slow,introduction,slowed,O,,
ceased,ceased,"('ceased', 'VBD')",ceas,cease,introduction,ceased,O,,
entirely,entirely,"('entirely', 'RB')",entir,entirely,introduction,entirely,O,,
leaving,leaving,"('leaving', 'VBG')",leav,leave,introduction,leaving,O,,
population,population,"('population', 'NN')",popul,population,introduction,population,O,,
drop,drop,"('drop', 'VB')",drop,drop,introduction,drop,O,,
virtually,virtually,"('virtually', 'RB')",virtual,virtually,introduction,virtually,O,,
zero,zero,"('zero', 'CD')",zero,zero,introduction,zero,O,,
next,next,"('next', 'JJ')",next,next,introduction,next,O,,
years,years,"('years', 'NNS')",year,year,introduction,years,O,,
period,period,"('period', 'NN')",period,period,introduction,period,O,,
hundred,hundred,"('hundred', 'CD')",hundr,hundred,introduction,hundred,B,CARDINAL,Numerals that do not fall under another type
inhabitants,inhabitants,"('inhabitants', 'NNS')",inhabit,inhabitant,introduction,inhabitants,O,,
hung,hung,"('hung', 'NN')",hung,hung,introduction,hung,O,,
enclave,enclave,"('enclave', 'NN')",enclav,enclave,introduction,enclave,O,,
centre,centre,"('centre', 'NN')",centr,centre,introduction,centre,O,,
surrounded,surrounded,"('surrounded', 'VBN')",surround,surround,introduction,surrounded,O,,
derelict,derelict,"('derelict', 'NN')",derelict,derelict,introduction,derelict,O,,
roofless,roofless,"('roofless', 'NN')",roofless,roofless,introduction,roofless,O,,
mansions,mansions,"('mansions', 'NNS')",mansion,mansion,introduction,mansions,O,,
crumbling,crumbling,"('crumbling', 'VBG')",crumbl,crumble,introduction,crumbling,O,,
foundations,foundations,"('foundations', 'NNS')",foundat,foundation,introduction,foundations,O,,
