token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Shoehorned,shoehorned,"('shoehorned', 'VBN')",shoehorn,shoehorn,introduction,Shoehorned,O,,
narrow,narrow,"('narrow', 'JJ')",narrow,narrow,introduction,narrow,O,,
ravine,ravine,"('ravine', 'NN')",ravin,ravine,introduction,ravine,O,,
GUANAJUATO,guanajuato,"('guanajuato', 'NN')",guanajuato,guanajuato,introduction,GUANAJUATO,B,GPE,"Countries, cities, states"
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
centuries,centuries,"('centuries', 'NNS')",centuri,century,introduction,centuries,O,,
wealthiest,wealthiest,"('wealthiest', 'JJS')",wealthiest,wealthy,introduction,wealthiest,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
Mexico,mexico,"('mexico', 'CC')",mexico,mexico,introduction,Mexico,O,,
mines,mines,"('mines', 'NNS')",mine,mine,introduction,mines,O,,
pouring,pouring,"('pouring', 'VBG')",pour,pour,introduction,pouring,O,,
silver,silver,"('silver', 'NN')",silver,silver,introduction,silver,O,,
gold,gold,"('gold', 'NN')",gold,gold,introduction,gold,O,,
prodigious,prodigious,"('prodigious', 'JJ')",prodigi,prodigious,introduction,prodigious,O,,
quantities,quantities,"('quantities', 'NNS')",quantiti,quantity,introduction,quantities,O,,
Today,today,"('today', 'NN')",today,today,introduction,Today,B,DATE,Absolute or relative dates or periods
presents,presents,"('presents', 'VBZ')",present,present,introduction,presents,O,,
astonishing,astonishing,"('astonishing', 'JJ')",astonish,astonishing,introduction,astonishing,O,,
sight,sight,"('sight', 'NN')",sight,sight,introduction,sight,O,,
upon,upon,"('upon', 'IN')",upon,upon,introduction,upon,O,,
emerging,emerging,"('emerging', 'VBG')",emerg,emerge,introduction,emerging,O,,
surrounding,surrounding,"('surrounding', 'VBG')",surround,surround,introduction,surrounding,O,,
hills,hills,"('hills', 'NNS')",hill,hill,introduction,hills,O,,
come,come,"('come', 'VBP')",come,come,introduction,come,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
quite,quite,"('quite', 'RB')",quit,quite,introduction,quite,O,,
suddenly,suddenly,"('suddenly', 'RB')",suddenli,suddenly,introduction,suddenly,O,,
riot,riot,"('riot', 'NN')",riot,riot,introduction,riot,O,,
colonial,colonial,"('colonial', 'JJ')",coloni,colonial,introduction,colonial,O,,
architecture,architecture,"('architecture', 'NN')",architectur,architecture,introduction,architecture,O,,
tumbling,tumbling,"('tumbling', 'VBG')",tumbl,tumble,introduction,tumbling,O,,
hills,hills,"('hills', 'NNS')",hill,hill,introduction,hills,O,,
steep,steep,"('steep', 'JJ')",steep,steep,introduction,steep,O,,
times,times,"('times', 'NNS')",time,time,introduction,times,O,,
seems,seems,"('seems', 'VBZ')",seem,seem,introduction,seems,O,,
roof,roof,"('roof', 'NN')",roof,roof,introduction,roof,O,,
one,one,"('one', 'CD')",one,one,introduction,one,B,CARDINAL,Numerals that do not fall under another type
building,building,"('building', 'NN')",build,building,introduction,building,O,,
suspended,suspended,"('suspended', 'VBN')",suspend,suspend,introduction,suspended,O,,
floor,floor,"('floor', 'NN')",floor,floor,introduction,floor,O,,
last,last,"('last', 'JJ')",last,last,introduction,last,O,,
Declared,declared,"('declared', 'VBD')",declar,declare,introduction,Declared,O,,
UNESCO,unesco,"('unesco', 'JJ')",unesco,unesco,introduction,UNESCO,B,ORG,"Companies, agencies, institutions, etc."
World,world,"('world', 'NN')",world,world,introduction,World,O,,
Heritage,heritage,"('heritage', 'NN')",heritag,heritage,introduction,Heritage,O,,
Site,site,"('site', 'NN')",site,site,introduction,Site,O,,
Guanajuato,guanajuato,"('guanajuato', 'NN')",guanajuato,guanajuato,introduction,Guanajuato,B,GPE,"Countries, cities, states"
protective,protective,"('protective', 'JJ')",protect,protective,introduction,protective,O,,
image,image,"('image', 'NN')",imag,image,introduction,image,O,,
traffic,traffic,"('traffic', 'NN')",traffic,traffic,introduction,traffic,O,,
lights,lights,"('lights', 'NNS')",light,light,introduction,lights,O,,
neon,neon,"('neon', 'JJ')",neon,neon,introduction,neon,O,,
signs,signs,"('signs', 'NNS')",sign,sign,introduction,signs,O,,
topography,topography,"('topography', 'NN')",topographi,topography,introduction,topography,O,,
ensures,ensures,"('ensures', 'VBZ')",ensur,ensure,introduction,ensures,O,,
room,room,"('room', 'NN')",room,room,introduction,room,O,,
new,new,"('new', 'JJ')",new,new,introduction,new,O,,
buildings,buildings,"('buildings', 'NNS')",build,building,introduction,buildings,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
pristine,pristine,"('pristine', 'NN')",pristin,pristine,introduction,pristine,O,,
reputation,reputation,"('reputation', 'NN')",reput,reputation,introduction,reputation,O,,
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
cemented,cemented,"('cemented', 'VBN')",cement,cement,introduction,cemented,O,,
Pope,pope,"('pope', 'NN')",pope,pope,introduction,Pope,O,,
Benedict,benedict,"('benedict', 'NN')",benedict,benedict,introduction,Benedict,B,PERSON,"People, including fictional"
XVI,xvi,"('xvi', 'NNP')",xvi,xvi,introduction,XVI,I,PERSON,"People, including fictional"
chose,chose,"('chose', 'VBD')",chose,choose,introduction,chose,O,,
Guanajuato,guanajuato,"('guanajuato', 'NNS')",guanajuato,guanajuato,introduction,Guanajuato,B,GPE,"Countries, cities, states"
neighbouring,neighbouring,"('neighbouring', 'VBG')",neighbour,neighbour,introduction,neighbouring,O,,
León,león,"('león', 'NN')",león,león,introduction,León,B,GPE,"Countries, cities, states"
only,only,"('only', 'JJ')",onli,only,introduction,only,O,,
stops,stops,"('stops', 'NN')",stop,stop,introduction,stops,O,,
his,his,"('his', 'PRP$')",hi,his,introduction,his,O,,
Mexican,mexican,"('mexican', 'JJ')",mexican,mexican,introduction,Mexican,B,NORP,Nationalities or religious or political groups
visit,visit,"('visit', 'NN')",visit,visit,introduction,visit,O,,
Today,today,"('today', 'NN')",today,today,description,Today,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
around,around,"('around', 'NN')",around,around,description,around,O,,
has,has,"('has', 'VBZ')",ha,have,description,has,O,,
plenty,plenty,"('plenty', 'NN')",plenti,plenty,description,plenty,O,,
life,life,"('life', 'NN')",life,life,description,life,O,,
narrow,narrow,"('narrow', 'JJ')",narrow,narrow,description,narrow,O,,
streets,streets,"('streets', 'NNS')",street,street,description,streets,O,,
many,many,"('many', 'JJ')",mani,many,description,many,O,,
outstanding,outstanding,"('outstanding', 'JJ')",outstand,outstanding,description,outstanding,O,,
places,places,"('places', 'NNS')",place,place,description,places,O,,
eat,eat,"('eat', 'VB')",eat,eat,description,eat,O,,
drink,drink,"('drink', 'VB')",drink,drink,description,drink,O,,
lots,lots,"('lots', 'NNS')",lot,lot,description,lots,O,,
see,see,"('see', 'VB')",see,see,description,see,O,,
churches,churches,"('churches', 'NNS')",church,church,description,churches,O,,
theatres,theatres,"('theatres', 'NNS')",theatr,theatre,description,theatres,O,,
museums,museums,"('museums', 'VBP')",museum,museums,description,museums,O,,
battlefields,battlefields,"('battlefields', 'NNS')",battlefield,battlefield,description,battlefields,O,,
mines,mines,"('mines', 'NNS')",mine,mine,description,mines,O,,
mummified,mummified,"('mummified', 'JJ')",mummifi,mummified,description,mummified,O,,
corpses,corpses,"('corpses', 'NNS')",corps,corps,description,corpses,O,,
name,name,"('name', 'VB')",name,name,description,name,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
attractions,attractions,"('attractions', 'NNS')",attract,attraction,description,attractions,O,,
backwater,backwater,"('backwater', 'NN')",backwat,backwater,description,backwater,O,,
feel,feel,"('feel', 'NN')",feel,feel,description,feel,O,,
place,place,"('place', 'NN')",place,place,description,place,O,,
reinforced,reinforced,"('reinforced', 'VBN')",reinforc,reinforce,description,reinforced,O,,
