token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Built,built,"('built', 'VBN')",built,build,introduction,Built,O,,
reclaimed,reclaimed,"('reclaimed', 'VBN')",reclaim,reclaim,introduction,reclaimed,O,,
swamp,swamp,"('swamp', 'NN')",swamp,swamp,introduction,swamp,O,,
two,two,"('two', 'CD')",two,two,introduction,two,B,QUANTITY,"Measurements, as of weight or distance"
miles,miles,"('miles', 'NNS')",mile,mile,introduction,miles,I,QUANTITY,"Measurements, as of weight or distance"
east,east,"('east', 'RB')",east,east,introduction,east,O,,
downtown,downtown,"('downtown', 'NN')",downtown,downtown,introduction,downtown,O,,
Honolulu,honolulu,"('honolulu', 'NN')",honolulu,honolulu,introduction,Honolulu,B,GPE,"Countries, cities, states"
Waikiki,waikiki,"('waikiki', 'NN')",waikiki,waikiki,introduction,Waikiki,O,,
very,very,"('very', 'RB')",veri,very,introduction,very,O,,
nearly,nearly,"('nearly', 'RB')",nearli,nearly,introduction,nearly,O,,
island,island,"('island', 'NN')",island,island,introduction,island,O,,
separated,separated,"('separated', 'VBN')",separ,separate,introduction,separated,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
sea,sea,"('sea', 'NN')",sea,sea,introduction,sea,O,,
Ala,ala,"('ala', 'NN')",ala,ala,introduction,Ala,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Wai,wai,"('wai', 'WRB')",wai,wai,introduction,Wai,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
canal,canal,"('canal', 'NN')",canal,canal,introduction,canal,O,,
site,site,"('site', 'NN')",site,site,introduction,site,O,,
may,may,"('may', 'MD')",may,may,introduction,may,O,,
venerable,venerable,"('venerable', 'JJ')",vener,venerable,introduction,venerable,O,,
days,days,"('days', 'NNS')",day,day,introduction,days,O,,
raisond,raisond,"('raisond', 'NN')",raisond,raisond,introduction,raisond,O,,
être,être,"('être', 'NN')",être,être,introduction,être,O,,
