token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Almost,almost,"('almost', 'RB')",almost,almost,introduction,Almost,O,,
above,above,"('above', 'IN')",abov,above,introduction,above,O,,
sea,sea,"('sea', 'NN')",sea,sea,introduction,sea,O,,
level,level,"('level', 'NN')",level,level,introduction,level,O,,
crammed,crammed,"('crammed', 'VBD')",cram,cram,introduction,crammed,O,,
narrow,narrow,"('narrow', 'JJ')",narrow,narrow,introduction,narrow,O,,
gully,gully,"('gully', 'RB')",gulli,gully,introduction,gully,O,,
two,two,"('two', 'CD')",two,two,introduction,two,B,CARDINAL,Numerals that do not fall under another type
hills,hills,"('hills', 'NNS')",hill,hill,introduction,hills,O,,
old,old,"('old', 'JJ')",old,old,introduction,old,O,,
silver,silver,"('silver', 'NN')",silver,silver,introduction,silver,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
ZACATECAS,zacatecas,"('zacatecas', 'NN')",zacateca,zacatecas,introduction,ZACATECAS,O,,
overflowing,overflowing,"('overflowing', 'VBG')",overflow,overflow,introduction,overflowing,O,,
ornate,ornate,"('ornate', 'JJ')",ornat,ornate,introduction,ornate,O,,
colonial,colonial,"('colonial', 'JJ')",coloni,colonial,introduction,colonial,O,,
architecture,architecture,"('architecture', 'NN')",architectur,architecture,introduction,architecture,O,,
intriguing,intriguing,"('intriguing', 'NN')",intrigu,intriguing,introduction,intriguing,O,,
museums,museums,"('museums', 'NNS')",museum,museum,introduction,museums,O,,
ranking,ranking,"('ranking', 'VBG')",rank,rank,introduction,ranking,O,,
alongside,alongside,"('alongside', 'RB')",alongsid,alongside,introduction,alongside,O,,
Guanajuato,guanajuato,"('guanajuato', 'NN')",guanajuato,guanajuato,introduction,Guanajuato,O,,
Bajío,bajío,"('bajío', 'NN')",bajío,bajío,introduction,Bajío,O,,
finest,finest,"('finest', 'JJS')",finest,fine,introduction,finest,O,,
destinations,destinations,"('destinations', 'NNS')",destin,destination,introduction,destinations,O,,
obvious,obvious,"('obvious', 'JJ')",obviou,obvious,introduction,obvious,O,,
wealth,wealth,"('wealth', 'NN')",wealth,wealth,introduction,wealth,O,,
projected,projected,"('projected', 'VBN')",project,project,introduction,projected,O,,
fine,fine,"('fine', 'JJ')",fine,fine,introduction,fine,O,,
stone,stone,"('stone', 'NN')",stone,stone,introduction,stone,O,,
buildings,buildings,"('buildings', 'NNS')",build,building,introduction,buildings,O,,
makes,makes,"('makes', 'VBZ')",make,make,introduction,makes,O,,
this,this,"('this', 'DT')",thi,this,introduction,this,O,,
another,another,"('another', 'DT')",anoth,another,introduction,another,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
seems,seems,"('seems', 'VBZ')",seem,seem,introduction,seems,O,,
plucked,plucked,"('plucked', 'VBN')",pluck,pluck,introduction,plucked,O,,
straight,straight,"('straight', 'VBD')",straight,straight,introduction,straight,O,,
classical,classical,"('classical', 'JJ')",classic,classical,introduction,classical,O,,
Spain,spain,"('spain', 'NN')",spain,spain,introduction,Spain,B,GPE,"Countries, cities, states"
Zacatecas,zacatecas,"('zacatecas', 'NN')",zacateca,zacatecas,introduction,Zacatecas,B,GPE,"Countries, cities, states"
especially,especially,"('especially', 'RB')",especi,especially,introduction,especially,O,,
known,known,"('known', 'VBN')",known,know,introduction,known,O,,
art,art,"('art', 'NN')",art,art,introduction,art,O,,
museums,museums,"('museums', 'NNS')",museum,museum,introduction,museums,O,,
subterranean,subterranean,"('subterranean', 'JJ')",subterranean,subterranean,introduction,subterranean,O,,
tours,tours,"('tours', 'NNS')",tour,tour,introduction,tours,O,,
old,old,"('old', 'JJ')",old,old,introduction,old,O,,
silver,silver,"('silver', 'NN')",silver,silver,introduction,silver,O,,
mine,mine,"('mine', 'NN')",mine,mine,introduction,mine,O,,
Mina,mina,"('mina', 'NN')",mina,mina,introduction,Mina,O,,
El,el,"('el', 'NN')",el,el,introduction,El,O,,
Edén,edén,"('edén', 'NN')",edén,edén,introduction,Edén,O,,
main,main,"('main', 'JJ')",main,main,introduction,main,O,,
highlight,highlight,"('highlight', 'NN')",highlight,highlight,introduction,highlight,O,,
ornate,ornate,"('ornate', 'JJ')",ornat,ornate,introduction,ornate,O,,
cathedral,cathedral,"('cathedral', 'NN')",cathedr,cathedral,introduction,cathedral,O,,
main,main,"('main', 'JJ')",main,main,introduction,main,O,,
sights,sights,"('sights', 'NNS')",sight,sight,introduction,sights,O,,
within,within,"('within', 'IN')",within,within,introduction,within,O,,
walking,walking,"('walking', 'VBG')",walk,walk,introduction,walking,O,,
distance,distance,"('distance', 'NN')",distanc,distance,introduction,distance,O,,
paces,paces,"('paces', 'NNS')",pace,pace,introduction,paces,O,,
market,market,"('market', 'NN')",market,market,introduction,market,O,,
important,important,"('important', 'JJ')",import,important,introduction,important,O,,
junction,junction,"('junction', 'NN')",junction,junction,introduction,junction,O,,
Juárez,juárez,"('juárez', 'NN')",juárez,juárez,introduction,Juárez,O,,
Hidalgo,hidalgo,"('hidalgo', 'VB')",hidalgo,hidalgo,introduction,Hidalgo,O,,
Jardín,jardín,"('jardín', 'NN')",jardín,jardín,introduction,Jardín,O,,
Independencia,independencia,"('independencia', 'NN')",independencia,independencia,introduction,Independencia,O,,
effect,effect,"('effect', 'NN')",effect,effect,introduction,effect,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
main,main,"('main', 'JJ')",main,main,introduction,main,O,,
plaza,plaza,"('plaza', 'NN')",plaza,plaza,introduction,plaza,O,,
people,people,"('people', 'NNS')",peopl,people,introduction,people,O,,
gather,gather,"('gather', 'VBP')",gather,gather,introduction,gather,O,,
evenings,evenings,"('evenings', 'NNS')",even,evening,introduction,evenings,B,TIME,Times smaller than a day
get,get,"('get', 'VBP')",get,get,introduction,get,O,,
shoes,shoes,"('shoes', 'NNS')",shoe,shoe,introduction,shoes,O,,
shined,shined,"('shined', 'VBN')",shine,shin,introduction,shined,O,,
wait,wait,"('wait', 'VBP')",wait,wait,introduction,wait,O,,
buses,buses,"('buses', 'NNS')",buse,bus,introduction,buses,O,,
West,west,"('west', 'JJS')",west,west,introduction,West,O,,
Jardín,jardín,"('jardín', 'NN')",jardín,jardín,introduction,Jardín,O,,
Independencia,independencia,"('independencia', 'NN')",independencia,independencia,introduction,Independencia,O,,
Alameda,alameda,"('alameda', 'NN')",alameda,alameda,introduction,Alameda,O,,
thin,thin,"('thin', 'JJ')",thin,thin,introduction,thin,O,,
strip,strip,"('strip', 'NN')",strip,strip,introduction,strip,O,,
stone,stone,"('stone', 'NN')",stone,stone,introduction,stone,O,,
benches,benches,"('benches', 'NNS')",bench,bench,introduction,benches,O,,
splashing,splashing,"('splashing', 'VBG')",splash,splash,introduction,splashing,O,,
fountains,fountains,"('fountains', 'NNS')",fountain,fountain,introduction,fountains,O,,
bandstand,bandstand,"('bandstand', 'NN')",bandstand,bandstand,introduction,bandstand,O,,
makes,makes,"('makes', 'VBZ')",make,make,introduction,makes,O,,
cool,cool,"('cool', 'JJ')",cool,cool,introduction,cool,O,,
retreat,retreat,"('retreat', 'NN')",retreat,retreat,introduction,retreat,O,,
heat,heat,"('heat', 'NN')",heat,heat,introduction,heat,O,,
day,day,"('day', 'NN')",day,day,introduction,day,O,,
Zacatecas,zacatecas,"('zacatecas', 'NN')",zacateca,zacatecas,description,Zacatecas,B,GPE,"Countries, cities, states"
hosts,hosts,"('hosts', 'VBZ')",host,host,description,hosts,O,,
several,several,"('several', 'JJ')",sever,several,description,several,O,,
exuberant,exuberant,"('exuberant', 'JJ')",exuber,exuberant,description,exuberant,O,,
fiestas,fiestas,"('fiestas', 'NNS')",fiesta,fiesta,description,fiestas,O,,
best,best,"('best', 'JJS')",best,best,description,best,O,,
Festival,festival,"('festival', 'JJ')",festiv,festival,description,Festival,O,,
Cultural,cultural,"('cultural', 'JJ')",cultur,cultural,description,Cultural,O,,
Zacatecas,zacatecas,"('zacatecas', 'NN')",zacateca,zacatecas,description,Zacatecas,O,,
two,two,"('two', 'CD')",two,two,description,two,B,DATE,Absolute or relative dates or periods
weeks,weeks,"('weeks', 'NNS')",week,week,description,weeks,I,DATE,Absolute or relative dates or periods
around,around,"('around', 'IN')",around,around,description,around,O,,
Semana,semana,"('semana', 'JJ')",semana,semana,description,Semana,O,,
Santa,santa,"('santa', 'VBP')",santa,santa,description,Santa,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
celebrates,celebrates,"('celebrates', 'VBZ')",celebr,celebrate,description,celebrates,O,,
this,this,"('this', 'DT')",thi,this,description,this,O,,
enormous,enormous,"('enormous', 'JJ')",enorm,enormous,description,enormous,O,,
arts,arts,"('arts', 'NNS')",art,art,description,arts,O,,
festival,festival,"('festival', 'NN')",festiv,festival,description,festival,O,,
daily,daily,"('daily', 'JJ')",daili,daily,description,daily,O,,
events,events,"('events', 'NNS')",event,event,description,events,O,,
town,town,"('town', 'NN')",town,town,description,town,O,,
including,including,"('including', 'VBG')",includ,include,description,including,O,,
everything,everything,"('everything', 'NN')",everyth,everything,description,everything,O,,
Mexican,mexican,"('mexican', 'JJ')",mexican,mexican,description,Mexican,B,NORP,Nationalities or religious or political groups
rock,rock,"('rock', 'NN')",rock,rock,description,rock,O,,
acts,acts,"('acts', 'NNS')",act,act,description,acts,O,,
even,even,"('even', 'RB')",even,even,description,even,O,,
foreign,foreign,"('foreign', 'JJ')",foreign,foreign,description,foreign,O,,
bands,bands,"('bands', 'NNS')",band,band,description,bands,O,,
folkloric,folkloric,"('folkloric', 'VB')",folklor,folkloric,description,folkloric,O,,
dance,dance,"('dance', 'NN')",danc,dance,description,dance,O,,
opera,opera,"('opera', 'NN')",opera,opera,description,opera,O,,
ballet,ballet,"('ballet', 'NN')",ballet,ballet,description,ballet,O,,
events,events,"('events', 'NNS')",event,event,description,events,O,,
Zacatecas,zacatecas,"('zacatecas', 'JJ')",zacateca,zacatecas,description,Zacatecas,O,,
del,del,"('del', 'FW')",del,del,description,del,O,,
Folclor,folclor,"('folclor', 'JJ')",folclor,folclor,description,Folclor,O,,
International,international,"('international', 'JJ')",intern,international,description,International,O,,
late,late,"('late', 'JJ')",late,late,description,late,B,DATE,Absolute or relative dates or periods
Aug,aug,"('aug', 'NN')",aug,aug,description,Aug,I,DATE,Absolute or relative dates or periods
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,description,Mexico,B,GPE,"Countries, cities, states"
top,top,"('top', 'JJ')",top,top,description,top,O,,
international,international,"('international', 'JJ')",intern,international,description,international,O,,
folk,folk,"('folk', 'NN')",folk,folk,description,folk,O,,
festival,festival,"('festival', 'NN')",festiv,festival,description,festival,O,,
around,around,"('around', 'IN')",around,around,description,around,O,,
fifty,fifty,"('fifty', 'JJ')",fifti,fifty,description,fifty,O,,
nationalities,nationalities,"('nationalities', 'NNS')",nation,nationality,description,nationalities,O,,
represented,represented,"('represented', 'VBN')",repres,represent,description,represented,O,,
mostly,mostly,"('mostly', 'RB')",mostli,mostly,description,mostly,O,,
performing,performing,"('performing', 'VBG')",perform,perform,description,performing,O,,
plazas,plazas,"('plazas', 'NN')",plaza,plaza,description,plazas,O,,
around,around,"('around', 'IN')",around,around,description,around,O,,
Morisma,morisma,"('morisma', 'NN')",morisma,morisma,description,Morisma,O,,
