token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
uniformly,uniformly,"('uniformly', 'JJ')",uniformli,uniformly,introduction,uniformly,O,,
skyscrapers,skyscrapers,"('skyscrapers', 'NNS')",skyscrap,skyscraper,introduction,skyscrapers,O,,
etched,etched,"('etched', 'VBN')",etch,etch,introduction,etched,O,,
across,across,"('across', 'IN')",across,across,introduction,across,O,,
Downtown,downtown,"('downtown', 'NN')",downtown,downtown,introduction,Downtown,O,,
Toronto,toronto,"('toronto', 'NN')",toronto,toronto,introduction,Toronto,O,,
skyline,skyline,"('skyline', 'NN')",skylin,skyline,introduction,skyline,O,,
trumpet,trumpet,"('trumpet', 'IN')",trumpet,trumpet,introduction,trumpet,O,,
clout,clout,"('clout', 'NN')",clout,clout,introduction,clout,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
discarded,discarded,"('discarded', 'VBN')",discard,discard,introduction,discarded,O,,
dowdy,dowdy,"('dowdy', 'JJ')",dowdi,dowdy,introduction,dowdy,O,,
provincialism,provincialism,"('provincialism', 'NN')",provinci,provincialism,introduction,provincialism,O,,
early,early,"('early', 'JJ')",earli,early,introduction,early,O,,
years,years,"('years', 'NNS')",year,year,introduction,years,O,,
become,become,"('become', 'VB')",becom,become,introduction,become,O,,
economic,economic,"('economic', 'JJ')",econom,economic,introduction,economic,O,,
powerhouse,powerhouse,"('powerhouse', 'NN')",powerhous,powerhouse,introduction,powerhouse,O,,
right,right,"('right', 'NN')",right,right,introduction,right,O,,
false,false,"('false', 'JJ')",fals,false,introduction,false,O,,
modesty,modesty,"('modesty', 'NN')",modesti,modesty,introduction,modesty,O,,
kicking,kicking,"('kicking', 'VBG')",kick,kick,introduction,kicking,O,,
Toronto,toronto,"('toronto', 'NN')",toronto,toronto,introduction,Toronto,O,,
mascot,mascot,"('mascot', 'VBD')",mascot,mascot,introduction,mascot,O,,
CN,cn,"('cn', 'NN')",cn,cn,introduction,CN,B,FAC,"Buildings, airports, highways, bridges, etc."
Tower,tower,"('tower', 'NN')",tower,tower,introduction,Tower,I,FAC,"Buildings, airports, highways, bridges, etc."
whose,whose,"('whose', 'WP$')",whose,whose,introduction,whose,O,,
observation,observation,"('observation', 'NN')",observ,observation,introduction,observation,O,,
platforms,platforms,"('platforms', 'NNS')",platform,platform,introduction,platforms,O,,
provide,provide,"('provide', 'VBP')",provid,provide,introduction,provide,O,,
panoramic,panoramic,"('panoramic', 'JJ')",panoram,panoramic,introduction,panoramic,O,,
views,views,"('views', 'NNS')",view,view,introduction,views,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
immediate,immediate,"('immediate', 'JJ')",immedi,immediate,introduction,immediate,O,,
surroundings,surroundings,"('surroundings', 'NNS')",surround,surroundings,introduction,surroundings,O,,
brief,brief,"('brief', 'JJ')",brief,brief,introduction,brief,O,,
stroll,stroll,"('stroll', 'NN')",stroll,stroll,introduction,stroll,O,,
handsome,handsome,"('handsome', 'JJ')",handsom,handsome,introduction,handsome,O,,
symmetries,symmetries,"('symmetries', 'NNS')",symmetri,symmetry,introduction,symmetries,O,,
Union,union,"('union', 'NN')",union,union,introduction,Union,B,FAC,"Buildings, airports, highways, bridges, etc."
Station,station,"('station', 'NN')",station,station,introduction,Station,I,FAC,"Buildings, airports, highways, bridges, etc."
stands,stands,"('stands', 'VBZ')",stand,stand,introduction,stands,O,,
edge,edge,"('edge', 'NN')",edg,edge,introduction,edge,O,,
Banking,banking,"('banking', 'NN')",bank,banking,introduction,Banking,O,,
District,district,"('district', 'NN')",district,district,introduction,District,O,,
striking,striking,"('striking', 'VBG')",strike,strike,introduction,striking,O,,
march,march,"('march', 'NN')",march,march,introduction,march,O,,
north,north,"('north', 'NN')",north,north,introduction,north,O,,
Yonge,yonge,"('yonge', 'NN')",yong,yonge,introduction,Yonge,O,,
Street,street,"('street', 'NN')",street,street,introduction,Street,O,,
far,far,"('far', 'RB')",far,far,introduction,far,O,,
Queen,queen,"('queen', 'JJ')",queen,queen,introduction,Queen,O,,
Street,street,"('street', 'NN')",street,street,introduction,Street,O,,
one,one,"('one', 'CD')",one,one,introduction,one,B,CARDINAL,Numerals that do not fall under another type
number,number,"('number', 'NN')",number,number,introduction,number,O,,
Toronto,toronto,"('toronto', 'JJ')",toronto,toronto,introduction,Toronto,B,FAC,"Buildings, airports, highways, bridges, etc."
Dominion,dominion,"('dominion', 'NN')",dominion,dominion,introduction,Dominion,I,FAC,"Buildings, airports, highways, bridges, etc."
Centre,centre,"('centre', 'NN')",centr,centre,introduction,Centre,I,FAC,"Buildings, airports, highways, bridges, etc."
holding,holding,"('holding', 'VBG')",hold,hold,introduction,holding,O,,
delightful,delightful,"('delightful', 'JJ')",delight,delightful,introduction,delightful,O,,
Toronto,toronto,"('toronto', 'NN')",toronto,toronto,introduction,Toronto,O,,
Dominion,dominion,"('dominion', 'NN')",dominion,dominion,introduction,Dominion,O,,
Gallery,gallery,"('gallery', 'NN')",galleri,gallery,introduction,Gallery,O,,
Inuit,inuit,"('inuit', 'NN')",inuit,inuit,introduction,Inuit,O,,
Art,art,"('art', 'NN')",art,art,introduction,Art,O,,
Beyond,beyond,"('beyond', 'IN')",beyond,beyond,introduction,Beyond,O,,
Queen,queen,"('queen', 'JJ')",queen,queen,introduction,Queen,O,,
Street,street,"('street', 'NN')",street,street,introduction,Street,O,,
lies,lies,"('lies', 'VBZ')",lie,lie,introduction,lies,O,,
main,main,"('main', 'JJ')",main,main,introduction,main,O,,
shopping,shopping,"('shopping', 'NN')",shop,shopping,introduction,shopping,O,,
area,area,"('area', 'NN')",area,area,introduction,area,O,,
revolving,revolving,"('revolving', 'VBG')",revolv,revolve,introduction,revolving,O,,
around,around,"('around', 'IN')",around,around,introduction,around,O,,
enormous,enormous,"('enormous', 'JJ')",enorm,enormous,introduction,enormous,O,,
Eaton,eaton,"('eaton', 'NN')",eaton,eaton,introduction,Eaton,B,FAC,"Buildings, airports, highways, bridges, etc."
Centre,centre,"('centre', 'NN')",centr,centre,introduction,Centre,I,FAC,"Buildings, airports, highways, bridges, etc."
stone,stone,"('stone', 'NN')",stone,stone,introduction,stone,O,,
throw,throw,"('throw', 'NN')",throw,throw,introduction,throw,O,,
