token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
thousands,thousands,"('thousands', 'NNS')",thousand,thousand,introduction,thousands,O,,
watched,watched,"('watched', 'VBN')",watch,watch,introduction,watched,O,,
Charles,charles,"('charles', 'NNS')",charl,charles,introduction,Charles,B,PERSON,"People, including fictional"
Blondin,blondin,"('blondin', 'VBP')",blondin,blondin,introduction,Blondin,I,PERSON,"People, including fictional"
walked,walked,"('walked', 'VBD')",walk,walk,introduction,walked,O,,
tightrope,tightrope,"('tightrope', 'NN')",tightrop,tightrope,introduction,tightrope,O,,
across,across,"('across', 'IN')",across,across,introduction,across,O,,
Niagara,niagara,"('niagara', 'NN')",niagara,niagara,introduction,Niagara,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Falls,falls,"('falls', 'NNS')",fall,fall,introduction,Falls,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
third,third,"('third', 'JJ')",third,third,introduction,third,B,ORDINAL,"""first"", ""second"", etc."
time,time,"('time', 'NN')",time,time,introduction,time,O,,
Midway,midway,"('midway', 'NN')",midway,midway,introduction,Midway,O,,
paused,paused,"('paused', 'VBD')",paus,pause,introduction,paused,O,,
cook,cook,"('cook', 'VB')",cook,cook,introduction,cook,O,,
omelette,omelette,"('omelette', 'NN')",omelett,omelette,introduction,omelette,O,,
portable,portable,"('portable', 'JJ')",portabl,portable,introduction,portable,O,,
grill,grill,"('grill', 'NN')",grill,grill,introduction,grill,O,,
marksman,marksman,"('marksman', 'JJ')",marksman,marksman,introduction,marksman,O,,
shoot,shoot,"('shoot', 'NN')",shoot,shoot,introduction,shoot,O,,
hole,hole,"('hole', 'NN')",hole,hole,introduction,hole,O,,
his,his,"('his', 'PRP$')",hi,his,introduction,his,O,,
hat,hat,"('hat', 'NN')",hat,hat,introduction,hat,O,,
Maid,maid,"('maid', 'NN')",maid,maid,introduction,Maid,O,,
Mist,mist,"('mist', 'NN')",mist,mist,introduction,Mist,O,,
boat,boat,"('boat', 'NN')",boat,boat,introduction,boat,O,,
fifty,fifty,"('fifty', 'NN')",fifti,fifty,introduction,fifty,B,QUANTITY,"Measurements, as of weight or distance"
metres,metres,"('metres', 'NNS')",metr,metre,introduction,metres,I,QUANTITY,"Measurements, as of weight or distance"
attested,attested,"('attested', 'VBN')",attest,attest,introduction,attested,O,,
Blondin,blondin,"('blondin', 'NN')",blondin,blondin,introduction,Blondin,B,PERSON,"People, including fictional"
innumerable,innumerable,"('innumerable', 'JJ')",innumer,innumerable,introduction,innumerable,O,,
lunatics,lunatics,"('lunatics', 'NNS')",lunat,lunatic,introduction,lunatics,O,,
publicity,publicity,"('publicity', 'NN')",public,publicity,introduction,publicity,O,,
seekers,seekers,"('seekers', 'NNS')",seeker,seeker,introduction,seekers,O,,
gone,gone,"('gone', 'VBN')",gone,go,introduction,gone,O,,
Falls,falls,"('falls', 'NNS')",fall,fall,introduction,Falls,O,,
every,every,"('every', 'DT')",everi,every,introduction,every,O,,
craft,craft,"('craft', 'NN')",craft,craft,introduction,craft,O,,
imaginable,imaginable,"('imaginable', 'JJ')",imagin,imaginable,introduction,imaginable,O,,
Falls,falls,"('falls', 'NNS')",fall,fall,introduction,Falls,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
simply,simply,"('simply', 'RB')",simpli,simply,introduction,simply,O,,
beat,beat,"('beat', 'VBN')",beat,beat,introduction,beat,O,,
theatrical,theatrical,"('theatrical', 'JJ')",theatric,theatrical,introduction,theatrical,O,,
setting,setting,"('setting', 'NN')",set,setting,introduction,setting,O,,
Yet,yet,"('yet', 'RB')",yet,yet,introduction,Yet,O,,
truth,truth,"('truth', 'NN')",truth,truth,introduction,truth,O,,
stupendous,stupendous,"('stupendous', 'JJ')",stupend,stupendous,introduction,stupendous,O,,
first,first,"('first', 'JJ')",first,first,introduction,first,B,ORDINAL,"""first"", ""second"", etc."
impression,impression,"('impression', 'NN')",impress,impression,introduction,impression,O,,
last,last,"('last', 'JJ')",last,last,introduction,last,O,,
long,long,"('long', 'JJ')",long,long,introduction,long,O,,
prevent,prevent,"('prevent', 'VB')",prevent,prevent,introduction,prevent,O,,
thirteen,thirteen,"('thirteen', 'JJ')",thirteen,thirteen,introduction,thirteen,B,CARDINAL,Numerals that do not fall under another type
million,million,"('million', 'CD')",million,million,introduction,million,I,CARDINAL,Numerals that do not fall under another type
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,introduction,visitors,O,,
arrive,arrive,"('arrive', 'VBP')",arriv,arrive,introduction,arrive,O,,
year,year,"('year', 'NN')",year,year,introduction,year,O,,
getting,getting,"('getting', 'VBG')",get,get,introduction,getting,O,,
bored,bored,"('bored', 'VBN')",bore,bore,introduction,bored,O,,
sight,sight,"('sight', 'NN')",sight,sight,introduction,sight,O,,
load,load,"('load', 'NN')",load,load,introduction,load,O,,
water,water,"('water', 'NN')",water,water,introduction,water,O,,
crashing,crashing,"('crashing', 'NN')",crash,crashing,introduction,crashing,O,,
cliff,cliff,"('cliff', 'NN')",cliff,cliff,introduction,cliff,O,,
Niagarans,niagarans,"('niagarans', 'NNS')",niagaran,niagarans,introduction,Niagarans,B,NORP,Nationalities or religious or political groups
ensured,ensured,"('ensured', 'VBN')",ensur,ensure,introduction,ensured,O,,
Falls,falls,"('falls', 'NNS')",fall,fall,introduction,Falls,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
seen,seen,"('seen', 'VBN')",seen,see,introduction,seen,O,,
every,every,"('every', 'DT')",everi,every,introduction,every,O,,
angle,angle,"('angle', 'NN')",angl,angle,introduction,angle,O,,
imaginable,imaginable,"('imaginable', 'JJ')",imagin,imaginable,introduction,imaginable,O,,
boats,boats,"('boats', 'NNS')",boat,boat,introduction,boats,O,,
viewing,viewing,"('viewing', 'VBG')",view,view,introduction,viewing,O,,
towers,towers,"('towers', 'NNS')",tower,tower,introduction,towers,O,,
helicopters,helicopters,"('helicopters', 'NNS')",helicopt,helicopter,introduction,helicopters,O,,
cable,cable,"('cable', 'NN')",cabl,cable,introduction,cable,O,,
cars,cars,"('cars', 'NNS')",car,car,introduction,cars,O,,
even,even,"('even', 'RB')",even,even,introduction,even,O,,
tunnels,tunnels,"('tunnels', 'NNS')",tunnel,tunnel,introduction,tunnels,O,,
rock,rock,"('rock', 'NN')",rock,rock,introduction,rock,O,,
face,face,"('face', 'NN')",face,face,introduction,face,O,,
behind,behind,"('behind', 'IN')",behind,behind,introduction,behind,O,,
cascade,cascade,"('cascade', 'NN')",cascad,cascade,introduction,cascade,O,,
tunnels,tunnels,"('tunnels', 'NNS')",tunnel,tunnel,introduction,tunnels,O,,
boats,boats,"('boats', 'NNS')",boat,boat,introduction,boats,O,,
exciting,exciting,"('exciting', 'JJ')",excit,exciting,introduction,exciting,O,,
entrance,entrance,"('entrance', 'NN')",entranc,entrance,introduction,entrance,O,,
former,former,"('former', 'JJ')",former,former,introduction,former,O,,
right,right,"('right', 'NN')",right,right,introduction,right,O,,
next,next,"('next', 'IN')",next,next,introduction,next,O,,
Falls,falls,"('falls', 'NNS')",fall,fall,introduction,Falls,O,,
Table,table,"('table', 'JJ')",tabl,table,introduction,Table,O,,
Rock,rock,"('rock', 'NN')",rock,rock,introduction,Rock,O,,
House,house,"('house', 'NN')",hous,house,introduction,House,O,,
latter,latter,"('latter', 'JJ')",latter,latter,introduction,latter,O,,
leaving,leaving,"('leaving', 'VBG')",leav,leave,introduction,leaving,O,,
foot,foot,"('foot', 'NN')",foot,foot,introduction,foot,O,,
cliff,cliff,"('cliff', 'NN')",cliff,cliff,introduction,cliff,O,,
end,end,"('end', 'NN')",end,end,introduction,end,O,,
Clifton,clifton,"('clifton', 'NN')",clifton,clifton,introduction,Clifton,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Hill,hill,"('hill', 'NN')",hill,hill,introduction,Hill,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
downriver,downriver,"('downriver', 'VB')",downriv,downriver,introduction,downriver,O,,
give,give,"('give', 'VB')",give,give,introduction,give,O,,
real,real,"('real', 'JJ')",real,real,introduction,real,O,,
sense,sense,"('sense', 'NN')",sens,sense,introduction,sense,O,,
extraordinary,extraordinary,"('extraordinary', 'JJ')",extraordinari,extraordinary,introduction,extraordinary,O,,
force,force,"('force', 'NN')",forc,force,introduction,force,O,,
waterfall,waterfall,"('waterfall', 'NN')",waterfal,waterfall,introduction,waterfall,O,,
