token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
isolated,isolated,"('isolated', 'JJ')",isol,isolated,introduction,isolated,O,,
location,location,"('location', 'NN')",locat,location,introduction,location,O,,
Calgary,calgary,"('calgary', 'NN')",calgari,calgary,introduction,Calgary,B,GPE,"Countries, cities, states"
well,well,"('well', 'RB')",well,well,introduction,well,O,,
south,south,"('south', 'RB')",south,south,introduction,south,O,,
Canadian,canadian,"('canadian', 'JJ')",canadian,canadian,introduction,Canadian,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Rockies,rockies,"('rockies', 'NNS')",rocki,rockies,introduction,Rockies,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
parks,parks,"('parks', 'VBZ')",park,park,introduction,parks,O,,
WATERTON,waterton,"('waterton', 'NN')",waterton,waterton,introduction,WATERTON,O,,
LAKES,lakes,"('lakes', 'NNS')",lake,lake,introduction,LAKES,O,,
NATIONAL,national,"('national', 'JJ')",nation,national,introduction,NATIONAL,O,,
PARK,park,"('park', 'NN')",park,park,introduction,PARK,O,,
appears,appears,"('appears', 'VBZ')",appear,appear,introduction,appears,O,,
maps,maps,"('maps', 'NNS')",map,map,introduction,maps,O,,
simply,simply,"('simply', 'RB')",simpli,simply,introduction,simply,O,,
extension,extension,"('extension', 'NN')",extens,extension,introduction,extension,O,,
much,much,"('much', 'JJ')",much,much,introduction,much,O,,
larger,larger,"('larger', 'JJR')",larger,large,introduction,larger,O,,
Glacier,glacier,"('glacier', 'JJ')",glacier,glacier,introduction,Glacier,B,FAC,"Buildings, airports, highways, bridges, etc."
National,national,"('national', 'JJ')",nation,national,introduction,National,I,FAC,"Buildings, airports, highways, bridges, etc."
Park,park,"('park', 'NN')",park,park,introduction,Park,I,FAC,"Buildings, airports, highways, bridges, etc."
across,across,"('across', 'IN')",across,across,introduction,across,O,,
US,us,"('us', 'PRP')",us,u,introduction,US,O,,
border,border,"('border', 'NN')",border,border,introduction,border,O,,
Yet,yet,"('yet', 'RB')",yet,yet,introduction,Yet,O,,
despite,despite,"('despite', 'IN')",despit,despite,introduction,despite,O,,
modest,modest,"('modest', 'JJ')",modest,modest,introduction,modest,O,,
size,size,"('size', 'NN')",size,size,introduction,size,O,,
park,park,"('park', 'NN')",park,park,introduction,park,O,,
trails,trails,"('trails', 'NNS')",trail,trail,introduction,trails,O,,
among,among,"('among', 'IN')",among,among,introduction,among,O,,
best,best,"('best', 'JJS')",best,best,introduction,best,O,,
made,made,"('made', 'VBN')",made,make,introduction,made,O,,
scenic,scenic,"('scenic', 'JJ')",scenic,scenic,introduction,scenic,O,,
Canadian,canadian,"('canadian', 'JJ')",canadian,canadian,introduction,Canadian,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Rockies,rockies,"('rockies', 'NNS')",rocki,rockies,introduction,Rockies,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Because,because,"('because', 'IN')",becaus,because,introduction,Because,O,,
park,park,"('park', 'NN')",park,park,introduction,park,O,,
compact,compact,"('compact', 'JJ')",compact,compact,introduction,compact,O,,
easily,easily,"('easily', 'RB')",easili,easily,introduction,easily,O,,
accessed,accessed,"('accessed', 'VBN')",access,access,introduction,accessed,O,,
only,only,"('only', 'JJ')",onli,only,introduction,only,O,,
settlement,settlement,"('settlement', 'NN')",settlement,settlement,introduction,settlement,O,,
Waterton,waterton,"('waterton', 'NN')",waterton,waterton,introduction,Waterton,O,,
particularly,particularly,"('particularly', 'RB')",particularli,particularly,introduction,particularly,O,,
superb,superb,"('superb', 'NN')",superb,superb,introduction,superb,O,,
walks,walks,"('walks', 'NNS')",walk,walk,introduction,walks,O,,
climaxing,climaxing,"('climaxing', 'VBG')",climax,climax,introduction,climaxing,O,,
small,small,"('small', 'JJ')",small,small,introduction,small,O,,
alpine,alpine,"('alpine', 'NN')",alpin,alpine,introduction,alpine,O,,
lakes,lakes,"('lakes', 'NNS')",lake,lake,introduction,lakes,O,,
cradled,cradled,"('cradled', 'VBN')",cradl,cradle,introduction,cradled,O,,
spectacular,spectacular,"('spectacular', 'JJ')",spectacular,spectacular,introduction,spectacular,O,,
hanging,hanging,"('hanging', 'VBG')",hang,hang,introduction,hanging,O,,
valleys,valleys,"('valleys', 'NN')",valley,valley,introduction,valleys,O,,
hikes,hikes,"('hikes', 'NNS')",hike,hike,introduction,hikes,O,,
like,like,"('like', 'IN')",like,like,introduction,like,O,,
Tamarack,tamarack,"('tamarack', 'NN')",tamarack,tamarack,introduction,Tamarack,B,FAC,"Buildings, airports, highways, bridges, etc."
Trail,trail,"('trail', 'NN')",trail,trail,introduction,Trail,I,FAC,"Buildings, airports, highways, bridges, etc."
head,head,"('head', 'NN')",head,head,introduction,head,O,,
along,along,"('along', 'JJ')",along,along,introduction,along,O,,
ridges,ridges,"('ridges', 'NNS')",ridg,ridge,introduction,ridges,O,,
offer,offer,"('offer', 'VB')",offer,offer,introduction,offer,O,,
backcountry,backcountry,"('backcountry', 'NN')",backcountri,backcountry,introduction,backcountry,O,,
options,options,"('options', 'NNS')",option,option,introduction,options,O,,
plenty,plenty,"('plenty', 'NN')",plenti,plenty,description,plenty,O,,
mad,mad,"('mad', 'JJ')",mad,mad,description,mad,O,,
hiking,hiking,"('hiking', 'VBG')",hike,hike,description,hiking,O,,
attractive,attractive,"('attractive', 'JJ')",attract,attractive,description,attractive,O,,
drives,drives,"('drives', 'NNS')",drive,drive,description,drives,O,,
along,along,"('along', 'IN')",along,along,description,along,O,,
two,two,"('two', 'CD')",two,two,description,two,O,,
wonderfully,wonderfully,"('wonderfully', 'RB')",wonder,wonderfully,description,wonderfully,O,,
scenic,scenic,"('scenic', 'JJ')",scenic,scenic,description,scenic,O,,
access,access,"('access', 'NN')",access,access,description,access,O,,
roads,roads,"('roads', 'NNS')",road,road,description,roads,O,,
Akamina,akamina,"('akamina', 'VBP')",akamina,akamina,description,Akamina,B,FAC,"Buildings, airports, highways, bridges, etc."
Parkway,parkway,"('parkway', 'NN')",parkway,parkway,description,Parkway,I,FAC,"Buildings, airports, highways, bridges, etc."
Red,red,"('red', 'JJ')",red,red,description,Red,B,FAC,"Buildings, airports, highways, bridges, etc."
Rock,rock,"('rock', 'NN')",rock,rock,description,Rock,I,FAC,"Buildings, airports, highways, bridges, etc."
Parkway,parkway,"('parkway', 'NN')",parkway,parkway,description,Parkway,I,FAC,"Buildings, airports, highways, bridges, etc."
probe,probe,"('probe', 'NN')",probe,probe,description,probe,O,,
west,west,"('west', 'NN')",west,west,description,west,O,,
interior,interior,"('interior', 'NN')",interior,interior,description,interior,O,,
Waterton,waterton,"('waterton', 'NN')",waterton,waterton,description,Waterton,B,GPE,"Countries, cities, states"
dotted,dotted,"('dotted', 'VBN')",dot,dot,description,dotted,O,,
viewpoints,viewpoints,"('viewpoints', 'NNS')",viewpoint,viewpoint,description,viewpoints,O,,
well,well,"('well', 'RB')",well,well,description,well,O,,
spots,spots,"('spots', 'NNS')",spot,spot,description,spots,O,,
picnic,picnic,"('picnic', 'VB')",picnic,picnic,description,picnic,O,,
camp,camp,"('camp', 'NN')",camp,camp,description,camp,O,,
rent,rent,"('rent', 'JJ')",rent,rent,description,rent,O,,
National,national,"('national', 'JJ')",nation,national,description,National,O,,
Park,park,"('park', 'NN')",park,park,description,Park,O,,
pass,pass,"('pass', 'NN')",pass,pas,description,pass,O,,
costing,costing,"('costing', 'NN')",cost,costing,description,costing,O,,
required,required,"('required', 'VBN')",requir,require,description,required,O,,
enter,enter,"('enter', 'VB')",enter,enter,description,enter,O,,
Waterton,waterton,"('waterton', 'NN')",waterton,waterton,description,Waterton,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Lakes,lakes,"('lakes', 'NNS')",lake,lake,description,Lakes,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
though,though,"('though', 'IN')",though,though,description,though,O,,
park,park,"('park', 'NN')",park,park,description,park,O,,
run,run,"('run', 'VBN')",run,run,description,run,O,,
tandem,tandem,"('tandem', 'NN')",tandem,tandem,description,tandem,O,,
Glacier,glacier,"('glacier', 'JJ')",glacier,glacier,description,Glacier,O,,
National,national,"('national', 'JJ')",nation,national,description,National,O,,
Park,park,"('park', 'NN')",park,park,description,Park,O,,
two,two,"('two', 'CD')",two,two,description,two,O,,
