token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Banff,banff,"('banff', 'JJ')",banff,banff,introduction,Banff,O,,
National,national,"('national', 'JJ')",nation,national,introduction,National,O,,
Park,park,"('park', 'NN')",park,park,introduction,Park,O,,
main,main,"('main', 'JJ')",main,main,introduction,main,O,,
centre,centre,"('centre', 'NNS')",centr,centre,introduction,centre,O,,
LAKE,lake,"('lake', 'VBP')",lake,lake,introduction,LAKE,B,GPE,"Countries, cities, states"
LOUISE,louise,"('louise', 'NN')",louis,louise,introduction,LOUISE,I,GPE,"Countries, cities, states"
very,very,"('very', 'RB')",veri,very,introduction,very,O,,
different,different,"('different', 'JJ')",differ,different,introduction,different,O,,
Banff,banff,"('banff', 'NN')",banff,banff,introduction,Banff,O,,
less,less,"('less', 'CC')",less,le,introduction,less,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
two,two,"('two', 'CD')",two,two,introduction,two,B,CARDINAL,Numerals that do not fall under another type
distinct,distinct,"('distinct', 'JJ')",distinct,distinct,introduction,distinct,O,,
artificial,artificial,"('artificial', 'JJ')",artifici,artificial,introduction,artificial,O,,
resorts,resorts,"('resorts', 'NNS')",resort,resort,introduction,resorts,O,,
first,first,"('first', 'JJ')",first,first,introduction,first,B,ORDINAL,"""first"", ""second"", etc."
small,small,"('small', 'JJ')",small,small,introduction,small,O,,
mall,mall,"('mall', 'NN')",mall,mall,introduction,mall,O,,
shops,shops,"('shops', 'NNS')",shop,shop,introduction,shops,O,,
hotels,hotels,"('hotels', 'NNS')",hotel,hotel,introduction,hotels,O,,
known,known,"('known', 'VBN')",known,know,introduction,known,O,,
Lake,lake,"('lake', 'NN')",lake,lake,introduction,Lake,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Louise,louise,"('louise', 'NN')",louis,louise,introduction,Louise,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Village,village,"('village', 'NN')",villag,village,introduction,Village,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
second,second,"('second', 'JJ')",second,second,introduction,second,B,ORDINAL,"""first"", ""second"", etc."
lake,lake,"('lake', 'JJ')",lake,lake,introduction,lake,O,,
village,village,"('village', 'NN')",villag,village,introduction,village,O,,
higher,higher,"('higher', 'JJR')",higher,high,introduction,higher,O,,
winding,winding,"('winding', 'VBG')",wind,wind,introduction,winding,O,,
