token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Folklore,folklore,"('folklore', 'RB')",folklor,folklore,introduction,Folklore,O,,
films,films,"('films', 'NNS')",film,film,introduction,films,O,,
widespread,widespread,"('widespread', 'JJ')",widespread,widespread,introduction,widespread,O,,
hearsay,hearsay,"('hearsay', 'NN')",hearsay,hearsay,introduction,hearsay,O,,
given,given,"('given', 'VBN')",given,give,introduction,given,O,,
FLORIDA,florida,"('florida', 'NN')",florida,florida,introduction,FLORIDA,O,,
KEYS,keys,"('keys', 'VBD')",key,key,introduction,KEYS,O,,
chain,chain,"('chain', 'NN')",chain,chain,introduction,chain,O,,
islands,islands,"('islands', 'NNS')",island,island,introduction,islands,O,,
runs,runs,"('runs', 'VBZ')",run,run,introduction,runs,O,,
within,within,"('within', 'IN')",within,within,introduction,within,O,,
ninety,ninety,"('ninety', 'NN')",nineti,ninety,introduction,ninety,B,QUANTITY,"Measurements, as of weight or distance"
miles,miles,"('miles', 'NNS')",mile,mile,introduction,miles,I,QUANTITY,"Measurements, as of weight or distance"
Cuba,cuba,"('cuba', 'NN')",cuba,cuba,introduction,Cuba,B,GPE,"Countries, cities, states"
image,image,"('image', 'NN')",imag,image,introduction,image,O,,
glamorous,glamorous,"('glamorous', 'JJ')",glamor,glamorous,introduction,glamorous,O,,
intrigue,intrigue,"('intrigue', 'NN')",intrigu,intrigue,introduction,intrigue,O,,
really,really,"('really', 'RB')",realli,really,introduction,really,O,,
deserve,deserve,"('deserve', 'VBP')",deserv,deserve,introduction,deserve,O,,
least,least,"('least', 'JJS')",least,least,introduction,least,O,,
days,days,"('days', 'NNS')",day,day,introduction,days,O,,
cocaine,cocaine,"('cocaine', 'NN')",cocain,cocaine,introduction,cocaine,O,,
cowboys,cowboys,"('cowboys', 'VBZ')",cowboy,cowboys,introduction,cowboys,O,,
long,long,"('long', 'JJ')",long,long,introduction,long,O,,
gone,gone,"('gone', 'VBN')",gone,go,introduction,gone,O,,
Beach,beach,"('beach', 'NN')",beach,beach,description,Beach,O,,
view,view,"('view', 'NN')",view,view,description,view,O,,
vivid,vivid,"('vivid', 'JJ')",vivid,vivid,description,vivid,O,,
sunset,sunset,"('sunset', 'NN')",sunset,sunset,description,sunset,O,,
Key,key,"('key', 'JJ')",key,key,description,Key,B,GPE,"Countries, cities, states"
West,west,"('west', 'JJS')",west,west,description,West,I,GPE,"Countries, cities, states"
Florida,florida,"('florida', 'JJ')",florida,florida,description,Florida,B,GPE,"Countries, cities, states"
USAThe,usathe,"('usathe', 'JJ')",usath,usathe,description,USAThe,O,,
Keys,keys,"('keys', 'NNS')",key,key,description,Keys,O,,
accurately,accurately,"('accurately', 'RB')",accur,accurately,description,accurately,O,,
described,described,"('described', 'VBN')",describ,describe,description,described,O,,
paradise,paradise,"('paradise', 'NN')",paradis,paradise,description,paradise,O,,
fishing,fishing,"('fishing', 'NN')",fish,fishing,description,fishing,O,,
snorkelling,snorkelling,"('snorkelling', 'NN')",snorkel,snorkelling,description,snorkelling,O,,
diving,diving,"('diving', 'VBG')",dive,dive,description,diving,O,,
dominate,dominate,"('dominate', 'NN')",domin,dominate,description,dominate,O,,
Terrific,terrific,"('terrific', 'NN')",terrif,terrific,description,Terrific,O,,
untainted,untainted,"('untainted', 'JJ')",untaint,untainted,description,untainted,O,,
natural,natural,"('natural', 'JJ')",natur,natural,description,natural,O,,
areas,areas,"('areas', 'NNS')",area,area,description,areas,O,,
include,include,"('include', 'VBP')",includ,include,description,include,O,,
Florida,florida,"('florida', 'JJ')",florida,florida,description,Florida,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
