token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Pacific,pacific,"('pacific', 'NN')",pacif,pacific,introduction,Pacific,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Rim,rim,"('rim', 'JJ')",rim,rim,introduction,Rim,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
National,national,"('national', 'JJ')",nation,national,introduction,National,O,,
ParkReserve,parkreserve,"('parkreserve', 'NN')",parkreserv,parkreserve,introduction,ParkReserve,O,,
magnificent,magnificent,"('magnificent', 'JJ')",magnific,magnificent,introduction,magnificent,O,,
amalgam,amalgam,"('amalgam', 'NN')",amalgam,amalgam,introduction,amalgam,O,,
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction,mountains,O,,
coastal,coastal,"('coastal', 'JJ')",coastal,coastal,introduction,coastal,O,,
rainforest,rainforest,"('rainforest', 'VBP')",rainforest,rainforest,introduction,rainforest,O,,
wild,wild,"('wild', 'JJ')",wild,wild,introduction,wild,O,,
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction,beaches,O,,
unspoiled,unspoiled,"('unspoiled', 'JJ')",unspoil,unspoiled,introduction,unspoiled,O,,
marine,marine,"('marine', 'NN')",marin,marine,introduction,marine,O,,
landscapes,landscapes,"('landscapes', 'NNS')",landscap,landscape,introduction,landscapes,O,,
stretching,stretching,"('stretching', 'VBG')",stretch,stretch,introduction,stretching,O,,
intermittently,intermittently,"('intermittently', 'RB')",intermitt,intermittently,introduction,intermittently,O,,
towns,towns,"('towns', 'NNS')",town,town,introduction,towns,O,,
Tofino,tofino,"('tofino', 'NN')",tofino,tofino,introduction,Tofino,O,,
north,north,"('north', 'NN')",north,north,introduction,north,O,,
Port,port,"('port', 'NN')",port,port,introduction,Port,B,GPE,"Countries, cities, states"
Renfrew,renfrew,"('renfrew', 'NN')",renfrew,renfrew,introduction,Renfrew,I,GPE,"Countries, cities, states"
south,south,"('south', 'NN')",south,south,introduction,south,O,,
divides,divides,"('divides', 'VBZ')",divid,divide,introduction,divides,O,,
three,three,"('three', 'CD')",three,three,introduction,three,B,CARDINAL,Numerals that do not fall under another type
distinct,distinct,"('distinct', 'JJ')",distinct,distinct,introduction,distinct,O,,
areas,areas,"('areas', 'NNS')",area,area,introduction,areas,O,,
Long,long,"('long', 'RB')",long,long,introduction,Long,B,GPE,"Countries, cities, states"
Beach,beach,"('beach', 'NN')",beach,beach,introduction,Beach,I,GPE,"Countries, cities, states"
popular,popular,"('popular', 'JJ')",popular,popular,introduction,popular,O,,
Broken,broken,"('broken', 'JJ')",broken,broken,introduction,Broken,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Group,group,"('group', 'NN')",group,group,introduction,Group,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Islands,islands,"('islands', 'VBZ')",island,islands,introduction,Islands,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
hundreds,hundreds,"('hundreds', 'NNS')",hundr,hundred,introduction,hundreds,B,CARDINAL,Numerals that do not fall under another type
islets,islets,"('islets', 'NNS')",islet,islet,introduction,islets,O,,
only,only,"('only', 'RB')",onli,only,introduction,only,O,,
accessible,accessible,"('accessible', 'JJ')",access,accessible,introduction,accessible,O,,
sailors,sailors,"('sailors', 'NNS')",sailor,sailor,introduction,sailors,O,,
kayakers,kayakers,"('kayakers', 'NNS')",kayak,kayakers,introduction,kayakers,O,,
West,west,"('west', 'NN')",west,west,introduction,West,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Coast,coast,"('coast', 'NN')",coast,coast,introduction,Coast,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Trail,trail,"('trail', 'VBP')",trail,trail,introduction,Trail,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
tough,tough,"('tough', 'JJ')",tough,tough,introduction,tough,O,,
popular,popular,"('popular', 'JJ')",popular,popular,introduction,popular,O,,
hike,hike,"('hike', 'IN')",hike,hike,introduction,hike,O,,
whole,whole,"('whole', 'JJ')",whole,whole,introduction,whole,O,,
area,area,"('area', 'NN')",area,area,introduction,area,O,,
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
also,also,"('also', 'RB')",also,also,introduction,also,O,,
become,become,"('become', 'VBN')",becom,become,introduction,become,O,,
magnet,magnet,"('magnet', 'NN')",magnet,magnet,introduction,magnet,O,,
surfing,surfing,"('surfing', 'VBG')",surf,surf,introduction,surfing,O,,
taking,taking,"('taking', 'VBG')",take,take,introduction,taking,O,,
MV,mv,"('mv', 'NN')",mv,mv,introduction,MV,O,,
Frances,frances,"('frances', 'NNS')",franc,france,introduction,Frances,O,,
Barkley,barkley,"('barkley', 'VBP')",barkley,barkley,introduction,Barkley,O,,
Port,port,"('port', 'NN')",port,port,introduction,Port,O,,
Alberni,alberni,"('alberni', 'NN')",alberni,alberni,introduction,Alberni,O,,
Bamfield,bamfield,"('bamfield', 'VB')",bamfield,bamfield,introduction,Bamfield,O,,
Ucluelet,ucluelet,"('ucluelet', 'VB')",ucluelet,ucluelet,introduction,Ucluelet,O,,
back,back,"('back', 'RB')",back,back,introduction,back,O,,
combining,combining,"('combining', 'VBG')",combin,combine,introduction,combining,O,,
this,this,"('this', 'DT')",thi,this,introduction,this,O,,
shuttle,shuttle,"('shuttle', 'JJ')",shuttl,shuttle,introduction,shuttle,O,,
buses,buses,"('buses', 'NNS')",buse,bus,introduction,buses,O,,
scheduled,scheduled,"('scheduled', 'VBN')",schedul,schedule,introduction,scheduled,O,,
buses,buses,"('buses', 'NNS')",buse,bus,introduction,buses,O,,
Victoria,victoria,"('victoria', 'NN')",victoria,victoria,introduction,Victoria,B,GPE,"Countries, cities, states"
Port,port,"('port', 'NN')",port,port,introduction,Port,O,,
Alberni,alberni,"('alberni', 'NN')",alberni,alberni,introduction,Alberni,O,,
Nanaimo,nanaimo,"('nanaimo', 'VB')",nanaimo,nanaimo,introduction,Nanaimo,B,GPE,"Countries, cities, states"
