token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
First,first,"('first', 'RB')",first,first,introduction,First,B,ORDINAL,"""first"", ""second"", etc."
navigated,navigated,"('navigated', 'VBN')",navig,navigate,introduction,navigated,O,,
Polish,polish,"('polish', 'JJ')",polish,polish,introduction,Polish,B,NORP,Nationalities or religious or political groups
expedition,expedition,"('expedition', 'NN')",expedit,expedition,introduction,expedition,O,,
declared,declared,"('declared', 'VBD')",declar,declare,introduction,declared,O,,
Zona,zona,"('zona', 'NN')",zona,zona,introduction,Zona,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
de,de,"('de', 'IN')",de,de,introduction,de,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Reserva,reserva,"('reserva', 'FW')",reserva,reserva,introduction,Reserva,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Turística,turística,"('turística', 'JJ')",turística,turística,introduction,Turística,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Nacional,nacional,"('nacional', 'JJ')",nacion,nacional,introduction,Nacional,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
magnificent,magnificent,"('magnificent', 'JJ')",magnific,magnificent,introduction,magnificent,O,,
COTAHUASI,cotahuasi,"('cotahuasi', 'NN')",cotahuasi,cotahuasi,introduction,COTAHUASI,O,,
CANYON,canyon,"('canyon', 'NN')",canyon,canyon,introduction,CANYON,O,,
Cañon,cañon,"('cañon', 'NN')",cañon,cañon,introduction,Cañon,O,,
de,de,"('de', 'IN')",de,de,introduction,de,O,,
Cotahuasi,cotahuasi,"('cotahuasi', 'NN')",cotahuasi,cotahuasi,introduction,Cotahuasi,O,,
Arequipa,arequipa,"('arequipa', 'NN')",arequipa,arequipa,introduction,Arequipa,O,,
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
since,since,"('since', 'IN')",sinc,since,introduction,since,O,,
opened,opened,"('opened', 'VBN')",open,open,introduction,opened,O,,
visits,visits,"('visits', 'NNS')",visit,visit,introduction,visits,O,,
involve,involve,"('involve', 'VBP')",involv,involve,introduction,involve,O,,
major,major,"('major', 'JJ')",major,major,introduction,major,O,,
rafting,rafting,"('rafting', 'VBG')",raft,raft,introduction,rafting,O,,
trips,trips,"('trips', 'NNS')",trip,trip,introduction,trips,O,,
However,however,"('however', 'RB')",howev,however,introduction,However,O,,
getting,getting,"('getting', 'VBG')",get,get,introduction,getting,O,,
this,this,"('this', 'DT')",thi,this,introduction,this,O,,
wild,wild,"('wild', 'JJ')",wild,wild,introduction,wild,O,,
remote,remote,"('remote', 'JJ')",remot,remote,introduction,remote,O,,
place,place,"('place', 'NN')",place,place,introduction,place,O,,
even,even,"('even', 'RB')",even,even,introduction,even,O,,
adventurous,adventurous,"('adventurous', 'JJ')",adventur,adventurous,introduction,adventurous,O,,
less,less,"('less', 'RBR')",less,less,introduction,less,O,,
frequently,frequently,"('frequently', 'RB')",frequent,frequently,introduction,frequently,O,,
attempted,attempted,"('attempted', 'VBN')",attempt,attempt,introduction,attempted,O,,
trip,trip,"('trip', 'NN')",trip,trip,introduction,trip,O,,
Valley,valley,"('valley', 'NN')",valley,valley,introduction,Valley,O,,
Volcanoes,volcanoes,"('volcanoes', 'NNS')",volcano,volcano,introduction,Volcanoes,O,,
One,one,"('one', 'CD')",one,one,introduction,One,B,CARDINAL,Numerals that do not fall under another type
world,world,"('world', 'NN')",world,world,introduction,world,O,,
deepest,deepest,"('deepest', 'VBP')",deepest,deepest,introduction,deepest,O,,
canyons,canyons,"('canyons', 'NNS')",canyon,canyon,introduction,canyons,O,,
