token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Paracas,paracas,"('paracas', 'NN')",paraca,paracas,introduction,Paracas,O,,
arguably,arguably,"('arguably', 'RB')",arguabl,arguably,introduction,arguably,O,,
scenic,scenic,"('scenic', 'JJ')",scenic,scenic,introduction,scenic,O,,
place,place,"('place', 'NN')",place,place,introduction,place,O,,
base,base,"('base', 'VB')",base,base,introduction,base,O,,
Pisco,pisco,"('pisco', 'VB')",pisco,pisco,introduction,Pisco,O,,
resort,resort,"('resort', 'NN')",resort,resort,introduction,resort,O,,
also,also,"('also', 'RB')",also,also,introduction,also,O,,
known,known,"('known', 'VBN')",known,know,introduction,known,O,,
El,el,"('el', 'NN')",el,el,introduction,El,O,,
Baneario,baneario,"('baneario', 'NN')",baneario,baneario,introduction,Baneario,O,,
El,el,"('el', 'NN')",el,el,introduction,El,O,,
Chaco,chaco,"('chaco', 'NN')",chaco,chaco,introduction,Chaco,O,,
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
once,once,"('once', 'RB')",onc,once,introduction,once,O,,
spot,spot,"('spot', 'NN')",spot,spot,introduction,spot,O,,
wealthy,wealthy,"('wealthy', 'JJ')",wealthi,wealthy,introduction,wealthy,O,,
Limeños,limeños,"('limeños', 'NN')",limeño,limeños,introduction,Limeños,B,NORP,Nationalities or religious or political groups
whose,whose,"('whose', 'WP$')",whose,whose,introduction,whose,O,,
expensive,expensive,"('expensive', 'JJ')",expens,expensive,introduction,expensive,O,,
resort,resort,"('resort', 'NN')",resort,resort,introduction,resort,O,,
hotels,hotels,"('hotels', 'NNS')",hotel,hotel,introduction,hotels,O,,
large,large,"('large', 'JJ')",larg,large,introduction,large,O,,
bungalows,bungalows,"('bungalows', 'NNS')",bungalow,bungalow,introduction,bungalows,O,,
line,line,"('line', 'NN')",line,line,introduction,line,O,,
beach,beach,"('beach', 'NN')",beach,beach,introduction,beach,O,,
close,close,"('close', 'RB')",close,close,introduction,close,O,,
entrance,entrance,"('entrance', 'NN')",entranc,entrance,introduction,entrance,O,,
reserve,reserve,"('reserve', 'NN')",reserv,reserve,introduction,reserve,O,,
reasonably,reasonably,"('reasonably', 'RB')",reason,reasonably,introduction,reasonably,O,,
priced,priced,"('priced', 'VBN')",price,price,introduction,priced,O,,
hostels,hostels,"('hostels', 'NNS')",hostel,hostel,introduction,hostels,O,,
restaurants,restaurants,"('restaurants', 'NNS')",restaur,restaurant,introduction,restaurants,O,,
dominate,dominate,"('dominate', 'VBP')",domin,dominate,introduction,dominate,O,,
scene,scene,"('scene', 'NN')",scene,scene,introduction,scene,O,,
also,also,"('also', 'RB')",also,also,introduction,also,O,,
possible,possible,"('possible', 'JJ')",possibl,possible,introduction,possible,O,,
camp,camp,"('camp', 'VB')",camp,camp,introduction,camp,O,,
sand,sand,"('sand', 'NN')",sand,sand,introduction,sand,O,,
though,though,"('though', 'IN')",though,though,introduction,though,O,,
nearby,nearby,"('nearby', 'JJ')",nearbi,nearby,introduction,nearby,O,,
Paracas,paracas,"('paracas', 'NN')",paraca,paracas,introduction,Paracas,O,,
Reserve,reserve,"('reserve', 'NN')",reserv,reserve,introduction,Reserve,O,,
much,much,"('much', 'JJ')",much,much,introduction,much,O,,
nicer,nicer,"('nicer', 'NN')",nicer,nicer,introduction,nicer,O,,
place,place,"('place', 'NN')",place,place,introduction,place,O,,
pitch,pitch,"('pitch', 'VB')",pitch,pitch,introduction,pitch,O,,
tent,tent,"('tent', 'NN')",tent,tent,introduction,tent,O,,
wharf,wharf,"('wharf', 'NN')",wharf,wharf,introduction,wharf,O,,
surrounded,surrounded,"('surrounded', 'VBN')",surround,surround,introduction,surrounded,O,,
pelicans,pelicans,"('pelicans', 'NNS')",pelican,pelican,introduction,pelicans,O,,
place,place,"('place', 'NN')",place,place,introduction,place,O,,
board,board,"('board', 'NN')",board,board,introduction,board,O,,
speedboats,speedboats,"('speedboats', 'NNS')",speedboat,speedboat,introduction,speedboats,O,,
lanchas,lanchas,"('lanchas', 'VBP')",lancha,lanchas,introduction,lanchas,O,,
quick,quick,"('quick', 'JJ')",quick,quick,introduction,quick,O,,
zip,zip,"('zip', 'NN')",zip,zip,introduction,zip,O,,
across,across,"('across', 'IN')",across,across,introduction,across,O,,
sea,sea,"('sea', 'NN')",sea,sea,introduction,sea,O,,
circling,circling,"('circling', 'VBG')",circl,circle,introduction,circling,O,,
one,one,"('one', 'CD')",one,one,introduction,one,O,,
two,two,"('two', 'CD')",two,two,introduction,two,B,CARDINAL,Numerals that do not fall under another type
islands,islands,"('islands', 'NNS')",island,island,introduction,islands,O,,
passing,passing,"('passing', 'VBG')",pass,pass,introduction,passing,O,,
close,close,"('close', 'RB')",close,close,introduction,close,O,,
famous,famous,"('famous', 'JJ')",famou,famous,introduction,famous,O,,
Paracas,paracas,"('paracas', 'NN')",paraca,paracas,introduction,Paracas,O,,
Trident,trident,"('trident', 'NN')",trident,trident,introduction,Trident,O,,
greater,greater,"('greater', 'JJR')",greater,great,description,greater,O,,
wildlife,wildlife,"('wildlife', 'NN')",wildlif,wildlife,description,wildlife,O,,
interest,interest,"('interest', 'NN')",interest,interest,description,interest,O,,
Ballestas,ballestas,"('ballestas', 'JJ')",ballesta,ballestas,description,Ballestas,O,,
Islands,islands,"('islands', 'VBZ')",island,islands,description,Islands,O,,
Paracas,paracas,"('paracas', 'JJ')",paraca,paracas,description,Paracas,O,,
National,national,"('national', 'JJ')",nation,national,description,National,O,,
Reserve,reserve,"('reserve', 'NN')",reserv,reserve,description,Reserve,O,,
kilometres,kilometres,"('kilometres', 'NNS')",kilometr,kilometre,description,kilometres,O,,
south,south,"('south', 'RB')",south,south,description,south,O,,
Paracas,paracas,"('paracas', 'NN')",paraca,paracas,description,Paracas,O,,
