token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Cusco,cusco,"('cusco', 'NN')",cusco,cusco,introduction,Cusco,O,,
modern,modern,"('modern', 'JJ')",modern,modern,introduction,modern,O,,
ancient,ancient,"('ancient', 'JJ')",ancient,ancient,introduction,ancient,O,,
centre,centre,"('centre', 'NN')",centr,centre,introduction,centre,O,,
Plaza,plaza,"('plaza', 'NN')",plaza,plaza,introduction,Plaza,O,,
de,de,"('de', 'IN')",de,de,introduction,de,O,,
Armas,armas,"('armas', 'FW')",arma,armas,introduction,Armas,O,,
whose,whose,"('whose', 'WP$')",whose,whose,introduction,whose,O,,
location,location,"('location', 'NN')",locat,location,introduction,location,O,,
corresponds,corresponds,"('corresponds', 'VBZ')",correspond,correspond,introduction,corresponds,O,,
roughly,roughly,"('roughly', 'RB')",roughli,roughly,introduction,roughly,O,,
ceremonial,ceremonial,"('ceremonial', 'JJ')",ceremoni,ceremonial,introduction,ceremonial,O,,
huacapata,huacapata,"('huacapata', 'NN')",huacapata,huacapata,introduction,huacapata,O,,
Incas,incas,"('incas', 'NN')",inca,inca,introduction,Incas,O,,
ancient,ancient,"('ancient', 'JJ')",ancient,ancient,introduction,ancient,O,,
central,central,"('central', 'JJ')",central,central,introduction,central,O,,
plaza,plaza,"('plaza', 'NN')",plaza,plaza,introduction,plaza,O,,
obvious,obvious,"('obvious', 'JJ')",obviou,obvious,introduction,obvious,O,,
place,place,"('place', 'NN')",place,place,introduction,place,O,,
get,get,"('get', 'VB')",get,get,introduction,get,O,,
bearings,bearings,"('bearings', 'NNS')",bear,bearing,introduction,bearings,O,,
unmistakeable,unmistakeable,"('unmistakeable', 'JJ')",unmistak,unmistakeable,introduction,unmistakeable,O,,
ruins,ruins,"('ruins', 'NNS')",ruin,ruin,introduction,ruins,O,,
Sacsayhuaman,sacsayhuaman,"('sacsayhuaman', 'JJ')",sacsayhuaman,sacsayhuaman,introduction,Sacsayhuaman,O,,
towering,towering,"('towering', 'VBG')",tower,tower,introduction,towering,O,,
above,above,"('above', 'IN')",abov,above,introduction,above,O,,
always,always,"('always', 'RB')",alway,always,introduction,always,O,,
find,find,"('find', 'VB')",find,find,introduction,find,O,,
way,way,"('way', 'NN')",way,way,introduction,way,O,,
back,back,"('back', 'RB')",back,back,introduction,back,O,,
plaza,plaza,"('plaza', 'NN')",plaza,plaza,introduction,plaza,O,,
simply,simply,"('simply', 'RB')",simpli,simply,introduction,simply,O,,
locating,locating,"('locating', 'VBG')",locat,locate,introduction,locating,O,,
fortress,fortress,"('fortress', 'NN')",fortress,fortress,introduction,fortress,O,,
night,night,"('night', 'NN')",night,night,introduction,night,O,,
illuminated,illuminated,"('illuminated', 'JJ')",illumin,illuminated,introduction,illuminated,O,,
white,white,"('white', 'JJ')",white,white,introduction,white,O,,
figure,figure,"('figure', 'NN')",figur,figure,introduction,figure,O,,
Christ,christ,"('christ', 'NN')",christ,christ,introduction,Christ,O,,
stands,stands,"('stands', 'VBZ')",stand,stand,introduction,stands,O,,
beside,beside,"('beside', 'VB')",besid,beside,introduction,beside,O,,
horizon,horizon,"('horizon', 'NN')",horizon,horizon,introduction,horizon,O,,
plaza,plaza,"('plaza', 'NN')",plaza,plaza,introduction,plaza,O,,
always,always,"('always', 'RB')",alway,always,introduction,always,O,,
busy,busy,"('busy', 'JJ')",busi,busy,introduction,busy,O,,
northern,northern,"('northern', 'JJ')",northern,northern,introduction,northern,O,,
western,western,"('western', 'JJ')",western,western,introduction,western,O,,
sides,sides,"('sides', 'NNS')",side,side,introduction,sides,O,,
filled,filled,"('filled', 'VBN')",fill,fill,introduction,filled,O,,
shops,shops,"('shops', 'NNS')",shop,shop,introduction,shops,O,,
restaurants,restaurants,"('restaurants', 'NNS')",restaur,restaurant,introduction,restaurants,O,,
plaza,plaza,"('plaza', 'NN')",plaza,plaza,description,plaza,O,,
exposed,exposed,"('exposed', 'VBD')",expos,expose,description,exposed,O,,
northeastern,northeastern,"('northeastern', 'JJ')",northeastern,northeastern,description,northeastern,O,,
edge,edge,"('edge', 'NN')",edg,edge,description,edge,O,,
dominated,dominated,"('dominated', 'VBN')",domin,dominate,description,dominated,O,,
squat,squat,"('squat', 'JJ')",squat,squat,description,squat,O,,
Catedral,catedral,"('catedral', 'NN')",catedr,catedral,description,Catedral,O,,
smaller,smaller,"('smaller', 'JJR')",smaller,small,description,smaller,O,,
Iglesia,iglesia,"('iglesia', 'NN')",iglesia,iglesia,description,Iglesia,O,,
de,de,"('de', 'IN')",de,de,description,de,O,,
la,la,"('la', 'FW')",la,la,description,la,O,,
Compañía,compañía,"('compañía', 'FW')",compañía,compañía,description,Compañía,O,,
de,de,"('de', 'FW')",de,de,description,de,O,,
