token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
vital,vital,"('vital', 'JJ')",vital,vital,introduction,vital,O,,
Inca,inca,"('inca', 'NN')",inca,inca,introduction,Inca,O,,
road,road,"('road', 'NN')",road,road,introduction,road,O,,
once,once,"('once', 'RB')",onc,once,introduction,once,O,,
snaked,snaked,"('snaked', 'VBD')",snake,snake,introduction,snaked,O,,
way,way,"('way', 'NN')",way,way,introduction,way,O,,
canyon,canyon,"('canyon', 'NN')",canyon,canyon,introduction,canyon,O,,
enters,enters,"('enters', 'VBZ')",enter,enter,introduction,enters,O,,
Sacred,sacred,"('sacred', 'JJ')",sacr,sacred,introduction,Sacred,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Valley,valley,"('valley', 'NN')",valley,valley,introduction,Valley,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
PISAC,pisac,"('pisac', 'NN')",pisac,pisac,introduction,PISAC,O,,
ruined,ruined,"('ruined', 'VBN')",ruin,ruin,introduction,ruined,O,,
citadel,citadel,"('citadel', 'NN')",citadel,citadel,introduction,citadel,O,,
sits,sits,"('sits', 'VBZ')",sit,sit,introduction,sits,O,,
entrance,entrance,"('entrance', 'NN')",entranc,entrance,introduction,entrance,O,,
gorge,gorge,"('gorge', 'NN')",gorg,gorge,introduction,gorge,O,,
controlled,controlled,"('controlled', 'VBD')",control,control,introduction,controlled,O,,
strategic,strategic,"('strategic', 'JJ')",strateg,strategic,introduction,strategic,O,,
route,route,"('route', 'NN')",rout,route,introduction,route,O,,
connecting,connecting,"('connecting', 'VBG')",connect,connect,introduction,connecting,O,,
Inca,inca,"('inca', 'NN')",inca,inca,introduction,Inca,O,,
Empire,empire,"('empire', 'NN')",empir,empire,introduction,Empire,O,,
Paucartambo,paucartambo,"('paucartambo', 'NN')",paucartambo,paucartambo,introduction,Paucartambo,O,,
borders,borders,"('borders', 'NNS')",border,border,introduction,borders,O,,
eastern,eastern,"('eastern', 'JJ')",eastern,eastern,introduction,eastern,O,,
jungle,jungle,"('jungle', 'NN')",jungl,jungle,introduction,jungle,O,,
Less,less,"('less', 'JJR')",less,less,introduction,Less,O,,
hour,hour,"('hour', 'NN')",hour,hour,introduction,hour,O,,
Cusco,cusco,"('cusco', 'NN')",cusco,cusco,introduction,Cusco,O,,
bus,bus,"('bus', 'IN')",bu,bus,introduction,bus,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
commonly,commonly,"('commonly', 'RB')",commonli,commonly,introduction,commonly,O,,
visited,visited,"('visited', 'JJ')",visit,visited,introduction,visited,O,,
apart,apart,"('apart', 'RB')",apart,apart,introduction,apart,O,,
look,look,"('look', 'NN')",look,look,introduction,look,O,,
citadel,citadel,"('citadel', 'NN')",citadel,citadel,introduction,citadel,O,,
morning,morning,"('morning', 'NN')",morn,morning,introduction,morning,O,,
market,market,"('market', 'NN')",market,market,introduction,market,O,,
takes,takes,"('takes', 'VBZ')",take,take,introduction,takes,O,,
place,place,"('place', 'NN')",place,place,introduction,place,O,,
three,three,"('three', 'CD')",three,three,introduction,three,B,CARDINAL,Numerals that do not fall under another type
times,times,"('times', 'NNS')",time,time,introduction,times,O,,
week,week,"('week', 'NN')",week,week,introduction,week,O,,
addition,addition,"('addition', 'NN')",addit,addition,description,addition,O,,
main,main,"('main', 'JJ')",main,main,description,main,O,,
local,local,"('local', 'JJ')",local,local,description,local,O,,
fiesta,fiesta,"('fiesta', 'NN')",fiesta,fiesta,description,fiesta,O,,
Virgen,virgen,"('virgen', 'NN')",virgen,virgen,description,Virgen,B,EVENT,"Named hurricanes, battles, wars, sports events, etc."
del,del,"('del', 'FW')",del,del,description,del,I,EVENT,"Named hurricanes, battles, wars, sports events, etc."
Carmen,carmen,"('carmen', 'NNS')",carmen,carmen,description,Carmen,I,EVENT,"Named hurricanes, battles, wars, sports events, etc."
July,july,"('july', 'NN')",juli,july,description,July,B,DATE,Absolute or relative dates or periods
good,good,"('good', 'JJ')",good,good,description,good,O,,
alternative,alternative,"('alternative', 'NN')",altern,alternative,description,alternative,O,,
