token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
small,small,"('small', 'JJ')",small,small,introduction,small,O,,
modern,modern,"('modern', 'JJ')",modern,modern,introduction,modern,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
CHACHAPOYAS,chachapoyas,"('chachapoyas', 'NN')",chachapoya,chachapoyas,introduction,CHACHAPOYAS,B,GPE,"Countries, cities, states"
high,high,"('high', 'JJ')",high,high,introduction,high,O,,
first,first,"('first', 'JJ')",first,first,introduction,first,O,,
foremost,foremost,"('foremost', 'VB')",foremost,foremost,introduction,foremost,O,,
springboard,springboard,"('springboard', 'NN')",springboard,springboard,introduction,springboard,O,,
wealth,wealth,"('wealth', 'NN')",wealth,wealth,introduction,wealth,O,,
nearby,nearby,"('nearby', 'JJ')",nearbi,nearby,introduction,nearby,O,,
remains,remains,"('remains', 'NNS')",remain,remains,introduction,remains,O,,
opening,opening,"('opening', 'VBG')",open,open,introduction,opening,O,,
road,road,"('road', 'NN')",road,road,introduction,road,O,,
networks,networks,"('networks', 'NNS')",network,network,introduction,networks,O,,
parts,parts,"('parts', 'NNS')",part,part,introduction,parts,O,,
Chachapoyas,chachapoyas,"('chachapoyas', 'NN')",chachapoya,chachapoyas,introduction,Chachapoyas,B,GPE,"Countries, cities, states"
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
developed,developed,"('developed', 'VBN')",develop,develop,introduction,developed,O,,
thriving,thriving,"('thriving', 'JJ')",thrive,thriving,introduction,thriving,O,,
little,little,"('little', 'JJ')",littl,little,introduction,little,O,,
market,market,"('market', 'NN')",market,market,introduction,market,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
wide,wide,"('wide', 'JJ')",wide,wide,introduction,wide,O,,
range,range,"('range', 'NN')",rang,range,introduction,range,O,,
fruits,fruits,"('fruits', 'NNS')",fruit,fruit,introduction,fruits,O,,
veggies,veggies,"('veggies', 'NNS')",veggi,veggie,introduction,veggies,O,,
craft,craft,"('craft', 'VBP')",craft,craft,introduction,craft,O,,
goods,goods,"('goods', 'NNS')",good,good,introduction,goods,O,,
smaller,smaller,"('smaller', 'JJR')",smaller,small,introduction,smaller,O,,
woollen,woollen,"('woollen', 'JJ')",woollen,woollen,introduction,woollen,O,,
accessories,accessories,"('accessories', 'NNS')",accessori,accessory,introduction,accessories,O,,
straps,straps,"('straps', 'NNS')",strap,strap,introduction,straps,O,,
belts,belts,"('belts', 'NNS')",belt,belt,introduction,belts,O,,
