token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
commercial,commercial,"('commercial', 'JJ')",commerci,commercial,introduction,commercial,O,,
centre,centre,"('centre', 'NN')",centr,centre,introduction,centre,O,,
northern,northern,"('northern', 'JJ')",northern,northern,introduction,northern,O,,
Peru,peru,"('peru', 'NN')",peru,peru,introduction,Peru,O,,
CHICLAYO,chiclayo,"('chiclayo', 'NN')",chiclayo,chiclayo,introduction,CHICLAYO,O,,
better,better,"('better', 'RBR')",better,well,introduction,better,O,,
famed,famed,"('famed', 'VBN')",fame,famed,introduction,famed,O,,
banks,banks,"('banks', 'NNS')",bank,bank,introduction,banks,O,,
heritage,heritage,"('heritage', 'NN')",heritag,heritage,introduction,heritage,O,,
Nevertheless,nevertheless,"('nevertheless', 'NN')",nevertheless,nevertheless,introduction,Nevertheless,O,,
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
attractions,attractions,"('attractions', 'NNS')",attract,attraction,introduction,attractions,O,,
even,even,"('even', 'RB')",even,even,introduction,even,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
urban,urban,"('urban', 'JJ')",urban,urban,introduction,urban,O,,
sprawl,sprawl,"('sprawl', 'NN')",sprawl,sprawl,introduction,sprawl,O,,
modernizing,modernizing,"('modernizing', 'NN')",modern,modernizing,introduction,modernizing,O,,
growing,growing,"('growing', 'VBG')",grow,grow,introduction,growing,O,,
rapidly,rapidly,"('rapidly', 'RB')",rapidli,rapidly,introduction,rapidly,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
incredibly,incredibly,"('incredibly', 'RB')",incred,incredibly,introduction,incredibly,O,,
busy,busy,"('busy', 'JJ')",busi,busy,introduction,busy,O,,
feel,feel,"('feel', 'NN')",feel,feel,introduction,feel,O,,
people,people,"('people', 'NNS')",peopl,people,introduction,people,O,,
traffic,traffic,"('traffic', 'NN')",traffic,traffic,introduction,traffic,O,,
moving,moving,"('moving', 'VBG')",move,move,introduction,moving,O,,
fast,fast,"('fast', 'RB')",fast,fast,introduction,fast,O,,
noisily,noisily,"('noisily', 'RB')",noisili,noisily,introduction,noisily,O,,
everywhere,everywhere,"('everywhere', 'RB')",everywher,everywhere,introduction,everywhere,O,,
during,during,"('during', 'IN')",dure,during,introduction,during,O,,
daylight,daylight,"('daylight', 'JJ')",daylight,daylight,introduction,daylight,O,,
hours,hours,"('hours', 'NNS')",hour,hour,introduction,hours,O,,
Tourists,tourists,"('tourists', 'NNS')",tourist,tourist,introduction,Tourists,O,,
tend,tend,"('tend', 'VBP')",tend,tend,introduction,tend,O,,
attract,attract,"('attract', 'VB')",attract,attract,introduction,attract,O,,
attention,attention,"('attention', 'NN')",attent,attention,introduction,attention,O,,
main,main,"('main', 'JJ')",main,main,introduction,main,O,,
streets,streets,"('streets', 'NNS')",street,street,introduction,streets,O,,
least,least,"('least', 'JJS')",least,least,introduction,least,O,,
because,because,"('because', 'IN')",becaus,because,introduction,because,O,,
seen,seen,"('seen', 'VBN')",seen,see,introduction,seen,O,,
very,very,"('very', 'RB')",veri,very,introduction,very,O,,
often,often,"('often', 'RB')",often,often,introduction,often,O,,
Central,central,"('central', 'JJ')",central,central,description,Central,O,,
Market,market,"('market', 'NN')",market,market,description,Market,O,,
Daily,daily,"('daily', 'RB')",daili,daily,description,Daily,O,,
Along,along,"('along', 'RB')",along,along,description,Along,O,,
massive,massive,"('massive', 'JJ')",massiv,massive,description,massive,O,,
market,market,"('market', 'NN')",market,market,description,market,O,,
lanes,lanes,"('lanes', 'NNS')",lane,lane,description,lanes,O,,
part,part,"('part', 'NN')",part,part,description,part,O,,
called,called,"('called', 'VBN')",call,call,description,called,O,,
Feria,feria,"('feria', 'NN')",feria,feria,description,Feria,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Balta,balta,"('balta', 'NN')",balta,balta,description,Balta,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
this,this,"('this', 'DT')",thi,this,description,this,O,,
main,main,"('main', 'JJ')",main,main,description,main,O,,
focus,focus,"('focus', 'NN')",focu,focus,description,focus,O,,
activity,activity,"('activity', 'NN')",activ,activity,description,activity,O,,
town,town,"('town', 'NN')",town,town,description,town,O,,
Known,known,"('known', 'VBN')",known,know,description,Known,O,,
Mercado,mercado,"('mercado', 'NN')",mercado,mercado,description,Mercado,O,,
Modelo,modelo,"('modelo', 'VBD')",modelo,modelo,description,Modelo,O,,
main,main,"('main', 'JJ')",main,main,description,main,O,,
part,part,"('part', 'NN')",part,part,description,part,O,,
Central,central,"('central', 'JJ')",central,central,description,Central,O,,
Market,market,"('market', 'NN')",market,market,description,Market,O,,
packed,packed,"('packed', 'VBN')",pack,pack,description,packed,O,,
food,food,"('food', 'NN')",food,food,description,food,O,,
vendors,vendors,"('vendors', 'NNS')",vendor,vendor,description,vendors,O,,
centre,centre,"('centre', 'NN')",centr,centre,description,centre,O,,
stalls,stalls,"('stalls', 'NNS')",stall,stall,description,stalls,O,,
around,around,"('around', 'IN')",around,around,description,around,O,,
outside,outside,"('outside', 'NN')",outsid,outside,description,outside,O,,
This,this,"('this', 'DT')",thi,this,description,This,O,,
one,one,"('one', 'CD')",one,one,description,one,O,,
best,best,"('best', 'JJS')",best,best,description,best,O,,
markets,markets,"('markets', 'NNS')",market,market,description,markets,O,,
north,north,"('north', 'NN')",north,north,description,north,O,,
revelation,revelation,"('revelation', 'NN')",revel,revelation,description,revelation,O,,
arrived,arrived,"('arrived', 'VBN')",arriv,arrive,description,arrived,O,,
country,country,"('country', 'NN')",countri,country,description,country,O,,
whole,whole,"('whole', 'JJ')",whole,whole,description,whole,O,,
section,section,"('section', 'NN')",section,section,description,section,O,,
live,live,"('live', 'JJ')",live,live,description,live,O,,
animals,animals,"('animals', 'NNS')",anim,animal,description,animals,O,,
including,including,"('including', 'VBG')",includ,include,description,including,O,,
wild,wild,"('wild', 'JJ')",wild,wild,description,wild,O,,
fox,fox,"('fox', 'JJ')",fox,fox,description,fox,O,,
cubs,cubs,"('cubs', 'NN')",cub,cub,description,cubs,O,,
canaries,canaries,"('canaries', 'NNS')",canari,canary,description,canaries,O,,
even,even,"('even', 'RB')",even,even,description,even,O,,
occasional,occasional,"('occasional', 'JJ')",occasion,occasional,description,occasional,O,,
condor,condor,"('condor', 'NN')",condor,condor,description,condor,O,,
chick,chick,"('chick', 'NN')",chick,chick,description,chick,O,,
