token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
PIURA,piura,"('piura', 'NN')",piura,piura,introduction,PIURA,B,GPE,"Countries, cities, states"
feels,feels,"('feels', 'NNS')",feel,feel,introduction,feels,O,,
very,very,"('very', 'RB')",veri,very,introduction,very,O,,
distinct,distinct,"('distinct', 'RB')",distinct,distinct,introduction,distinct,O,,
rest,rest,"('rest', 'NN')",rest,rest,introduction,rest,O,,
country,country,"('country', 'NN')",countri,country,introduction,country,O,,
cut,cut,"('cut', 'VBD')",cut,cut,introduction,cut,O,,
south,south,"('south', 'NN')",south,south,introduction,south,O,,
formidable,formidable,"('formidable', 'JJ')",formid,formidable,introduction,formidable,O,,
Sechura,sechura,"('sechura', 'NN')",sechura,sechura,introduction,Sechura,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Desert,desert,"('desert', 'NN')",desert,desert,introduction,Desert,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
east,east,"('east', 'NN')",east,east,introduction,east,O,,
Huancabamba,huancabamba,"('huancabamba', 'NN')",huancabamba,huancabamba,introduction,Huancabamba,B,GPE,"Countries, cities, states"
mountains,mountains,"('mountains', 'VBZ')",mountain,mountains,introduction,mountains,O,,
Francisco,francisco,"('francisco', 'JJ')",francisco,francisco,introduction,Francisco,B,PERSON,"People, including fictional"
Pizarro,pizarro,"('pizarro', 'NN')",pizarro,pizarro,introduction,Pizarro,I,PERSON,"People, including fictional"
spent,spent,"('spent', 'VBN')",spent,spend,introduction,spent,O,,
ten,ten,"('ten', 'JJ')",ten,ten,introduction,ten,O,,
days,days,"('days', 'NNS')",day,day,introduction,days,O,,
Piura,piura,"('piura', 'NN')",piura,piura,introduction,Piura,B,GPE,"Countries, cities, states"
en,en,"('en', 'JJ')",en,en,introduction,en,O,,
route,route,"('route', 'NN')",rout,route,introduction,route,O,,
his,his,"('his', 'PRP$')",hi,his,introduction,his,O,,
fateful,fateful,"('fateful', 'JJ')",fate,fateful,introduction,fateful,O,,
meeting,meeting,"('meeting', 'NN')",meet,meeting,introduction,meeting,O,,
Inca,inca,"('inca', 'NN')",inca,inca,introduction,Inca,B,NORP,Nationalities or religious or political groups
overlord,overlord,"('overlord', 'NN')",overlord,overlord,introduction,overlord,O,,
Atahualpa,atahualpa,"('atahualpa', 'NN')",atahualpa,atahualpa,introduction,Atahualpa,B,GPE,"Countries, cities, states"
Cajamarca,cajamarca,"('cajamarca', 'NN')",cajamarca,cajamarca,introduction,Cajamarca,I,GPE,"Countries, cities, states"
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
known,known,"('known', 'VBN')",known,know,introduction,known,O,,
San,san,"('san', 'JJ')",san,san,introduction,San,O,,
Miguel,miguel,"('miguel', 'NN')",miguel,miguel,introduction,Miguel,O,,
de,de,"('de', 'IN')",de,de,introduction,de,O,,
Piura,piura,"('piura', 'NN')",piura,piura,introduction,Piura,O,,
well,well,"('well', 'RB')",well,well,introduction,well,O,,
two,two,"('two', 'CD')",two,two,introduction,two,B,CARDINAL,Numerals that do not fall under another type
hundred,hundred,"('hundred', 'JJ')",hundr,hundred,introduction,hundred,I,CARDINAL,Numerals that do not fall under another type
Spanish,spanish,"('spanish', 'JJ')",spanish,spanish,introduction,Spanish,B,NORP,Nationalities or religious or political groups
inhabitants,inhabitants,"('inhabitants', 'NNS')",inhabit,inhabitant,introduction,inhabitants,O,,
including,including,"('including', 'VBG')",includ,include,introduction,including,O,,
first,first,"('first', 'JJ')",first,first,introduction,first,O,,
Spanish,spanish,"('spanish', 'JJ')",spanish,spanish,introduction,Spanish,B,NORP,Nationalities or religious or political groups
women,women,"('women', 'NNS')",women,woman,introduction,women,O,,
arrive,arrive,"('arrive', 'VB')",arriv,arrive,introduction,arrive,O,,
Peru,peru,"('peru', 'NN')",peru,peru,introduction,Peru,B,GPE,"Countries, cities, states"
early,early,"('early', 'RB')",earli,early,introduction,early,O,,
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
flourishing,flourishing,"('flourishing', 'JJ')",flourish,flourishing,introduction,flourishing,O,,
trade,trade,"('trade', 'NN')",trade,trade,introduction,trade,O,,
excellent,excellent,"('excellent', 'JJ')",excel,excellent,introduction,excellent,O,,
indigenous,indigenous,"('indigenous', 'JJ')",indigen,indigenous,introduction,indigenous,O,,
Tanguis,tanguis,"('tanguis', 'NN')",tangui,tanguis,introduction,Tanguis,B,GPE,"Countries, cities, states"
cotton,cotton,"('cotton', 'NN')",cotton,cotton,introduction,cotton,O,,
Piura,piura,"('piura', 'NN')",piura,piura,introduction,Piura,B,GPE,"Countries, cities, states"
today,today,"('today', 'NN')",today,today,introduction,today,O,,
still,still,"('still', 'RB')",still,still,introduction,still,O,,
produces,produces,"('produces', 'VBZ')",produc,produce,introduction,produces,O,,
third,third,"('third', 'JJ')",third,third,introduction,third,B,ORDINAL,"""first"", ""second"", etc."
nation,nation,"('nation', 'NN')",nation,nation,introduction,nation,O,,
cotton,cotton,"('cotton', 'NN')",cotton,cotton,introduction,cotton,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
has,has,"('has', 'VBZ')",ha,have,description,has,O,,
strong,strong,"('strong', 'JJ')",strong,strong,description,strong,O,,
oasis,oasis,"('oasis', 'NN')",oasi,oasis,description,oasis,O,,
atmosphere,atmosphere,"('atmosphere', 'RB')",atmospher,atmosphere,description,atmosphere,O,,
entirely,entirely,"('entirely', 'RB')",entir,entirely,description,entirely,O,,
dependent,dependent,"('dependent', 'JJ')",depend,dependent,description,dependent,O,,
vagaries,vagaries,"('vagaries', 'NNS')",vagari,vagary,description,vagaries,O,,
Río,río,"('río', 'NN')",río,río,description,Río,B,PERSON,"People, including fictional"
Piura,piura,"('piura', 'NN')",piura,piura,description,Piura,I,PERSON,"People, including fictional"
known,known,"('known', 'VBN')",known,know,description,known,O,,
colloquially,colloquially,"('colloquially', 'RB')",colloqui,colloquially,description,colloquially,O,,
since,since,"('since', 'IN')",sinc,since,description,since,O,,
Pizarro,pizarro,"('pizarro', 'NN')",pizarro,pizarro,description,Pizarro,B,PERSON,"People, including fictional"
time,time,"('time', 'NN')",time,time,description,time,O,,
Río,río,"('río', 'NN')",río,río,description,Río,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Loco,loco,"('loco', 'NN')",loco,loco,description,Loco,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Crazy,crazy,"('crazy', 'JJ')",crazi,crazy,description,Crazy,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
River,river,"('river', 'NN')",river,river,description,River,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
only,only,"('only', 'RB')",onli,only,description,only,O,,
above,above,"('above', 'IN')",abov,above,description,above,O,,
sea,sea,"('sea', 'NN')",sea,sea,description,sea,O,,
level,level,"('level', 'NN')",level,level,description,level,O,,
modern,modern,"('modern', 'JJ')",modern,modern,description,modern,O,,
Piura,piura,"('piura', 'NN')",piura,piura,description,Piura,B,GPE,"Countries, cities, states"
divided,divided,"('divided', 'VBN')",divid,divide,description,divided,O,,
sometimes,sometimes,"('sometimes', 'RB')",sometim,sometimes,description,sometimes,O,,
dry,dry,"('dry', 'JJ')",dri,dry,description,dry,O,,
riverbed,riverbed,"('riverbed', 'VBD')",riverb,riverbed,description,riverbed,O,,
action,action,"('action', 'NN')",action,action,description,action,O,,
main,main,"('main', 'JJ')",main,main,description,main,O,,
sights,sights,"('sights', 'NNS')",sight,sight,description,sights,O,,
west,west,"('west', 'JJS')",west,west,description,west,O,,
bank,bank,"('bank', 'NN')",bank,bank,description,bank,O,,
temperatures,temperatures,"('temperatures', 'NNS')",temperatur,temperature,description,temperatures,O,,
January,january,"('january', 'JJ')",januari,january,description,January,B,DATE,Absolute or relative dates or periods
March,march,"('march', 'VB')",march,march,description,March,B,DATE,Absolute or relative dates or periods
region,region,"('region', 'NN')",region,region,description,region,O,,
known,known,"('known', 'VBN')",known,know,description,known,O,,
particularly,particularly,"('particularly', 'RB')",particularli,particularly,description,particularly,O,,
straw,straw,"('straw', 'JJ')",straw,straw,description,straw,O,,
sombreros,sombreros,"('sombreros', 'NNS')",sombrero,sombrero,description,sombreros,O,,
worn,worn,"('worn', 'VBN')",worn,wear,description,worn,O,,
everyone,everyone,"('everyone', 'NN')",everyon,everyone,description,everyone,O,,
mayor,mayor,"('mayor', 'NN')",mayor,mayor,description,mayor,O,,
local,local,"('local', 'JJ')",local,local,description,local,O,,
plenty,plenty,"('plenty', 'NN')",plenti,plenty,description,plenty,O,,
opportunities,opportunities,"('opportunities', 'NNS')",opportun,opportunity,description,opportunities,O,,
see,see,"('see', 'VB')",see,see,description,see,O,,
Semana,semana,"('semana', 'NN')",semana,semana,description,Semana,O,,
de,de,"('de', 'IN')",de,de,description,de,O,,
Piura,piura,"('piura', 'FW')",piura,piura,description,Piura,O,,
first,first,"('first', 'RB')",first,first,description,first,B,ORDINAL,"""first"", ""second"", etc."
two,two,"('two', 'CD')",two,two,description,two,O,,
weeks,weeks,"('weeks', 'NNS')",week,week,description,weeks,O,,
Oct,oct,"('oct', 'NN')",oct,oct,description,Oct,B,DATE,Absolute or relative dates or periods
town,town,"('town', 'NN')",town,town,description,town,O,,
high,high,"('high', 'JJ')",high,high,description,high,O,,
spirits,spirits,"('spirits', 'NNS')",spirit,spirit,description,spirits,O,,
