token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
sprawling,sprawling,"('sprawling', 'JJ')",sprawl,sprawling,introduction,sprawling,O,,
hot,hot,"('hot', 'JJ')",hot,hot,introduction,hot,O,,
dusty,dusty,"('dusty', 'JJ')",dusti,dusty,introduction,dusty,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
inhabitants,inhabitants,"('inhabitants', 'NNS')",inhabit,inhabitant,introduction,inhabitants,O,,
PUCALLPA,pucallpa,"('pucallpa', 'JJ')",pucallpa,pucallpa,introduction,PUCALLPA,O,,
holds,holds,"('holds', 'VBZ')",hold,hold,introduction,holds,O,,
little,little,"('little', 'RB')",littl,little,introduction,little,O,,
interest,interest,"('interest', 'NN')",interest,interest,introduction,interest,O,,
travellers,travellers,"('travellers', 'NNS')",travel,traveller,introduction,travellers,O,,
get,get,"('get', 'VB')",get,get,introduction,get,O,,
straight,straight,"('straight', 'VBN')",straight,straight,introduction,straight,O,,
mototaxi,mototaxi,"('mototaxi', 'NN')",mototaxi,mototaxi,introduction,mototaxi,O,,
local,local,"('local', 'JJ')",local,local,introduction,local,O,,
bus,bus,"('bus', 'NN')",bu,bus,introduction,bus,O,,
Lago,lago,"('lago', 'JJ')",lago,lago,introduction,Lago,O,,
Yarinacocha,yarinacocha,"('yarinacocha', 'NN')",yarinacocha,yarinacocha,introduction,Yarinacocha,O,,
stay,stay,"('stay', 'VBP')",stay,stay,introduction,stay,O,,
though,though,"('though', 'IN')",though,though,introduction,though,O,,
difficult,difficult,"('difficult', 'JJ')",difficult,difficult,introduction,difficult,O,,
appreciate,appreciate,"('appreciate', 'VB')",appreci,appreciate,introduction,appreciate,O,,
Pucallpa,pucallpa,"('pucallpa', 'NN')",pucallpa,pucallpa,introduction,Pucallpa,O,,
relaxed,relaxed,"('relaxed', 'VBD')",relax,relax,introduction,relaxed,O,,
feel,feel,"('feel', 'NN')",feel,feel,introduction,feel,O,,
entrepreneurial,entrepreneurial,"('entrepreneurial', 'JJ')",entrepreneuri,entrepreneurial,introduction,entrepreneurial,O,,
optimism,optimism,"('optimism', 'NN')",optim,optimism,introduction,optimism,O,,
this,this,"('this', 'DT')",thi,this,introduction,this,O,,
burgeoning,burgeoning,"('burgeoning', 'VBG')",burgeon,burgeon,introduction,burgeoning,O,,
jungle,jungle,"('jungle', 'NN')",jungl,jungle,introduction,jungle,O,,
frontier,frontier,"('frontier', 'JJR')",frontier,frontier,introduction,frontier,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
Pucallpa,pucallpa,"('pucallpa', 'NN')",pucallpa,pucallpa,description,Pucallpa,B,GPE,"Countries, cities, states"
annual,annual,"('annual', 'JJ')",annual,annual,description,annual,O,,
festival,festival,"('festival', 'NN')",festiv,festival,description,festival,O,,
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,description,visitors,O,,
Semana,semana,"('semana', 'NN')",semana,semana,description,Semana,B,EVENT,"Named hurricanes, battles, wars, sports events, etc."
Turística,turística,"('turística', 'NN')",turística,turística,description,Turística,I,EVENT,"Named hurricanes, battles, wars, sports events, etc."
de,de,"('de', 'IN')",de,de,description,de,I,EVENT,"Named hurricanes, battles, wars, sports events, etc."
la,la,"('la', 'FW')",la,la,description,la,I,EVENT,"Named hurricanes, battles, wars, sports events, etc."
Region,region,"('region', 'NN')",region,region,description,Region,I,EVENT,"Named hurricanes, battles, wars, sports events, etc."
Ucayali,ucayali,"('ucayali', 'NN')",ucayali,ucayali,description,Ucayali,O,,
usually,usually,"('usually', 'RB')",usual,usually,description,usually,O,,
held,held,"('held', 'VBN')",held,hold,description,held,O,,
last,last,"('last', 'JJ')",last,last,description,last,O,,
week,week,"('week', 'NN')",week,week,description,week,O,,
September,september,"('september', 'JJ')",septemb,september,description,September,O,,
offering,offering,"('offering', 'NN')",offer,offering,description,offering,O,,
mostly,mostly,"('mostly', 'RB')",mostli,mostly,description,mostly,O,,
artesanía,artesanía,"('artesanía', 'JJ')",artesanía,artesanía,description,artesanía,O,,
markets,markets,"('markets', 'NNS')",market,market,description,markets,O,,
well,well,"('well', 'RB')",well,well,description,well,O,,
folklore,folklore,"('folklore', 'NN')",folklor,folklore,description,folklore,O,,
music,music,"('music', 'NN')",music,music,description,music,O,,
