token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
citizens,citizens,"('citizens', 'NNS')",citizen,citizen,introduction,citizens,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
Rio,rio,"('rio', 'NN')",rio,rio,introduction,Rio,B,GPE,"Countries, cities, states"
de,de,"('de', 'IN')",de,de,introduction,de,I,GPE,"Countries, cities, states"
Janeiro,janeiro,"('janeiro', 'FW')",janeiro,janeiro,introduction,Janeiro,I,GPE,"Countries, cities, states"
call,call,"('call', 'VB')",call,call,introduction,call,O,,
Cidade,cidade,"('cidade', 'NN')",cidad,cidade,introduction,Cidade,O,,
Marvilhosa,marvilhosa,"('marvilhosa', 'NN')",marvilhosa,marvilhosa,introduction,Marvilhosa,O,,
much,much,"('much', 'JJ')",much,much,introduction,much,O,,
argument,argument,"('argument', 'NN')",argument,argument,introduction,argument,O,,
Although,although,"('although', 'IN')",although,although,introduction,Although,O,,
riven,riven,"('riven', 'VBN')",riven,rive,introduction,riven,O,,
inequality,inequality,"('inequality', 'NN')",inequ,inequality,introduction,inequality,O,,
Rio,rio,"('rio', 'NN')",rio,rio,introduction,Rio,B,GPE,"Countries, cities, states"
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
great,great,"('great', 'JJ')",great,great,introduction,great,O,,
style,style,"('style', 'NN')",style,style,introduction,style,O,,
international,international,"('international', 'JJ')",intern,international,introduction,international,O,,
renown,renown,"('renown', 'NN')",renown,renown,introduction,renown,O,,
bolstered,bolstered,"('bolstered', 'VBN')",bolster,bolster,introduction,bolstered,O,,
series,series,"('series', 'NN')",seri,series,introduction,series,O,,
symbols,symbols,"('symbols', 'NNS')",symbol,symbol,introduction,symbols,O,,
rank,rank,"('rank', 'VBD')",rank,rank,introduction,rank,O,,
greatest,greatest,"('greatest', 'JJS')",greatest,great,introduction,greatest,O,,
landmarks,landmarks,"('landmarks', 'NNS')",landmark,landmark,introduction,landmarks,O,,
world,world,"('world', 'NN')",world,world,introduction,world,O,,
Corcovado,corcovado,"('corcovado', 'NN')",corcovado,corcovado,introduction,Corcovado,O,,
mountain,mountain,"('mountain', 'NN')",mountain,mountain,introduction,mountain,O,,
supporting,supporting,"('supporting', 'VBG')",support,support,introduction,supporting,O,,
great,great,"('great', 'JJ')",great,great,introduction,great,O,,
statue,statue,"('statue', 'NN')",statu,statue,introduction,statue,O,,
Christ,christ,"('christ', 'NN')",christ,christ,introduction,Christ,O,,
Redeemer,redeemer,"('redeemer', 'NN')",redeem,redeemer,introduction,Redeemer,O,,
rounded,rounded,"('rounded', 'JJ')",round,rounded,introduction,rounded,O,,
incline,incline,"('incline', 'NN')",inclin,incline,introduction,incline,O,,
Sugar,sugar,"('sugar', 'NN')",sugar,sugar,introduction,Sugar,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Loaf,loaf,"('loaf', 'NN')",loaf,loaf,introduction,Loaf,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
mountain,mountain,"('mountain', 'NN')",mountain,mountain,introduction,mountain,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
standing,standing,"('standing', 'NN')",stand,standing,introduction,standing,O,,
entrance,entrance,"('entrance', 'NN')",entranc,entrance,introduction,entrance,O,,
bay,bay,"('bay', 'NN')",bay,bay,introduction,bay,O,,
famous,famous,"('famous', 'JJ')",famou,famous,introduction,famous,O,,
sweeps,sweeps,"('sweeps', 'NNS')",sweep,sweep,introduction,sweeps,O,,
