token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
São,são,"('são', 'NN')",são,são,introduction,São,O,,
Paulo,paulo,"('paulo', 'VBZ')",paulo,paulo,introduction,Paulo,O,,
country,country,"('country', 'NN')",countri,country,introduction,country,O,,
populous,populous,"('populous', 'JJ')",popul,populous,introduction,populous,O,,
state,state,"('state', 'NN')",state,state,introduction,state,O,,
home,home,"('home', 'NN')",home,home,introduction,home,O,,
far,far,"('far', 'RB')",far,far,introduction,far,O,,
biggest,biggest,"('biggest', 'JJS')",biggest,big,introduction,biggest,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
Brazil,brazil,"('brazil', 'JJ')",brazil,brazil,introduction,Brazil,O,,
economic,economic,"('economic', 'JJ')",econom,economic,introduction,economic,O,,
powerhouse,powerhouse,"('powerhouse', 'NN')",powerhous,powerhouse,introduction,powerhouse,O,,
Home,home,"('home', 'NN')",home,home,introduction,Home,O,,
nearly,nearly,"('nearly', 'RB')",nearli,nearly,introduction,nearly,O,,
half,half,"('half', 'PDT')",half,half,introduction,half,O,,
country,country,"('country', 'NN')",countri,country,introduction,country,O,,
industrial,industrial,"('industrial', 'JJ')",industri,industrial,introduction,industrial,O,,
output,output,"('output', 'NN')",output,output,introduction,output,O,,
also,also,"('also', 'RB')",also,also,introduction,also,O,,
agricultural,agricultural,"('agricultural', 'JJ')",agricultur,agricultural,introduction,agricultural,O,,
sector,sector,"('sector', 'NN')",sector,sector,introduction,sector,O,,
produces,produces,"('produces', 'VBZ')",produc,produce,introduction,produces,O,,
among,among,"('among', 'IN')",among,among,introduction,among,O,,
things,things,"('things', 'NNS')",thing,thing,introduction,things,O,,
orange,orange,"('orange', 'NN')",orang,orange,introduction,orange,O,,
juice,juice,"('juice', 'NN')",juic,juice,introduction,juice,O,,
any,any,"('any', 'DT')",ani,any,introduction,any,O,,
single,single,"('single', 'JJ')",singl,single,introduction,single,O,,
nation,nation,"('nation', 'NN')",nation,nation,introduction,nation,O,,
worldwide,worldwide,"('worldwide', 'IN')",worldwid,worldwide,introduction,worldwide,O,,
eponymous,eponymous,"('eponymous', 'JJ')",eponym,eponymous,introduction,eponymous,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
boasts,boasts,"('boasts', 'VBZ')",boast,boast,introduction,boasts,O,,
dizzying,dizzying,"('dizzying', 'JJ')",dizzi,dizzying,introduction,dizzying,O,,
variety,variety,"('variety', 'NN')",varieti,variety,introduction,variety,O,,
cultural,cultural,"('cultural', 'JJ')",cultur,cultural,introduction,cultural,O,,
centres,centres,"('centres', 'NNS')",centr,centre,introduction,centres,O,,
art,art,"('art', 'NN')",art,art,introduction,art,O,,
galleries,galleries,"('galleries', 'NNS')",galleri,gallery,introduction,galleries,O,,
noise,noise,"('noise', 'NN')",nois,noise,introduction,noise,O,,
vibrant,vibrant,"('vibrant', 'JJ')",vibrant,vibrant,introduction,vibrant,O,,
fashion,fashion,"('fashion', 'NN')",fashion,fashion,introduction,fashion,O,,
music,music,"('music', 'NN')",music,music,introduction,music,O,,
scenes,scenes,"('scenes', 'NNS')",scene,scene,introduction,scenes,O,,
heard,heard,"('heard', 'VBN')",heard,hear,introduction,heard,O,,
around,around,"('around', 'IN')",around,around,introduction,around,O,,
globe,globe,"('globe', 'NN')",globe,globe,introduction,globe,O,,
Although,although,"('although', 'IN')",although,although,introduction,Although,O,,
people,people,"('people', 'NNS')",peopl,people,introduction,people,O,,
come,come,"('come', 'VBP')",come,come,introduction,come,O,,
state,state,"('state', 'NN')",state,state,introduction,state,O,,
order,order,"('order', 'NN')",order,order,introduction,order,O,,
visit,visit,"('visit', 'VB')",visit,visit,introduction,visit,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
merely,merely,"('merely', 'RB')",mere,merely,introduction,merely,O,,
business,business,"('business', 'NN')",busi,business,introduction,business,O,,
São,são,"('são', 'NN')",são,são,introduction,São,B,GPE,"Countries, cities, states"
Paulo,paulo,"('paulo', 'NN')",paulo,paulo,introduction,Paulo,I,GPE,"Countries, cities, states"
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
numerous,numerous,"('numerous', 'JJ')",numer,numerous,introduction,numerous,O,,
attractions,attractions,"('attractions', 'NNS')",attract,attraction,introduction,attractions,O,,
concrete,concrete,"('concrete', 'JJ')",concret,concrete,introduction,concrete,O,,
jungle,jungle,"('jungle', 'NN')",jungl,jungle,introduction,jungle,O,,
heart,heart,"('heart', 'NN')",heart,heart,introduction,heart,O,,
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction,beaches,O,,
north,north,"('north', 'RB')",north,north,introduction,north,O,,
important,important,"('important', 'JJ')",import,important,introduction,important,O,,
port,port,"('port', 'NN')",port,port,introduction,port,O,,
