token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
many,many,"('many', 'JJ')",mani,many,introduction,many,O,,
people,people,"('people', 'NNS')",peopl,people,introduction,people,O,,
state,state,"('state', 'NN')",state,state,introduction,state,O,,
Rio,rio,"('rio', 'NN')",rio,rio,introduction,Rio,B,GPE,"Countries, cities, states"
Grande,grande,"('grande', 'NN')",grand,grande,introduction,Grande,I,GPE,"Countries, cities, states"
Sul,sul,"('sul', 'VB')",sul,sul,introduction,Sul,I,GPE,"Countries, cities, states"
bordering,bordering,"('bordering', 'VBG')",border,border,introduction,bordering,O,,
Argentina,argentina,"('argentina', 'NNS')",argentina,argentina,introduction,Argentina,O,,
Uruguay,uruguay,"('uruguay', 'NN')",uruguay,uruguay,introduction,Uruguay,B,GPE,"Countries, cities, states"
first,first,"('first', 'JJ')",first,first,introduction,first,O,,
last,last,"('last', 'JJ')",last,last,introduction,last,O,,
experience,experience,"('experience', 'NN')",experi,experience,introduction,experience,O,,
Brazil,brazil,"('brazil', 'NN')",brazil,brazil,introduction,Brazil,B,GPE,"Countries, cities, states"
parts,parts,"('parts', 'NNS')",part,part,introduction,parts,O,,
country,country,"('country', 'NN')",countri,country,introduction,country,O,,
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
extremely,extremely,"('extremely', 'RB')",extrem,extremely,introduction,extremely,O,,
strong,strong,"('strong', 'JJ')",strong,strong,introduction,strong,O,,
regional,regional,"('regional', 'JJ')",region,regional,introduction,regional,O,,
identity,identity,"('identity', 'NN')",ident,identity,introduction,identity,O,,
extent,extent,"('extent', 'NN')",extent,extent,introduction,extent,O,,
only,only,"('only', 'JJ')",onli,only,introduction,only,O,,
state,state,"('state', 'NN')",state,state,introduction,state,O,,
possibility,possibility,"('possibility', 'NN')",possibl,possibility,introduction,possibility,O,,
independence,independence,"('independence', 'NN')",independ,independence,introduction,independence,O,,
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
discussed,discussed,"('discussed', 'VBN')",discuss,discuss,introduction,discussed,O,,
Central,central,"('central', 'JJ')",central,central,introduction,Central,O,,
government,government,"('government', 'NN')",govern,government,introduction,government,O,,
authority,authority,"('authority', 'NN')",author,authority,introduction,authority,O,,
Brazil,brazil,"('brazil', 'JJ')",brazil,brazil,introduction,Brazil,B,GPE,"Countries, cities, states"
southernmost,southernmost,"('southernmost', 'NN')",southernmost,southernmost,introduction,southernmost,O,,
state,state,"('state', 'NN')",state,state,introduction,state,O,,
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
often,often,"('often', 'RB')",often,often,introduction,often,O,,
weak,weak,"('weak', 'JJ')",weak,weak,introduction,weak,O,,
colonial,colonial,"('colonial', 'NN')",coloni,colonial,introduction,colonial,O,,
era,era,"('era', 'NN')",era,era,introduction,era,O,,
territory,territory,"('territory', 'NN')",territori,territory,introduction,territory,O,,
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
virtually,virtually,"('virtually', 'RB')",virtual,virtually,introduction,virtually,O,,
separating,separating,"('separating', 'VBG')",separ,separate,introduction,separating,O,,
Spanish,spanish,"('spanish', 'JJ')",spanish,spanish,introduction,Spanish,O,,
Portuguese,portuguese,"('portuguese', 'JJ')",portugues,portuguese,introduction,Portuguese,B,NORP,Nationalities or religious or political groups
empires,empires,"('empires', 'NNS')",empir,empire,introduction,empires,O,,
this,this,"('this', 'DT')",thi,this,introduction,this,O,,
emerged,emerged,"('emerged', 'VBD')",emerg,emerge,introduction,emerged,O,,
strongly,strongly,"('strongly', 'RB')",strongli,strongly,introduction,strongly,O,,
independent,independent,"('independent', 'JJ')",independ,independent,introduction,independent,O,,
people,people,"('people', 'NNS')",peopl,people,introduction,people,O,,
mostly,mostly,"('mostly', 'RB')",mostli,mostly,introduction,mostly,O,,
pioneer,pioneer,"('pioneer', 'VBP')",pioneer,pioneer,introduction,pioneer,O,,
farmers,farmers,"('farmers', 'NNS')",farmer,farmer,introduction,farmers,O,,
descendants,descendants,"('descendants', 'NNS')",descend,descendant,introduction,descendants,O,,
